,Concept_ID,hr,bg
0,Auge::N,oko,око
1,Ohr::N,uho,ухо
2,Nase::N,nos,нос
3,Mund::N,usta,уста
4,Zahn::N,zub,зъб
5,Zunge::N,jezik,език
6,Lippe::N,usna,устна
7,Wange::N,obraz,буза
8,Gesicht::N,lice,лице
9,Gesicht::N,lice,образ
10,Stirn::N,čelo,чело
11,Haar::N,kosa,коса
12,Haar::N,kosa,косъм
13,Schnurrbart::N,brkovi,мустаци
14,Bart::N,brada,брада
15,Kinn::N,brada,брада
16,Kinn::N,brada,брадичка
17,Kinn::N,podbradak,брада
18,Kinn::N,podbradak,брадичка
19,Kiefer[Anatomie]::N,čeljust,челюст
20,Kehle::N,grlo,гърло
21,Hals::N,vrat,врат
22,Genick::N,zatiljak,тил
23,Kopf::N,glava,глава
24,Rücken::N,leđa,гръб
25,Rücken::N,hrbat,гръб
26,Bauch::N,trbuh,корем
27,Nabel::N,pupak,пъп
28,Busen::N,sisa,бозка
29,Busen::N,njedra,бозка
30,Brust::N,prsa,гръд
31,Schulter::N,rame,рамо
32,Schulter::N,rame,плещи
33,Schulter::N,pleći,рамо
34,Schulter::N,pleći,плещи
35,Arm::N,ruka,ръка
36,Ellenbogen::N,lakat,лакът
37,Hand::N,ruka,ръка
38,Hand::N,ruka,китка
39,Handfläche::N,dlan,длан
40,Finger::N,prst,пръст
41,Fingernagel::N,nokat,нокът
42,Nagel[Anatomie]::N,nokat,нокът
43,Zeh::N,nozni prst,пръст на крак
44,Fuß::N,noga,крак
45,Fuß::N,noga,нога
46,Fuß::N,stopalo,крак
47,Fuß::N,stopalo,нога
48,Ferse::N,peta,пета
49,Knie::N,koljeno,коляно
50,Oberschenkel::N,bedro,бедро
51,Bein::N,noga,крак
52,Bein::N,noga,нога
53,Körper::N,tijelo,тяло
54,Haut::N,put,кожа
55,Haut::N,koža,кожа
56,Blut::N,krv,кръв
57,Ader::N,žila,вена
58,Ader::N,žila,артерия
59,Sehne::N,tetiva,жила
60,Sehne::N,tetiva,сухожилие
61,Knochen::N,kost,кост
62,Herz::N,srce,сърце
63,Magen::N,stomak,стомах
64,Magen::N,želudac,стомах
65,Leber::N,jetra,черен дроб
66,Atem::N,dah,дишане
67,Hunger::N,glad,глад
68,Träne::N,suza,сълза
69,Geschmack::N,ukus,вкус
70,Geruch::N,njuh,миризма
71,Geruch::N,miris,миризма
72,Schlaf::N,san,сън
73,Traum::N,san,сън
74,Himmel::N,nebo,небе
75,Sonne::N,sunce,слънце
76,Mond::N,mjesec,луна
77,Mond::N,mjesec,месец
