,Concept_ID,hu,nl
0,Auge::N,szem,oog
1,Ohr::N,fül,oor
2,Nase::N,orr,neus
3,Mund::N,száj,mond
4,Zahn::N,fog,tand
5,Zunge::N,nyelv,tong
6,Lippe::N,ajak,lip
7,Wange::N,orca,wang
8,Gesicht::N,arc,gelaat
9,Gesicht::N,arc,gezicht
10,Stirn::N,homlok,voorhoofd
11,Haar::N,haj,haar
12,Schnurrbart::N,bajusz,snor
13,Bart::N,szakáll,baard
14,Kinn::N,áll,kin
15,Kiefer[Anatomie]::N,állkapocs,kaak
16,Kehle::N,gége,keel
17,Kehle::N,gége,strot
18,Kehle::N,torok,keel
19,Kehle::N,torok,strot
20,Hals::N,nyak,hals
21,Genick::N,tarkó,nek
22,Kopf::N,fő,hoofd
23,Kopf::N,fej,hoofd
24,Rücken::N,hát,rug
25,Bauch::N,has,buik
26,Nabel::N,köldök,navel
27,Busen::N,mell,boezem
28,Busen::N,kebel,boezem
29,Brust::N,mell,borst
30,Schulter::N,váll,schouder
31,Arm::N,kar,arm
32,Ellenbogen::N,könyök,elleboog
33,Hand::N,kéz,hand
34,Handfläche::N,tenyér,handpalm
35,Finger::N,ujj,vinger
36,Fingernagel::N,köröm,nagel
37,Nagel[Anatomie]::N,köröm,nagel
38,Zeh::N,lábujj,teen
39,Fuß::N,láb,voet
40,Ferse::N,sarok,hak
41,Ferse::N,sarok,hiel
42,Knie::N,térd,knie
43,Oberschenkel::N,comb,dij
44,Bein::N,láb,been
45,Bein::N,lábszár,been
46,Körper::N,test,lichaam
47,Haut::N,bőr,huid
48,Blut::N,vér,bloed
49,Ader::N,ér,ader
50,Sehne::N,ín,pees
51,Knochen::N,csont,bot
52,Knochen::N,csont,been
53,Knochen::N,csont,knook
54,Gehirn::N,agy,hersenen
55,Gehirn::N,agyvelő,hersenen
56,Herz::N,szív,hart
57,Magen::N,gyomor,maag
58,Leber::N,máj,lever
59,Atem::N,lehelet,adem
60,Atem::N,lélegzet,adem
61,Hunger::N,éhség,honger
62,Träne::N,könny,traan
63,Geschmack::N,íz,smaak
64,Geruch::N,szag,geur
65,Schlaf::N,álom,slaap
66,Schlaf::N,alvás,slaap
67,Traum::N,álom,droom
68,Himmel::N,ég,hemel
69,Himmel::N,menny,hemel
70,Sonne::N,nap,zon
71,Mond::N,hold,maan
72,Stern::N,csillag,ster
73,Luft::N,levegő,lucht
74,Wind::N,szél,wind
75,Welle::N,hullám,golf
76,Wasser::N,víz,water
77,Stein::N,kő,steen
78,Boden::N,föld,grond
79,Boden::N,talaj,grond
80,Erde::N,föld,aarde
81,Staub::N,por,stof
82,Rauch::N,füst,rook
83,Funke::N,szikra,vonk
84,Feuer::N,tűz,vuur
85,Licht::N,fény,licht
86,Schatten::N,árnyék,schaduw
87,Wetter::N,idő,weer
88,Wetter::N,időjárás,weer
89,Nebel::N,köd,mist
90,Nebel::N,köd,nevel
91,Wolke::N,felhő,wolk
92,Regen::N,eső,regen
93,Schnee::N,hó,sneeuw
94,Eis::N,jég,ijs
95,Frost::N,fagy,vorst
96,Kälte::N,hideg,kou
97,Kälte::N,hideg,koude
98,Hitze::N,hő,hitte
99,Hitze::N,hőség,hitte
100,Raureif::N,zúzmara,rijp
101,Regenbogen::N,szivárvány,regenboog
102,Donner::N,dörgés,donder
103,Donner::N,mennydörgés,donder
104,Strömung::N,áramlat,stroming
105,Tropfen::N,csepp,druppel
106,Schaum::N,hab,schuim
107,Schaum::N,tajték,schuim
108,Schmutz::N,piszok,vuil
109,See::N,tó,meer
110,Sumpf::N,mocsár,moeras
111,Moor::N,láp,veen
112,Wiese::N,rét,wei
113,Wiese::N,rét,weide
114,Wiese::N,mező,wei
115,Wiese::N,mező,weide
116,Wald::N,erdő,bos
117,Hügel::N,domb,heuvel
118,Anhöhe::N,magaslat,hoogte
119,Berg::N,hegy,berg
120,Gipfel::N,csúcs,top
121,Höhle::N,barlang,hol
122,Abhang::N,lejtő,helling
123,Quelle::N,forrás,bron
124,Bach::N,patak,beek
125,Fluss::N,folyó,stroom
126,Ufer::N,part,wal
127,Ufer::N,part,oever
128,Küste::N,tengerpart,kust
129,Festland::N,szárazföld,vasteland
130,Meer::N,tenger,zee
131,Bucht::N,öböl,baai
132,Bucht::N,öböl,inham
133,Insel::N,sziget,eiland
134,Blume::N,virág,bloem
135,Gras::N,fű,gras
136,Wurzel::N,gyökér,wortel
137,Baum::N,fa,boom
138,Stamm::N,tő,stam
139,Stamm::N,törzs,stam
140,Rinde::N,kéreg,schors
141,Ast::N,ág,tak
142,Zweig::N,gally,twijg
143,Blatt::N,levél,blad
144,Birke::N,nyír,berk
145,Kiefer[Baum]::N,fenyő,den
146,Weide[Baum]::N,fűz,wilg
147,Tanne::N,fenyő,spar
148,Horn::N,szarv,hoorn
149,Feder::N,toll,veer
150,Feder::N,toll,pluim
151,Fell::N,szőr,vel
152,Fell::N,bunda,vel
153,Flügel::N,szárny,vleugel
154,Klaue::N,köröm,klauw
155,Kralle::N,karom,klauw
156,Schwanz::N,farok,staart
157,Ei::N,tojás,ei
158,Nest::N,fészek,nest
159,Bau::N,odú,hol
160,Tier::N,állat,dier
161,Herde::N,nyáj,kudde
162,Herde::N,csorda,kudde
163,Kuh::N,tehén,koe
164,Bulle::N,bika,stier
165,Pferd::N,ló,paard
166,Schaf::N,juh,schaap
167,Schaf::N,birka,schaap
168,Schwein::N,sertés,varken
169,Hund::N,eb,hond
170,Hund::N,kutya,hond
171,Katze::N,macska,kat
172,Bär::N,medve,beer
173,Eichhörnchen::N,mókus,eekhoorntje
174,Elch::N,jávorszarvas,eland
175,Fuchs::N,róka,vos
176,Hase::N,nyúl,haas
177,Maus::N,egér,muis
178,Wolf::N,farkas,wolf
179,Vogel::N,madár,vogel
180,Schwarm::N,raj,zwerm
181,Huhn::N,tyúk,kip
182,Huhn::N,tyúk,hoen
183,Hahn::N,kakas,haan
184,Gans::N,lúd,gans
185,Gans::N,liba,gans
186,Adler::N,sas,arend
187,Ente::N,kacsa,eend
188,Eule::N,bagoly,uil
189,Kranich::N,daru,kraanvogel
190,Krähe::N,varjú,kraai
191,Kuckuck::N,kakukk,koekoek
192,Schwan::N,hattyú,zwaan
193,Fisch::N,hal,vis
194,Barsch::N,sügér,baars
195,Hecht::N,csuka,snoek
196,Schlange[Tier]::N,kígyó,slang
197,Wurm::N,kukac,worm
198,Spinne::N,pók,spin
199,Ameise::N,hangya,mier
200,Laus::N,tetű,luis
201,Mücke::N,szúnyog,mug
202,Fliege::N,légy,vlieg
203,Schmetterling::N,lepke,vlinder
204,Schmetterling::N,pillangó,vlinder
205,Beere::N,bogyó,bes
206,Apfel::N,alma,appel
207,Pilz::N,gomba,paddestoel
208,Zwiebel::N,hagyma,ui
209,Saat::N,vetőmag,zaad
210,Korn::N,mag,graan
211,Korn::N,mag,korrel
212,Korn::N,szem,graan
213,Korn::N,szem,korrel
214,Heu::N,széna,hooi
215,Schale::N,héj,schil
216,Grube::N,verem,kuil
217,Falle::N,csapda,val
218,Schlinge::N,tőr,strop
219,Spur::N,nyom,spoor
220,Asche::N,hamu,as
221,Dreck::N,sár,drek
222,Dreck::N,piszok,drek
223,Eisen::N,vas,ijzer
224,Gold::N,arany,goud
225,Silber::N,ezüst,zilver
