,Concept_ID,ja,ar
0,Auge::N,目,عين
1,Ohr::N,耳,أذن
2,Nase::N,鼻,أنف
3,Mund::N,口,فم
4,Zahn::N,歯,سن
5,Zunge::N,舌,لسان
6,Lippe::N,唇,شفة
7,Wange::N,頬,خد
8,Wange::N,頬,وجنة
9,Gesicht::N,顔,وجه
10,Stirn::N,額,جبين
11,Haar::N,髪,شعر
12,Schnurrbart::N,口髭,شارب
13,Bart::N,髭,لحية
14,Kinn::N,顎,ذقن
15,Kiefer[Anatomie]::N,顎,فك
16,Kehle::N,喉,حلق
17,Hals::N,首,عنق
18,Hals::N,首,رقبة
19,Genick::N,首,قفا
20,Kopf::N,頭,رأس
21,Rücken::N,背中,ظهر
22,Bauch::N,腹,بطن
23,Bauch::N,お腹,بطن
24,Nabel::N,へそ,سرة
25,Busen::N,乳房,ثدي
26,Brust::N,胸,صدر
27,Schulter::N,肩,كتف
28,Arm::N,腕,ذراع
29,Ellenbogen::N,肘,كوع
30,Hand::N,手,يد
31,Handfläche::N,手のひら,كف
32,Finger::N,指,إصبع
33,Fingernagel::N,爪,ظفر
34,Nagel[Anatomie]::N,爪,ظفر
35,Zeh::N,足の指,إصبع القدم
36,Fuß::N,足,قدم
37,Ferse::N,かかと,كعب
38,Knie::N,膝,ركبة
39,Oberschenkel::N,上腿,فخذ
40,Bein::N,足,ساق
41,Körper::N,体,جسم
42,Haut::N,皮膚,بشرة
43,Blut::N,血,دم
44,Ader::N,血管,عرق
45,Sehne::N,腱,طنب
46,Knochen::N,骨,عظم
47,Gehirn::N,脳,دماغ
48,Herz::N,心,قلب
49,Herz::N,心臓,قلب
50,Magen::N,胃,معدة
51,Leber::N,肝臓,كبد
52,Atem::N,息,نفس
53,Atem::N,呼吸,نفس
54,Hunger::N,空腹,جوع
55,Träne::N,涙,دمعة
56,Geschmack::N,味,طعم
57,Geschmack::N,味,مذاق
58,Geruch::N,匂い,رائحة
59,Schlaf::N,睡眠,نوم
60,Schlaf::N,睡眠,منام
61,Traum::N,夢,حلم
62,Himmel::N,空,سماء
63,Sonne::N,太陽,شمس
64,Mond::N,月,قمر
65,Stern::N,星,نجم
66,Stern::N,星,كوكب
67,Luft::N,空気,هواء
68,Wind::N,風,ريح
69,Welle::N,波,موجة
70,Wasser::N,水,ماء
71,Stein::N,石,حجر
72,Boden::N,土地,تراب
73,Erde::N,土,أرض
74,Staub::N,埃,غبار
75,Rauch::N,煙,دخان
76,Funke::N,火花,شرارة
77,Feuer::N,火,نار
78,Licht::N,光,نور
79,Licht::N,光,ضوء
80,Schatten::N,陰,ظل
81,Schatten::N,陰,فيء
82,Wetter::N,天気,جو
83,Wetter::N,天気,طقس
84,Nebel::N,霧,ضباب
85,Wolke::N,雲,غيمة
86,Wolke::N,雲,سحابة
87,Regen::N,雨,مطر
88,Schnee::N,雪,ثلج
89,Eis::N,氷,جليد
90,Frost::N,霜,صقيع
91,Kälte::N,寒さ,برد
92,Hitze::N,暑さ,حر
93,Hitze::N,暑さ,حرارة
94,Raureif::N,霧氷,صقيع
95,Regenbogen::N,虹,قوس قزح
96,Donner::N,雷,رعد
97,Strömung::N,流れ,تيار
98,Tropfen::N,滴,قطرة
99,Schaum::N,泡,زبد
100,Schaum::N,泡,رغوة
101,Schmutz::N,汚れ,وسخ
102,See::N,湖,بحيرة
103,Sumpf::N,沼,مستنقع
104,Moor::N,湿原,مستنقع
105,Wiese::N,草原,مرج
106,Wald::N,森,غابة
107,Hügel::N,丘,تل
108,Anhöhe::N,高み,تل
109,Berg::N,山,جبل
110,Gipfel::N,頂上,قمة
111,Höhle::N,洞窟,كهف
112,Abhang::N,斜面,منحدر
113,Quelle::N,泉,منبع
114,Bach::N,小川,مجرى
115,Fluss::N,川,نهر
116,Ufer::N,岸,ضفة
117,Küste::N,海岸,ساحل
118,Festland::N,陸,بر
119,Meer::N,海,بحر
120,Bucht::N,湾,خليج
121,Insel::N,島,جزيرة
122,Blume::N,花,زهرة
123,Gras::N,草,حشيش
124,Wurzel::N,根,أصل
125,Baum::N,木,شجرة
126,Stamm::N,幹,جذع
127,Rinde::N,皮層,قشرة
128,Ast::N,枝,فرع
129,Zweig::N,小枝,غصن
130,Blatt::N,葉,ورقة
131,Birke::N,樺,قضبان
132,Kiefer[Baum]::N,松,صنوبرة
133,Weide[Baum]::N,柳,صفصاف
134,Tanne::N,樅,شوح
135,Tanne::N,樅,تبوب
136,Horn::N,角,قرن
137,Feder::N,羽根,ريشة
138,Fell::N,毛皮,فرو
139,Flügel::N,羽,جناح
140,Klaue::N,鉤爪,مخلب
141,Kralle::N,爪,مخلب
142,Schwanz::N,尻尾,ذيل
143,Ei::N,卵,بيض
144,Nest::N,巣,عش
145,Bau::N,穴,جحر
146,Tier::N,動物,حيوان
147,Herde::N,群れ,قطيع
148,Kuh::N,牛,بقرة
149,Bulle::N,雄牛,ثور
150,Pferd::N,馬,خيل
151,Schaf::N,羊,شاة
152,Schwein::N,豚,خنزير
153,Hund::N,犬,كلب
154,Katze::N,猫,قطة
155,Bär::N,熊,دب
156,Eichhörnchen::N,栗鼠,سنجاب
157,Elch::N,ヘラジカ,موظ
158,Fuchs::N,狐,ثعلب
159,Hase::N,兎,أرنب
160,Maus::N,鼠,فأرة
161,Wolf::N,狼,ذئب
162,Vogel::N,鳥,طير
163,Schwarm::N,群れ,سرب
164,Huhn::N,鶏,دجاجة
165,Hahn::N,雄鶏,ديك
166,Gans::N,ガチョウ,وزة
167,Adler::N,鷲,نسر
168,Ente::N,鴨,بطة
169,Eule::N,フクロウ,بوم
170,Kranich::N,鶴,كركي
171,Krähe::N,烏,غراب
172,Kuckuck::N,郭公,وقواق
173,Schwan::N,白鳥,إوز عراقي
174,Fisch::N,魚,سمك
175,Barsch::N,鱸,فرخ أوربي
176,Hecht::N,川魳,سمك الكراكي
177,Schlange[Tier]::N,蛇,حية
178,Schlange[Tier]::N,蛇,ثعبان
179,Wurm::N,虫,دودة
180,Spinne::N,蜘蛛,عنكبوت
181,Ameise::N,蟻,نملة
182,Laus::N,虱,قملة
183,Mücke::N,蚊,ناموسة
184,Fliege::N,蝿,ذبابة
185,Schmetterling::N,蝶,فراشة
186,Beere::N,漿果,حبة
187,Apfel::N,林檎,تفاح
188,Pilz::N,茸,فطر
189,Zwiebel::N,玉葱,بصل
190,Saat::N,種,زرع
191,Korn::N,粒,حبة
192,Heu::N,干し草,دريس
193,Schale::N,皮,قشرة
194,Grube::N,穴,نقرة
195,Falle::N,わな,فخ
196,Falle::N,わな,مصيدة
197,Schlinge::N,輪,عروة
198,Spur::N,跡,أثر
199,Asche::N,灰,رماد
200,Dreck::N,泥,قذر
201,Eisen::N,鉄,حديد
202,Gold::N,金,ذهب
203,Silber::N,銀,فضة
204,Kohle::N,炭,فحم
205,Glas::N,ガラス,زجاج
206,Lehm::N,ローム,طين
207,Sand::N,砂,رمل
208,Mensch::N,人,إنسان
209,Mann::N,男,رجل
210,Mann::N,男性,رجل
211,Frau::N,女,امرأة
212,Frau::N,女性,امرأة
213,Kind::N,子,طفل
214,Kind::N,子供,طفل
215,Junge::N,男の子,ولد
216,Mädchen::N,女の子,بنت
217,Familie::N,家族,عائلة
218,Großvater::N,祖父,جد
219,Großvater::N,おじいさん,جد
220,Großmutter::N,祖母,جدة
221,Großmutter::N,おばあさん,جدة
222,Eltern::N,親,أبوان
223,Eltern::N,親,والدان
224,Eltern::N,両親,أبوان
225,Eltern::N,両親,والدان
226,Vater::N,父,أب
227,Vater::N,お父さん,أب
228,Mutter::N,母,أم
229,Mutter::N,お母さん,أم
230,Sohn::N,息子,إبن
231,Sohn::N,息子さん,إبن
232,Tochter::N,娘,بنت
233,Tochter::N,娘,إبنة
234,Tochter::N,お嬢さん,بنت
235,Tochter::N,お嬢さん,إبنة
236,Bruder::N,弟,أخ
237,Bruder::N,弟,شقيق
238,Schwester::N,妹,أخت
239,Onkel::N,伯父,عم
240,Onkel::N,伯父さん,عم
241,Tante::N,叔母,عمة
242,Tante::N,叔母さん,عمة
243,Ehemann::N,夫,زوج
244,Ehemann::N,主人,زوج
245,Ehefrau::N,妻,زوجة
246,Ehefrau::N,奥さん,زوجة
247,Freude::N,喜び,فرح
248,Freude::N,喜び,سرور
249,Gelächter::N,笑い,قهقهة
250,Glück::N,幸せ,سعادة
251,Kummer::N,悩み,غم
252,Wunsch::N,希望,منية
253,Lust::N,気,شهوة
254,Geist::N,精神,روح
255,Gedanke::N,考え,فكرة
256,Gedächtnis::N,記憶,ذاكرة
257,Verstand::N,理解力,عقل
258,Sinn::N,意味,معنى
259,Grund::N,理由,سبب
260,Wahrheit::N,真実,حقيقة
261,Gespräch::N,会話,محادثة
262,Märchen::N,童話,خرافة
263,Erzählung::N,物語,قصة
264,Erzählung::N,物語,حكاية
265,Nachricht::N,報告,خبر
266,Neuigkeit::N,ニュース,خبر جديد
267,Name::N,名前,اسم
268,Rätsel::N,謎,لغز
269,Rede::N,演説,خطبة
270,Sprache::N,言語,لغة
271,Stimme::N,声,صوت
272,Wort::N,言葉,كلمة
273,Zeichen::N,記号,رمز
274,Zeichen::N,記号,إشارة
275,Ruf::N,呼び声,نداء
276,Lärm::N,騒音,صخب
277,Lärm::N,騒音,ضجة
278,Laut::N,音,صوت
279,Ton::N,音,نغمة
280,Lied::N,歌,أغنية
281,Ruhe::N,静けさ,هدوء
282,Leute::N,人々,ناس
283,Volk::N,民族,شعب
284,Arbeit::N,仕事,عمل
285,Gast::N,客,ضيف
286,Geschenk::N,贈り物,هدية
287,Spiel::N,遊び,لعب
288,Gesellschaft::N,社会,صحبة
289,Hilfe::N,援助,عون
290,Hilfe::N,援助,مساعدة
291,Freund::N,友達,صديق
292,Kamerad::N,同志,زميل
293,Angelegenheit::N,件,أمر
294,Angelegenheit::N,件,شأن
295,Anzahl::N,数,عدد
296,Art::N,種類,نوع
297,Stück::N,部分,قطعة
298,Teil::N,部分,قسم
299,Hälfte::N,半分,نصف
300,Kreis::N,円,دائرة
