,Concept_ID,lez,la
0,Auge::N,вил,oculus
1,Ohr::N,яб,auris
2,Nase::N,нер,nasus
3,Mund::N,сив,os
4,Zahn::N,сас,dens
5,Zahn::N,свах,dens
6,Zunge::N,мез,lingua
7,Lippe::N,пӏуз,labrum
8,Wange::N,хъвехъ,gena
9,Gesicht::N,ччин,vultus
10,Stirn::N,пел,frons
11,Haar::N,чӏар,capillus
12,Schnurrbart::N,спел,barba labri superioris
13,Schnurrbart::N,спелар,barba labri superioris
14,Bart::N,ччуру,barba
15,Kinn::N,чене,mentum
16,Kiefer[Anatomie]::N,чене,mala
17,Kehle::N,туьд,iugulums
18,Hals::N,гардан,collum
19,Genick::N,кьам,cervices
20,Kopf::N,кьил,caput
21,Rücken::N,далу,tergum
22,Bauch::N,руфун,venter
23,Nabel::N,пицӏ,umbilicus
24,Busen::N,мам,sinus
25,Brust::N,хур,pectus
26,Schulter::N,къуьн,umerus
27,Arm::N,гъил,bracchium
28,Ellenbogen::N,кьуьнт,cubitum
29,Hand::N,капаш,manus
30,Handfläche::N,капан юкь,palma
31,Finger::N,тӏуб,digitus
32,Fingernagel::N,кек,unguiculus
33,Nagel[Anatomie]::N,кек,unguis
34,Zeh::N,кул,digitus
35,Fuß::N,кӏвач,pes
36,Ferse::N,дабан,calx
37,Knie::N,мет,genu
38,Bein::N,кӏвач,crus
39,Körper::N,беден,corpus
40,Haut::N,хам,cutis
41,Haut::N,хам,pellis
42,Blut::N,иви,sanguis
43,Ader::N,дамар,vena
44,Sehne::N,кьуру дамар,nervus
45,Knochen::N,кӏараб,os
46,Gehirn::N,мефт,cerebrum
47,Herz::N,рикӏ,cor
48,Herz::N,рикӏ,animus
49,Magen::N,хук,stomachus
50,Leber::N,лекь,iecur
51,Atem::N,ял,spiritus
52,Atem::N,нефес,spiritus
53,Hunger::N,каш,fames
54,Träne::N,вилин нагъв,lacrima
55,Geschmack::N,дад,sapor
56,Geschmack::N,дад,gustus
57,Geschmack::N,тӏям,sapor
58,Geschmack::N,тӏям,gustus
59,Geruch::N,ни,odor
60,Schlaf::N,ахвар,somnus
61,Traum::N,ахвар,somnium
62,Himmel::N,цав,caelum
63,Sonne::N,рагъ,sol
64,Mond::N,варз,luna
65,Stern::N,гъед,sidus
66,Stern::N,гъед,stella
67,Luft::N,гьава,aer
68,Wind::N,гар,ventus
69,Welle::N,лепе,unda
70,Wasser::N,яд,aqua
71,Stein::N,къван,lapis
72,Boden::N,накьв,solum
73,Erde::N,ччил,terra
74,Staub::N,руг,pulvis
75,Rauch::N,гум,fumus
76,Funke::N,цӏелхем,scintilla
77,Feuer::N,цӏай,ignis
78,Licht::N,экв,lux
79,Licht::N,экв,lumen
80,Schatten::N,серин,umbra
81,Wetter::N,гьава,caelum
82,Wetter::N,гьава,tempestas
83,Nebel::N,ччилин циф,nebula
84,Wolke::N,циф,nubes
85,Regen::N,марф,imber
86,Regen::N,марф,pluvia
87,Schnee::N,жив,nix
88,Eis::N,мурк,glacies
89,Frost::N,аяз,gelu
90,Kälte::N,мекь,frigus
91,Kälte::N,мекьивал,frigus
92,Hitze::N,зегьем,calor
93,Hitze::N,зегьем,aestus
94,Raureif::N,къирав,pruina
95,Regenbogen::N,яргъируш,arcus
96,Donner::N,цавун ван,tonitrus
97,Tropfen::N,стӏал,gutta
98,Schaum::N,каф,spuma
99,Schmutz::N,чирк,sordes
100,Schmutz::N,чирк,squalor
101,Schmutz::N,кьуруш,sordes
102,Schmutz::N,кьуруш,squalor
103,See::N,вир,lacus
104,Sumpf::N,уьлен,palus
105,Wiese::N,векь,pratum
106,Wald::N,там,silva
107,Hügel::N,кӏунтӏ,collis
108,Anhöhe::N,тепе,specula
109,Anhöhe::N,гьуьндуьрвал,specula
110,Berg::N,дагъ,mons
111,Gipfel::N,кӏукӏ,vertex
112,Höhle::N,кьветӏ,caverna
113,Höhle::N,кьветӏ,spelunca
114,Abhang::N,гуьне,declivum
115,Quelle::N,чешме,fons
116,Bach::N,булах,rivus
117,Fluss::N,вацӏ,flumen
118,Ufer::N,къерех,ripa
119,Küste::N,къерех,litus
120,Festland::N,кьурамат,continens
121,Meer::N,гьуьл,mare
122,Bucht::N,бухта,sinus
123,Insel::N,остров,insula
124,Blume::N,цуьк,flos
125,Gras::N,хъач,herba
126,Gras::N,хъач,gramen
127,Wurzel::N,дувул,radix
128,Baum::N,ттар,arbor
129,Stamm::N,тан,truncus
130,Rinde::N,чкал,cortex
131,Ast::N,тӏур,ramus
132,Zweig::N,хел,ramus
133,Blatt::N,пеш,folium
134,Birke::N,верх,betulla
135,Kiefer[Baum]::N,шамагъаж,pinus
136,Weide[Baum]::N,цӏвелин ттар,salix
137,Tanne::N,ель,abies
138,Horn::N,карч,cornu
139,Feder::N,цӏакул,penna
140,Fell::N,хам,pellis
141,Flügel::N,лув,ala
142,Klaue::N,къармах,unguis
143,Kralle::N,пац,unguis
144,Kralle::N,тапас,unguis
145,Schwanz::N,ттум,cauda
146,Ei::N,кака,ovum
147,Nest::N,муг,nidus
148,Bau::N,тӏеквен,cavum
149,Bau::N,тӏеквен,latibulum
150,Tier::N,гьайван,bestia
151,Herde::N,суьруь,grex
152,Kuh::N,ккал,vacca
153,Bulle::N,яц,taurus
154,Bulle::N,бугъа,taurus
155,Pferd::N,балкӏан,equus
156,Schaf::N,хеб,ovis
157,Schwein::N,вак,sus
158,Schwein::N,вак,porcus
159,Hund::N,кицӏ,canis
160,Katze::N,кац,felis
161,Bär::N,сев,ursus
162,Eichhörnchen::N,белка,sciurus
163,Elch::N,лось,alces
164,Fuchs::N,сикӏ,vulpes
165,Hase::N,къуьр,lepus
166,Maus::N,кьиф,mus
167,Wolf::N,жанавур,lupus
168,Vogel::N,луван ничхир,avis
169,Schwarm::N,луж,examen
170,Huhn::N,верч,gallina
171,Hahn::N,кӏек,gallus
172,Gans::N,къаз,anser
173,Adler::N,лекь,aquila
174,Ente::N,пӏатӏ,anas
175,Eule::N,тӏиб,ulula
176,Eule::N,тӏиб,noctua
177,Kranich::N,дурна,grus
178,Krähe::N,къаргъа,cornix
179,Kuckuck::N,кукупӏ,cuculus
180,Schwan::N,къугь,olor
181,Schwan::N,къугь,cycnus
182,Fisch::N,гъед,piscis
183,Barsch::N,окунь,perca
184,Hecht::N,щука,esox
185,Schlange[Tier]::N,илан,serpens
186,Schlange[Tier]::N,гъуьлягъ,serpens
187,Wurm::N,квак,vermis
188,Spinne::N,хуьшрекан,aranea
189,Ameise::N,цегв,formica
190,Laus::N,нет,pediculus
191,Mücke::N,ветӏ,culex
192,Fliege::N,тӏветӏ,musca
193,Schmetterling::N,чепелукь,papilio
194,Beere::N,куьлуь емиш,baca
195,Apfel::N,ич,malum
196,Pilz::N,къарникъуз,fungus
197,Zwiebel::N,чичӏек,cepa
198,Saat::N,тумар,seges
199,Korn::N,твар,granum
200,Heu::N,векь,faenum
201,Heu::N,векьер,faenum
202,Schale::N,пириш,putamen
203,Schale::N,хъуьруьш,putamen
204,Grube::N,фур,fovea
205,Falle::N,ракьар,pedica
206,Schlinge::N,гьалкъа,laqueus
207,Spur::N,гел,vestigium
208,Asche::N,руьхъ,cinis
209,Dreck::N,чирк,lutum
210,Dreck::N,кьуруш,lutum
211,Eisen::N,ракь,ferrum
212,Gold::N,алтун,aurum
213,Silber::N,гимиш,argentum
214,Kohle::N,цӏивин,carbo
215,Glas::N,шуьше,vitrum
216,Lehm::N,ччеб,lutum
217,Sand::N,къум,arena
218,Mensch::N,инсан,homo
219,Mann::N,итим,vir
220,Frau::N,паб,mulier
221,Frau::N,дишегьли,mulier
222,Kind::N,аял,puer
223,Kind::N,аял,infans
224,Junge::N,гада,puer
225,Mädchen::N,руш,puella
226,Familie::N,хзан,familia
227,Familie::N,килфет,familia
228,Großvater::N,чӏехи буба,avus
229,Großmutter::N,чӏехи диде,avia
230,Eltern::N,диде-буба,parentes
231,Vater::N,буба,pater
232,Mutter::N,диде,mater
233,Sohn::N,хва,filius
234,Tochter::N,руш,filia
235,Bruder::N,стха,frater
236,Schwester::N,вах,soror
237,Onkel::N,ими,patruus
238,Onkel::N,ими,avunculus
239,Onkel::N,халу,patruus
240,Onkel::N,халу,avunculus
241,Tante::N,эме,amita
242,Tante::N,хала,amita
243,Ehemann::N,гъуьл,maritus
244,Ehefrau::N,паб,uxor
245,Freude::N,шадвал,gaudium
246,Freude::N,шадвал,laetitia
247,Gelächter::N,хъвер,risus
248,Glück::N,бахт,felicitas
249,Kummer::N,дерт,aegritudo
250,Kummer::N,хажалат,aegritudo
251,Wunsch::N,мурад,voluntas
252,Wunsch::N,мурад,desiderium
253,Lust::N,гьевес,libido
254,Lust::N,гьевес,voluptas
255,Geist::N,руьгь,mens
256,Geist::N,руьгь,animus
257,Gedanke::N,фикир,sententia
258,Verstand::N,акьул,ratio
259,Verstand::N,акьул,ingenium
260,Sinn::N,мана,sensus
261,Grund::N,себеб,causa
262,Wahrheit::N,керчек,veritas
263,Wahrheit::N,гьакъикъат,veritas
264,Gespräch::N,ихтилат,sermo
265,Märchen::N,мах,fabula
