,Concept_ID,bg,kk
0,Auge::N,око,көз
1,Ohr::N,ухо,құлақ
2,Nase::N,нос,мұрын
3,Mund::N,уста,ауыз
4,Zahn::N,зъб,тіс
5,Zunge::N,език,тіл
6,Lippe::N,устна,ерін
7,Wange::N,буза,ұрт
8,Gesicht::N,лице,бет-аузы
9,Gesicht::N,образ,бет-аузы
10,Stirn::N,чело,маңдай
11,Haar::N,коса,қыл
12,Haar::N,косъм,қыл
13,Schnurrbart::N,мустаци,мұрт
14,Bart::N,брада,сақал
15,Kinn::N,брада,иек
16,Kinn::N,брадичка,иек
17,Kiefer[Anatomie]::N,челюст,жақ
18,Kehle::N,гърло,алқым
19,Hals::N,врат,мойын
20,Genick::N,тил,желке
21,Kopf::N,глава,кәллә
22,Rücken::N,гръб,арқа
23,Bauch::N,корем,қарын
24,Nabel::N,пъп,кіндік
25,Busen::N,бозка,омырау
26,Brust::N,гръд,кеуде
27,Schulter::N,рамо,иық
28,Schulter::N,плещи,иық
29,Arm::N,ръка,қол
30,Ellenbogen::N,лакът,шынтақ
31,Hand::N,ръка,қол
32,Hand::N,китка,қол
33,Handfläche::N,длан,алақан
34,Finger::N,пръст,саусақ
35,Fingernagel::N,нокът,тырнақ
36,Nagel[Anatomie]::N,нокът,тырнақ
37,Zeh::N,пръст на крак,тырнақ
38,Zeh::N,пръст на крак,тұяқ
39,Fuß::N,крак,аяқ-басы
40,Fuß::N,нога,аяқ-басы
41,Ferse::N,пета,өкше
42,Ferse::N,пета,өкшелік
43,Knie::N,коляно,тізе
44,Oberschenkel::N,бедро,жамбас
45,Bein::N,крак,аяқ
46,Bein::N,нога,аяқ
47,Körper::N,тяло,дене
48,Haut::N,кожа,тері
49,Blut::N,кръв,қан
50,Ader::N,вена,көктамыр
51,Ader::N,вена,күретамыр
52,Ader::N,артерия,көктамыр
53,Ader::N,артерия,күретамыр
54,Sehne::N,жила,сіңір
55,Sehne::N,сухожилие,сіңір
56,Knochen::N,кост,жілік
57,Gehirn::N,мозък,ми
58,Herz::N,сърце,жүрек
59,Magen::N,стомах,асқазан
60,Leber::N,черен дроб,бауыр
61,Atem::N,дишане,леп
62,Hunger::N,глад,ашаршылық
63,Träne::N,сълза,жас
64,Geschmack::N,вкус,дәм
65,Geschmack::N,вкус,татым
66,Geschmack::N,вкус,талғам
67,Geruch::N,миризма,иіс
68,Schlaf::N,сън,ұйқы
69,Schlaf::N,сън,ұйықтау
70,Traum::N,сън,түс
71,Himmel::N,небе,аспан
72,Himmel::N,небе,көқ
73,Himmel::N,небе,таңдай
74,Sonne::N,слънце,күн
75,Mond::N,луна,ай
76,Mond::N,месец,ай
77,Stern::N,звезда,жұлдыз
78,Luft::N,въздух,әуе
79,Wind::N,вятър,жел
80,Welle::N,вълна,толқын
81,Wasser::N,вода,су
82,Stein::N,камък,тас
83,Boden::N,земя,қыртыс
84,Boden::N,почва,қыртыс
85,Erde::N,земя,топырақ
86,Erde::N,почва,топырақ
87,Staub::N,прах,шаң
88,Rauch::N,дим,түтін
89,Rauch::N,пушек,түтін
90,Funke::N,искра,ұшқын
91,Feuer::N,огън,алау
92,Licht::N,светлина,шұғыла
93,Schatten::N,сянка,көлеңке
94,Wetter::N,време,ауа райы
95,Nebel::N,мъгла,тұман
96,Wolke::N,облак,бұлт
97,Regen::N,дъжд,жаңбыр
98,Schnee::N,сняг,қар
99,Eis::N,лед,мұз
100,Frost::N,мраз,суық
101,Kälte::N,студ,ызғар
102,Kälte::N,студ,суықтық
103,Hitze::N,жега,аптап
104,Hitze::N,горещина,аптап
105,Raureif::N,скреж,қырау
106,Raureif::N,слана,қырау
107,Regenbogen::N,дъга,кемпірқосақ
108,Donner::N,гръм,күн күркіреу
109,Strömung::N,течение,ағын
110,Tropfen::N,капка,тамшы
111,Schaum::N,пяна,көбік
112,Schmutz::N,кал,кір
113,Schmutz::N,мръсотия,кір
114,See::N,езеро,көл
115,Sumpf::N,блато,саз
116,Moor::N,мочурище,саз
117,Wiese::N,ливада,шалғын
118,Wald::N,гора,орман
119,Hügel::N,рид,төбе
120,Hügel::N,рид,белес
121,Hügel::N,рид,белес-белес
122,Hügel::N,хълм,төбе
123,Hügel::N,хълм,белес
124,Hügel::N,хълм,белес-белес
125,Anhöhe::N,могила,дөң
126,Anhöhe::N,могила,адыр
127,Anhöhe::N,могила,қырат
128,Anhöhe::N,възвишение,дөң
129,Anhöhe::N,възвишение,адыр
130,Anhöhe::N,възвишение,қырат
131,Berg::N,планина,тау
132,Gipfel::N,връх,төбе
133,Höhle::N,пещера,үңгір
134,Abhang::N,склон,бауыр
135,Abhang::N,стръмнина,бауыр
136,Quelle::N,извор,қайнар
137,Bach::N,поток,жылға
138,Fluss::N,река,өзен
139,Ufer::N,бряг,жиек
140,Küste::N,бряг,жиегі
141,Küste::N,бряг,жағалау
142,Küste::N,крайбрежие,жиегі
143,Küste::N,крайбрежие,жағалау
144,Festland::N,суша,құрылық
145,Meer::N,море,теңіз
146,Bucht::N,залив,шығанақ
147,Insel::N,остров,арал
148,Blume::N,цвете,гүл
149,Gras::N,трева,от
150,Wurzel::N,корен,түбір
151,Baum::N,дърво,ағаш
152,Baum::N,дърво,дарақ
153,Stamm::N,стъбло,сояу
154,Stamm::N,стъбло,оқпан
155,Rinde::N,кора,қабық
156,Ast::N,клон,бұтақ
157,Zweig::N,клон,шыбық
158,Blatt::N,лист,жапырақ
159,Birke::N,бреза,қайың
160,Kiefer[Baum]::N,бор,қарағай
161,Weide[Baum]::N,върба,тал
162,Tanne::N,ела,шырша
163,Horn::N,рог,мүйіз
164,Feder::N,перо,қаламұш
165,Fell::N,кожа,тері
166,Flügel::N,крило,қанат
167,Klaue::N,нокът,тырнақ
168,Kralle::N,нокът,аяқ
169,Schwanz::N,опашка,құйрық
170,Ei::N,яйце,жұмыртқа
171,Nest::N,гнездо,ұя
172,Bau::N,дупка,жатақ
173,Tier::N,животно,айуан
174,Tier::N,животно,жануар
175,Herde::N,стадо,пада
176,Kuh::N,крава,сиыр
177,Bulle::N,бик,өгіз
178,Pferd::N,кон,жылқы
179,Schaf::N,овца,қой
180,Schwein::N,свиня,шошқа
181,Hund::N,куче,ит
182,Katze::N,котка,мысық
183,Bär::N,мечка,аю
184,Eichhörnchen::N,катерица,тиін
185,Elch::N,лос,бұғы
186,Fuchs::N,лисица,түлкі
187,Hase::N,заек,қоян
188,Maus::N,мишка,қаптесер
189,Wolf::N,вълк,бөрі
190,Wolf::N,вълк,қасқыр
191,Vogel::N,птица,құс
192,Schwarm::N,рой,топ
193,Schwarm::N,рой,үйір
194,Schwarm::N,рояк,топ
195,Schwarm::N,рояк,үйір
196,Huhn::N,кокошка,тауық
197,Huhn::N,кокошка,мекиен
198,Hahn::N,петел,әтеш
199,Hahn::N,петел,қораз
200,Gans::N,гъска,қаз
201,Adler::N,орел,бүркіт
202,Ente::N,патица,үйрек
203,Eule::N,сова,жапалақ
204,Kranich::N,жерав,тырна
205,Krähe::N,врана,қарға
206,Kuckuck::N,кукувица,көкек
207,Schwan::N,лебед,аққу
208,Fisch::N,риба,балық
209,Barsch::N,костур,алабұға
210,Hecht::N,щука,шортан
211,Schlange[Tier]::N,змия,жылан
212,Wurm::N,червей,шұбалшаң
213,Spinne::N,паяк,өрмекші
214,Ameise::N,мравка,қүмырска
215,Laus::N,въшка,бит
216,Mücke::N,комар,маса
217,Fliege::N,муха,шыбын
218,Schmetterling::N,пеперуда,көбелек
219,Beere::N,плод,жидек
220,Apfel::N,ябълка,алма
221,Pilz::N,гъба,қозықұйрық
222,Pilz::N,гъба,саңыраукулақ
223,Zwiebel::N,лук,жуа
224,Zwiebel::N,кромид,жуа
225,Saat::N,семе,тұқым
226,Korn::N,зърно,дән
227,Heu::N,сено,шөп
228,Schale::N,кора,қабық
229,Schale::N,кора,қабығы
230,Grube::N,яма,ор
231,Grube::N,дупка,ор
232,Falle::N,примка,дұзақ
233,Falle::N,примка,қақпан
234,Schlinge::N,клуп,ілмек
235,Spur::N,диря,із
236,Spur::N,следа,із
237,Asche::N,пепел,күл
238,Dreck::N,кал,былғаныш
239,Eisen::N,желязо,темір
240,Gold::N,злато,алтын
241,Silber::N,сребро,күміс
242,Kohle::N,въглища,көмір
243,Glas::N,стъкло,шыны
244,Lehm::N,глина,балшық
245,Sand::N,пясък,құм
246,Mensch::N,човек,адам
247,Mann::N,мъж,еркек
248,Mann::N,мъж,ер адам
249,Frau::N,жена,бике
250,Frau::N,жена,қатын
251,Kind::N,дете,бала
252,Kind::N,дете,перзент
253,Junge::N,момче,бала
254,Junge::N,момче,ер бала
255,Mädchen::N,момиче,қыз
256,Familie::N,фамилия,жанұя
257,Familie::N,семейство,жанұя
258,Großvater::N,дядо,ата
259,Großmutter::N,баба,әже
260,Großmutter::N,баба,әжей
261,Eltern::N,родители,ата-аналар
262,Vater::N,баща,әке
263,Mutter::N,майка,ана
264,Sohn::N,син,ұл
265,Tochter::N,дъщеря,қызым
266,Bruder::N,брат,бауырым
267,Schwester::N,сестра,әпке
268,Onkel::N,чичо,көке
269,Onkel::N,вуйчо,көке
270,Tante::N,леля,тәте
271,Ehemann::N,съпруг,ер
272,Ehefrau::N,съпруга,зайып
273,Freude::N,радост,қуаныш
274,Freude::N,радост,сүйініш
275,Freude::N,радост,шат-думан
276,Freude::N,радост,қуаныштылық
277,Gelächter::N,смях,күлу
278,Glück::N,щастие,бақыт
279,Glück::N,щастие,бақыттылық
280,Kummer::N,тъга,аза
281,Kummer::N,тъга,қайғы
282,Kummer::N,тъга,қасырет
283,Wunsch::N,желание,мүдде
284,Lust::N,желание,тәбет
285,Lust::N,желание,ынтызар
286,Lust::N,желание,құштарлық
287,Geist::N,дух,рух
288,Gedanke::N,мисъл,ой
289,Gedächtnis::N,памет,ес
290,Gedächtnis::N,памет,жады
291,Gedächtnis::N,памет,ақыл-ес
292,Verstand::N,ум,ақыл
293,Verstand::N,ум,парасат
294,Verstand::N,разум,ақыл
295,Verstand::N,разум,парасат
296,Sinn::N,смисъл,мән
297,Sinn::N,смисъл,маныз
298,Sinn::N,смисъл,мағына
299,Sinn::N,смисъл,мән-мағына
300,Grund::N,причина,себеп
301,Wahrheit::N,правда,рас
302,Gespräch::N,разговор,әңгіме
303,Märchen::N,приказка,ертеп
304,Märchen::N,приказка,ертек
305,Erzählung::N,разказ,әңгіме
306,Nachricht::N,вест,хабар
307,Nachricht::N,известие,хабар
308,Neuigkeit::N,новина,жаңалық
309,Name::N,име,ат
310,Name::N,име,атау
311,Rätsel::N,гатанка,жұмбақ
312,Rede::N,реч,сөз
313,Rede::N,слово,сөз
314,Sprache::N,език,тіл
315,Stimme::N,глас,үн
316,Stimme::N,глас,әуен
317,Stimme::N,глас,дауыс
318,Wort::N,дума,сөз
319,Zeichen::N,знак,ишара
320,Ruf::N,зов,айғай
321,Lärm::N,шум,айғай-шу
322,Lärm::N,шум,айғай-ұйғай
323,Lärm::N,глъчка,айғай-шу
324,Lärm::N,глъчка,айғай-ұйғай
325,Laut::N,звук,дыбыс
326,Laut::N,звук,дауыс
327,Ton::N,тон,әуен
328,Lied::N,песен,ән
329,Lied::N,песен,жыр
330,Lied::N,песен,ән-жыр
331,Ruhe::N,тишина,тыныштық
332,Ruhe::N,спокойствие,тыныштық
333,Leute::N,хора,кісілер
334,Volk::N,народ,халық
335,Arbeit::N,труд,еңбек
336,Arbeit::N,работа,еңбек
337,Gast::N,гост,қонақ
338,Gast::N,гост,мейман
339,Geschenk::N,дар,қадия
340,Geschenk::N,подарък,қадия
341,Spiel::N,игра,ойын
342,Gesellschaft::N,общество,қауым
343,Gesellschaft::N,общество,жұртшылық
344,Hilfe::N,помощ,жэрдем
345,Freund::N,приятел,дос
346,Kamerad::N,другар,дос-жар
347,Angelegenheit::N,работа,жұмыс
348,Anzahl::N,брой,сан
349,Anzahl::N,брой,саны
350,Anzahl::N,количество,сан
351,Anzahl::N,количество,саны
352,Art::N,вид,түр
353,Stück::N,къс,тілім
354,Stück::N,парче,тілім
355,Teil::N,дял,үлес
356,Teil::N,дял,бөлшек
357,Teil::N,част,үлес
358,Teil::N,част,бөлшек
359,Hälfte::N,половина,жарты
360,Kreis::N,кръг,шеңбер
361,Kreuz::N,кръст,крест
362,Linie::N,черта,сызық
363,Strich::N,щрих,сызық
364,Strich::N,черта,сызық
365,Abstand::N,дистанция,ара
366,Abstand::N,дистанция,аралық
367,Abstand::N,разстояние,ара
368,Abstand::N,разстояние,аралық
369,Entfernung::N,разстояние,аралық
370,Gegend::N,местност,өңір
371,Platz::N,място,орны
372,Ort::N,място,орын
373,Seite::N,страна,жақ
374,Seite::N,страна,бүйір
375,Mitte::N,среда,ортасы
376,Gegenstand::N,предмет,зат
377,Gegenstand::N,предмет,нәрсе
378,Sache::N,вещ,бұйым
379,Rand::N,ръб,шет
380,Rand::N,ръб,шеті
381,Kante::N,ръб,қыр
382,Kante::N,ръб,қыры
383,Kante::N,кант,қыр
384,Kante::N,кант,қыры
385,Ecke::N,ъгъл,қыры
386,Ecke::N,ъгъл,бұрыш
387,Spitze::N,връх,ұшы
388,Spitze::N,острие,ұшы
389,Ende::N,край,аяқ
390,Ende::N,край,соңы
391,Loch::N,дупка,тесік
392,Winkel::N,кът,мүйіс
393,Winkel::N,ъгъл,мүйіс
394,Muster::N,десен,мәнер
395,Muster::N,образец,мәнер
396,Größe::N,големина,ауқым
397,Größe::N,големина,көлемдік
398,Länge::N,дължина,бой
399,Länge::N,дължина,ұзындық
400,Höhe::N,висота,жоғарылық
401,Höhe::N,висота,биіктік
402,Höhe::N,височина,жоғарылық
403,Höhe::N,височина,биіктік
404,Gewicht::N,тегло,салмақ
405,Gewicht::N,тежест,салмақ
406,Menge::N,количество,мөлшер
407,Haufen::N,куп,үйме
408,Haufen::N,куп,үйінді
409,Haufen::N,грамада,үйме
410,Haufen::N,грамада,үйінді
411,Reihe::N,ред,сап
412,Reihe::N,редица,сап
413,Boot::N,лодка,қайық
414,Ruder::N,весло,ескек
415,Ruder::N,гребло,ескек
416,Schlitten::N,шейна,шана
417,Ski::N,ски,шаңғы
418,Lagerfeuer::N,огнище,алау
419,Last::N,товар,ауырлық
420,Last::N,товар,ауыр зат
421,Gang::N,ход,жүріс
422,Gang::N,вървеж,жүріс
423,Schritt::N,стъпка,адым
424,Norden::N,север,солтүстік
425,Norden::N,север,терістік
426,Süden::N,юг,оңтүстік
427,Westen::N,запад,батыс
428,Osten::N,изток,күншығыс
429,Holz::N,дърво,ағаш
430,Holz::N,дърво,сүрек
431,Brett::N,дъска,тақта
432,Stange::N,прът,қада
433,Stange::N,върлина,қада
434,Stock::N,прът,сойыл
435,Stock::N,тояга,сойыл
436,Stab::N,прът,сырық
437,Rohr::N,цев,құбыр
438,Rohr::N,тръба,құбыр
439,Haus::N,къща,үй
440,Heim::N,дом,үйлі
441,Heim::N,дом,шаңырақ
442,Ofen::N,печка,ошақ
443,Ofen::N,печка,пеш
444,Fußboden::N,под,еден
445,Tisch::N,маса,үстел
446,Stuhl::N,стол,орындық
447,Wiege::N,люлка,бесік
448,Bett::N,легло,кереует
449,Bett::N,креват,кереует
450,Regal::N,рафт,сөре
451,Regal::N,етажерка,сөре
452,Kiste::N,кутия,жәшік
453,Kiste::N,сандък,жәшік
454,Fenster::N,прозорец,терезе
455,Tür::N,врата,есік
456,Tor::N,врата,дарбаза
457,Zaun::N,ограда,дуал
458,Dach::N,покрив,шатыр
459,Leiter::N,стълба,саты
460,Leiter::N,стълба,басқыш
461,Besen::N,метла,сыпырғыш
462,Spaten::N,лопата,күрек
463,Schaufel::N,лопата,қалақ
464,Gabel::N,вилица,аша
465,Gabel::N,вилица,шанышқы
466,Löffel::N,лъжица,қасық
467,Messer::N,нож,пышақ
468,Nagel::N,гвоздей,мық
469,Nagel::N,гвоздей,шеге
470,Netz::N,мрежа,керегекөз
471,Haken::N,кука,ілмек
472,Haken::N,закачалка,ілмек
473,Griff::N,ръчка,сап
474,Griff::N,ръчка,тұтқа
475,Griff::N,дръжка,сап
476,Griff::N,дръжка,тұтқа
477,Schloss::N,брава,құлып
478,Schloss::N,брава,бекіткіш
479,Schloss::N,ключалка,құлып
480,Schloss::N,ключалка,бекіткіш
481,Bild::N,картина,сурет
482,Figur::N,фигура,тұлға
483,Puppe::N,кукла,қуыршақ
484,Beutel::N,кесия,қапшық
485,Bündel::N,връзка,байлам
486,Tasche::N,чанта,дорба
487,Eimer::N,кофа,шелек
488,Deckel::N,капак,жапқыш
489,Deckel::N,похлупак,жапқыш
490,Geschirr::N,съдове,ыдыс
491,Sack::N,чувал,қап
492,Tasse::N,чаша,шыныаяқ
493,Topf::N,гърне,кәстрөл
494,Topf::N,тенджера,кәстрөл
495,Kessel::N,котел,қазан
496,Essen::N,ядене,ас
497,Nahrung::N,храна,ас
498,Nahrung::N,храна,тамақ
499,Speise::N,ястие,тағам
500,Fleisch::N,месо,ет
501,Getreide::N,зърнено храни,дәнді
502,Brei::N,каша,ботқа
503,Brot::N,хляб,күлше
504,Scheibe::N,резен,тілім
505,Fett::N,мазнина,май
506,Butter::N,масло,май
507,Öl::N,олио,май
508,Öl::N,оливия,май
509,Salz::N,сол,тұз
510,Suppe::N,супа,көже
511,Honig::N,мед,бал
512,Milch::N,мляко,сүт
513,Tee::N,чай,шай
514,Leder::N,кожа,көн
515,Wolle::N,вълна,жүн
516,Stoff::N,плат,мата
517,Stoff::N,плат,кездеме
518,Stoff::N,материал,мата
519,Stoff::N,материал,кездеме
520,Nadel::N,игла,ине
521,Faden::N,конец,жіп
522,Knopf::N,копче,түйме
523,Knoten::N,възел,түйін
524,Farbe::N,боя,рең
525,Kleidung::N,дрехи,киім
526,Kleidung::N,облекло,киім
527,Hemd::N,риза,жейде
528,Kragen::N,яка,жаға
529,Ärmel::N,ръкав,жең
530,Hose::N,панталони,шалбар
531,Gürtel::N,пояс,белбеу
532,Gürtel::N,колан,белбеу
533,Mütze::N,каскет,қалпақ
534,Mütze::N,фуражка,қалпақ
535,Schuh::N,обувка,кебіс
536,Stiefel::N,ботуш,етік
537,Ring::N,пръстен,жүзік
538,Band::N,лента,таспа
539,Band::N,връзка,таспа
540,Kamm::N,гребен,тарақ
541,Spiegel::N,огледало,айна
542,Riemen::N,каиш,қайыс
543,Riemen::N,ремък,қайыс
544,Schnur::N,връв,жіп
545,Leine::N,връв,тізгін
546,Leine::N,въже,тізгін
547,Decke::N,покривка,көрпе
548,Kissen::N,възглавница,жастық
549,Tuch::N,сукно,орамал
550,Handtuch::N,пешкир,сүлгі
551,Handtuch::N,кърпа за лице,сүлгі
552,Kraft::N,мощ,қуат
553,Kraft::N,мощ,қарқын
554,Kraft::N,мощ,әл-шама
555,Kraft::N,мощ,әл-дәрмен
556,Kraft::N,сила,қуат
557,Kraft::N,сила,қарқын
558,Kraft::N,сила,әл-шама
559,Kraft::N,сила,әл-дәрмен
560,Stärke::N,сила,әл
561,Stärke::N,сила,күш
562,Gesundheit::N,здраве,денсаулык
563,Krankheit::N,болест,ауру
564,Schmerz::N,болка,ауру
565,Wunde::N,рана,зақым
566,Wunde::N,рана,жарақат
567,Fieber::N,треска,безгек
568,Fieber::N,треска,қалтырау
569,Fieber::N,треска,қызу көтерілуі
570,Fieber::N,температура,безгек
571,Fieber::N,температура,қалтырау
572,Fieber::N,температура,қызу көтерілуі
573,Arznei::N,лек,дәрі
574,Arznei::N,лек,дәрі-дәрмек
575,Arznei::N,лекарство,дәрі
576,Arznei::N,лекарство,дәрі-дәрмек
577,Brücke::N,мост,көпір
578,Brunnen::N,чешма,құдық
579,Brunnen::N,кладенец,құдық
580,Weide::N,паша,өріс
581,Weide::N,паша,жайылым
582,Weide::N,пасище,өріс
583,Weide::N,пасище,жайылым
584,Pfad::N,пътека,жол
585,Weg::N,път,жол
586,Straße::N,шосе,жол
587,Dorf::N,село,ауыл
588,Stadt::N,град,қала
589,Stadt::N,град,шаһар
590,Brief::N,писмо,хат
591,Brief::N,писмо,жазу
592,Buch::N,книга,кітап
593,Buchstabe::N,буква,әріп
594,Buchstabe::N,буква,қаріп
595,Zeitung::N,вестник,газет
596,Leben::N,живот,өмір
597,Leben::N,живот,тіршілік
598,Tod::N,смърт,опат
599,Grab::N,гроб,мола
600,Grab::N,гроб,мазар
601,Kirche::N,църква,шіркеу
602,Sünde::N,грях,күнә
603,Gott::N,бог,алла
604,Gott::N,бог,құдай
605,Gott::N,бог,тәңірі
606,Gott::N,бог,пәруардігер
607,Gott::N,бог,жаратқан тәңірі
608,Arbeiter::N,работник,жүмысшы
609,Chef::N,шеф,басшы
610,Chef::N,шеф,жұмыс басқарушысы
611,Chef::N,началник,басшы
612,Chef::N,началник,жұмыс басқарушысы
613,Meister::N,майстор,шебер
614,Meister::N,майстор,өнерпаз
615,Arzt::N,лекар,дәрігер
616,Lehrer::N,учител,мұғалім
617,Geld::N,пари,пұл
618,Geschäft::N,сделка,бизнес
619,Laden::N,дюкян,дүкен
620,Laden::N,магазин,дүкен
621,Preis::N,цена,ақы
622,Preis::N,цена,құны
623,Preis::N,цена,нарық
624,Ware::N,стока,тауар
625,Nutzen::N,полза,пайда
626,Nutzen::N,облага,пайда
627,Reichtum::N,богатство,бақ-дәулет
628,Welt::N,свят,әлем
629,Welt::N,свят,жиһан
630,Land::N,страна,аймақ
631,Staat::N,щат,мемлекет
632,Staat::N,държава,мемлекет
633,König::N,крал,патша
634,Macht::N,мощ,өкімет
635,Macht::N,мощ,қожалық
636,Macht::N,власт,өкімет
637,Macht::N,власт,қожалық
638,Grenze::N,граница,шек
639,Krieg::N,война,соғыс
640,Feind::N,враг,жау
641,Feind::N,враг,дұшпан
642,Feind::N,неприятел,жау
643,Feind::N,неприятел,дұшпан
644,Gewalt::N,сила,зорлык
645,Gewalt::N,сила,зорлық-зомбылык
646,Gewalt::N,насилие,зорлык
647,Gewalt::N,насилие,зорлық-зомбылык
648,Kampf::N,борба,күрес
649,Kampf::N,борба,алыспақ
650,Kampf::N,сражение,күрес
651,Kampf::N,сражение,алыспақ
652,Bogen[Waffe]::N,лък,саржа
653,Pfeil::N,стрела,жебе
654,Gewehr::N,пушка,қару
655,Fehler::N,грешка,әбес
656,Fehler::N,грешка,қаталық
657,Lüge::N,лъжа,өтірік
658,Schaden::N,повреда,зиян
659,Schaden::N,повреда,зарар
660,Unglück::N,нещастие,пәле
661,Unglück::N,нещастие,қасырет
662,Unglück::N,нещастие,ауыртпалық
663,Schuld::N,вина,айыптылық
664,Alter::N,възраст,жас
665,Alter::N,възраст,жас шамасы
666,Schluss::N,край,ада
667,Schluss::N,край,бітуі
668,Zeit::N,време,уақыт
669,Tag::N,ден,күн
670,Morgen::N,утро,таң
671,Morgen::N,утро,таңертең
672,Morgen::N,сутрин,таң
673,Morgen::N,сутрин,таңертең
674,Mittag::N,обед,талтүс
675,Mittag::N,пладне,талтүс
676,Abend::N,вечер,кеш
677,Nacht::N,нощ,түн
678,Woche::N,седмица,апта
679,Monat::N,месец,ай
680,Jahr::N,година,жыл
681,Frühling::N,пролет,көктем
682,Sommer::N,лято,жаз
683,Herbst::N,есен,күз
684,Winter::N,зима,қыс
685,Januar::N,януари,каңтар
686,Februar::N,февруари,ақпан
687,März::N,март,наурыз
688,April::N,април,сәуір
689,Mai::N,май,мамыр
690,Juni::N,юни,маусым
691,Juli::N,юли,шілде
692,August::N,август,сүмбіле
693,August::N,август,тамыз
694,September::N,септември,қыркүйек
695,Oktober::N,октомври,ақырап
696,November::N,ноември,қараша
