,Concept_ID,cy,cs
0,Auge::N,llygad,oko
1,Ohr::N,clust,ucho
2,Nase::N,trwyn,nos
3,Mund::N,ceg,pusa
4,Zahn::N,dant,zub
5,Zunge::N,tafod,jazyk
6,Lippe::N,gwefus,ret
7,Wange::N,boch,tvář
8,Gesicht::N,wyneb,obličej
9,Stirn::N,talcen,čelo
10,Haar::N,blew,vlas
11,Haar::N,blew,vlasy
12,Schnurrbart::N,mwstas,kníry
13,Bart::N,barf,vousy
14,Kinn::N,gên,brada
15,Kiefer[Anatomie]::N,gên,čelist
16,Kehle::N,gwddf,hrdlo
17,Hals::N,gwddf,krk
18,Genick::N,gwar,týl
19,Genick::N,gwegil,týl
20,Kopf::N,pen,hlava
21,Rücken::N,cefn,záda
22,Rücken::N,cefn,hřbet
23,Bauch::N,bol,břicho
24,Nabel::N,bogail,pupek
25,Busen::N,bron,ňadra
26,Brust::N,brest,prsa
27,Schulter::N,ysgwydd,plece
28,Schulter::N,ysgwydd,rameno
29,Arm::N,braich,ruka
30,Ellenbogen::N,penelin,loket
31,Hand::N,llaw,ruka
32,Handfläche::N,palf,dlaň
33,Finger::N,bys,prst
34,Fingernagel::N,ewin,nehet
35,Nagel[Anatomie]::N,ewin,nehet
36,Zeh::N,bys troed,prst u nohy
37,Fuß::N,troed,noha
38,Ferse::N,sawdl,pata
39,Knie::N,glin,koleno
40,Oberschenkel::N,clun,stehno
41,Bein::N,coes,noha
42,Körper::N,corff,tělo
43,Haut::N,croen,kůže
44,Blut::N,gwaed,krev
45,Ader::N,gwythïen,céva
46,Sehne::N,gewyn,šlacha
47,Knochen::N,asgwrn,kost
48,Gehirn::N,ymennydd,mozek
49,Herz::N,calon,srdce
50,Magen::N,cylla,žaludek
51,Magen::N,stumog,žaludek
52,Leber::N,iau,játra
53,Atem::N,anadl,dech
54,Hunger::N,newyn,hlad
55,Träne::N,deigryn,slza
56,Geschmack::N,cyflas,vkus
57,Geruch::N,aroglau,vůně
58,Geruch::N,aroglau,zápach
59,Schlaf::N,cwsg,spánek
