,Concept_ID,se,bn
0,Auge::N,tjelmie,চক্ষু
1,Auge::N,tjalmme,চক্ষু
2,Auge::N,čalbmi,চক্ষু
3,Auge::N,čalme,চক্ষু
4,Auge::N,čâ´lmm,চক্ষু
5,Auge::N,ча̄лльм,চক্ষু
6,Ohr::N,bieljie,কর্ণ
7,Ohr::N,biellje,কর্ণ
8,Ohr::N,beallji,কর্ণ
9,Ohr::N,pelji,কর্ণ
10,Ohr::N,pe´llj,কর্ণ
11,Ohr::N,пе̄лльй,কর্ণ
12,Nase::N,njuenie,নাক
13,Nase::N,njunnje,নাক
14,Nase::N,njunni,নাক
15,Nase::N,njuṇe,নাক
16,Nase::N,njuu´nn,নাক
17,Nase::N,нюннҍ,নাক
18,Mund::N,njaelmie,মুখ
19,Mund::N,njálmme,মুখ
20,Mund::N,njálbmi,মুখ
21,Mund::N,njälmi,মুখ
22,Mund::N,njä´lmm,মুখ
23,Mund::N,ня̄лльм,মুখ
24,Zahn::N,baenie,দাঁত
25,Zahn::N,bádne,দাঁত
26,Zahn::N,bátni,দাঁত
27,Zahn::N,pääṇi,দাঁত
28,Zahn::N,pää´nn,দাঁত
29,Zahn::N,па̄ннҍ,দাঁত
30,Zunge::N,njoektjeme,জিহবা
31,Zunge::N,njuovtjav,জিহবা
32,Zunge::N,njuovčča,জিহবা
33,Zunge::N,njuovčâ,জিহবা
34,Zunge::N,njuhččâm,জিহবা
35,Zunge::N,нюхчем,জিহবা
36,Lippe::N,bangseme,অধর
37,Lippe::N,njálmmerabdda,অধর
38,Lippe::N,bavssa,অধর
39,Lippe::N,poovsâ,অধর
40,Lippe::N,põõus,অধর
41,Lippe::N,пэ̄кс,অধর
42,Wange::N,skiehrie,গণ্ড
43,Wange::N,nierra,গণ্ড
44,Wange::N,muohtu,গণ্ড
45,Wange::N,nieṛâ,গণ্ড
46,Wange::N,njiõrr,গণ্ড
47,Wange::N,нӣрр,গণ্ড
48,Gesicht::N,ååredæjja,মুখমণ্ডল
49,Gesicht::N,muohto,মুখমণ্ডল
50,Gesicht::N,muođut,মুখমণ্ডল
51,Gesicht::N,ámadadju,মুখমণ্ডল
52,Gesicht::N,muáđuh,মুখমণ্ডল
53,Gesicht::N,muâđ,মুখমণ্ডল
54,Gesicht::N,ка̄ссв,মুখমণ্ডল
55,Stirn::N,gaalloe,কপাল
56,Stirn::N,gállo,কপাল
57,Stirn::N,gállu,কপাল
58,Stirn::N,kállu,কপাল
59,Stirn::N,käll,কপাল
60,Stirn::N,вуэххьц,কপাল
61,Haar::N,voepte,চুল
62,Haar::N,vuoppta,চুল
63,Haar::N,vuokta,চুল
64,Haar::N,vuop'tâ,চুল
65,Haar::N,vuõpt,চুল
66,Haar::N,вӯппт,চুল
67,Schnurrbart::N,bijjie-skaavtjoe,গোঁফ
68,Schnurrbart::N,njunjevuolskávttjá,গোঁফ
69,Schnurrbart::N,seamu,গোঁফ
70,Schnurrbart::N,siämu,গোঁফ
71,Schnurrbart::N,ää´bben,গোঁফ
72,Schnurrbart::N,о̄а̄бпан,গোঁফ
73,Bart::N,skaavtja,শ্মশ্রু
74,Bart::N,skaavtjoe,শ্মশ্রু
75,Bart::N,skávttjá,শ্মশ্রু
76,Bart::N,seamu,শ্মশ্রু
77,Bart::N,siämu,শ্মশ্রু
78,Bart::N,seäm,শ্মশ্রু
79,Bart::N,ся̄м,শ্মশ্রু
80,Kinn::N,gaejpie,চিবুক
81,Kinn::N,gájbbe,চিবুক
82,Kinn::N,gáibi,চিবুক
83,Kinn::N,käibi,চিবুক
84,Kinn::N,käi´bb,চিবুক
85,Kinn::N,ка̄ййп,চিবুক
86,Kiefer[Anatomie]::N,gaejpie,চোয়াল
87,Kiefer[Anatomie]::N,oalol,চোয়াল
88,Kiefer[Anatomie]::N,oaloldákte,চোয়াল
89,Kiefer[Anatomie]::N,gáibi,চোয়াল
90,Kiefer[Anatomie]::N,uá'lultähti,চোয়াল
91,Kiefer[Anatomie]::N,vuâl'lõš,চোয়াল
92,Kiefer[Anatomie]::N,вуаллнешш,চোয়াল
93,Kehle::N,gealoe,কণ্ঠ
94,Kehle::N,tjåttå,কণ্ঠ
95,Kehle::N,njiello,কণ্ঠ
96,Kehle::N,čotta,কণ্ঠ
97,Kehle::N,čuudâ,কণ্ঠ
98,Kehle::N,čoodd,কণ্ঠ
99,Kehle::N,чонт,কণ্ঠ
100,Kehle::N,кэ̄ҏс,কণ্ঠ
101,Hals::N,tjeapohke,গল
102,Hals::N,tjiebet,গল
103,Hals::N,čeabet,গল
104,Hals::N,čiäppát,গল
105,Hals::N,čeäppat,গল
106,Hals::N,ча̄пэх,গল
107,Genick::N,tjovrese,ঘাড়
108,Genick::N,nisske,ঘাড়
109,Genick::N,niehkki,ঘাড়
110,Genick::N,niski,ঘাড়
111,Genick::N,niek'ki,ঘাড়
112,Genick::N,nji´šǩǩmaadd,ঘাড়
113,Genick::N,нышшькмоант,ঘাড়
114,Kopf::N,åejjie,মাথা
115,Kopf::N,oajvve,মাথা
116,Kopf::N,oaivi,মাথা
117,Kopf::N,uái'vi,মাথা
118,Kopf::N,vuei´vv,মাথা
119,Kopf::N,вуэййв,মাথা
120,Rücken::N,rudtje,পৃষ্ঠ
121,Rücken::N,hárddo,পৃষ্ঠ
122,Rücken::N,tjavelk,পৃষ্ঠ
123,Rücken::N,sealgi,পৃষ্ঠ
124,Rücken::N,selgi,পৃষ্ঠ
125,Rücken::N,čielgi,পৃষ্ঠ
126,Rücken::N,seä´lǧǧ,পৃষ্ঠ
127,Rücken::N,се̄лльк,পৃষ্ঠ
128,Bauch::N,tjåejjie,উদর
129,Bauch::N,tjoajvve,উদর
130,Bauch::N,čoavji,উদর
131,Bauch::N,čuáv'ji,উদর
132,Bauch::N,čåu´jj,উদর
133,Bauch::N,чо̄ввьй,উদর
134,Nabel::N,naepie,নাভি
135,Nabel::N,náhpe,নাভি
136,Nabel::N,náhpi,নাভি
137,Nabel::N,nääpi,নাভি
138,Nabel::N,nää´pp,নাভি
139,Nabel::N,на̄бпь,নাভি
140,Busen::N,boenge,স্তন
141,Busen::N,bållå,স্তন
142,Busen::N,čižži,স্তন
143,Busen::N,njamma,স্তন
144,Busen::N,njižže,স্তন
145,Busen::N,nje´ǯǯ,স্তন
146,Busen::N,раннҍт,স্তন
147,Brust::N,mïelke,বুক
148,Brust::N,radde,বুক
149,Brust::N,mielgga,বুক
150,Brust::N,raddi,বুক
151,Brust::N,radde,বুক
152,Brust::N,râ´dd,বুক
153,Brust::N,раннҍт,বুক
154,Schulter::N,åelkie,স্কন্ধ
155,Schulter::N,oalgge,স্কন্ধ
156,Schulter::N,hárdu,স্কন্ধ
157,Schulter::N,ärdee,স্কন্ধ
158,Schulter::N,uál'gi,স্কন্ধ
159,Schulter::N,a´rddi,স্কন্ধ
160,Schulter::N,vuä´lǧǧ,স্কন্ধ
161,Schulter::N,вуэллык,স্কন্ধ
162,Arm::N,gïete,বাহু
163,Arm::N,giehta,বাহু
164,Arm::N,giehta,বাহু
165,Arm::N,kietâ,বাহু
166,Arm::N,kie'tâkaaṿâ,বাহু
167,Arm::N,ǩiõtt,বাহু
168,Arm::N,кӣдт,বাহু
169,Ellenbogen::N,gernjere,কনুই
170,Ellenbogen::N,garŋŋel,কনুই
171,Ellenbogen::N,gargŋil,কনুই
172,Ellenbogen::N,käŋŋir,কনুই
173,Ellenbogen::N,kõõnjâr,কনুই
174,Ellenbogen::N,карьнэль,কনুই
175,Hand::N,gïete,হাত
176,Hand::N,giehta,হাত
177,Hand::N,giehta,হাত
178,Hand::N,kietâ,হাত
179,Hand::N,ǩiõtt,হাত
180,Hand::N,кӣдт,হাত
181,Handfläche::N,gïeten-låapoe,করতল
182,Handfläche::N,giehtavuodo,করতল
183,Handfläche::N,tjårmmåvuodo,করতল
184,Handfläche::N,giehtaloahpu,করতল
185,Handfläche::N,kiämád,করতল
186,Handfläche::N,kuámmir,করতল
187,Handfläche::N,kuä´m'mer,করতল
188,Handfläche::N,ǩiõttǩeä´m'men,করতল
189,Handfläche::N,ко̄а̄ллдэгк,করতল
190,Handfläche::N,кӣдткоалдэгк,করতল
191,Finger::N,soerme,আঙ্গুল
192,Finger::N,tjuvdde,আঙ্গুল
193,Finger::N,suorbma,আঙ্গুল
194,Finger::N,čuvde,আঙ্গুল
195,Finger::N,suor'mâ,আঙ্গুল
196,Finger::N,suõrmm,আঙ্গুল
197,Finger::N,це̄ххп,আঙ্গুল
198,Fingernagel::N,gadtse,হাতের নখ
199,Fingernagel::N,guehpere,হাতের নখ
200,Fingernagel::N,gadtsa,হাতের নখ
201,Fingernagel::N,gazza,হাতের নখ
202,Fingernagel::N,kozzâ,হাতের নখ
203,Fingernagel::N,kõʒʒ,হাতের নখ
204,Fingernagel::N,кэ̄ннц,হাতের নখ
205,Nagel[Anatomie]::N,gadtse,নখ
206,Nagel[Anatomie]::N,guehpere,নখ
207,Nagel[Anatomie]::N,gadtsa,নখ
208,Nagel[Anatomie]::N,gazza,নখ
209,Nagel[Anatomie]::N,kozzâ,নখ
210,Nagel[Anatomie]::N,kõʒʒ,নখ
211,Nagel[Anatomie]::N,кэ̄ннц,নখ
212,Zeh::N,tjiehtjere,আঙ্গুল
213,Zeh::N,juolggetjuvdde,আঙ্গুল
214,Zeh::N,juolgesuorbma,আঙ্গুল
215,Zeh::N,jyel'gisuor'mâ,আঙ্গুল
216,Zeh::N,jue´lǧǧsuõrmm,আঙ্গুল
217,Zeh::N,ю̄лльк-це̄һп,আঙ্গুল
218,Fuß::N,juelkie,পা
219,Fuß::N,juolgge,পা
