,Concept_ID,la,mrj
0,Auge::N,oculus,сӹнзӓ
1,Ohr::N,auris,пӹлӹш
2,Nase::N,nasus,нер
3,Mund::N,os,ышма
4,Zahn::N,dens,пӱ
5,Zunge::N,lingua,йӹлмӹ
6,Lippe::N,labrum,тӹрвӹ
7,Wange::N,gena,шӹргӹ
8,Gesicht::N,vultus,лицӓ
9,Stirn::N,frons,лепкӓ
10,Haar::N,capillus,ӱп
11,Schnurrbart::N,barba labri superioris,öрш
12,Bart::N,barba,пандаш
13,Kinn::N,mentum,онгылаш
14,Kiefer[Anatomie]::N,mala,пӱ арата
15,Kehle::N,iugulums,логер
16,Hals::N,collum,шӱ
17,Genick::N,cervices,ланга
18,Kopf::N,caput,вуй
19,Rücken::N,tergum,туп
20,Bauch::N,venter,мӹшкӹр
21,Nabel::N,umbilicus,кӹлӹмдӹ
22,Busen::N,sinus,цӹзӹ
23,Brust::N,pectus,мел
24,Schulter::N,umerus,ӹнгӹжӓ
25,Arm::N,bracchium,кид
26,Ellenbogen::N,cubitum,кӹнервуй
27,Hand::N,manus,лапа
28,Handfläche::N,palma,кид лапа
29,Finger::N,digitus,парня
30,Fingernagel::N,unguiculus,кӹч
31,Nagel[Anatomie]::N,unguis,кӹч
32,Zeh::N,digitus,парня
33,Fuß::N,pes,ял лапа
34,Ferse::N,calx,ялгавал
35,Ferse::N,calx,ял кавал
36,Knie::N,genu,пылвуй
37,Oberschenkel::N,femur,ӓрдӹ
38,Bein::N,crus,ял
39,Körper::N,corpus,монгыр
40,Haut::N,cutis,кавашты
41,Haut::N,pellis,кавашты
42,Blut::N,sanguis,вӹр
43,Ader::N,vena,вӹршӓр
44,Sehne::N,nervus,кукшышӱн
45,Knochen::N,os,лу
46,Gehirn::N,cerebrum,вим
47,Herz::N,cor,шӱм
48,Herz::N,animus,шӱм
49,Magen::N,stomachus,шӱм
50,Leber::N,iecur,мокш
51,Atem::N,spiritus,шӱлӹш
52,Hunger::N,fames,шужымаш
53,Träne::N,lacrima,сӹнзӓвӹд
54,Geschmack::N,sapor,тот
55,Geschmack::N,gustus,тот
56,Geruch::N,odor,пыш
57,Schlaf::N,somnus,ом
58,Traum::N,somnium,ом
59,Himmel::N,caelum,пӹлгом
60,Sonne::N,sol,кечӹ
61,Mond::N,luna,тӹлзӹ
62,Stern::N,sidus,шӹдӹр
63,Stern::N,stella,шӹдӹр
64,Luft::N,aer,юж
65,Luft::N,aer,воздух
66,Wind::N,ventus,мардеж
67,Welle::N,unda,ко
68,Welle::N,unda,коэ
69,Wasser::N,aqua,вӹд
70,Stein::N,lapis,кӱ
71,Boden::N,solum,рок
72,Erde::N,terra,свет
73,Staub::N,pulvis,пырак
74,Rauch::N,fumus,шӹкш
75,Funke::N,scintilla,ип
76,Funke::N,scintilla,тылип
77,Feuer::N,ignis,тыл
78,Licht::N,lux,соты
79,Licht::N,lux,валгыды
80,Licht::N,lumen,соты
81,Licht::N,lumen,валгыды
82,Schatten::N,umbra,ӹмӹл
83,Wetter::N,caelum,игечӹ
84,Wetter::N,tempestas,игечӹ
85,Nebel::N,nebula,тӹтӹрӓ
86,Wolke::N,nubes,пӹл
87,Regen::N,imber,юр
88,Regen::N,pluvia,юр
89,Schnee::N,nix,лым
90,Eis::N,glacies,и
91,Frost::N,gelu,ӱштӹ
92,Kälte::N,frigus,ӱштӹ
93,Hitze::N,calor,шокшы
94,Hitze::N,aestus,шокшы
95,Raureif::N,pruina,пöрш
96,Regenbogen::N,arcus,шанавӹл
