,Concept_ID,eu,lez
0,Auge::N,begi,вил
1,Ohr::N,belarri,яб
2,Nase::N,sudur,нер
3,Mund::N,aho,сив
4,Zahn::N,hortz,сас
5,Zahn::N,hortz,свах
6,Zunge::N,mihi,мез
7,Lippe::N,ezpain,пӏуз
8,Wange::N,masail,хъвехъ
9,Gesicht::N,aurpegi,ччин
10,Stirn::N,bekoki,пел
11,Haar::N,ile,чӏар
12,Haar::N,bilo,чӏар
13,Schnurrbart::N,bibote,спел
14,Schnurrbart::N,bibote,спелар
15,Schnurrbart::N,sudurpeko,спел
16,Schnurrbart::N,sudurpeko,спелар
17,Bart::N,bizar,ччуру
18,Kinn::N,kokots,чене
19,Kiefer[Anatomie]::N,masailezur,чене
20,Kehle::N,eztarri,туьд
21,Hals::N,sama,гардан
22,Genick::N,garondo,кьам
23,Kopf::N,buru,кьил
24,Rücken::N,bizkar,далу
25,Bauch::N,sabel,руфун
26,Nabel::N,zilbor,пицӏ
27,Busen::N,titi,мам
28,Busen::N,ugatz,мам
29,Brust::N,bular,хур
30,Schulter::N,besaburu,къуьн
31,Arm::N,beso,гъил
32,Ellenbogen::N,ukondo,кьуьнт
33,Hand::N,esku,капаш
34,Handfläche::N,ahur,капан юкь
35,Finger::N,hatz,тӏуб
36,Fingernagel::N,azazkal,кек
37,Nagel[Anatomie]::N,azazkal,кек
38,Zeh::N,behatz,кул
39,Fuß::N,oin,кӏвач
40,Ferse::N,orpo,дабан
41,Ferse::N,oinburu,дабан
42,Knie::N,belaun,мет
43,Oberschenkel::N,izter,
44,Bein::N,zango,кӏвач
45,Körper::N,soin,беден
46,Haut::N,azal,хам
47,Blut::N,odol,иви
48,Ader::N,zain,дамар
49,Sehne::N,gihar-zain,кьуру дамар
50,Knochen::N,hezur,кӏараб
51,Gehirn::N,garun,мефт
52,Gehirn::N,burmuin,мефт
53,Herz::N,bihotz,рикӏ
54,Magen::N,urdail,хук
55,Leber::N,gibel,лекь
56,Atem::N,hats,ял
57,Atem::N,hats,нефес
58,Atem::N,arnasa,ял
59,Atem::N,arnasa,нефес
60,Hunger::N,gose,каш
61,Träne::N,malko,вилин нагъв
62,Geschmack::N,dasta,дад
63,Geschmack::N,dasta,тӏям
64,Geruch::N,usain,ни
65,Schlaf::N,lo,ахвар
66,Traum::N,amets,ахвар
67,Himmel::N,zeru,цав
68,Sonne::N,eguzki,рагъ
69,Mond::N,ilargi,варз
70,Stern::N,izar,гъед
71,Luft::N,aire,гьава
72,Wind::N,haize,гар
73,Welle::N,uhin,лепе
74,Welle::N,olatu,лепе
75,Wasser::N,ur,яд
76,Stein::N,harri,къван
77,Boden::N,lur,накьв
78,Boden::N,zoru,накьв
79,Erde::N,lur,ччил
80,Staub::N,hauts,руг
81,Rauch::N,ke,гум
82,Funke::N,zirta,цӏелхем
83,Funke::N,txinparta,цӏелхем
84,Feuer::N,su,цӏай
85,Licht::N,argi,экв
86,Schatten::N,itzal,серин
87,Schatten::N,geriza,серин
88,Wetter::N,eguraldi,гьава
89,Nebel::N,laino,ччилин циф
90,Wolke::N,hodei,циф
91,Regen::N,euri,марф
92,Schnee::N,elur,жив
93,Eis::N,horma,мурк
94,Frost::N,izotzaldi,аяз
95,Kälte::N,hotz,мекь
96,Kälte::N,hotz,мекьивал
97,Hitze::N,bero,зегьем
98,Raureif::N,antzigar,къирав
99,Regenbogen::N,ostadar,яргъируш
100,Regenbogen::N,ortzadar,яргъируш
101,Donner::N,ostots,цавун ван
