,Concept_ID,lbe,lt
0,Auge::N,я,akis
1,Ohr::N,вичӏи,ausis
2,Nase::N,май,nosis
3,Mund::N,кьацӏ,burna
4,Zahn::N,ккарччи,dantis
5,Zunge::N,маз,liežuvis
6,Lippe::N,мурччи,lūpa
7,Wange::N,чӏав,žandas
8,Wange::N,чӏав,skruostas
9,Gesicht::N,лажин,veidas
10,Stirn::N,ненттабакӏ,kakta
11,Haar::N,чӏара,plaukai
12,Schnurrbart::N,ссирссилтту,ūsai
13,Bart::N,чӏири,barzda
14,Kinn::N,лунттубакӏ,smakras
15,Kiefer[Anatomie]::N,ххинчулул,žandikaulis
16,Kehle::N,кьакьари,gerklė
17,Hals::N,ссурссу,kaklas
18,Genick::N,махъабакӏ,sprandas
19,Kopf::N,бакӏ,galva
20,Rücken::N,ттиликӏ,nugara
21,Bauch::N,лякьа,pilvas
22,Nabel::N,цӏумуккутӏ,bamba
23,Busen::N,ккукку,krūtinė
24,Brust::N,хъазам,krūtis
25,Schulter::N,хъачӏ,petys
26,Arm::N,ка,ranka
27,Ellenbogen::N,ссюрхъ,alkūnė
28,Hand::N,бартка,ranka
29,Hand::N,бартка,plaštaka
30,Handfläche::N,хъат,delnas
31,Handfläche::N,хъат,plaštaka
32,Handfläche::N,битӏянхъ,delnas
33,Handfläche::N,битӏянхъ,plaštaka
34,Finger::N,кӏисса,pirštas
35,Fingernagel::N,михь,nagas
36,Nagel[Anatomie]::N,михь,nagas
37,Zeh::N,кӏисса,pirštas
38,Fuß::N,чӏанччан,pėda
39,Ferse::N,никъа,kulnas
40,Knie::N,ник,kelis
41,Oberschenkel::N,жира,kulšis
42,Oberschenkel::N,жира,šlaunis
43,Bein::N,ччан,koja
44,Körper::N,чурх,kūnas
45,Haut::N,бурчу,oda
46,Blut::N,оь,kraujas
47,Ader::N,тунну,kraujagyslė
48,Sehne::N,хьхьа,sausgyslė
49,Knochen::N,ттаркӏ,kaulas
50,Gehirn::N,ня,smegenys
51,Herz::N,дакӏ,širdis
52,Herz::N,къюкӏ,širdis
53,Magen::N,лякьа,skrandis
54,Atem::N,ссихӏ ласаву,kvapas
55,Atem::N,ссихӏ бигьаву,kvapas
56,Hunger::N,ккаши,badas
57,Hunger::N,ккаши,alkis
58,Träne::N,макь,ašara
59,Geschmack::N,тӏин,skonis
60,Geschmack::N,тӏааьн,skonis
61,Geruch::N,кьанкь,kvapas
62,Schlaf::N,шану,miegas
63,Traum::N,макӏру,sapnas
64,Himmel::N,ссав,dangus
65,Sonne::N,баргъ,saulė
66,Mond::N,барз,mėnulis
67,Stern::N,цӏуку,žvaigždė
68,Luft::N,гьава,oras
69,Wind::N,марч,vėjas
70,Welle::N,щатӏи,banga
71,Welle::N,щатӏи,vilnis
72,Wasser::N,щин,vanduo
73,Stein::N,чару,akmuo
74,Boden::N,аьрщи,žemė
75,Boden::N,аьрщи,dugnas
76,Erde::N,аьрщи,žemė
77,Staub::N,ххит,dulkės
78,Rauch::N,пуркӏу,dūmai
79,Funke::N,пиягь,kibirkštis
80,Feuer::N,цӏу,ugnis
81,Licht::N,чани,šviesa
82,Schatten::N,ххют,paūksmė
83,Wetter::N,гьава,oras
84,Nebel::N,шархь ттурлу,migla
85,Nebel::N,шархь ттурлу,rūkas
86,Wolke::N,ттурлу,debesis
87,Regen::N,гъарал,lietus
88,Schnee::N,марххала,sniegas
89,Eis::N,микӏ,ledas
90,Frost::N,дяркъу,šalna
91,Frost::N,замгьар,šalna
92,Kälte::N,дяркъу,šaltis
93,Hitze::N,кӏиришиву,karštis
94,Raureif::N,сил,šerkšnas
95,Raureif::N,бурса,šerkšnas
96,Regenbogen::N,ссурул ккуртта,vaivorykštė
97,Donner::N,къув,perkūnas
98,Donner::N,къув,griaustinis
99,Strömung::N,экьинанаву,tėkmė
100,Tropfen::N,кӏунтӏ,lašas
101,Schaum::N,хьама,putos
102,Schmutz::N,кьяркьи,purvas
103,See::N,бяр,ežeras
104,Sumpf::N,кунцӏа,klampynė
105,Sumpf::N,кунцӏа,liūnas
106,Wiese::N,кьан,pieva
107,Wald::N,вацӏа,miškas
108,Hügel::N,бакӏу,kalva
109,Berg::N,зунтту,kalnas
110,Gipfel::N,мицӏ,viršūnė
111,Höhle::N,нух,ola
112,Abhang::N,сун,šlaitas
113,Abhang::N,сун,nuokalnė
114,Quelle::N,дайдихьу,versmė
115,Quelle::N,дайдихьу,šaltinis
116,Quelle::N,бакӏ,versmė
117,Quelle::N,бакӏ,šaltinis
118,Bach::N,чӏрир нех,upelis
119,Fluss::N,нех,upė
120,Ufer::N,зума,krantas
121,Küste::N,зумаинхалу,pajūris
122,Küste::N,зуманицӏалу,pajūris
123,Festland::N,кьири,sausuma
124,Meer::N,хьхьири,jūra
125,Insel::N,жазира,sala
126,Blume::N,тӏутӏи,gėlė
127,Gras::N,уртту,žolė
128,Wurzel::N,мархха,šaknis
129,Baum::N,мурхь,medis
130,Stamm::N,ттарцӏ,kamienas
131,Rinde::N,ккамара,žievė
132,Ast::N,матӏи,šaka
