,Concept_ID,uk,hr
0,Auge::N,око,oko
1,Ohr::N,вухо,uho
2,Nase::N,ніс,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,zub
5,Zunge::N,язик,jezik
6,Lippe::N,губа,usna
7,Wange::N,щока,obraz
8,Gesicht::N,обличчя,lice
9,Stirn::N,лоб,čelo
10,Haar::N,волосся,kosa
11,Schnurrbart::N,вуса,brkovi
12,Bart::N,борода,brada
13,Kinn::N,підборіддя,brada
14,Kinn::N,підборіддя,podbradak
15,Kiefer[Anatomie]::N,щелепа,čeljust
16,Kehle::N,горло,grlo
17,Hals::N,шия,vrat
18,Genick::N,потилиця,zatiljak
19,Kopf::N,голова,glava
20,Rücken::N,спина,leđa
21,Rücken::N,спина,hrbat
22,Bauch::N,живіт,trbuh
23,Nabel::N,пупок,pupak
24,Busen::N,груди,sisa
25,Busen::N,груди,njedra
26,Brust::N,груди,prsa
27,Schulter::N,плече,rame
28,Schulter::N,плече,pleći
29,Arm::N,рука,ruka
30,Ellenbogen::N,лікоть,lakat
31,Hand::N,рука,ruka
32,Handfläche::N,долоня,dlan
33,Finger::N,палець,prst
34,Fingernagel::N,ніготь,nokat
35,Nagel[Anatomie]::N,ніготь,nokat
36,Zeh::N,палець на нозі,nozni prst
37,Fuß::N,нога,noga
38,Fuß::N,нога,stopalo
39,Ferse::N,п’ятка,peta
40,Knie::N,коліно,koljeno
41,Oberschenkel::N,стегно,bedro
42,Bein::N,нога,noga
43,Körper::N,тіло,tijelo
44,Haut::N,шкіра,put
45,Haut::N,шкіра,koža
46,Blut::N,кров,krv
47,Ader::N,вена,žila
48,Sehne::N,сухожилля,tetiva
49,Knochen::N,кістка,kost
50,Gehirn::N,мозок,
51,Herz::N,серце,srce
52,Magen::N,шлунок,stomak
53,Magen::N,шлунок,želudac
54,Leber::N,печінка,jetra
55,Atem::N,дихання,dah
56,Hunger::N,голод,glad
57,Träne::N,сльоза,suza
58,Geschmack::N,смак,ukus
59,Geruch::N,запах,njuh
60,Geruch::N,запах,miris
61,Schlaf::N,сон,san
62,Schlaf::N,сплячка,san
63,Traum::N,сон,san
64,Himmel::N,небо,nebo
65,Sonne::N,сонце,sunce
66,Mond::N,місяць,mjesec
67,Stern::N,зірка,zvijezda
68,Luft::N,повітря,zrak
69,Wind::N,вітер,vjetar
70,Welle::N,хвиля,val
71,Welle::N,хвиля,talas
72,Wasser::N,вода,voda
73,Stein::N,камінь,kamen
74,Boden::N,ґрунт,tlo
75,Boden::N,ґрунт,zemlja
76,Erde::N,земля,zemlja
77,Staub::N,пил,prah
78,Staub::N,пил,prašina
79,Rauch::N,дим,dim
80,Funke::N,іскра,iskra
81,Funke::N,іскра,varnica
82,Feuer::N,вогонь,vatra
83,Licht::N,світло,svjetlo
84,Schatten::N,тінь,hlad
85,Schatten::N,тінь,sjena
86,Wetter::N,погода,vrijeme
87,Nebel::N,туман,magla
88,Wolke::N,хмара,oblak
89,Regen::N,дощ,kiša
90,Schnee::N,сніг,snijeg
91,Eis::N,лід,led
92,Frost::N,мороз,mraz
93,Kälte::N,холод,studen
94,Kälte::N,холод,hladnoća
95,Hitze::N,жар,vrućina
96,Raureif::N,іній,inje
97,Regenbogen::N,райдуга,duga
98,Donner::N,грім,grom
99,Donner::N,грім,grmljavina
100,Strömung::N,струмина,struja
101,Strömung::N,струмина,strujanje
102,Tropfen::N,крапля,kap
103,Tropfen::N,крапля,kaplja
104,Schaum::N,піна,pjena
105,Schmutz::N,бруд,nečistoća
106,Schmutz::N,бруд,prljavština
107,See::N,озеро,jezero
108,Sumpf::N,драговина,bara
109,Moor::N,болото,močvara
110,Wiese::N,луг,livada
111,Wiese::N,лука,livada
112,Wald::N,ліс,šuma
113,Hügel::N,горб,brijeg
114,Hügel::N,горб,brežuljak
115,Anhöhe::N,височина,uzvišica
116,Berg::N,гора,brdo
117,Gipfel::N,вершина,vrh
118,Höhle::N,печера,pećina
119,Höhle::N,печера,spilja
120,Abhang::N,схил,obronak
121,Abhang::N,схил,nizbrdica
122,Quelle::N,джерело,izvor
123,Quelle::N,джерело,vrelo
124,Bach::N,струмок,potok
125,Fluss::N,річка,rijeka
126,Ufer::N,берег,obala
127,Küste::N,узбережжя,obala
128,Küste::N,узбережжя,morska obala
129,Festland::N,суша,kopno
130,Meer::N,море,more
131,Bucht::N,бухта,zaliv
132,Bucht::N,затока,zaliv
133,Insel::N,острів,ada
134,Insel::N,острів,otok
135,Blume::N,квітка,cvijet
136,Gras::N,трава,trava
137,Wurzel::N,корінь,korijen
138,Baum::N,дерево,drvo
139,Baum::N,дерево,stablo
140,Stamm::N,стовбур,deblo
141,Stamm::N,стовбур,stablo
142,Rinde::N,кора,kora
143,Ast::N,гілка,grana
144,Zweig::N,галузь,grana
145,Blatt::N,лист,list
146,Birke::N,береза,breza
