,Concept_ID,sv,lbe
0,Auge::N,öga,я
1,Ohr::N,öra,вичӏи
2,Nase::N,näsa,май
3,Mund::N,mun,кьацӏ
4,Zahn::N,tand,ккарччи
5,Zunge::N,tunga,маз
6,Lippe::N,läpp,мурччи
7,Wange::N,kind,чӏав
8,Gesicht::N,syn,лажин
9,Gesicht::N,ansikte,лажин
10,Stirn::N,panna,ненттабакӏ
11,Haar::N,hår,чӏара
12,Schnurrbart::N,mustasch,ссирссилтту
13,Bart::N,skägg,чӏири
14,Kinn::N,haka,лунттубакӏ
15,Kiefer[Anatomie]::N,käke,ххинчулул
16,Kehle::N,strupe,кьакьари
17,Hals::N,hals,ссурссу
18,Genick::N,nacke,махъабакӏ
19,Kopf::N,huvud,бакӏ
20,Rücken::N,rygg,ттиликӏ
21,Bauch::N,buk,лякьа
22,Bauch::N,mage,лякьа
23,Nabel::N,navel,цӏумуккутӏ
24,Busen::N,barm,ккукку
25,Brust::N,bröst,хъазам
26,Schulter::N,skuldra,хъачӏ
27,Arm::N,arm,ка
28,Ellenbogen::N,armbåge,ссюрхъ
29,Hand::N,hand,бартка
30,Handfläche::N,handflata,хъат
31,Handfläche::N,handflata,битӏянхъ
32,Finger::N,finger,кӏисса
33,Fingernagel::N,fingernagel,михь
34,Nagel[Anatomie]::N,nagel,михь
35,Zeh::N,tå,кӏисса
36,Fuß::N,fot,чӏанччан
37,Ferse::N,häl,никъа
38,Knie::N,knä,ник
39,Oberschenkel::N,lår,жира
40,Bein::N,ben,ччан
41,Körper::N,kropp,чурх
42,Haut::N,hud,бурчу
43,Haut::N,skinn,бурчу
44,Blut::N,blod,оь
45,Ader::N,åder,тунну
46,Sehne::N,sena,хьхьа
47,Knochen::N,ben,ттаркӏ
48,Gehirn::N,hjärna,ня
49,Herz::N,hjärta,дакӏ
50,Herz::N,hjärta,къюкӏ
51,Magen::N,mage,лякьа
52,Leber::N,lever,
53,Atem::N,anda,ссихӏ ласаву
54,Atem::N,anda,ссихӏ бигьаву
55,Atem::N,andedräkt,ссихӏ ласаву
56,Atem::N,andedräkt,ссихӏ бигьаву
57,Hunger::N,svält,ккаши
58,Hunger::N,hunger,ккаши
59,Träne::N,tår,макь
60,Geschmack::N,smak,тӏин
61,Geschmack::N,smak,тӏааьн
62,Geruch::N,lukt,кьанкь
63,Schlaf::N,sömn,шану
