,Concept_ID,hr,cv
0,Auge::N,oko,куҫ
1,Ohr::N,uho,хӑлха
2,Nase::N,nos,сӑмса
3,Mund::N,usta,ҫӑвар
4,Zahn::N,zub,шӑл
5,Zunge::N,jezik,чӗлхе
6,Lippe::N,usna,тута
7,Wange::N,obraz,пит ҫӑмарти
8,Gesicht::N,lice,пит
9,Gesicht::N,lice,пит-куҫ
10,Stirn::N,čelo,ҫамка
11,Haar::N,kosa,ҫӳҫ
12,Schnurrbart::N,brkovi,усси
13,Bart::N,brada,сухал
14,Kinn::N,brada,янах
15,Kinn::N,podbradak,янах
16,Kiefer[Anatomie]::N,čeljust,янах
17,Kehle::N,grlo,пыр
18,Kehle::N,grlo,карланкӑ
19,Hals::N,vrat,пыр
20,Genick::N,zatiljak,ӗнсе
21,Kopf::N,glava,пуҫ
22,Rücken::N,leđa,ҫурӑм
23,Rücken::N,hrbat,ҫурӑм
24,Bauch::N,trbuh,
25,Nabel::N,pupak,кӑвапа
26,Busen::N,sisa,кӑкӑр
27,Busen::N,njedra,кӑкӑр
28,Brust::N,prsa,умӗ
29,Schulter::N,rame,хул пуҫҫи
30,Schulter::N,pleći,хул пуҫҫи
31,Arm::N,ruka,алӑ
32,Ellenbogen::N,lakat,чавса
33,Hand::N,ruka,алӑ сыппи
34,Handfläche::N,dlan,ал лаппи
35,Finger::N,prst,пӳрне
36,Fingernagel::N,nokat,чӗрне
37,Nagel[Anatomie]::N,nokat,чӗрне
38,Zeh::N,nozni prst,пӳрне
39,Fuß::N,noga,ура лаппи
40,Fuß::N,stopalo,ура лаппи
41,Ferse::N,peta,кӗле
42,Knie::N,koljeno,чӗркуҫҫи
43,Oberschenkel::N,bedro,пӗҫӗ
44,Bein::N,noga,ура
45,Körper::N,tijelo,ӳт
46,Körper::N,tijelo,ӳт-пӳ
47,Haut::N,put,тир
48,Haut::N,koža,тир
49,Blut::N,krv,юн
50,Ader::N,žila,вена
51,Sehne::N,tetiva,шӑнӑр
52,Knochen::N,kost,шӑмӑ
53,Herz::N,srce,чӗре
54,Magen::N,stomak,хырӑмлӑх
55,Magen::N,želudac,хырӑмлӑх
56,Leber::N,jetra,пӗвер
57,Atem::N,dah,сывлав
58,Hunger::N,glad,выҫлӑх
59,Träne::N,suza,куҫҫуль
60,Geschmack::N,ukus,техӗм
61,Geruch::N,njuh,шӑршӑ
62,Geruch::N,miris,шӑршӑ
63,Schlaf::N,san,ыйхӑ
64,Traum::N,san,тӗлӗк
65,Himmel::N,nebo,пӗлӗт
66,Sonne::N,sunce,хӗвел
67,Mond::N,mjesec,уйӑх
