,Concept_ID,lbe,ku
0,Auge::N,я,çav
1,Ohr::N,вичӏи,guh
2,Nase::N,май,bêvil
3,Mund::N,кьацӏ,dev
4,Zahn::N,ккарччи,didan
5,Zunge::N,маз,ziman
6,Lippe::N,мурччи,lêv
7,Wange::N,чӏав,dêm
8,Wange::N,чӏав,hinarik
9,Gesicht::N,лажин,rû
10,Stirn::N,ненттабакӏ,enî
11,Haar::N,чӏара,por
12,Schnurrbart::N,ссирссилтту,simbêl
13,Bart::N,чӏири,rih
14,Kinn::N,лунттубакӏ,zenî
15,Kiefer[Anatomie]::N,ххинчулул,arguşk
16,Kehle::N,кьакьари,qirik
17,Hals::N,ссурссу,stû
18,Hals::N,ссурссу,qirik
19,Genick::N,махъабакӏ,stû
20,Kopf::N,бакӏ,serî
21,Rücken::N,ттиликӏ,pişt
22,Bauch::N,лякьа,ûr
23,Bauch::N,лякьа,zik
24,Nabel::N,цӏумуккутӏ,navik
25,Busen::N,ккукку,sîng
26,Brust::N,хъазам,sîng
27,Schulter::N,хъачӏ,mil
28,Arm::N,ка,çepil
29,Ellenbogen::N,ссюрхъ,enîşk
30,Hand::N,бартка,dest
31,Handfläche::N,хъат,kefadest
32,Handfläche::N,битӏянхъ,kefadest
33,Finger::N,кӏисса,tilî
34,Fingernagel::N,михь,neynuk
35,Nagel[Anatomie]::N,михь,bizmar
36,Zeh::N,кӏисса,tilî linga
37,Fuß::N,чӏанччан,ling
38,Ferse::N,никъа,pahnî
39,Knie::N,ник,kabok
40,Oberschenkel::N,жира,rahn
41,Bein::N,ччан,çip
42,Körper::N,чурх,laş
43,Körper::N,чурх,gowde
44,Haut::N,бурчу,çerm
45,Blut::N,оь,xwîn
46,Ader::N,тунну,reh
47,Sehne::N,хьхьа,reh
48,Knochen::N,ттаркӏ,hestî
49,Gehirn::N,ня,mêjî
50,Herz::N,дакӏ,dil
51,Herz::N,къюкӏ,dil
52,Magen::N,лякьа,navêş
53,Atem::N,ссихӏ ласаву,hilm
54,Atem::N,ссихӏ бигьаву,hilm
55,Hunger::N,ккаши,birçîtî
56,Träne::N,макь,hêstir
57,Geschmack::N,тӏин,tam
58,Geschmack::N,тӏааьн,tam
59,Geruch::N,кьанкь,bêhn
60,Schlaf::N,шану,xew
61,Traum::N,макӏру,xewn
62,Himmel::N,ссав,ezman
63,Sonne::N,баргъ,roj
64,Mond::N,барз,heyv
65,Stern::N,цӏуку,stêrk
66,Luft::N,гьава,ba
67,Wind::N,марч,ba
68,Welle::N,щатӏи,şewl
69,Wasser::N,щин,av
70,Stein::N,чару,kevir
71,Boden::N,аьрщи,herd
72,Erde::N,аьрщи,ax
73,Staub::N,ххит,toz
74,Rauch::N,пуркӏу,dû
75,Funke::N,пиягь,çirûşk
76,Feuer::N,цӏу,agir
77,Licht::N,чани,ronahî
78,Schatten::N,ххют,sî
79,Wetter::N,гьава,hewa
80,Nebel::N,шархь ттурлу,mij
81,Wolke::N,ттурлу,ewr
82,Regen::N,гъарал,baran
83,Schnee::N,марххала,berf
84,Eis::N,микӏ,qeşa
85,Frost::N,дяркъу,xûsik
86,Frost::N,замгьар,xûsik
87,Kälte::N,дяркъу,serma
88,Hitze::N,кӏиришиву,germayî
89,Raureif::N,сил,şext
90,Raureif::N,бурса,şext
91,Regenbogen::N,ссурул ккуртта,heftreng
92,Donner::N,къув,gire-gir
93,Strömung::N,экьинанаву,şewl
94,Tropfen::N,кӏунтӏ,dilop
95,Schaum::N,хьама,kef
96,Schmutz::N,кьяркьи,gemar
97,See::N,бяр,gol
98,Sumpf::N,кунцӏа,hezek
99,Wiese::N,кьан,sûrik
100,Wald::N,вацӏа,çiya
101,Wald::N,вацӏа,daristan
102,Hügel::N,бакӏу,gir
103,Berg::N,зунтту,kaş
104,Gipfel::N,мицӏ,sere gir
105,Höhle::N,нух,şikeft
106,Abhang::N,сун,kaş
107,Quelle::N,дайдихьу,kanî
108,Quelle::N,бакӏ,kanî
109,Bach::N,чӏрир нех,çem
110,Fluss::N,нех,çem
111,Fluss::N,нех,rûbar
112,Ufer::N,зума,kevî
113,Küste::N,зумаинхалу,berav
114,Küste::N,зуманицӏалу,berav
115,Festland::N,кьири,bejahî
116,Meer::N,хьхьири,behr
117,Insel::N,жазира,girav
118,Blume::N,тӏутӏи,kulînk
119,Gras::N,уртту,giha
120,Wurzel::N,мархха,reh
121,Baum::N,мурхь,dar
122,Stamm::N,ттарцӏ,bavik
123,Rinde::N,ккамара,qaqil
124,Ast::N,матӏи,gulî
125,Zweig::N,къяртта,şax
126,Blatt::N,чӏапӏи,pel
127,Birke::N,кӏялахӏи,dara sipî
128,Birke::N,кӏялахӏилул мурхь,dara sipî
129,Kiefer[Baum]::N,ттар,dara bî
130,Kiefer[Baum]::N,ттарлил мурхь,dara bî
131,Weide[Baum]::N,щавщи,dara belalûk
132,Tanne::N,ттарлил мурхь,merx
133,Horn::N,хъи,strô
134,Feder::N,лелуххул тӏиму,pîrtîk
135,Fell::N,бурчу,heyar
136,Flügel::N,хъа,per
137,Flügel::N,ххурупӏайрал тӏиму,per
138,Klaue::N,михь,napîk
139,Kralle::N,ххяппа,dinik
140,Kralle::N,ххяппа,dirnax
141,Schwanz::N,магъ,dûv
142,Ei::N,ккунук,hêk
143,Nest::N,кюру,hêlîn
144,Bau::N,цукъуккутӏ,avahî
145,Tier::N,хӏайван,heywan
146,Herde::N,газу,hoz
147,Kuh::N,оьл,çêlek
148,Bulle::N,ниц,ga
149,Pferd::N,чу,hesp
150,Schaf::N,тта,mîh
151,Schwein::N,дунгъуз,beraz
152,Hund::N,ккаччи,seh
153,Katze::N,ччиту,pişîk
154,Bär::N,цуша,hirç
155,Eichhörnchen::N,бюрхттукку,pilûr
156,Elch::N,ниц-бюрин,pazkovî
157,Fuchs::N,цулчӏа,rovî
158,Fuchs::N,куча цулчӏа,rovî
159,Hase::N,бюрх,kîroşk
160,Maus::N,кӏулу,mişk
161,Wolf::N,барцӏ,gur
162,Vogel::N,лелуххи,çûk
163,Schwarm::N,гьухъала,lufik
164,Huhn::N,аьнакӏи,mirîşk
165,Hahn::N,ажари,dîk
166,Gans::N,къаз,qaz
167,Adler::N,барзу,eylo
168,Ente::N,урдак,werdek
169,Eule::N,ису,bûm
170,Eule::N,ису,kund
171,Eule::N,ччиккумяв,bûm
172,Eule::N,ччиккумяв,kund
173,Kranich::N,кьурукь,quling
174,Krähe::N,хъатӏу,qijik
175,Kuckuck::N,ччикку,pepûk
176,Schwan::N,урттил къаз,qû
177,Fisch::N,чавахъ,masî
178,Schlange[Tier]::N,шатта,mar
179,Wurm::N,кьюнукьай шатта,kurm
180,Spinne::N,ххялцу,pîrê
181,Ameise::N,митӏикьукьу,mîro
182,Ameise::N,митӏикьукьу,gêrîk
183,Mücke::N,мичӏак,mêş
184,Fliege::N,зимиз,mêş
185,Schmetterling::N,чӏимучӏали,perperîk
186,Beere::N,хӏаллил ахъулсса,hirç
187,Apfel::N,гьивч,sêv
188,Pilz::N,ттуккул иис,bîrov
189,Zwiebel::N,лаччул чсмусул бакӏ,pîvaz
190,Saat::N,гьанна,tov
191,Korn::N,къама,dexl
192,Heu::N,ххулув,sap
193,Schale::N,ккиртту,qaşik
194,Grube::N,кӏаланг,çahl
195,Falle::N,къатӏа,dafik
196,Schlinge::N,хӏатӏ,dahf
197,Spur::N,ша,rêç
198,Asche::N,лах,xweli
199,Dreck::N,кьяркьи,gemarî
200,Dreck::N,венп,gemarî
201,Eisen::N,мах,hesing
202,Gold::N,муси,zêr
203,Silber::N,арцу,zîv
204,Kohle::N,кӏалаш,komir
205,Kohle::N,хъуручӏ,komir
206,Glas::N,пюрун,qedeh
207,Lehm::N,сина аьрщи,kelpîç
208,Sand::N,къун,qûm
209,Mensch::N,инсан,mirov
210,Mann::N,чув,mêr
211,Mann::N,адимина,mêr
212,Frau::N,щарсса,jin
213,Frau::N,хъамитайпа,jin
214,Kind::N,чӏиви оьрчӏ,zarok
215,Junge::N,оьрчӏ,kur
216,Junge::N,бурхьин оьрчӏ,kur
217,Mädchen::N,душ,keç
218,Mädchen::N,душ,keçik
219,Familie::N,кулпат,malbat
220,Großvater::N,ттатта,bapîr
221,Großvater::N,ниттил ппу,bapîr
222,Großmutter::N,буттал нину,pîrik
223,Eltern::N,нину-ппу,bavudê
224,Vater::N,ппу,bav
225,Mutter::N,нину,dê
226,Mutter::N,нину,dayik
227,Sohn::N,арс,kur
228,Tochter::N,душ,keç
229,Bruder::N,уссу,bira
230,Schwester::N,ссу,xweh
231,Onkel::N,буттауссу,am
232,Onkel::N,буттауссу,xal
233,Tante::N,буттал ссу,metik
234,Tante::N,буттал ссу,xaltîk
235,Ehemann::N,лас,mêr
236,Ehefrau::N,щар,kulfet
237,Ehefrau::N,щарсса,kulfet
238,Freude::N,шадшиву,kêfxweşî
239,Freude::N,ххаришиву,kêfxweşî
240,Gelächter::N,хъяхъаву,pîrqînî
241,Glück::N,талихӏ,bext
242,Kummer::N,дард,derd
243,Wunsch::N,мурад,daxwaz
244,Wunsch::N,мурад,xwestek
245,Lust::N,гьавас,şewq
246,Lust::N,ччаву,şewq
247,Geist::N,рухӏ,aqil
248,Gedanke::N,пикри,fikir
249,Gedächtnis::N,дакӏний личӏаву,aqil
250,Verstand::N,аькьлу,fêm
251,Sinn::N,мяъна,aqil
252,Grund::N,багьана,asas
253,Wahrheit::N,тӏайламур,rastî
254,Wahrheit::N,хӏакьмур,rastî
255,Gespräch::N,ихтилат,guftûgo
256,Märchen::N,магьа,çirok
257,Erzählung::N,хавар,çirok
258,Erzählung::N,хавар,vegotin
259,Nachricht::N,хавар,nûçe
260,Neuigkeit::N,хавар,hewal
261,Name::N,цӏа,nav
262,Name::N,цӏа,paşnav
263,Rätsel::N,ссигьа,tiştonek
264,Rede::N,гъалгъа,gotar
265,Rede::N,гъалгъа,axavtin
266,Sprache::N,маз,ziman
267,Stimme::N,чӏу,pejn
268,Stimme::N,чӏукӏа,pejn
269,Wort::N,махъ,gotin
270,Zeichen::N,лишан,şanek
271,Lärm::N,чӏу,xarbalix
272,Laut::N,чӏу,deng
273,Laut::N,чӏу,hês
274,Ton::N,чӏу,awaz
275,Lied::N,балай,sitran
276,Ruhe::N,дигьалагру,rihetî
277,Leute::N,инсантал,xelk
278,Volk::N,ил,xelk
