,Concept_ID,it,lt
0,Auge::N,occhio,akis
1,Ohr::N,orecchio,ausis
2,Nase::N,naso,nosis
3,Mund::N,bocca,burna
4,Zahn::N,dente,dantis
5,Zunge::N,lingua,liežuvis
6,Lippe::N,labbro,lūpa
7,Wange::N,guancia,žandas
8,Wange::N,guancia,skruostas
9,Gesicht::N,viso,veidas
10,Gesicht::N,faccia,veidas
11,Stirn::N,fronte,kakta
12,Haar::N,capello,plaukai
13,Schnurrbart::N,baffi,ūsai
14,Schnurrbart::N,mustacchi,ūsai
15,Bart::N,barba,barzda
16,Kinn::N,mento,smakras
17,Kiefer[Anatomie]::N,mascella,žandikaulis
18,Kehle::N,gola,gerklė
19,Hals::N,collo,kaklas
20,Genick::N,nuca,sprandas
21,Kopf::N,capo,galva
22,Kopf::N,testa,galva
23,Rücken::N,dorso,nugara
24,Rücken::N,schiena,nugara
25,Bauch::N,ventre,pilvas
26,Nabel::N,ombelico,bamba
27,Busen::N,seno,krūtinė
28,Brust::N,petto,krūtis
29,Schulter::N,spalla,petys
30,Arm::N,braccio,ranka
31,Ellenbogen::N,gomito,alkūnė
32,Hand::N,mano,ranka
33,Hand::N,mano,plaštaka
34,Handfläche::N,palma,delnas
35,Handfläche::N,palma,plaštaka
36,Finger::N,dito,pirštas
37,Fingernagel::N,unghia,nagas
38,Nagel[Anatomie]::N,unghia,nagas
39,Zeh::N,dito del piede,pirštas
40,Fuß::N,piede,pėda
41,Ferse::N,tallone,kulnas
42,Ferse::N,calcagno,kulnas
43,Knie::N,ginocchio,kelis
44,Oberschenkel::N,fèmore,kulšis
45,Oberschenkel::N,fèmore,šlaunis
46,Bein::N,gamba,koja
47,Körper::N,corpo,kūnas
48,Haut::N,pelle,oda
49,Blut::N,sangue,kraujas
50,Ader::N,vena,kraujagyslė
51,Sehne::N,tèndine,sausgyslė
52,Knochen::N,osso,kaulas
53,Gehirn::N,cervello,smegenys
54,Herz::N,cuore,širdis
55,Magen::N,stòmaco,skrandis
56,Leber::N,fegato,kepenys
57,Atem::N,fiato,kvapas
58,Atem::N,respiro,kvapas
59,Hunger::N,fame,badas
60,Hunger::N,fame,alkis
61,Träne::N,làcrima,ašara
62,Geschmack::N,gusto,skonis
63,Geschmack::N,sapore,skonis
64,Geruch::N,odore,kvapas
65,Schlaf::N,sonno,miegas
66,Traum::N,sogno,sapnas
67,Himmel::N,cielo,dangus
68,Sonne::N,sole,saulė
69,Mond::N,luna,mėnulis
70,Stern::N,stella,žvaigždė
71,Luft::N,aria,oras
72,Wind::N,vento,vėjas
73,Welle::N,onda,banga
74,Welle::N,onda,vilnis
75,Wasser::N,acqua,vanduo
76,Stein::N,sasso,akmuo
77,Stein::N,pietra,akmuo
78,Boden::N,suolo,žemė
79,Boden::N,suolo,dugnas
80,Boden::N,terreno,žemė
81,Boden::N,terreno,dugnas
82,Erde::N,terra,žemė
83,Staub::N,polvere,dulkės
84,Rauch::N,fumo,dūmai
85,Funke::N,scintilla,kibirkštis
86,Feuer::N,fuoco,ugnis
87,Licht::N,luce,šviesa
88,Schatten::N,ombra,paūksmė
89,Wetter::N,tempo,oras
90,Nebel::N,nebbia,migla
91,Nebel::N,nebbia,rūkas
92,Wolke::N,nube,debesis
93,Wolke::N,nùvola,debesis
94,Regen::N,pioggia,lietus
95,Schnee::N,neve,sniegas
96,Eis::N,ghiaccio,ledas
97,Frost::N,gelo,šalna
98,Kälte::N,freddo,šaltis
99,Hitze::N,caldo,karštis
100,Hitze::N,calura,karštis
101,Raureif::N,brina,šerkšnas
102,Regenbogen::N,arcobaleno,vaivorykštė
103,Donner::N,tuono,perkūnas
104,Donner::N,tuono,griaustinis
105,Strömung::N,corrente,tėkmė
106,Tropfen::N,goccia,lašas
107,Schaum::N,spuma,putos
108,Schaum::N,schiuma,putos
109,Schmutz::N,sudiciume,purvas
110,See::N,lago,ežeras
111,Sumpf::N,palude,klampynė
112,Sumpf::N,palude,liūnas
113,Moor::N,torbiera,pelkė
114,Wiese::N,prato,pieva
115,Wald::N,bosco,miškas
116,Wald::N,foresta,miškas
117,Hügel::N,colle,kalva
118,Hügel::N,collina,kalva
119,Anhöhe::N,altura,kauburys
120,Berg::N,monte,kalnas
121,Berg::N,montagna,kalnas
122,Gipfel::N,cima,viršūnė
