,Concept_ID,lez,uz
0,Auge::N,вил,ko'z
1,Ohr::N,яб,quloq
2,Nase::N,нер,burun
3,Mund::N,сив,og'iz
4,Zahn::N,сас,tish
5,Zahn::N,свах,tish
6,Zunge::N,мез,til
7,Lippe::N,пӏуз,dudoq
8,Wange::N,хъвехъ,bet
9,Gesicht::N,ччин,yuz
10,Stirn::N,пел,manglay
11,Haar::N,чӏар,soch
12,Schnurrbart::N,спел,mo'ylov
13,Schnurrbart::N,спелар,mo'ylov
14,Bart::N,ччуру,soqol
15,Kinn::N,чене,ängak
16,Kiefer[Anatomie]::N,чене,iyak
17,Kehle::N,туьд,bo'g'iz
18,Hals::N,гардан,bo'yin
19,Genick::N,кьам,gardan
20,Kopf::N,кьил,bosh
21,Rücken::N,далу,orqa
22,Bauch::N,руфун,qorin
23,Nabel::N,пицӏ,kindik
24,Busen::N,мам,ämchak
25,Brust::N,хур,ko'krak
26,Schulter::N,къуьн,elka
27,Arm::N,гъил,bilak
28,Ellenbogen::N,кьуьнт,tirsak
29,Hand::N,капаш,qo'l
30,Handfläche::N,капан юкь,kaft
31,Finger::N,тӏуб,barmoq
32,Fingernagel::N,кек,tirnoq
33,Nagel[Anatomie]::N,кек,tirnoq
34,Zeh::N,кул,oyoq barmog'i
35,Fuß::N,кӏвач,oyoq
36,Ferse::N,дабан,tovon
37,Knie::N,мет,tiz
38,Bein::N,кӏвач,oyoq
39,Körper::N,беден,badna
40,Haut::N,хам,teri
41,Blut::N,иви,qon
42,Ader::N,дамар,qon tomir
43,Sehne::N,кьуру дамар,tomir
44,Knochen::N,кӏараб,suyak
45,Gehirn::N,мефт,miya
46,Herz::N,рикӏ,qalb
47,Magen::N,хук,oshqozon
48,Leber::N,лекь,bag'ir
49,Atem::N,ял,dam
50,Atem::N,нефес,dam
51,Hunger::N,каш,ochlik
52,Träne::N,вилин нагъв,yosh
53,Geschmack::N,дад,tam
54,Geschmack::N,тӏям,tam
55,Geruch::N,ни,jid
56,Schlaf::N,ахвар,uyqu
57,Traum::N,ахвар,tush
58,Himmel::N,цав,osmon
59,Sonne::N,рагъ,quyosh
60,Mond::N,варз,oy
61,Stern::N,гъед,yulduz
62,Luft::N,гьава,havo
63,Wind::N,гар,el
64,Welle::N,лепе,to'lqin
65,Wasser::N,яд,suv
66,Stein::N,къван,tosh
