,Concept_ID,fa,ro
0,Auge::N,چشم,ochi
1,Ohr::N,گوش,ureche
2,Nase::N,بینی,nas
3,Mund::N,دهان,gură
4,Zahn::N,دندان,dinte
5,Zunge::N,زبان,limbă
6,Lippe::N,لب,buză
7,Wange::N,لپ,bucă
8,Wange::N,لپ,obraz
9,Gesicht::N,رو,față
10,Gesicht::N,رو,figură
11,Gesicht::N,چهره,față
12,Gesicht::N,چهره,figură
13,Stirn::N,پیشانی,frunte
14,Haar::N,مو,păr
15,Schnurrbart::N,سبیل,mustață
16,Bart::N,ریش,barbă
17,Kinn::N,چانه,bărbie
18,Kiefer[Anatomie]::N,فک,falcă
19,Kiefer[Anatomie]::N,آرواره,falcă
20,Kehle::N,حلق,beregată
21,Hals::N,گردن,gât
22,Genick::N,پشت گردن,ceafă
23,Kopf::N,سر,cap
24,Kopf::N,کله,cap
25,Rücken::N,پشت,dos
26,Rücken::N,پشت,spate
27,Rücken::N,پشت,spinare
28,Bauch::N,شکم,burtă
29,Bauch::N,شکم,pântece
30,Nabel::N,ناف,buric
31,Busen::N,پستان,sân
32,Brust::N,سینه,piept
33,Schulter::N,دوش,umăr
34,Schulter::N,دوش,spate
35,Schulter::N,شانه,umăr
36,Schulter::N,شانه,spate
37,Arm::N,بازو,braț
38,Ellenbogen::N,آرنج,cot
39,Hand::N,دست,mână
40,Handfläche::N,کف دست,palmă
41,Finger::N,انگشت,deget
42,Fingernagel::N,ناخن دست,unghie
43,Nagel[Anatomie]::N,ناخن,unghie
44,Zeh::N,انگشت پا,deget de la picior
45,Fuß::N,پا,picior
46,Ferse::N,پاشنه,călcâi
47,Knie::N,زانو,genunchi
48,Oberschenkel::N,ران,coapsă
49,Bein::N,پا,picior
50,Bein::N,لنگ,picior
51,Körper::N,تن,corp
52,Körper::N,بدن,corp
53,Haut::N,پوست,piele
54,Blut::N,خون,sânge
55,Ader::N,رگ,vână
56,Ader::N,رگ,arteră
57,Sehne::N,زردپی,tendon
58,Knochen::N,استخوان,os
59,Gehirn::N,مخ,creier
60,Gehirn::N,مغز,creier
61,Herz::N,دل,inimă
62,Herz::N,قلب,inimă
63,Magen::N,معده,stomac
64,Leber::N,کبد,ficat
65,Atem::N,نفس,răsuflare
66,Atem::N,نفس,respirație
67,Hunger::N,گرسنگی,foame
68,Träne::N,اشک,lacrimă
69,Geschmack::N,مزه,gust
70,Geruch::N,بو,miros
71,Schlaf::N,خواب,somn
72,Traum::N,رؤیا,vis
73,Himmel::N,فلک,cer
74,Himmel::N,آسمان,cer
75,Sonne::N,آفتاب,soare
76,Sonne::N,خورشید,soare
77,Mond::N,ماه,lună
78,Stern::N,ستاره,stea
79,Luft::N,هوا,aer
80,Wind::N,باد,vânt
81,Welle::N,موج,val
82,Welle::N,موج,undă
