,Concept_ID,el,kn
0,Auge::N,μάτι,ಕಣ್ಣು
1,Auge::N,οφθαλμός,ಕಣ್ಣು
2,Ohr::N,αυτί,ಕಿವಿ
3,Nase::N,μύτη,ಮೂಗು
4,Mund::N,στόμα,ಬಾಯಿ
5,Zahn::N,δόντι,ಹಲ್ಲು
6,Zunge::N,γλώσσα,ನಾಲಿಗೆ
7,Lippe::N,χείλος,ತುಟಿ
8,Wange::N,παρειά,ಗಲ್ಲ
9,Wange::N,μάγουλο,ಗಲ್ಲ
10,Gesicht::N,πρόσωπο,ಮುಖ
11,Stirn::N,μέτωπο,ಹಣೆ
12,Haar::N,μαλλιά,ಕೂದಲು
13,Schnurrbart::N,μουστάκι,ಮೀಸೆ
14,Bart::N,γένια,ಗಡ್ಡ
15,Kinn::N,πιγούνι,ಗದ್ದ
16,Kiefer[Anatomie]::N,σαγόνι,ದವಡೆ
17,Kehle::N,λαρύγγι,ಗಂಟಲು
18,Hals::N,λαιμός,ಕೊರಳು
19,Genick::N,σβέρκος,ಹಿಂಗತ್ತು
20,Kopf::N,κεφάλι,ತಲೆ
21,Rücken::N,ράχη,ಬೆನ್ನು
22,Bauch::N,κοιλιά,ಹೊಟ್ಟೆ
23,Nabel::N,αφαλός,ಹೊಕ್ಕುಳು
24,Busen::N,στήθος,ಸ್ತನ
25,Brust::N,στήθος,ಎದೆ
26,Schulter::N,ώμος,ಭುಜ
27,Arm::N,χέρι,ತೋಳು
28,Arm::N,μπράτςο,ತೋಳು
29,Ellenbogen::N,αγκώνας,ಮೊಣಕೈ
30,Hand::N,χέρι,ಕೈ
31,Handfläche::N,παλάμη,ಅಂಗೈ
32,Finger::N,δάχτυλο,ಕೈಬೆರಳು
33,Fingernagel::N,νύχι,ಉಗುರು
34,Nagel[Anatomie]::N,νύχι,ಉಗುರು
35,Zeh::N,δάχτυλο του ποδιού,ಕಾಲ್ಬೆರಳು
36,Fuß::N,πόδι,ಪಾದ
37,Ferse::N,φτέρνα,ಹಿಮ್ಮಡಿ
38,Knie::N,γόνατο,ಮಂಡಿ
39,Oberschenkel::N,μηρός,ತೊಡೆ
40,Bein::N,πόδι,ಕಾಲು
41,Körper::N,σώμα,ದೇಹ
42,Körper::N,κορμί,ದೇಹ
43,Haut::N,πετσί,ಚರ್ಮ
44,Blut::N,αίμα,ರಕ್ತ
45,Ader::N,φλέβα,ನರ
46,Sehne::N,νεύρο,ನರ
47,Sehne::N,τένοντας,ನರ
48,Knochen::N,οστό,ಮೂಳೆ
49,Knochen::N,κόκκαλο,ಮೂಳೆ
50,Gehirn::N,μυαλό,ಮಿದುಳು
51,Gehirn::N,εγκέφαλος,ಮಿದುಳು
52,Herz::N,καρδιά,ಹೃದಯ
53,Magen::N,στομάχι,ಉದರ
54,Leber::N,ήπαρ,ಯಕೃತ್ತು
55,Leber::N,συκωτί,ಯಕೃತ್ತು
56,Atem::N,αναπνοή,ಉಸಿರು
57,Hunger::N,πείνα,ಹಸಿವು
58,Träne::N,δάκρυ,ಕಣ್ಣೀರು
59,Geschmack::N,γεύση,ರುಚಿ
60,Geruch::N,οσμή,ವಾಸನೆ
61,Geruch::N,μυρωδία,ವಾಸನೆ
62,Schlaf::N,ύπνος,ನಿದ್ರೆ
63,Traum::N,όνειρο,ಕನಸು
64,Himmel::N,ουρανός,ಬಾನು
65,Sonne::N,ήλιος,ಸೂರ್ಯ
66,Mond::N,σελήνη,ಚಂದ್ರ
67,Mond::N,φεγγάρι,ಚಂದ್ರ
68,Stern::N,άστρο,ಚುಕ್ಕಿ
69,Stern::N,αστέρι,ಚುಕ್ಕಿ
70,Luft::N,αέρας,ವಾಯು
71,Wind::N,αέρας,ಗಾಳಿ
72,Wind::N,άνεμος,ಗಾಳಿ
73,Welle::N,κύμα,ಅಲೆ
74,Wasser::N,νερό,ನೀರು
75,Stein::N,πέτρα,ಕಲ್ಲು
76,Boden::N,χώμα,ನೆಲ
77,Erde::N,γη,ಭೂಮಿ
78,Staub::N,σκόνη,ದೂಳು
79,Rauch::N,καπνός,ಹೊಗೆ
80,Funke::N,σπίθα,ಕಿಡಿ
81,Funke::N,σπινθήρας,ಕಿಡಿ
82,Feuer::N,φωτιά,ಬೆಂಕಿ
83,Licht::N,φως,ಬೆಳಕು
84,Schatten::N,σκιά,ನೆರಳು
85,Schatten::N,ίσκιος,ನೆರಳು
86,Wetter::N,καιρός,ಹವ
87,Nebel::N,ομίχλη,ಮಂಜು
88,Wolke::N,σύννεφο,ಮೋಡ
89,Regen::N,βροχή,ಮಳೆ
90,Schnee::N,χιόνι,ಹಿಮ
91,Eis::N,πάγος,ಮಂಜುಗಡ್ಡೆ
92,Frost::N,παγωνία,ಮಂಜು
93,Kälte::N,κρύο,ಹಿಮ
94,Kälte::N,ψύχος,ಹಿಮ
95,Hitze::N,ζέστη,ಉಷ್ಣ
96,Raureif::N,πάχνη,ಇಬ್ಬನಿ
97,Regenbogen::N,ουράνιο τόξο,ಇಂದ್ರಚಾಪ
98,Donner::N,βροντή,ಗುಡುಗು
99,Strömung::N,ρεύμα,ಪ್ರವಾಹ
100,Tropfen::N,στάλα,ತೊಟ್ಟು
101,Schaum::N,αφρός,ನೊರೆ
102,Schmutz::N,βρωμιά,ಕಸ
103,See::N,λίμνη,ಸರೋವರ
104,Sumpf::N,βάλτος,ಜೌಗುಸ್ಥಳ
105,Moor::N,έλος,ಬಂಜರು ಭೂಮಿ
106,Wiese::N,λιβάδι,ಹುಲ್ಲುಗಾವಲು
107,Wald::N,δάσος,ಕಾಡು
108,Hügel::N,λόφος,ಗುಡ್ಡೆ
109,Anhöhe::N,ύψωμα,ದಿಬ್ಬ
110,Berg::N,όρος,ಮಲೆ
111,Berg::N,όρος,ಪರ್ವತ
112,Berg::N,βουνό,ಮಲೆ
113,Berg::N,βουνό,ಪರ್ವತ
114,Gipfel::N,κορυφή,ಶೃಂಗ
115,Höhle::N,σπηλιά,ಗುಹೆ
116,Abhang::N,πλαγιά,ಇಳಿಜಾರು
117,Quelle::N,πηγή,ಮೂಲ
118,Quelle::N,βρύση,ಮೂಲ
119,Bach::N,ρυάκι,ತೊರೆ
120,Fluss::N,ποτάμι,ನದಿ
121,Fluss::N,ποταμός,ನದಿ
122,Ufer::N,όχθη,ತೀರ
123,Küste::N,ακτή,ದಂಡೆ
124,Küste::N,ακρογιαλιά,ದಂಡೆ
125,Festland::N,στεριά,ಭೂಮಿ
126,Meer::N,θάλασσα,ಕಡಲು
127,Bucht::N,κόλπος,ಖಾರಿ
128,Insel::N,νησί,ದ್ವೀಪ
129,Insel::N,νήσος,ದ್ವೀಪ
130,Blume::N,άνθος,ಸುಮ
131,Blume::N,λουλούδι,ಸುಮ
132,Gras::N,χόρτο,ಹುಲ್ಲು
133,Gras::N,χορτάρι,ಹುಲ್ಲು
134,Wurzel::N,ρίζα,ಬೇರು
135,Baum::N,δέντρο,ಮರ
136,Stamm::N,κορμός,ಕಾಂಡ
137,Rinde::N,φλούδα,ತೂಗಟಿ
138,Ast::N,κλαδί,ಶಾಖೆ
139,Zweig::N,κλαδί,ರೆಂಬೆ
140,Zweig::N,κλάδος,ರೆಂಬೆ
141,Blatt::N,φύλλο,ಎಲೆ
142,Birke::N,σημύδα,ಬರ್ಚ್ ಮರ
143,Kiefer[Baum]::N,πεύκο,ದೇವದಾರು ಮರ
144,Weide[Baum]::N,ιτιά,ವಿಲೋಮರ
145,Tanne::N,έλατο,ಭದ್ರದಾರು
146,Horn::N,κέρας,ಕೊಂಬು
147,Horn::N,κέρατο,ಕೊಂಬು
148,Feder::N,φτερό,ಪುಕ್ಕ
149,Fell::N,δέρμα,ರೋಮ
150,Fell::N,τομάρι,ರೋಮ
151,Flügel::N,πτερύγιο,ರೆಕ್ಕೆ
152,Klaue::N,κουλό,ಪಂಜ
153,Kralle::N,νύχι,ಉಗುರು
154,Schwanz::N,ουρά,ಬಾಲ
155,Ei::N,αβγό,ಮೊಟ್ಟೆ
156,Nest::N,φωλιά,ಗೂಡು
157,Bau::N,φωλιά,ಅಡಗುದಾಣ
158,Tier::N,ζώο,ಪ್ರಾಣಿ
159,Herde::N,κοπάδι,ಗುಂಪು
160,Kuh::N,αγελάδα,ಹಸು
161,Bulle::N,ταύρος,ಗೂಳಿ
162,Pferd::N,άλογο,ಕುದುರೆ
163,Schaf::N,πρόβατο,ಕುರಿ
164,Schwein::N,γουρούνι,ಹಂದಿ
165,Hund::N,σκυλί,ನಾಯಿ
166,Hund::N,σκύλος,ನಾಯಿ
167,Katze::N,γάτα,ಬೆಕ್ಕು
168,Bär::N,άρκτος,ಕರಡಿ
169,Bär::N,αρκούδα,ಕರಡಿ
170,Eichhörnchen::N,βερβερίτσα,ಉಡುತೆ
171,Elch::N,άλκη,ಕಡವೆ
172,Fuchs::N,αλεπού,ನರಿ
173,Hase::N,λαγός,ಮೊಲ
174,Maus::N,ποντικός,ಇಲಿ
175,Wolf::N,λύκος,ತೋಳ
176,Vogel::N,πουλί,ಪಕ್ಷಿ
177,Schwarm::N,σμήνος,ಗುಂಪು
178,Huhn::N,κότα,ಚಿಕ್
179,Huhn::N,όρνιθα,ಚಿಕ್
180,Hahn::N,πετεινός,ಹುಂಜ
181,Gans::N,χήνα,ವರಟೆ
182,Adler::N,αετός,ಗರುಡ
183,Ente::N,πάπια,ಬಾತು
184,Eule::N,κουκουβάγια,ಗೂಬೆ
185,Kranich::N,γερανός,ಕೊಕ್ಕರ
186,Krähe::N,καρακάξα,ಕಾಗೆ
187,Kuckuck::N,κούκος,ಕೋಗಿಲೆ
188,Schwan::N,κύκνος,ಹಂಸಪಕ್ಷಿ
189,Fisch::N,ψάρι,ಮೀನು
190,Barsch::N,πέρκα,ಪರ್ಚ್ ಮೀನು
191,Hecht::N,λούτσος,ಪೈಕ್ ಮೀನು
192,Schlange[Tier]::N,φίδι,ಹಾವು
193,Wurm::N,σκουλήκι,ಹುಳು
194,Spinne::N,αράχνη,ಊರ್ಣನಾಭ
195,Ameise::N,μυρμήγκι,ಇರುವೆ
196,Laus::N,ψείρα,ಹೇನು
197,Mücke::N,κουνούπι,ಸೊಳ್ಳೆ
198,Fliege::N,μύγα,ನೊಣ
199,Schmetterling::N,πεταλούδα,ಪತಂಗ
200,Beere::N,ρόγα,ನಯವಣ್ಣು
201,Apfel::N,μήλο,ಸೇಬು
202,Pilz::N,μανιτάρι,ಅಣಬೆ
203,Zwiebel::N,κρεμμύδι,ನೀರುಳ್ಳಿ
204,Saat::N,σπόρος,ಬಿತ್ತ
205,Korn::N,σπυρί,ಬೀಜ
206,Heu::N,σανός,ಕರಡ
207,Schale::N,τσόφλι,ಹೊಟ್ಟು
208,Grube::N,λάκκος,ಗುಂಡಿ
209,Falle::N,παγίδα,ಬೋನು
