,Concept_ID,,fa
0,Auge::N,,چشم
1,Ohr::N,,گوش
2,Nase::N,,بینی
3,Mund::N,,دهان
4,Zahn::N,,دندان
5,Zunge::N,,زبان
6,Lippe::N,,لب
7,Wange::N,,لپ
8,Gesicht::N,,رو
9,Gesicht::N,,چهره
10,Stirn::N,,پیشانی
11,Haar::N,,مو
12,Schnurrbart::N,,سبیل
13,Bart::N,,ریش
14,Kinn::N,,چانه
15,Kiefer[Anatomie]::N,,فک
16,Kiefer[Anatomie]::N,,آرواره
17,Kehle::N,,حلق
18,Hals::N,,گردن
19,Genick::N,,پشت گردن
20,Kopf::N,,سر
21,Kopf::N,,کله
22,Rücken::N,,پشت
23,Bauch::N,,شکم
24,Nabel::N,,ناف
25,Busen::N,,پستان
26,Brust::N,,سینه
27,Schulter::N,,دوش
28,Schulter::N,,شانه
29,Arm::N,,بازو
30,Ellenbogen::N,,آرنج
31,Hand::N,,دست
32,Handfläche::N,,کف دست
33,Finger::N,,انگشت
34,Fingernagel::N,,ناخن دست
35,Nagel[Anatomie]::N,,ناخن
36,Zeh::N,,انگشت پا
37,Fuß::N,,پا
38,Ferse::N,,پاشنه
39,Knie::N,,زانو
40,Oberschenkel::N,,ران
41,Bein::N,,پا
42,Bein::N,,لنگ
43,Körper::N,,تن
44,Körper::N,,بدن
45,Haut::N,,پوست
46,Blut::N,,خون
47,Ader::N,,رگ
48,Sehne::N,,زردپی
49,Knochen::N,,استخوان
50,Gehirn::N,,مخ
51,Gehirn::N,,مغز
52,Herz::N,,دل
53,Herz::N,,قلب
54,Magen::N,,معده
55,Leber::N,,کبد
56,Atem::N,,نفس
57,Hunger::N,,گرسنگی
58,Träne::N,,اشک
59,Geschmack::N,,مزه
60,Geruch::N,,بو
61,Schlaf::N,,خواب
62,Traum::N,,رؤیا
63,Himmel::N,,فلک
64,Himmel::N,,آسمان
65,Sonne::N,,آفتاب
66,Sonne::N,,خورشید
67,Mond::N,,ماه
68,Stern::N,,ستاره
69,Luft::N,,هوا
70,Wind::N,,باد
71,Welle::N,,موج
72,Wasser::N,,آب
73,Stein::N,,سنگ
74,Boden::N,,زمین
75,Erde::N,,خاک
76,Erde::N,,زمین
77,Staub::N,,گرد
78,Staub::N,,غبار
79,Rauch::N,,دود
80,Funke::N,,جرقه
81,Feuer::N,,آتش
82,Licht::N,,نور
83,Licht::N,,روشنی
84,Schatten::N,,سایه
85,Wetter::N,,هوا
86,Nebel::N,,مه
87,Wolke::N,,ابر
88,Regen::N,,باران
89,Schnee::N,,برف
90,Eis::N,,یخ
91,Frost::N,,یخبندان
92,Kälte::N,,سرما
93,Hitze::N,,گرما
94,Hitze::N,,حرارت
95,Raureif::N,,برف ریزه
96,Regenbogen::N,,رنگین‌کمان
97,Donner::N,,رعد
98,Strömung::N,,جریان
99,Tropfen::N,,قطره
100,Schaum::N,,کف
101,Schmutz::N,,گل
102,Schmutz::N,,کثافت
103,See::N,,دریاچه
104,Sumpf::N,,مرداب
105,Sumpf::N,,باتلاق
106,Moor::N,,باتلاق
107,Wiese::N,,چمن
108,Wald::N,,جنگل
109,Hügel::N,,تل
110,Hügel::N,,تپه
111,Anhöhe::N,,بلندی
112,Berg::N,,کوه
113,Gipfel::N,,قله
114,Höhle::N,,غار
115,Abhang::N,,سرازیری
116,Quelle::N,,چشمه
117,Bach::N,,نهر
118,Fluss::N,,رود
119,Ufer::N,,ساحل
120,Ufer::N,,کرانه
121,Küste::N,,ساحل
122,Festland::N,,خشکی
123,Meer::N,,دریا
124,Bucht::N,,خلیج
125,Insel::N,,جزیره
126,Blume::N,,گل
127,Gras::N,,علف
128,Wurzel::N,,ریشه
129,Baum::N,,درخت
130,Stamm::N,,تنه
131,Rinde::N,,توژ
132,Rinde::N,,پوست
133,Ast::N,,شاخه
134,Zweig::N,,شاخه
135,Blatt::N,,برگ
136,Birke::N,,غان
137,Kiefer[Baum]::N,,کاج
138,Weide[Baum]::N,,بید
139,Tanne::N,,صنوبر
140,Horn::N,,شاخ
141,Feder::N,,پر
142,Fell::N,,خز
143,Flügel::N,,پر
144,Flügel::N,,بال
145,Klaue::N,,چنگ
146,Klaue::N,,پنجه
147,Kralle::N,,پنجه
148,Schwanz::N,,دم
149,Ei::N,,تخم
150,Nest::N,,لانه
151,Bau::N,,بنا
152,Bau::N,,ساختمان
153,Tier::N,,هیوان
154,Herde::N,,رمه
155,Kuh::N,,گاو
156,Bulle::N,,گاو نر
157,Pferd::N,,اسب
158,Schaf::N,,گوسفند
159,Schwein::N,,خوک
160,Hund::N,,سگ
161,Katze::N,,گربه
162,Bär::N,,خرس
163,Eichhörnchen::N,,سنجاب
164,Elch::N,,گوزن شمالی
165,Fuchs::N,,روباه
166,Hase::N,,خرگوش
167,Maus::N,,موش
168,Wolf::N,,گرگ
169,Vogel::N,,پرنده
170,Schwarm::N,,دسته
171,Huhn::N,,مرغ
172,Hahn::N,,خروس
173,Gans::N,,غاز
174,Adler::N,,عقاب
175,Ente::N,,اردک
176,Ente::N,,مرغابی
177,Eule::N,,جغد
178,Kranich::N,,درنا
179,Krähe::N,,زاغ
180,Krähe::N,,کلاغ
181,Kuckuck::N,,فاخته
182,Schwan::N,,قو
183,Fisch::N,,ماهی
184,Barsch::N,,ماهی خاردار
185,Hecht::N,,اردک ماهی
186,Schlange[Tier]::N,,مار
187,Wurm::N,,کرم
188,Spinne::N,,عنکبوت
189,Ameise::N,,مورچه
190,Laus::N,,شپش
191,Mücke::N,,پشه
192,Fliege::N,,مگس
193,Schmetterling::N,,پروانه
194,Beere::N,,گیله
195,Apfel::N,,سیب
196,Pilz::N,,قارچ
197,Zwiebel::N,,پیاز
198,Saat::N,,بذر
199,Korn::N,,تخم
200,Korn::N,,دانه
201,Heu::N,,علف خشک
202,Schale::N,,پوست
203,Grube::N,,گودال
204,Falle::N,,دام
205,Schlinge::N,,حلقه
206,Spur::N,,رد
207,Asche::N,,خاکستر
208,Dreck::N,,کثافت
209,Eisen::N,,آهن
210,Gold::N,,زر
211,Gold::N,,طلا
212,Silber::N,,نقره
213,Kohle::N,,زغال
214,Glas::N,,شیشه
215,Lehm::N,,گل
216,Sand::N,,شن
217,Sand::N,,ماسه
218,Mensch::N,,آدم
219,Mensch::N,,انسان
220,Mann::N,,مرد
221,Frau::N,,زن
222,Kind::N,,بچه
223,Kind::N,,کودک
224,Junge::N,,پسر
225,Mädchen::N,,دختر
226,Familie::N,,فامیل
227,Familie::N,,خانواده
228,Großvater::N,,پدربزرگ
229,Großmutter::N,,مادر‌بزرگ
230,Eltern::N,,والدین
231,Eltern::N,,پدر‌و‌مادر
232,Vater::N,,پدر
233,Mutter::N,,مادر
234,Sohn::N,,پسر
235,Tochter::N,,دختر
236,Bruder::N,,برادر
237,Schwester::N,,خواهر
238,Onkel::N,,عمو
239,Onkel::N,,دایی
240,Tante::N,,عمه
241,Tante::N,,خاله
242,Ehemann::N,,همسر
243,Ehefrau::N,,همسر
244,Freude::N,,شادی
245,Gelächter::N,,خنده
246,Gelächter::N,,قاه‌قاه
247,Glück::N,,اقبال
248,Kummer::N,,غم
249,Kummer::N,,غصه
250,Wunsch::N,,آرزو
251,Lust::N,,هوس
252,Geist::N,,روح
253,Gedanke::N,,فکر
254,Gedächtnis::N,,حافظه
255,Verstand::N,,هوش
256,Sinn::N,,معنا
257,Sinn::N,,مفهوم
258,Grund::N,,سبب
259,Grund::N,,دلیل
260,Wahrheit::N,,حقیقت
261,Gespräch::N,,صحبت
262,Gespräch::N,,گفتگو
263,Märchen::N,,قصه
264,Märchen::N,,افسانه
265,Erzählung::N,,داستان
266,Nachricht::N,,خبر
267,Neuigkeit::N,,خبر تازه
268,Name::N,,اسم
269,Rätsel::N,,معما
270,Rede::N,,سخن
271,Sprache::N,,زبان
272,Stimme::N,,صدا
273,Wort::N,,کلمه
