,Concept_ID,et,he
0,Auge::N,silm,עין
1,Ohr::N,kõrv,אזן
2,Nase::N,nina,אף
3,Nase::N,nina,חטם
4,Mund::N,suu,פה
5,Zahn::N,hammas,שן
6,Zunge::N,keel,לשון
7,Lippe::N,huul,שפה
8,Wange::N,põsk,לחי
9,Gesicht::N,nägu,פנים
10,Stirn::N,otsmik,מצח
11,Haar::N,juus,שערה
12,Schnurrbart::N,vurrud,שפם
13,Schnurrbart::N,vuntsid,שפם
14,Bart::N,habe,זקן
15,Kinn::N,lõug,סנטר
16,Kiefer[Anatomie]::N,lõualuu,לסת
17,Kehle::N,kõri,גרון
18,Hals::N,kael,צואר
19,Genick::N,kukal,ערף
20,Kopf::N,pea,ראש
21,Rücken::N,selg,גב
22,Bauch::N,kõht,בטן
23,Nabel::N,naba,טבור
24,Busen::N,rind,שד
25,Brust::N,rind,חזה
26,Schulter::N,õlg,כתף
27,Arm::N,käsivars,זרוע
28,Ellenbogen::N,küünarnukk,מרפק
29,Hand::N,käsi,יד
30,Handfläche::N,pihk,כף יד
31,Finger::N,sõrm,אצבע
32,Fingernagel::N,küüs,צפרן
33,Nagel[Anatomie]::N,küüs,צפרן
34,Zeh::N,varvas,אצבע
35,Fuß::N,jalg,רגל
36,Ferse::N,kand,עקב
37,Knie::N,põlv,ברך
38,Oberschenkel::N,reis,ירך
39,Bein::N,jalg,רגל
40,Körper::N,ihu,גוף
41,Körper::N,keha,גוף
42,Haut::N,nahk,עור
43,Blut::N,veri,דם
44,Ader::N,veen,וריד
45,Sehne::N,kõõlus,גיד
46,Knochen::N,luu,עצם
47,Gehirn::N,aju,מוח
48,Herz::N,süda,לב
49,Magen::N,magu,קבה
50,Leber::N,maks,כבד
51,Atem::N,hingeõhk,נשימה
52,Atem::N,hingamine,נשימה
53,Hunger::N,nälg,רעב
54,Träne::N,pisar,דמעה
55,Geschmack::N,maitse,טעם
56,Geruch::N,lõhn,ריח
57,Schlaf::N,uni,שנה
58,Traum::N,unenägu,חלום
59,Himmel::N,taevas,שמים
60,Sonne::N,päike,שמש
61,Mond::N,kuu,ירח
62,Stern::N,täht,כוכב
63,Luft::N,õhk,אויר
64,Wind::N,tuul,רוח
65,Welle::N,laine,גל
66,Wasser::N,vesi,מים
67,Stein::N,kivi,אבן
68,Boden::N,maa,קרקע
69,Boden::N,pinnas,קרקע
70,Erde::N,maa,אדמה
71,Staub::N,põrm,אבק
72,Rauch::N,suits,עשן
73,Funke::N,säde,ניצוץ
74,Feuer::N,tuli,אש
75,Licht::N,valgus,אור
76,Schatten::N,vari,צל
77,Wetter::N,ilm,מזג אויר
78,Nebel::N,udu,ערפל
79,Wolke::N,pilv,ענן
80,Regen::N,sadu,גשם
81,Schnee::N,lumi,שלג
82,Eis::N,jää,קרח
83,Frost::N,pakane,צנה
84,Kälte::N,külm,קר
85,Kälte::N,külmus,קר
86,Hitze::N,kuumus,חם
87,Hitze::N,palavus,חם
88,Raureif::N,härmatis,כפור
89,Regenbogen::N,vikerkaar,קשת
90,Donner::N,kõu,רעם
91,Donner::N,müristamine,רעם
92,Strömung::N,voolus,זרימה
93,Strömung::N,jõevool,זרימה
94,Tropfen::N,tilk,טפה
95,Schaum::N,vaht,קצף
96,Schmutz::N,pori,לכלוך
97,Schmutz::N,mustus,לכלוך
98,See::N,järv,אגם
99,Sumpf::N,soo,בצה
100,Moor::N,raba,בצה
101,Wiese::N,aas,מרעה
102,Wiese::N,nurm,מרעה
103,Wald::N,mets,יער
104,Hügel::N,küngas,תל
105,Anhöhe::N,küngas,מעלה
106,Berg::N,mägi,הר
107,Gipfel::N,mäetipp,פסגה
108,Höhle::N,koobas,מערה
109,Abhang::N,nõlvak,מדרון
110,Abhang::N,nõlvak,שפוע
111,Quelle::N,allikas,מעין
112,Bach::N,oja,נחל
113,Fluss::N,jõgi,נהר
114,Ufer::N,kallas,גדה
115,Küste::N,rannik,חוף
116,Festland::N,mander,יבשה
117,Festland::N,maismaa,יבשה
118,Meer::N,meri,ים
119,Bucht::N,laht,מפרץ
120,Insel::N,saar,אי
121,Blume::N,lill,פרח
122,Gras::N,rohi,דשא
123,Wurzel::N,juur,שרש
124,Baum::N,puu,עץ
125,Stamm::N,tüvi,גזע
126,Rinde::N,koor,קלפת עץ
127,Ast::N,oks,ענף
128,Zweig::N,oks,ענף
129,Blatt::N,leht,עלה
130,Birke::N,kask,שדר
131,Kiefer[Baum]::N,mänd,ארן
132,Weide[Baum]::N,paju,ערבה
133,Tanne::N,nulg,אשוח
134,Horn::N,sarv,קרן
135,Feder::N,sulg,נוצה
136,Fell::N,karvkate,פרוה
137,Fell::N,karusnahk,פרוה
138,Flügel::N,tiib,כנף
139,Flügel::N,tiivik,כנף
140,Klaue::N,küüs,טלף
141,Kralle::N,küünis,טפר
142,Schwanz::N,saba,זנב
143,Ei::N,muna,ביצה
144,Nest::N,pesa,קן
145,Bau::N,urg,מחלה
146,Tier::N,loom,חיה
147,Herde::N,kari,עדר
148,Kuh::N,lehm,פרה
149,Bulle::N,pull,פר
150,Pferd::N,hobune,סוס
151,Schaf::N,lammas,כבשה
152,Schwein::N,siga,חזיר
153,Hund::N,koer,כלב
154,Katze::N,kass,חתול
155,Bär::N,karu,דב
156,Eichhörnchen::N,orav,סנאי
157,Elch::N,põder,דישון
158,Fuchs::N,rebane,שועל
159,Hase::N,jänes,ארנב
160,Maus::N,hiir,עכבר
161,Wolf::N,hunt,זאב
162,Vogel::N,lind,צפור
163,Schwarm::N,parv,נחיל
164,Schwarm::N,parv,להקה
165,Huhn::N,kana,תרנגלת
166,Hahn::N,kukk,תרנגול
167,Gans::N,hani,אוז
168,Adler::N,kotkas,עיט
169,Ente::N,part,ברוז
170,Eule::N,kakk,ינשוף
171,Eule::N,öökull,ינשוף
172,Kranich::N,kurg,עגור
173,Kranich::N,kurg,כרוכיה
174,Krähe::N,vares,עורב
175,Kuckuck::N,kägu,קוקיה
176,Schwan::N,luik,ברבור
177,Fisch::N,kala,דג
178,Barsch::N,ahven,אוקונוס
179,Hecht::N,haug,זאב הים
180,Schlange[Tier]::N,uss,נחש
181,Wurm::N,uss,תולעת
182,Wurm::N,vagel,תולעת
183,Spinne::N,ämblik,עכביש
184,Ameise::N,sipelgas,נמלה
185,Laus::N,täi,כנה
186,Mücke::N,sääsk,יתוש
187,Fliege::N,kärbes,זבוב
188,Schmetterling::N,liblikas,פרפר
189,Beere::N,mari,ענבה
190,Apfel::N,õun,תפוח
191,Pilz::N,seen,פטריה
192,Zwiebel::N,sibul,בצל
193,Saat::N,seeme,זרעים
194,Korn::N,iva,גרעין
195,Korn::N,tera,גרעין
196,Heu::N,hein,חציר
197,Schale::N,koor,קלפה
198,Grube::N,kaevand,בור
199,Grube::N,kaevand,שוחה
200,Falle::N,lõks,מלכדת
201,Falle::N,püünis,מלכדת
202,Schlinge::N,aas,לולאה
203,Spur::N,jälg,עקבה
204,Asche::N,tuhk,אפר
205,Dreck::N,saast,זהמה
206,Dreck::N,mustus,זהמה
207,Eisen::N,raud,ברזל
208,Gold::N,kuld,זהב
209,Silber::N,hõbe,כסף
210,Kohle::N,süsi,פחם
211,Glas::N,klaas,זכוכית
212,Lehm::N,savi,חרסית
