,Concept_ID,ba,de
0,Auge::N,күҙ,Auge
1,Ohr::N,ҡолаҡ,Ohr
2,Nase::N,танау,Nase
3,Mund::N,ауыҙ,Mund
4,Zahn::N,теш,Zahn
5,Zunge::N,тел,Zunge
6,Lippe::N,ирен,Lippe
7,Wange::N,яцаҡтар,Wange
8,Gesicht::N,бит,Gesicht
9,Stirn::N,маңлай,Stirn
10,Haar::N,сәс,Haar
11,Schnurrbart::N,мылтыҡ,Schnurrbart
12,Bart::N,һаҡал,Bart
13,Kinn::N,эйэк,Kinn
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,Kiefer
15,Kehle::N,тамаҡ,Kehle
16,Hals::N,муйын,Hals
17,Genick::N,соңҡа,Genick
18,Kopf::N,баш,Kopf
19,Rücken::N,арҡа,Rücken
20,Bauch::N,ҡорһаҡ,Bauch
21,Nabel::N,кендек,Nabel
22,Busen::N,күкрәк,Busen
23,Brust::N,түш,Brust
24,Schulter::N,яурын,Schulter
25,Arm::N,ҡул,Arm
26,Ellenbogen::N,терһәк,Ellenbogen
27,Hand::N,ҡул,Hand
28,Hand::N,ҡул суғы,Hand
29,Handfläche::N,ус төбө,Handfläche
30,Finger::N,бармаҡ,Finger
31,Fingernagel::N,тырнаҡ,Fingernagel
32,Nagel[Anatomie]::N,тырнаҡ,Nagel
33,Zeh::N,бармаҡ,Zeh
34,Fuß::N,табан,Fuß
35,Ferse::N,үксә,Ferse
36,Knie::N,тубыҡ,Knie
37,Oberschenkel::N,сандыр,Oberschenkel
38,Bein::N,аяҡ,Bein
39,Körper::N,тән,Körper
40,Haut::N,тире,Haut
41,Blut::N,ҡан,Blut
42,Ader::N,тамыр,Ader
43,Sehne::N,һеңер,Sehne
44,Sehne::N,тарамыш,Sehne
45,Knochen::N,һойәк,Knochen
46,Gehirn::N,мейе,Gehirn
47,Herz::N,йорәк,Herz
48,Magen::N,ашҡаҙан,Magen
49,Leber::N,бауыр,Leber
50,Atem::N,һулыш,Atem
51,Hunger::N,аслыҡ,Hunger
52,Träne::N,күҙ иәше,Träne
53,Geschmack::N,тәм,Geschmack
54,Geruch::N,еҫ,Geruch
55,Schlaf::N,йоҡлау,Schlaf
56,Traum::N,төш,Traum
57,Himmel::N,күк,Himmel
58,Sonne::N,ҡояш,Sonne
59,Mond::N,ай,Mond
60,Stern::N,йондоҙ,Stern
61,Luft::N,һауа,Luft
62,Wind::N,ел,Wind
63,Welle::N,тулҡын,Welle
64,Wasser::N,һыу,Wasser
65,Stein::N,таш,Stein
66,Boden::N,тупраҡ,Boden
67,Erde::N,балсҡ,Erde
68,Staub::N,туҙан,Staub
69,Rauch::N,төтөн,Rauch
70,Funke::N,осҡон,Funke
71,Feuer::N,ут,Feuer
72,Licht::N,яҡтылыҡ,Licht
73,Schatten::N,күләгә,Schatten
74,Wetter::N,һауа торошо,Wetter
75,Nebel::N,төман,Nebel
76,Wolke::N,болот,Wolke
77,Regen::N,ямғыр,Regen
78,Schnee::N,ҡар,Schnee
79,Eis::N,боҙ,Eis
80,Frost::N,һалҡын,Frost
81,Kälte::N,һыуыҡ,Kälte
82,Hitze::N,томра,Hitze
83,Hitze::N,эҫелек,Hitze
84,Raureif::N,ҡырау,Raureif
85,Regenbogen::N,йәйғор,Regenbogen
86,Donner::N,күк күкрәү,Donner
87,Strömung::N,ағым,Strömung
88,Tropfen::N,тамсы,Tropfen
89,Schaum::N,күбек,Schaum
90,Schmutz::N,батҡаҡ,Schmutz
91,See::N,күл,See
92,Sumpf::N,һаҙлык,Sumpf
93,Moor::N,һаҙ,Moor
