,Concept_ID,ar,ta
0,Auge::N,عين,கண்
1,Ohr::N,أذن,காது
2,Nase::N,أنف,மூக்கு
3,Mund::N,فم,வாய்
4,Zahn::N,سن,பல்
5,Zunge::N,لسان,நாக்கு
6,Lippe::N,شفة,உதடு
7,Wange::N,خد,கன்னம்
8,Wange::N,وجنة,கன்னம்
9,Gesicht::N,وجه,முகம்
10,Stirn::N,جبين,முன்னெற்றி
11,Haar::N,شعر,முடி
12,Schnurrbart::N,شارب,மீசை
13,Bart::N,لحية,தாடி
14,Kinn::N,ذقن,கீழதாடை
15,Kiefer[Anatomie]::N,فك,தாடை
16,Kehle::N,حلق,தொண்டை
17,Hals::N,عنق,கழுத்து
18,Hals::N,رقبة,கழுத்து
19,Genick::N,قفا,கழுத்து
20,Kopf::N,رأس,தலை
21,Rücken::N,ظهر,முதுகு
22,Bauch::N,بطن,வயிறு
23,Nabel::N,سرة,தொப்புள்
24,Busen::N,ثدي,மார்பகம்
25,Brust::N,صدر, மார்பு
26,Schulter::N,كتف,தோள்பட்டை
27,Arm::N,ذراع,கரம்
28,Ellenbogen::N,كوع,முழங்கை
29,Hand::N,يد,கை
30,Handfläche::N,كف,உள்ளங்கை
31,Finger::N,إصبع,விரல்
32,Fingernagel::N,ظفر,விரல் நகம்
33,Nagel[Anatomie]::N,ظفر,நகம்
34,Zeh::N,إصبع القدم,கால்விரல்
35,Fuß::N,قدم,கால்
36,Ferse::N,كعب,குதிகால்
37,Knie::N,ركبة,முழங்கால்
38,Oberschenkel::N,فخذ,தொடை
39,Bein::N,ساق,கால்
40,Körper::N,جسم,உடல்
41,Haut::N,بشرة,சருமம்
42,Blut::N,دم,இரத்தம்
43,Ader::N,عرق,நாளம்
44,Sehne::N,طنب,தசைநார்
45,Knochen::N,عظم,எலுமபு
46,Gehirn::N,دماغ,மூனை
47,Herz::N,قلب,இதயம
48,Magen::N,معدة,வயிறு
49,Leber::N,كبد,கல்லீரல்
50,Atem::N,نفس,மூச்சு
51,Hunger::N,جوع,பசி
