,Concept_ID,ru,fr
0,Auge::N,глаз,œil
1,Ohr::N,ухо,oreille
2,Nase::N,нос,nez
3,Mund::N,рот,bouche
4,Zahn::N,зуб,dent
5,Zunge::N,язык,langue
6,Lippe::N,губа,lèvre
7,Wange::N,щека,joue
8,Gesicht::N,лицо,face
9,Gesicht::N,лицо,visage
10,Stirn::N,лоб,front
11,Haar::N,волос,cheveu
12,Haar::N,волосы,cheveu
13,Schnurrbart::N,ус,moustache
14,Schnurrbart::N,усы,moustache
15,Bart::N,борода,barbe
16,Kinn::N,подбородок,menton
17,Kiefer[Anatomie]::N,челюсть,mâchoire
18,Kehle::N,горло,gorge
19,Hals::N,шея,cou
20,Genick::N,затылок,nuque
21,Kopf::N,голова,tête
22,Rücken::N,спина,dos
23,Bauch::N,живот,ventre
24,Nabel::N,пупок,nombril
25,Busen::N,женская грудь,sein
26,Brust::N,грудь,poitrine
27,Schulter::N,плечо,épaule
28,Arm::N,рука,bras
29,Ellenbogen::N,локоть,coude
30,Hand::N,кисть,main
31,Handfläche::N,ладонь,paume
32,Finger::N,палец,doigt
33,Fingernagel::N,ноготь,ongle
34,Nagel[Anatomie]::N,ноготь,ongle
35,Zeh::N,палец,orteil
36,Zeh::N,палец,doigt de pied
37,Fuß::N,ступня,pied
38,Ferse::N,пята,talon
39,Ferse::N,пятка,talon
40,Knie::N,колено,genou
41,Oberschenkel::N,бедро,cuisse
42,Bein::N,нога,jambe
43,Körper::N,тело,corps
44,Haut::N,кожа,peau
45,Blut::N,кровь,sang
46,Ader::N,вена,veine
47,Ader::N,сосуд,veine
48,Sehne::N,жила,tendon
49,Sehne::N,тетива,tendon
50,Sehne::N,сухожилие,tendon
51,Knochen::N,кость,os
52,Gehirn::N,мозг,cerveau
53,Herz::N,сердце,cœur
54,Magen::N,желудок,estomac
55,Leber::N,печень,foie
56,Atem::N,дух,haleine
57,Atem::N,дыхание,haleine
58,Hunger::N,голод,faim
59,Träne::N,слеза,larme
60,Geschmack::N,вкус,goût
61,Geschmack::N,вкус,saveur
62,Geruch::N,запах,odeur
63,Schlaf::N,сон,sommeil
64,Traum::N,сновидение,songe
65,Himmel::N,небо,ciel
66,Sonne::N,солнце,soleil
67,Mond::N,луна,lune
68,Stern::N,звезда,étoile
69,Luft::N,воздух,air
70,Wind::N,ветер,vent
71,Welle::N,волна,vague
72,Wasser::N,вода,eau
73,Stein::N,камень,pierre
74,Boden::N,почва,sol
75,Boden::N,почва,terrain
76,Erde::N,земля,terre
77,Staub::N,пыль,poussière
78,Rauch::N,дым,fumée
79,Funke::N,искра,étincelle
80,Feuer::N,огонь,feu
81,Licht::N,свет,lumière
82,Schatten::N,тень,ombre
83,Wetter::N,погода,temps
84,Nebel::N,туман,brume
85,Nebel::N,туман,brouillard
86,Wolke::N,облако,nuage
87,Regen::N,дождь,pluie
88,Schnee::N,снег,neige
89,Eis::N,лед,glace
90,Frost::N,мороз,gel
91,Frost::N,мороз,gelée
92,Kälte::N,холод,froid
93,Hitze::N,жара,chaleur
94,Raureif::N,иней,givre
95,Regenbogen::N,радуга,arc-en-ciel
96,Donner::N,гром,tonnerre
97,Strömung::N,течение,courant
98,Tropfen::N,капля,goutte
99,Schaum::N,пена,écume
