,Concept_ID,cv,ar
0,Auge::N,куҫ,عين
1,Ohr::N,хӑлха,أذن
2,Nase::N,сӑмса,أنف
3,Mund::N,ҫӑвар,فم
4,Zahn::N,шӑл,سن
5,Zunge::N,чӗлхе,لسان
6,Lippe::N,тута,شفة
7,Wange::N,пит ҫӑмарти,خد
8,Wange::N,пит ҫӑмарти,وجنة
9,Gesicht::N,пит,وجه
10,Gesicht::N,пит-куҫ,وجه
11,Stirn::N,ҫамка,جبين
12,Haar::N,ҫӳҫ,شعر
13,Schnurrbart::N,усси,شارب
14,Bart::N,сухал,لحية
15,Kinn::N,янах,ذقن
16,Kiefer[Anatomie]::N,янах,فك
17,Kehle::N,пыр,حلق
18,Kehle::N,карланкӑ,حلق
19,Hals::N,пыр,عنق
20,Hals::N,пыр,رقبة
21,Genick::N,ӗнсе,قفا
22,Kopf::N,пуҫ,رأس
23,Rücken::N,ҫурӑм,ظهر
24,Nabel::N,кӑвапа,سرة
25,Busen::N,кӑкӑр,ثدي
26,Brust::N,умӗ,صدر
27,Schulter::N,хул пуҫҫи,كتف
28,Arm::N,алӑ,ذراع
29,Ellenbogen::N,чавса,كوع
30,Hand::N,алӑ сыппи,يد
31,Handfläche::N,ал лаппи,كف
32,Finger::N,пӳрне,إصبع
33,Fingernagel::N,чӗрне,ظفر
34,Nagel[Anatomie]::N,чӗрне,ظفر
35,Zeh::N,пӳрне,إصبع القدم
36,Fuß::N,ура лаппи,قدم
37,Ferse::N,кӗле,كعب
38,Knie::N,чӗркуҫҫи,ركبة
39,Oberschenkel::N,пӗҫӗ,فخذ
40,Bein::N,ура,ساق
41,Körper::N,ӳт,جسم
42,Körper::N,ӳт-пӳ,جسم
43,Haut::N,тир,بشرة
44,Blut::N,юн,دم
45,Ader::N,вена,عرق
46,Sehne::N,шӑнӑр,طنب
47,Knochen::N,шӑмӑ,عظم
48,Gehirn::N,миме,دماغ
49,Herz::N,чӗре,قلب
50,Magen::N,хырӑмлӑх,معدة
51,Leber::N,пӗвер,كبد
52,Atem::N,сывлав,نفس
53,Hunger::N,выҫлӑх,جوع
54,Träne::N,куҫҫуль,دمعة
55,Geschmack::N,техӗм,طعم
56,Geschmack::N,техӗм,مذاق
57,Geruch::N,шӑршӑ,رائحة
58,Schlaf::N,ыйхӑ,نوم
59,Schlaf::N,ыйхӑ,منام
60,Traum::N,тӗлӗк,حلم
61,Himmel::N,пӗлӗт,سماء
62,Sonne::N,хӗвел,شمس
63,Mond::N,уйӑх,قمر
64,Stern::N,ҫӑлтӑр,نجم
65,Stern::N,ҫӑлтӑр,كوكب
66,Luft::N,сывлӑш,هواء
67,Wind::N,ҫил,ريح
68,Welle::N,хум,موجة
69,Wasser::N,шыв,ماء
70,Wasser::N,шыв-шур,ماء
71,Stein::N,чул,حجر
72,Boden::N,тӑпра,تراب
73,Erde::N,ҫӗр,أرض
74,Staub::N,тусан,غبار
75,Rauch::N,тӗтӗм,دخان
76,Funke::N,хӗм,شرارة
77,Feuer::N,вут,نار
78,Feuer::N,ҫулӑм,نار
79,Licht::N,ҫутӑ,نور
80,Licht::N,ҫутӑ,ضوء
81,Schatten::N,сулхӑн,ظل
82,Schatten::N,сулхӑн,فيء
83,Wetter::N,ҫанталӑк,جو
84,Wetter::N,ҫанталӑк,طقس
85,Nebel::N,тӗтре,ضباب
86,Wolke::N,пӗлӗт,غيمة
87,Wolke::N,пӗлӗт,سحابة
88,Regen::N,ҫумӑр,مطر
89,Schnee::N,юр,ثلج
90,Eis::N,пӑр,جليد
91,Frost::N,сивӗ,صقيع
92,Kälte::N,сивӗ,برد
93,Hitze::N,вӗри,حر
94,Hitze::N,вӗри,حرارة
95,Hitze::N,шӑрӑх,حر
96,Hitze::N,шӑрӑх,حرارة
97,Raureif::N,пас,صقيع
98,Regenbogen::N,асамат кӗперӗ,قوس قزح
99,Donner::N,аслати,رعد
100,Strömung::N,юхӑ,تيار
101,Tropfen::N,тумлам,قطرة
102,Schaum::N,кӑпӑк,زبد
103,Schaum::N,кӑпӑк,رغوة
104,Schmutz::N,пылчӑк,وسخ
105,See::N,кӳлӗ,بحيرة
106,Sumpf::N,шур,مستنقع
107,Sumpf::N,шурлӑх,مستنقع
108,Moor::N,торфлӑ шурлӑх,مستنقع
109,Wiese::N,улӑх,مرج
110,Wiese::N,ҫаран,مرج
111,Wald::N,вӑрман,غابة
112,Hügel::N,сӑрт,تل
113,Hügel::N,тӗмеске,تل
114,Anhöhe::N,сӑрт,تل
115,Berg::N,ту,جبل
116,Gipfel::N,тӳпе,قمة
117,Höhle::N,ҫӗр хӑвӑлӗ,كهف
118,Abhang::N,тӑвайкки,منحدر
119,Quelle::N,ҫӑл куҫ,منبع
120,Bach::N,пӗчӗк шыв,مجرى
121,Fluss::N,юхан шыв,نهر
122,Ufer::N,ҫыран,ضفة
123,Küste::N,тинӗс ҫыранӗ,ساحل
124,Festland::N,тип ҫӗр,بر
125,Meer::N,тинӗс,بحر
126,Bucht::N,тинӗс кукӑрӗ,خليج
127,Insel::N,утрав,جزيرة
128,Blume::N,чечек,زهرة
129,Gras::N,курӑк,حشيش
130,Wurzel::N,тымар,أصل
131,Baum::N,йывӑҫ,شجرة
132,Stamm::N,вулӑ,جذع
133,Rinde::N,хуйӑр,قشرة
134,Ast::N,турат,فرع
135,Zweig::N,турат,غصن
136,Blatt::N,ҫулҫӑ,ورقة
137,Birke::N,хурӑн,قضبان
138,Kiefer[Baum]::N,хыр,صنوبرة
139,Weide[Baum]::N,хӑва,صفصاف
140,Tanne::N,чӑрӑш,شوح
141,Tanne::N,чӑрӑш,تبوب
142,Horn::N,мӑйрака,قرن
143,Feder::N,тӗк,ريشة
144,Fell::N,ҫӑм,فرو
145,Flügel::N,ҫунат,جناح
146,Klaue::N,чӗрне,مخلب
147,Kralle::N,ура,مخلب
148,Schwanz::N,хӳре,ذيل
149,Ei::N,ҫӑмарта,بيض
150,Nest::N,йӑва,عش
151,Bau::N,йӗнӗ,جحر
152,Tier::N,выльӑх,حيوان
153,Herde::N,кӗтӳ,قطيع
154,Kuh::N,ӗне,بقرة
155,Bulle::N,вӑкӑр,ثور
156,Pferd::N,лаша,خيل
157,Schaf::N,сурӑх,شاة
158,Schwein::N,сысна,خنزير
159,Hund::N,йытӑ,كلب
160,Katze::N,кушак,قطة
161,Bär::N,упа,دب
