,Concept_ID,ab,lt
0,Auge::N,ала,akis
1,Ohr::N,алымҳа,ausis
2,Nase::N,аҧынҵа,nosis
3,Mund::N,аҧышə,burna
4,Zahn::N,ахаҧыц,dantis
5,Zunge::N,абз,liežuvis
6,Lippe::N,ақьышə,lūpa
7,Wange::N,аӡамҩа,žandas
8,Wange::N,аӡамҩа,skruostas
9,Gesicht::N,аҿы,veidas
10,Stirn::N,алахь,kakta
11,Haar::N,ахəыц,plaukai
12,Schnurrbart::N,аҧаҵа,ūsai
13,Bart::N,ажакьа,barzda
14,Kinn::N,ацламкəыгə,smakras
15,Kiefer[Anatomie]::N,ацламҳəа,žandikaulis
16,Kehle::N,ахəда,gerklė
17,Hals::N,ахəда,kaklas
18,Genick::N,ахəдаџьал,sprandas
19,Kopf::N,ахы,galva
20,Rücken::N,азқəа,nugara
21,Bauch::N,амгəа,pilvas
22,Nabel::N,аҷапан,bamba
23,Busen::N,агəыҧҳəы,krūtinė
24,Brust::N,агəышҧы,krūtis
25,Schulter::N,ажəҩахыр,petys
26,Arm::N,амахəар,ranka
27,Ellenbogen::N,амашьхəылҵ,alkūnė
28,Hand::N,анапы,ranka
29,Hand::N,анапы,plaštaka
30,Handfläche::N,анапсаргəыҵа,delnas
31,Handfläche::N,анапсаргəыҵа,plaštaka
32,Finger::N,анацəа,pirštas
33,Fingernagel::N,анапхыц,nagas
34,Nagel[Anatomie]::N,ашьапхыц,nagas
35,Zeh::N,ашьацəа,pirštas
36,Fuß::N,ашьапсыргəыҵа,pėda
37,Ferse::N,ашьхəа,kulnas
38,Knie::N,ашьамхы,kelis
39,Oberschenkel::N,ауаҭəа,kulšis
40,Oberschenkel::N,ауаҭəа,šlaunis
41,Bein::N,ашьапы,koja
42,Körper::N,ацəеижь,kūnas
43,Haut::N,ацəа,oda
44,Blut::N,ашьа,kraujas
45,Ader::N,ада,kraujagyslė
46,Sehne::N,адаш,sausgyslė
47,Knochen::N,абаҩ,kaulas
48,Gehirn::N,ахшлыбаҩ,smegenys
49,Gehirn::N,ахшыбаҩ,smegenys
