,Concept_ID,kn,lv
0,Auge::N,ಕಣ್ಣು,син
1,Auge::N,ಕಣ್ಣು,acs
2,Ohr::N,ಕಿವಿ,пель
3,Ohr::N,ಕಿವಿ,auss
4,Nase::N,ಮೂಗು,ныр
5,Nase::N,ಮೂಗು,deguns
6,Mund::N,ಬಾಯಿ,вом
7,Mund::N,ಬಾಯಿ,mute
8,Zahn::N,ಹಲ್ಲು,пинь
9,Zahn::N,ಹಲ್ಲು,zobs
10,Zunge::N,ನಾಲಿಗೆ,кыв
11,Zunge::N,ನಾಲಿಗೆ,mēle
12,Lippe::N,ತುಟಿ,вом дор
13,Lippe::N,ತುಟಿ,lūpa
14,Wange::N,ಗಲ್ಲ,бан
15,Wange::N,ಗಲ್ಲ,vaigs
16,Gesicht::N,ಮುಖ,чужӧм
17,Gesicht::N,ಮುಖ,seja
18,Gesicht::N,ಮುಖ,ģīmis
19,Stirn::N,ಹಣೆ,плеш
20,Stirn::N,ಹಣೆ,кымӧс
21,Stirn::N,ಹಣೆ,piere
22,Haar::N,ಕೂದಲು,си
23,Haar::N,ಕೂದಲು,юрси
24,Haar::N,ಕೂದಲು,mats
25,Schnurrbart::N,ಮೀಸೆ,ус
26,Schnurrbart::N,ಮೀಸೆ,пыртсим
27,Schnurrbart::N,ಮೀಸೆ,ūsas
28,Bart::N,ಗಡ್ಡ,тош
29,Bart::N,ಗಡ್ಡ,bārda
30,Kinn::N,ಗದ್ದ,тшӧка
31,Kinn::N,ಗದ್ದ,zods
32,Kinn::N,ಗದ್ದ,smakrs
33,Kiefer[Anatomie]::N,ದವಡೆ,черлы
34,Kiefer[Anatomie]::N,ದವಡೆ,алака лы
35,Kiefer[Anatomie]::N,ದವಡೆ,вомкӧтш лы
36,Kiefer[Anatomie]::N,ದವಡೆ,žoklis
37,Kehle::N,ಗಂಟಲು,голя
38,Kehle::N,ಗಂಟಲು,rīkle
39,Hals::N,ಕೊರಳು,сьылі
40,Hals::N,ಕೊರಳು,kakls
41,Genick::N,ಹಿಂಗತ್ತು,юрбӧр
42,Genick::N,ಹಿಂಗತ್ತು,балябӧж
43,Genick::N,ಹಿಂಗತ್ತು,sprands
44,Kopf::N,ತಲೆ,юр
45,Kopf::N,ತಲೆ,galva
46,Rücken::N,ಬೆನ್ನು,мыш
47,Rücken::N,ಬೆನ್ನು,mugura
48,Bauch::N,ಹೊಟ್ಟೆ,рушку
49,Bauch::N,ಹೊಟ್ಟೆ,vēders
50,Nabel::N,ಹೊಕ್ಕುಳು,гӧг
51,Nabel::N,ಹೊಕ್ಕುಳು,naba
52,Busen::N,ಸ್ತನ,морӧс
53,Busen::N,ಸ್ತನ,krūts
54,Brust::N,ಎದೆ,морӧс
55,Brust::N,ಎದೆ,krūts
56,Schulter::N,ಭುಜ,пельпом
57,Schulter::N,ಭುಜ,plecs
58,Arm::N,ತೋಳು,ки
59,Arm::N,ತೋಳು,roka
60,Arm::N,ತೋಳು,delms
61,Ellenbogen::N,ಮೊಣಕೈ,гырддза
62,Ellenbogen::N,ಮೊಣಕೈ,elkonis
63,Hand::N,ಕೈ,ки
64,Hand::N,ಕೈ,roka
65,Hand::N,ಕೈ,plauksta
66,Handfläche::N,ಅಂಗೈ,ки пыдӧс
67,Handfläche::N,ಅಂಗೈ,delna
68,Handfläche::N,ಅಂಗೈ,plauksta
69,Finger::N,ಕೈಬೆರಳು,чунь
70,Finger::N,ಕೈಬೆರಳು,pirksts
71,Fingernagel::N,ಉಗುರು,гыж
72,Fingernagel::N,ಉಗುರು,nags
73,Nagel[Anatomie]::N,ಉಗುರು,гыж
74,Nagel[Anatomie]::N,ಉಗುರು,nags
75,Zeh::N,ಕಾಲ್ಬೆರಳು,кок чунь
76,Zeh::N,ಕಾಲ್ಬೆರಳು,pirksts
77,Fuß::N,ಪಾದ,кок
78,Fuß::N,ಪಾದ,kāja
79,Ferse::N,ಹಿಮ್ಮಡಿ,кокбӧр
80,Ferse::N,ಹಿಮ್ಮಡಿ,papēdis
81,Knie::N,ಮಂಡಿ,пидзӧс
82,Knie::N,ಮಂಡಿ,celis
83,Oberschenkel::N,ತೊಡೆ,лядьвей
84,Oberschenkel::N,ತೊಡೆ,бек
85,Oberschenkel::N,ತೊಡೆ,ciska
86,Oberschenkel::N,ತೊಡೆ,augšstilbs
87,Bein::N,ಕಾಲು,кок
88,Bein::N,ಕಾಲು,kāja
89,Körper::N,ದೇಹ,туша
90,Körper::N,ದೇಹ,вывтыр
91,Körper::N,ದೇಹ,miesa
92,Körper::N,ದೇಹ,ķermenis
93,Haut::N,ಚರ್ಮ,ку
94,Haut::N,ಚರ್ಮ,āda
95,Blut::N,ರಕ್ತ,вир
96,Blut::N,ರಕ್ತ,asins
97,Ader::N,ನರ,сӧн
98,Ader::N,ನರ,asinsvads
99,Sehne::N,ನರ,вез
100,Sehne::N,ನರ,dzīsla
101,Knochen::N,ಮೂಳೆ,лы
102,Knochen::N,ಮೂಳೆ,kauls
103,Gehirn::N,ಮಿದುಳು,вем
104,Gehirn::N,ಮಿದುಳು,smadzenes
105,Herz::N,ಹೃದಯ,сьӧлӧм
106,Herz::N,ಹೃದಯ,sirds
107,Magen::N,ಉದರ,кынӧм
108,Magen::N,ಉದರ,kuņģis
109,Leber::N,ಯಕೃತ್ತು,мус
110,Leber::N,ಯಕೃತ್ತು,aknas
111,Atem::N,ಉಸಿರು,лов
112,Atem::N,ಉಸಿರು,elpa
113,Hunger::N,ಹಸಿವು,тшыг
114,Hunger::N,ಹಸಿವು,bads
115,Hunger::N,ಹಸಿವು,izsalkums
116,Träne::N,ಕಣ್ಣೀರು,синва
117,Träne::N,ಕಣ್ಣೀರು,asara
118,Geschmack::N,ರುಚಿ,кӧр
119,Geschmack::N,ರುಚಿ,чӧсмӧс
120,Geschmack::N,ರುಚಿ,garša
121,Geruch::N,ವಾಸನೆ,зын
122,Geruch::N,ವಾಸನೆ,дук
123,Geruch::N,ವಾಸನೆ,smaka
124,Schlaf::N,ನಿದ್ರೆ,узьӧм
125,Schlaf::N,ನಿದ್ರೆ,miegs
126,Traum::N,ಕನಸು,вӧт
127,Traum::N,ಕನಸು,вӧтасьӧм
128,Traum::N,ಕನಸು,sapnis
129,Himmel::N,ಬಾನು,енэж
130,Himmel::N,ಬಾನು,debess
131,Sonne::N,ಸೂರ್ಯ,шонді
132,Sonne::N,ಸೂರ್ಯ,saule
133,Mond::N,ಚಂದ್ರ,тӧлысь
134,Mond::N,ಚಂದ್ರ,mēness
135,Stern::N,ಚುಕ್ಕಿ,кодзув
136,Stern::N,ಚುಕ್ಕಿ,zvaigzne
137,Luft::N,ವಾಯು,сынӧд
138,Luft::N,ವಾಯು,gaiss
139,Wind::N,ಗಾಳಿ,тӧв
140,Wind::N,ಗಾಳಿ,vējš
141,Welle::N,ಅಲೆ,гы
142,Welle::N,ಅಲೆ,vilnis
143,Wasser::N,ನೀರು,ва
144,Wasser::N,ನೀರು,ūdens
145,Stein::N,ಕಲ್ಲು,из
146,Stein::N,ಕಲ್ಲು,akmens
147,Boden::N,ನೆಲ,му
148,Boden::N,ನೆಲ,augsne
149,Erde::N,ಭೂಮಿ,му
150,Erde::N,ಭೂಮಿ,му-ва
151,Erde::N,ಭೂಮಿ,zeme
152,Staub::N,ದೂಳು,бус
153,Staub::N,ದೂಳು,putekļi
154,Rauch::N,ಹೊಗೆ,тшын
155,Rauch::N,ಹೊಗೆ,dūmi
156,Funke::N,ಕಿಡಿ,кинь
157,Funke::N,ಕಿಡಿ,би кинь
158,Funke::N,ಕಿಡಿ,dzirkstele
159,Feuer::N,ಬೆಂಕಿ,би
160,Feuer::N,ಬೆಂಕಿ,uguns
161,Licht::N,ಬೆಳಕು,югӧр
162,Licht::N,ಬೆಳಕು,gaisma
163,Schatten::N,ನೆರಳು,вуджӧр
164,Schatten::N,ನೆರಳು,ēna
165,Wetter::N,ಹವ,поводдя
166,Wetter::N,ಹವ,laiks
167,Nebel::N,ಮಂಜು,ру
168,Nebel::N,ಮಂಜು,онь
169,Nebel::N,ಮಂಜು,migla
170,Wolke::N,ಮೋಡ,кымӧр
171,Wolke::N,ಮೋಡ,mākonis
172,Regen::N,ಮಳೆ,зэр
173,Regen::N,ಮಳೆ,lietus
174,Schnee::N,ಹಿಮ,лым
175,Schnee::N,ಹಿಮ,sniegs
