,Concept_ID,cs,pt
0,Auge::N,oko,olho
1,Ohr::N,ucho,orelha
2,Nase::N,nos,nariz
3,Mund::N,pusa,boca
4,Zahn::N,zub,dente
5,Zunge::N,jazyk,língua
6,Lippe::N,ret,lábio
7,Wange::N,tvář,face
8,Gesicht::N,obličej,cara
9,Gesicht::N,obličej,rosto
10,Stirn::N,čelo,testa
11,Haar::N,vlas,cabelo
12,Haar::N,vlasy,cabelo
13,Schnurrbart::N,kníry,bigode
14,Bart::N,vousy,barba
15,Kinn::N,brada,queixo
16,Kiefer[Anatomie]::N,čelist,maxila
17,Kiefer[Anatomie]::N,čelist,mandíbula
18,Kehle::N,hrdlo,garganta
19,Hals::N,krk,colo
20,Hals::N,krk,pescoço
21,Genick::N,týl,nuca
22,Kopf::N,hlava,cabeça
23,Rücken::N,záda,dorso
24,Rücken::N,záda,costas
25,Rücken::N,hřbet,dorso
26,Rücken::N,hřbet,costas
27,Bauch::N,břicho,ventre
28,Bauch::N,břicho,barriga
29,Nabel::N,pupek,umbigo
30,Busen::N,ňadra,seio
31,Brust::N,prsa,peito
32,Schulter::N,plece,ombro
33,Schulter::N,rameno,ombro
34,Arm::N,ruka,braço
35,Ellenbogen::N,loket,cotovelo
36,Hand::N,ruka,mão
37,Handfläche::N,dlaň,palma
38,Handfläche::N,dlaň,palma da mão
39,Finger::N,prst,dedo
40,Fingernagel::N,nehet,unha
41,Nagel[Anatomie]::N,nehet,unha
42,Zeh::N,prst u nohy,dedo do pé
43,Fuß::N,noha,pé
44,Ferse::N,pata,calcanhar
45,Knie::N,koleno,joelho
46,Oberschenkel::N,stehno,coxa
47,Bein::N,noha,perna
48,Körper::N,tělo,corpo
49,Haut::N,kůže,pele
50,Blut::N,krev,sangue
51,Ader::N,céva,veia
52,Sehne::N,šlacha,tendão
53,Knochen::N,kost,osso
54,Gehirn::N,mozek,cérebro
55,Herz::N,srdce,coração
56,Magen::N,žaludek,estômago
57,Leber::N,játra,fígado
58,Atem::N,dech,fôlego
59,Hunger::N,hlad,fome
60,Träne::N,slza,lágrima
61,Geschmack::N,vkus,gosto
62,Geruch::N,vůně,odor
63,Geruch::N,vůně,cheiro
64,Geruch::N,zápach,odor
65,Geruch::N,zápach,cheiro
66,Schlaf::N,spánek,sono
67,Traum::N,sen,sonho
68,Himmel::N,nebe,céu
69,Sonne::N,slunce,sol
70,Mond::N,měsíc,lua
71,Stern::N,hvězda,estrela
72,Luft::N,vzduch,ar
73,Wind::N,vítr,vento
74,Welle::N,vlna,onda
75,Wasser::N,voda,água
76,Stein::N,kámen,pedra
77,Boden::N,půda,solo
78,Erde::N,země,terra
79,Staub::N,prach,pó
80,Rauch::N,dým,fumo
81,Rauch::N,kouř,fumo
82,Funke::N,jiskra,faísca
83,Funke::N,jiskra,centelha
84,Feuer::N,oheň,fogo
85,Licht::N,světlo,luz
86,Schatten::N,stín,sombra
87,Wetter::N,počasí,tempo
88,Nebel::N,mlha,nevoeiro
89,Wolke::N,mrak,nuvem
90,Wolke::N,oblak,nuvem
91,Regen::N,déšť,chuva
92,Schnee::N,sníh,neve
93,Eis::N,led,gelo
94,Frost::N,mráz,gelo
95,Frost::N,mráz,geada
96,Kälte::N,chlad,frio
97,Hitze::N,horko,ardor
98,Raureif::N,jinovatka,geada
99,Regenbogen::N,duha,arco-iris
100,Donner::N,hrom,trovão
101,Strömung::N,proudění,corrente
102,Tropfen::N,kapka,gota
103,Schaum::N,pěna,espuma
104,Schmutz::N,špína,sujidade
105,Schmutz::N,špína,imundície
106,See::N,jezero,lago
107,Sumpf::N,močál,charco
108,Sumpf::N,močál,pântano
109,Sumpf::N,bažina,charco
110,Sumpf::N,bažina,pântano
111,Moor::N,bažina,pântano
112,Moor::N,slatina,pântano
113,Wiese::N,louka,prado
114,Wald::N,les,bosque
115,Wald::N,les,floresta
116,Hügel::N,kopec,colina
117,Anhöhe::N,pahorek,alto
118,Anhöhe::N,pahorek,outeiro
119,Berg::N,hora,monte
120,Berg::N,hora,montanha
121,Gipfel::N,vrchol,pico
122,Höhle::N,jeskyně,caverna
123,Abhang::N,svah,encosta
124,Abhang::N,stráň,encosta
125,Quelle::N,pramen,fonte
126,Bach::N,potok,regato
127,Bach::N,potok,ribeiro
128,Fluss::N,řeka,rio
129,Ufer::N,břeh,beira
130,Küste::N,pobřeží,costa
131,Festland::N,souš,terra firme
132,Festland::N,pevnina,terra firme
133,Meer::N,moře,mar
134,Bucht::N,záliv,baía
135,Bucht::N,zátoka,baía
136,Insel::N,ostrov,ilha
137,Blume::N,květina,flor
138,Gras::N,tráva,erva
139,Wurzel::N,kořen,raiz
140,Baum::N,strom,árvore
141,Stamm::N,kmen,tronco
142,Rinde::N,kůra,casca
143,Ast::N,větev,ramo
144,Zweig::N,větev,galho
145,Blatt::N,lupen,folha
146,Birke::N,bříza,bétula
147,Kiefer[Baum]::N,sosna,pinheiro
148,Kiefer[Baum]::N,borovice,pinheiro
149,Weide[Baum]::N,vrba,salgueiro
150,Tanne::N,jedle,abeto
151,Horn::N,roh,corno
152,Horn::N,roh,chifre
153,Feder::N,pero,pena
154,Fell::N,srst,pele
155,Flügel::N,křídlo,asa
156,Klaue::N,dráp,pata
157,Klaue::N,pazneht,pata
158,Kralle::N,dráp,unha
159,Kralle::N,dráp,garra
160,Schwanz::N,ocas,rabo
161,Schwanz::N,ocas,cauda
162,Ei::N,vejce,ovo
163,Nest::N,hnízdo,ninho
164,Bau::N,nora,toca
165,Bau::N,nora,covil
166,Tier::N,zvíře,animal
167,Herde::N,stádo,rebanho
168,Kuh::N,kráva,vaca
169,Bulle::N,býk,touro
170,Pferd::N,kůň,cavalo
171,Schaf::N,ovce,ovelha
172,Schwein::N,vepř,porco
173,Schwein::N,prase,porco
174,Hund::N,pes,cão
175,Katze::N,kočka,gata
176,Bär::N,medvěd,urso
177,Eichhörnchen::N,veverka,esquilo
178,Elch::N,los,alce
179,Fuchs::N,liška,raposa
180,Hase::N,zajíc,lebre
181,Maus::N,myš,rato
182,Wolf::N,vlk,lobo
183,Vogel::N,pták,ave
184,Vogel::N,pták,pássaro
185,Schwarm::N,roj,bando
186,Schwarm::N,roj,enxame
187,Schwarm::N,hejno,bando
188,Schwarm::N,hejno,enxame
189,Huhn::N,kuře,galinha
190,Huhn::N,slepice,galinha
191,Hahn::N,kohout,galo
192,Gans::N,husa,ganso
193,Adler::N,orel,águia
194,Ente::N,kachna,pata
195,Eule::N,sova,mocho
196,Eule::N,sova,coruja
197,Kranich::N,jeřáb,grou
198,Krähe::N,vrána,gralha
199,Kuckuck::N,kukačka,cuco
200,Schwan::N,labuť,cisne
201,Fisch::N,ryba,peixe
202,Barsch::N,okoun,perca
203,Hecht::N,štika,lúcio
204,Schlange[Tier]::N,had,serpente
205,Wurm::N,červ,verme
206,Spinne::N,pavouk,aranha
207,Ameise::N,mravenec,formiga
208,Laus::N,veš,piolho
209,Mücke::N,komár,mosquito
210,Fliege::N,moucha,mosca
211,Schmetterling::N,motýl,borboleta
212,Beere::N,bobule,bago
213,Apfel::N,jablko,maçã
214,Pilz::N,houba,fungo
215,Pilz::N,houba,cogumelo
216,Zwiebel::N,cibule,cebola
217,Saat::N,osivo,sementeira
218,Korn::N,zrno,grão
219,Heu::N,seno,feno
220,Schale::N,slupka,casca
221,Schale::N,skořápka,casca
222,Grube::N,jáma,cova
223,Grube::N,jáma,fossa
224,Falle::N,past,armadilha
225,Falle::N,léčka,armadilha
226,Schlinge::N,smyčka,laço
227,Spur::N,stopa,pista
228,Spur::N,stopa,vestígio
229,Asche::N,popel,cinza
230,Dreck::N,špína,sujidade
231,Eisen::N,železo,ferro
232,Gold::N,zlato,ouro
233,Silber::N,stříbro,prata
234,Kohle::N,uhlí,carvão
235,Glas::N,sklo,vidro
236,Lehm::N,jíl,barro
237,Lehm::N,jíl,argila
238,Lehm::N,hlína,barro
239,Lehm::N,hlína,argila
240,Sand::N,písek,areia
241,Mensch::N,člověk,homem
242,Mensch::N,člověk,pessoa
243,Mann::N,muž,homem
244,Frau::N,žena,mulher
245,Kind::N,dítě,filho
246,Kind::N,dítě,criança
247,Junge::N,hoch,rapaz
248,Junge::N,hoch,menino
249,Junge::N,chlapec,rapaz
250,Junge::N,chlapec,menino
251,Mädchen::N,děvče,menina
252,Mädchen::N,děvče,rapariga
253,Familie::N,rodina,família
254,Großvater::N,děd,avô
255,Großvater::N,dědeček,avô
256,Großmutter::N,babička,avó
257,Eltern::N,rodiče,pais
258,Vater::N,otec,pai
259,Mutter::N,matka,mãe
260,Sohn::N,syn,filho
261,Tochter::N,dcera,filha
262,Bruder::N,bratr,irmão
263,Schwester::N,sestra,irmã
264,Onkel::N,strýc,tio
265,Tante::N,teta,tia
266,Ehemann::N,choť,esposo
267,Ehemann::N,manžel,esposo
268,Ehefrau::N,choť,esposa
269,Ehefrau::N,manželka,esposa
270,Freude::N,radost,prazer
271,Freude::N,radost,alegria
272,Gelächter::N,smích,risada
273,Gelächter::N,smích,gargalhada
274,Glück::N,štěstí,felicidade
275,Kummer::N,žal,aflição
276,Kummer::N,žal,desgosto
277,Kummer::N,trápení,aflição
278,Kummer::N,trápení,desgosto
279,Wunsch::N,přání,desejo
280,Lust::N,chuť,vontade
281,Geist::N,duch,mente
282,Geist::N,duch,espírito
283,Gedanke::N,myšlenka,ideia
284,Gedanke::N,myšlenka,pensamento
285,Gedächtnis::N,paměť,memória
286,Verstand::N,rozum,razão
287,Verstand::N,rozum,inteligência
288,Sinn::N,smysl,sentido
289,Sinn::N,smysl,significado
290,Grund::N,důvod,causa
291,Grund::N,důvod,motivo
292,Wahrheit::N,pravda,verdade
293,Gespräch::N,rozhovor,conversa
294,Gespräch::N,rozhovor,conversação
295,Märchen::N,pohádka,conto
296,Erzählung::N,povídka,conto
297,Erzählung::N,povídka,narrativa
298,Nachricht::N,zpráva,mensagem
299,Neuigkeit::N,novina,notícia
300,Neuigkeit::N,novina,novidade
301,Neuigkeit::N,novinka,notícia
302,Neuigkeit::N,novinka,novidade
303,Name::N,jméno,nome
304,Rätsel::N,hádanka,adivinha
305,Rede::N,řeč,oração
306,Rede::N,řeč,discurso
307,Rede::N,proslov,oração
308,Rede::N,proslov,discurso
309,Sprache::N,řeč,língua
310,Sprache::N,jazyk,língua
311,Stimme::N,hlas,voz
312,Wort::N,slovo,palavra
313,Zeichen::N,znamení,marca
314,Ruf::N,zavolání,grito
315,Ruf::N,zavolání,chamada
316,Lärm::N,hluk,ruído
317,Lärm::N,hluk,barulho
318,Laut::N,zvuk,som
319,Ton::N,tón,tom
320,Lied::N,píseň,canção
321,Ruhe::N,klid,calma
322,Ruhe::N,klid,silêncio
323,Ruhe::N,pokoj,calma
324,Ruhe::N,pokoj,silêncio
325,Leute::N,lidé,gente
326,Leute::N,lidé,pessoas
327,Volk::N,národ,povo
328,Volk::N,národ,nação
329,Arbeit::N,práce,trabalho
330,Gast::N,host,hóspede
331,Gast::N,host,convidado
332,Geschenk::N,dar,prenda
333,Geschenk::N,dar,presente
334,Spiel::N,hra,jogo
335,Gesellschaft::N,společnost,companhia
336,Hilfe::N,pomoc,ajuda
337,Hilfe::N,pomoc,socorro
338,Freund::N,přítel,amigo
339,Kamerad::N,kamarád,camarada
340,Angelegenheit::N,záležitost,assunto
341,Anzahl::N,počet,número
342,Anzahl::N,počet,quantidade
343,Art::N,druh,tipo
344,Art::N,druh,espécie
345,Stück::N,kus,pedaço
346,Stück::N,kousek,pedaço
347,Teil::N,díl,peça
348,Teil::N,díl,parte
349,Teil::N,část,peça
350,Teil::N,část,parte
351,Hälfte::N,půl,metade
352,Kreis::N,kruh,círculo
353,Kreuz::N,kříž,cruz
354,Linie::N,linka,linha
355,Strich::N,čára,traço
356,Strich::N,čárka,traço
357,Abstand::N,vzdálenost,distância
358,Entfernung::N,vzdálenost,distância
359,Gegend::N,krajina,área
360,Gegend::N,krajina,região
361,Platz::N,prostor,lugar
362,Ort::N,místo,sítio
363,Seite::N,strana,lado
364,Mitte::N,střed,meio
365,Mitte::N,prostředek,meio
366,Gegenstand::N,předmět,objecto
367,Sache::N,věc,coisa
368,Rand::N,kraj,bordo
369,Rand::N,kraj,margem
370,Rand::N,okraj,bordo
371,Rand::N,okraj,margem
372,Kante::N,hrana,borda
373,Kante::N,hrana,aresta
374,Ecke::N,roh,esquina
375,Spitze::N,hrot,ponta
376,Spitze::N,špička,ponta
377,Ende::N,konec,cabo
378,Ende::N,konec,extremo
379,Loch::N,díra,furo
380,Loch::N,díra,buraco
381,Winkel::N,kout,canto
382,Winkel::N,kout,ângulo
383,Muster::N,vzor,padrão
384,Muster::N,vzor,desenho
385,Größe::N,velikost,tamanho
386,Länge::N,délka,comprimento
387,Höhe::N,výška,altura
388,Höhe::N,výška,altitude
389,Gewicht::N,váha,peso
390,Menge::N,množství,quantidade
391,Haufen::N,kupa,pilha
392,Haufen::N,hromada,pilha
393,Reihe::N,řada,fila
394,Reihe::N,řádek,fila
395,Boot::N,člun,barco
396,Ruder::N,veslo,remo
397,Schlitten::N,sáně,trenó
398,Ski::N,lyže,esqui
399,Lagerfeuer::N,táborák,fogueira
400,Last::N,náklad,carga
401,Last::N,břemeno,carga
402,Gang::N,chůze,curso
403,Gang::N,chůze,caminhada
404,Gang::N,chodba,curso
405,Gang::N,chodba,caminhada
406,Schritt::N,krok,passo
407,Norden::N,sever,norte
408,Süden::N,jih,sul
409,Westen::N,západ,oeste
410,Westen::N,západ,ocidente
411,Osten::N,východ,este
412,Osten::N,východ,leste
413,Osten::N,východ,oriente
414,Holz::N,dřevo,madeira
415,Brett::N,prkno,tábua
416,Brett::N,prkno,prancha
417,Platte::N,deska,laje
418,Platte::N,deska,chapa
419,Stütze::N,opěra,apoio
420,Stütze::N,opěra,suporte
421,Stange::N,tyč,vara
422,Stange::N,tyč,barra
