,Concept_ID,ps,myv
0,Auge::N,سترګه,сельме
1,Ohr::N,غوږ,пиле
2,Nase::N,پوزه,судо
3,Mund::N,خوله,курго
4,Zahn::N,غاښ,пей
5,Zunge::N,جبه,кель
6,Lippe::N,شونډه,турва
7,Wange::N,باړخو,чамабока
8,Wange::N,باړخو,чамаумарь
9,Gesicht::N,مخ,чама
10,Stirn::N,تندی,коня
11,Stirn::N,وچولی,коня
12,Haar::N,وېښته,черь
13,Schnurrbart::N,برېت,ус
14,Schnurrbart::N,برېت,муюк
15,Bart::N,ږیره,сакал
16,Kinn::N,زنه,уло
17,Kiefer[Anatomie]::N,جامه,пейпакар
18,Kiefer[Anatomie]::N,جامه,пейловажа
19,Kehle::N,غاړه,кирьгапарь
20,Hals::N,غاړه,кирьга
21,Genick::N,ورمېږ,човонь
22,Kopf::N,سر,пря
23,Rücken::N,شا,копорь
24,Bauch::N,نس,пеке
25,Bauch::N,ګېډه,пеке
26,Nabel::N,نوم,почо
27,Busen::N,تی,поте
28,Brust::N,سینه,меште
29,Schulter::N,اوږه,лавтов
30,Arm::N,لاس,кедь
31,Ellenbogen::N,څنګل,кенерепакарь
32,Hand::N,لاس,кедь
33,Handfläche::N,ورغوی,кедькуншка
34,Handfläche::N,ورغوی,кедьлапушка
35,Finger::N,ګوته,сур
36,Fingernagel::N,نوک,кенже
37,Nagel[Anatomie]::N,نوک,кенже
38,Zeh::N,ګوته,пильге сур
39,Fuß::N,پښه,пильге
40,Ferse::N,پونده,кочкаря
41,Knie::N,زنګون,эле
42,Knie::N,زنګون,эзне
43,Knie::N,زنګون,кумажа
44,Oberschenkel::N,پتون,качо
45,Bein::N,پښه,пильге
46,Körper::N,ځان,рунго
47,Haut::N,پوټکی,киське
48,Blut::N,وینه,верь
49,Ader::N,رګ,сан
50,Sehne::N,پله,коське сан
51,Knochen::N,هډوکی,пакарь
52,Gehirn::N,ماغزه,удем
53,Herz::N,زړه,седей
54,Magen::N,معده,пеке
55,Leber::N,ينه,максо
56,Leber::N,ځیګر,максо
57,Atem::N,نفس,лексема
58,Atem::N,نفس,оймень таргсема
59,Hunger::N,ولږه,вачочи
60,Träne::N,اوښکه,селведь
61,Geschmack::N,مزه,тансть
62,Geschmack::N,خوند,тансть
63,Geruch::N,بوی,чине
64,Schlaf::N,خوب,удома
65,Traum::N,خوب,он
66,Himmel::N,اسمان,менель
67,Sonne::N,لمر,чи
68,Mond::N,سپوږمۍ,ков
69,Stern::N,ستوری,теште
70,Luft::N,هوا,кошт
71,Wind::N,ورښ,варма
72,Welle::N,موج,толкун
73,Wasser::N,اوبه,ведь
74,Stein::N,ډبره,кев
75,Boden::N,مځکه,мода
76,Erde::N,خاوره,мастор
77,Staub::N,ګرد,пуль
78,Staub::N,خاوره,пуль
79,Rauch::N,دود,качамо
80,Rauch::N,لوګی,качамо
81,Funke::N,سپرغۍ,сятко
82,Feuer::N,اور,тол
83,Licht::N,رڼا,валдо
84,Schatten::N,سیوری,сулей
85,Schatten::N,سیوری,сулейкс
86,Wetter::N,هوا,ушо
87,Nebel::N,لړه,сув
88,Wolke::N,ورېځ,пель
89,Regen::N,وریا,пиземс
90,Regen::N,باران,пиземс
91,Schnee::N,واوره,лов
92,Eis::N,یخ,эй
93,Eis::N,کنګل,эй
94,Frost::N,یخ,кельме
95,Kälte::N,ساړه,якшамо
96,Hitze::N,تودوخي,пси
97,Raureif::N,سپینه پرخه,лекш
98,Regenbogen::N,بوډۍ ټال,пурьгинечирьке
99,Regenbogen::N,بوډۍ ټال,пурьгинеёнкс
100,Regenbogen::N,سره زرغونه,пурьгинечирьке
101,Regenbogen::N,سره زرغونه,пурьгинеёнкс
102,Donner::N,تالنده,пурьгине
103,Strömung::N,بهېدنه,чудема
104,Strömung::N,بهېدنه,чудевкс
105,Tropfen::N,قطره,петнявкс
106,Tropfen::N,څاڅکی,петнявкс
107,Schaum::N,ځګ,чов
108,Schmutz::N,ناپاکي,рудаз
109,See::N,جهیل,эрьке
110,Sumpf::N,جبه,чей
111,Moor::N,جبه,чей
112,Wiese::N,چمن,луга
113,Wiese::N,شنېلی,луга
114,Wald::N,ځنګل,вирь
115,Hügel::N,تپه,губорь
116,Hügel::N,تپه,пандыне
117,Anhöhe::N,غونډۍ,губорь
118,Anhöhe::N,غونډۍ,пандыне
119,Berg::N,غ‍‍‍‍‍ر,пандо
120,Gipfel::N,څوکه,пря
121,Höhle::N,کاز,пещера
122,Abhang::N,لمن,пандочама
123,Quelle::N,چینه,ушодкс
124,Bach::N,واله,чудикерькс
125,Fluss::N,سیند,лей
126,Ufer::N,غاړه,чире
127,Küste::N,ساحل,лейчире
128,Festland::N,وچه,мода
129,Meer::N,بحر,моря
130,Meer::N,سمندر,моря
131,Bucht::N,کارۍ,усия
132,Insel::N,ټاپو,усия
133,Insel::N,جزيره,усия
134,Blume::N,ګل,цеця
135,Gras::N,واښه,тикше
136,Wurzel::N,ریښه,юр
137,Wurzel::N,ریښه,ундокс
138,Baum::N,ونه,чувто
139,Stamm::N,ډډ,рунго
140,Rinde::N,پوستکی,суд
141,Rinde::N,پوستکی,керь
142,Ast::N,ښاخ,морго
143,Zweig::N,څانګه,тарад
144,Blatt::N,پاڼه,лопа
145,Birke::N,توس,килей
146,Kiefer[Baum]::N,نښتر,пиче
147,Weide[Baum]::N,وله,каль
148,Tanne::N,ناجو,куз
149,Horn::N,ښکر,сюро
150,Feder::N,بڼکه,толга
151,Fell::N,پوستکی,пона
152,Flügel::N,وزر,сёлмо
153,Klaue::N,پنجه,кенже
154,Klaue::N,منګول,кенже
155,Kralle::N,پنجه,кенже
156,Kralle::N,منګول,кенже
157,Schwanz::N,لکۍ,пуло
158,Ei::N,وۍ,ал
159,Ei::N,هګۍ,ал
160,Nest::N,جاله,пизэ
161,Bau::N,کاز,варя
162,Bau::N,کاز,пизе
163,Tier::N,ژوی,ракша
164,Tier::N,حیوان,ракша
165,Herde::N,رمه,стада
166,Herde::N,غېله,стада
167,Kuh::N,غوا,скал
168,Bulle::N,غوئی,бука
169,Pferd::N,آس,лишме
170,Schaf::N,پسه,реве
171,Schwein::N,سرکوزی,туво
172,Hund::N,سپی,пине
173,Hund::N,سپی,киска
174,Katze::N,پشه,псака
175,Bär::N,خرس,овто
176,Eichhörnchen::N,خړ لمی,ур
177,Elch::N,ګوزن,сярдо
178,Fuchs::N,سپلم,ривезь
179,Hase::N,سوی,нумоло
180,Maus::N,مږک,чеерь
181,Wolf::N,لېوه,верьгиз
182,Vogel::N,مرغه,нармунь
183,Schwarm::N,سېل,полк
184,Schwarm::N,سېل,стада
185,Huhn::N,چرګه,сараз
186,Hahn::N,چرګ,атякш
187,Gans::N,بته,гала
188,Gans::N,بته,мацей
189,Adler::N,عقاب,куцькан
190,Adler::N,عقاب,тумоатякш
191,Ente::N,ایلۍ,яксярго
192,Eule::N,ګونګی,корж
193,Kranich::N,کلنګ,карго
194,Krähe::N,کارغه,варака
195,Kuckuck::N,فاخته,куко
196,Schwan::N,قو,локсей
197,Fisch::N,کب,кал
198,Fisch::N,ماهی,кал
199,Schlange[Tier]::N,مار,гуй
200,Wurm::N,چینجی,сукс
201,Spinne::N,غڼه,шанжав
202,Spinne::N,تارکښ,шанжав
203,Ameise::N,مېږی,коткудав
204,Laus::N,سپږه,сий
205,Mücke::N,ماشی,сеське
206,Fliege::N,مچ,карво
207,Schmetterling::N,پتنګ,нимиляв
208,Beere::N,مېوۍ,умарь
209,Apfel::N,مڼه,умарь
210,Pilz::N,خرېړی,панго
211,Zwiebel::N,پیاز,чурька
212,Saat::N,تخم,видьметь
213,Korn::N,تخم,сюро
214,Korn::N,دانه,сюро
215,Heu::N,بوس,тикше
216,Heu::N,پروړه,тикше
217,Schale::N,پوستکی,кедь
218,Schale::N,پوستکی,ваткавкс
219,Grube::N,کنده,латко
220,Falle::N,دام,тувор
221,Falle::N,دام,кундамка
222,Falle::N,لومه,тувор
223,Falle::N,لومه,кундамка
224,Schlinge::N,کړۍ,килькш
225,Spur::N,نښه,челькс
226,Spur::N,نښه,пильгеки
227,Asche::N,آس,кулов
228,Asche::N,ایره,кулов
229,Dreck::N,ناپاکي,рудаз
230,Eisen::N,اوسپنه,кшни
231,Gold::N,سره زر,сырне
232,Silber::N,نقره,сия
233,Silber::N,سپین زر,сия
234,Kohle::N,سکور,сэдь
235,Kohle::N,سکور,уголия
236,Kohle::N,سکاره,сэдь
237,Kohle::N,سکاره,уголия
238,Glas::N,ښيښه,сулика
239,Lehm::N,خټه,сёвонь
240,Sand::N,شګه,човар
241,Mensch::N,انسان,ломань
242,Mann::N,سړی,аля
243,Mann::N,سړی,цёраломань
244,Mann::N,نارینه,аля
245,Mann::N,نارینه,цёраломань
246,Frau::N,ښځه,ава
247,Kind::N,بچی,эйкакш
248,Kind::N,ماشوم,эйкакш
249,Junge::N,هلک,цёрыне
250,Mädchen::N,نجلۍ,тейтерне
251,Familie::N,کورنۍ,семия
252,Großvater::N,بابا,покштя
253,Großmutter::N,انا,баба
254,Eltern::N,مور او پلار,тетят-ават
255,Vater::N,پلار,тетя
256,Mutter::N,مور,ава
257,Sohn::N,زوی,цёра
258,Tochter::N,لور,тейтерь
259,Bruder::N,ورور,леля
260,Bruder::N,ورور,ялакс
261,Schwester::N,خور,сазор
262,Onkel::N,تره,леля
263,Onkel::N,ماما,леля
264,Tante::N,خاله,патя
265,Ehemann::N,مېړه,мирде
266,Ehefrau::N,مېرمن,ни
267,Freude::N,خوشحالي,кеняркс
268,Gelächter::N,خندا,ракамо
269,Gelächter::N,خندا,пейдема
270,Glück::N,بخت,уцяска
271,Kummer::N,غم,рискс
272,Kummer::N,غم,мелявкс
273,Wunsch::N,هيله,мель
274,Wunsch::N,هيله,бажамо
275,Wunsch::N,غوښتنه,мель
276,Wunsch::N,غوښتنه,бажамо
277,Lust::N,شوق,бажамо
278,Lust::N,مینه,бажамо
279,Geist::N,روح,ойме
280,Gedanke::N,فکر,мель
281,Gedächtnis::N,یاد,мель
282,Gedächtnis::N,حافظه,мель
283,Verstand::N,عقل,прев
284,Verstand::N,شعور,прев
285,Sinn::N,معنی,толк
286,Sinn::N,معنی,смысла
287,Grund::N,علت,тувтал
