,Concept_ID,,os
0,Auge::N,,цӕст
1,Ohr::N,,хъус
2,Nase::N,,фындз
3,Mund::N,,дзых
4,Zahn::N,,дӕндаг
5,Zunge::N,,ӕвзаг
6,Lippe::N,,был
7,Wange::N,,рус
8,Wange::N,,уадул
9,Wange::N,,ӕхсӕрфарс
10,Gesicht::N,,цӕсгом
11,Stirn::N,,ных
12,Haar::N,,хил
13,Schnurrbart::N,,рихи
14,Bart::N,,зачъе
15,Kinn::N,,роцъо
16,Kiefer[Anatomie]::N,,ӕфсӕр
17,Kehle::N,,хъуыр
18,Hals::N,,къубал
19,Genick::N,,къӕбут
20,Kopf::N,,сӕр
21,Rücken::N,,фӕсонтӕ
22,Bauch::N,,гуыбын
23,Nabel::N,,бикъ
24,Busen::N,,дзидзи
25,Brust::N,,риу
26,Schulter::N,,уӕхск
27,Arm::N,,цонг
28,Ellenbogen::N,,рæмбын
29,Hand::N,,къух
30,Handfläche::N,,армытъӕпӕн
31,Finger::N,,ӕнруылдз
32,Fingernagel::N,,ных
33,Nagel[Anatomie]::N,,ных
34,Zeh::N,,къух
35,Fuß::N,,фад
36,Ferse::N,,зӕвӕт
37,Knie::N,,уӕраг
38,Oberschenkel::N,,агъд
39,Bein::N,,зӕнг
40,Körper::N,,буар
41,Haut::N,,царм
42,Blut::N,,туг
43,Ader::N,,дадзин
44,Ader::N,,тугдадзин
45,Sehne::N,,хъиутæ
46,Sehne::N,,нуар
47,Knochen::N,,стӕг
48,Gehirn::N,,магъз
49,Herz::N,,зӕрдӕ
50,Magen::N,,ахсӕн
51,Leber::N,,игæр
52,Atem::N,,улӕфт
53,Hunger::N,,стонг
54,Träne::N,,цæссыг
55,Geschmack::N,,ад
56,Geruch::N,,смаг
57,Schlaf::N,,хуыссӕг
58,Traum::N,,фын
59,Himmel::N,,арв
60,Himmel::N,,уӕларв
61,Sonne::N,,хур
62,Mond::N,,мӕй
63,Stern::N,,стъалы
64,Luft::N,,уӕлдӕф
65,Wind::N,,дымгӕ
66,Welle::N,,уылӕн
67,Wasser::N,,дон
68,Stein::N,,дур
69,Boden::N,,зӕхх
70,Erde::N,,сыджыт
71,Staub::N,,рыг
72,Rauch::N,,фӕздӕг
73,Funke::N,,цӕхӕр
74,Feuer::N,,зынг
75,Licht::N,,рухс
76,Schatten::N,,аууон
77,Wetter::N,,боныхъӕд
78,Nebel::N,,мигъ
79,Wolke::N,,ӕврагъ
80,Regen::N,,уарын
81,Schnee::N,,мит
82,Eis::N,,их
83,Frost::N,,ихæн
84,Kälte::N,,уазал
85,Hitze::N,,ӕнтӕф
86,Raureif::N,,халас
87,Regenbogen::N,,арвырон
88,Regenbogen::N,,арвырдын
89,Donner::N,,æрвнæрын
90,Strömung::N,,цыд
91,Tropfen::N,,æртах
92,Schaum::N,,фынк
93,Schmutz::N,,цъыф
94,See::N,,цад
95,Sumpf::N,,цъыфдзаст
96,Moor::N,,цъыфдзаст
97,Wiese::N,,уыгӕрдӕн
98,Wald::N,,хъӕд
99,Hügel::N,,обау
100,Hügel::N,,къуыбыр
101,Anhöhe::N,,уæлвæз
102,Anhöhe::N,,уæлхох
103,Berg::N,,хох
104,Gipfel::N,,цъупп
105,Höhle::N,,лӕгӕт
106,Abhang::N,,къул
107,Quelle::N,,суадон
108,Bach::N,,мӕсчъыдон
109,Fluss::N,,дон
110,Fluss::N,,цӕугӕдон
111,Ufer::N,,был
112,Küste::N,,донбыл
113,Festland::N,,сурзæхх
114,Meer::N,,денджыз
115,Bucht::N,,донбакæлæн
116,Insel::N,,сакъадах
117,Blume::N,,дидинӕг
118,Gras::N,,кӕрдӕг
119,Wurzel::N,,уидаг
120,Baum::N,,бӕлас
121,Stamm::N,,хӕтӕл
122,Rinde::N,,цъар
123,Ast::N,,арх
124,Zweig::N,,къалиу
125,Blatt::N,,сыф
126,Birke::N,,бæрз
127,Kiefer[Baum]::N,,нӕзы
128,Weide[Baum]::N,,хӕрис
129,Tanne::N,,наз
130,Horn::N,,сыкъа
131,Feder::N,,сис
132,Fell::N,,царм
133,Flügel::N,,базыр
134,Klaue::N,,ных
135,Kralle::N,,дзӕмбы
136,Schwanz::N,,къӕдзил
137,Ei::N,,айк
138,Nest::N,,ахстон
139,Bau::N,,хуынкъ
140,Tier::N,,сырд
141,Tier::N,,цӕрӕгой
142,Herde::N,,дзуг
143,Herde::N,,рӕгъау
144,Kuh::N,,хъуг
145,Bulle::N,,гал
146,Pferd::N,,бӕх
147,Schaf::N,,фыс
148,Schwein::N,,хуы
149,Hund::N,,куыдз
150,Katze::N,,гӕды
151,Bär::N,,арс
152,Eichhörnchen::N,,æхсæрæг
153,Elch::N,,цæгатаг саг
154,Fuchs::N,,рувас
155,Hase::N,,тæрхъус
156,Maus::N,,мыст
157,Wolf::N,,бирӕгъ
158,Vogel::N,,цъиу
159,Vogel::N,,маргъ
160,Schwarm::N,,бал
161,Huhn::N,,карк
162,Hahn::N,,уасӕг
163,Gans::N,,хъаз
164,Adler::N,,цӕргӕс
165,Ente::N,,ацц
166,Eule::N,, уыг
167,Eule::N,,сидахъ
168,Kranich::N,,зырнæг
169,Kranich::N,,хърихъупп
170,Krähe::N,,халон
171,Kuckuck::N,,гаккук
172,Schwan::N,,доныхъаз
173,Fisch::N,,кӕсаг
174,Barsch::N,,окунь
175,Hecht::N,,хихор кӕсаг
176,Schlange[Tier]::N,,калм
177,Wurm::N,,зулкъ
178,Wurm::N,,къуыдыргалм
179,Spinne::N,,хӕлуарӕг
180,Ameise::N,,мæлдзыг
181,Laus::N,,сыст
182,Mücke::N,,къогъо
183,Fliege::N,,бындз
184,Schmetterling::N,,гæлæбу
185,Beere::N,,гагадыргъ
186,Apfel::N,,фӕткъуы
187,Pilz::N,,зокъо
188,Pilz::N,,къозо
189,Zwiebel::N,,хъӕдындз
190,Saat::N,,тауинаг
191,Saat::N,,мыггаг
192,Korn::N,,мыггаг
193,Korn::N,,тауинаг
194,Heu::N,,хос
195,Schale::N,,цъар
196,Grube::N,,урм
197,Grube::N,,къахт
198,Grube::N,,дзыхъхъ
199,Falle::N,,цъысым
200,Falle::N,,къӕппӕг
201,Schlinge::N,,цасм
202,Spur::N,,фæд
203,Asche::N,,фӕнык
204,Asche::N,,ӕртхутӕг
205,Dreck::N,,цъыф
206,Eisen::N,,ӕфсӕйнаг
207,Gold::N,,сыгъзӕрин
208,Silber::N,,ӕвзист
209,Kohle::N,,ӕвзалы
210,Glas::N,,авг
211,Lehm::N,,ӕлыг
212,Sand::N,,змис
213,Mensch::N,,лӕг
214,Mensch::N,,адӕймаг
215,Mensch::N,,удгоймаг
216,Mann::N,,лӕг
217,Mann::N,,нӕлгоймаг
218,Frau::N,,сылгоймаг
219,Kind::N,,сывӕллон
220,Junge::N,,лӕппу
221,Mädchen::N,,чызг
222,Familie::N,,бинонтæ
223,Großvater::N,,фыдыфыд
224,Großvater::N,,мадыфыд
225,Großmutter::N,,фыды мад
226,Großmutter::N,,мады мад
227,Eltern::N,,ныййарджытæ
228,Vater::N,,фыд
229,Mutter::N,,мад
230,Sohn::N,,фырт
231,Tochter::N,,чызг
232,Bruder::N,,ӕфсымӕр
233,Schwester::N,,хо
234,Onkel::N,,фыдыфсымӕр
235,Tante::N,,мадыхо
236,Ehemann::N,,мой
237,Ehefrau::N,,ус
238,Freude::N,,цин
239,Freude::N,,циндзинад
240,Gelächter::N,,худын
241,Gelächter::N,,худт
242,Gelächter::N,,худæг
243,Glück::N,,амонд
244,Kummer::N,,хъыг
245,Wunsch::N,,бӕллиц
246,Lust::N,,монц
247,Geist::N,,уд
248,Gedanke::N,,хъуыды
249,Gedächtnis::N,,мысæн
250,Gedächtnis::N,,мысын
251,Gedächtnis::N,,зæрдылдарын
252,Verstand::N,,зонд
253,Sinn::N,,нысаниуæг
254,Grund::N,,ӕфсон
255,Wahrheit::N,,æцæг
256,Gespräch::N,,ныхас
257,Märchen::N,,аргъау
258,Erzählung::N,,радзырд
259,Nachricht::N,,уац
260,Neuigkeit::N,,хабар
261,Name::N,,ном
262,Rätsel::N,,уыци-уыци
263,Rätsel::N,,базон-базон
264,Rede::N,,раныхас
265,Sprache::N,,ӕвзаг
266,Stimme::N,,хъӕлӕс
267,Wort::N,,дзырд
268,Zeichen::N,,нысан
269,Ruf::N,,сидт
270,Lärm::N,,уынæр
271,Laut::N,,зӕл
272,Laut::N,,мыр
273,Ton::N,,мыр
274,Lied::N,,зарӕг
275,Ruhe::N,,æнцой
276,Leute::N,,адӕм
277,Volk::N,,адӕм
278,Arbeit::N,,фӕллой
279,Gast::N,,уазӕг
280,Geschenk::N,,хуын
281,Spiel::N,,хъазт
282,Gesellschaft::N,,дзыллæ
283,Gesellschaft::N,,æхсæнад
284,Hilfe::N,,æххуыс
285,Hilfe::N,,ахъаз
286,Freund::N,,лымӕн
287,Kamerad::N,,ӕмбал
288,Angelegenheit::N,,хъуыддаг
289,Anzahl::N,,бӕрц
290,Art::N,,хуыз
291,Art::N,,хуызад
292,Stück::N,,кæрдих
293,Stück::N,,комдзаг
294,Teil::N,,хай
295,Hälfte::N,,æрдæг
296,Hälfte::N,,æмбис
297,Kreis::N,,зиллакк
298,Kreuz::N,,дзуар
299,Linie::N,,хахх
300,Strich::N,,хахх
301,Abstand::N,,æхсæнуат
302,Entfernung::N,,дæрддзæг
303,Entfernung::N,,дардцæг
304,Gegend::N,,ран
305,Platz::N,,бууат
306,Ort::N,,ран
307,Ort::N,,бынат
308,Seite::N,,фахс
309,Mitte::N,,астӕу
310,Gegenstand::N,,дзаума
311,Sache::N,,дзаума
312,Rand::N,,кӕрон
313,Kante::N,,фӕрск
314,Ecke::N,,тигъ
315,Ecke::N,,фисын
316,Spitze::N,,бырынкъ
317,Ende::N,,кӕрон
318,Loch::N,,хуынкъ
319,Winkel::N,,къуым
320,Muster::N,,нывæфтыд
321,Muster::N,,кæдзист
322,Größe::N,,ас
323,Länge::N,,дӕргъ
324,Höhe::N,,бæрзонд
325,Höhe::N,,бæрзæнд
326,Höhe::N,,бæрзонддзинад
327,Gewicht::N,,уӕз
328,Menge::N,,бӕрц
329,Haufen::N,,кӕри
330,Reihe::N,,рӕнхъ
331,Boot::N,,чема
332,Ruder::N,,къохар
333,Schlitten::N,,дзоныгъ
334,Ski::N,,къахдзоныгътæ
335,Ski::N,,лыжæтæ
336,Lagerfeuer::N,,арт
337,Last::N,,уаргъ
338,Gang::N,,цыд
339,Schritt::N,,санчъех
340,Schritt::N,,къахдзӕф
341,Norden::N,,цæгат
342,Süden::N,,хуссар
343,Westen::N,,ныгуылæн
344,Osten::N,,скæсæн
345,Holz::N,,хъӕдӕрмӕг
346,Brett::N,,фæйнæг
347,Platte::N,,къӕй
348,Stütze::N,,быцæу
349,Stange::N,,хъил
350,Stock::N,,лӕдзӕг
351,Stab::N,,хъил
352,Rohr::N,,хӕтӕл
353,Haus::N,,хӕдзар
354,Heim::N,,къона
355,Ofen::N,,пец
356,Fußboden::N,,астӕрд
357,Tisch::N,,стъол
358,Stuhl::N,,бандон
359,Wiege::N,,авдæн
360,Bett::N,,сынтӕг
361,Regal::N,,тӕрхӕг
362,Regal::N,,уӕлвӕйнӕг
363,Kiste::N,,асыкк
364,Fenster::N,,рудзынг
365,Fenster::N,,фæрссаг
366,Tür::N,,дуар
367,Tor::N,,кулдуар
368,Zaun::N,,æмбонд
369,Zaun::N,,быру
370,Zaun::N,,гæрæн
371,Dach::N,,уӕлхӕдзар
372,Leiter::N,,асин
373,Besen::N,,уисой
374,Spaten::N,,бел
375,Schaufel::N,,æвгæнæн
376,Schaufel::N,,кæфой
377,Gabel::N,,вилкæ
378,Löffel::N,,уидыг
379,Messer::N,,кард
380,Nagel::N,,зӕгӕл
381,Netz::N,,хыз
382,Haken::N,,хæдз
383,Haken::N,,хæбырæгъ
384,Griff::N,,фистон
385,Schloss::N,,гуыдыр
386,Bild::N,,ныв
387,Figur::N,,кæрдгæныв
388,Puppe::N,,чындз
389,Beutel::N,,дзӕкъул
390,Bündel::N,,баст
391,Tasche::N,,хызын
392,Tasche::N,,дзæкъул
393,Eimer::N,,къæрта
394,Eimer::N,,чъыбыла
395,Eimer::N,,ведра
396,Deckel::N,,сæр
397,Deckel::N,,æмбæрзæн
398,Geschirr::N,,мигæнæн
399,Geschirr::N,,мигæнæнтæ
400,Sack::N,,голлаг
401,Tasse::N,,пиала
402,Tasse::N,,къус
