,Concept_ID,eu,ce
0,Auge::N,begi,бӏаьрг
1,Ohr::N,belarri,лерг
2,Nase::N,sudur,мара
3,Mund::N,aho,бага
4,Zahn::N,hortz,церг
5,Zunge::N,mihi,мотт
6,Lippe::N,ezpain,балда
7,Wange::N,masail,бесни
8,Gesicht::N,aurpegi,юьхь
9,Stirn::N,bekoki,хьаж
10,Haar::N,ile,мас
11,Haar::N,bilo,мас
12,Schnurrbart::N,bibote,мекх
13,Schnurrbart::N,sudurpeko,мекх
14,Bart::N,bizar,маж
15,Kinn::N,kokots,чӏениг
16,Kiefer[Anatomie]::N,masailezur,мочхал
17,Kehle::N,eztarri,къамкъарг
18,Hals::N,sama,ворта
19,Genick::N,garondo,кӏесаркӏаг
20,Kopf::N,buru,корта
21,Rücken::N,bizkar,букъ
22,Bauch::N,sabel,кийра
23,Nabel::N,zilbor,цӏонга
24,Busen::N,titi,зударийн накха
25,Busen::N,ugatz,зударийн накха
26,Brust::N,bular,накха
27,Schulter::N,besaburu,белш
28,Arm::N,beso,пхьарс
29,Ellenbogen::N,ukondo,пхьаьрсан гола
30,Hand::N,esku,куьг
31,Handfläche::N,ahur,кераюкъ
32,Finger::N,hatz,пӏелг
33,Fingernagel::N,azazkal,мӏара
34,Nagel[Anatomie]::N,azazkal,мӏара
35,Zeh::N,behatz,кога пӏелг
36,Fuß::N,oin,ког
37,Ferse::N,orpo,кӏажа
38,Ferse::N,oinburu,кӏажа
39,Knie::N,belaun,гола
40,Oberschenkel::N,izter,варе
41,Bein::N,zango,ког
42,Körper::N,soin,хӏума
43,Haut::N,azal,чкъор
44,Blut::N,odol,цӏий
45,Ader::N,zain,пха
46,Sehne::N,gihar-zain,хьорзам
47,Knochen::N,hezur,даьӏахк
48,Gehirn::N,garun,хье
49,Gehirn::N,burmuin,хье
50,Herz::N,bihotz,дог
51,Magen::N,urdail,зорх
52,Leber::N,gibel,доӏах
53,Atem::N,hats,садеӏар
54,Atem::N,arnasa,садеӏар
55,Hunger::N,gose,мацалла
56,Träne::N,malko,бӏаьрхи
57,Geschmack::N,dasta,чам
58,Geruch::N,usain,хьожа
59,Schlaf::N,lo,наб
60,Traum::N,amets,гӏан
61,Himmel::N,zeru,стигал
62,Sonne::N,eguzki,малх
63,Mond::N,ilargi,бутт
