,Concept_ID,en,kk
0,Auge::N,eye,көз
1,Ohr::N,ear,құлақ
2,Nase::N,nose,мұрын
3,Mund::N,mouth,ауыз
4,Zahn::N,tooth,тіс
5,Zunge::N,tongue,тіл
6,Lippe::N,lip,ерін
7,Wange::N,cheek,ұрт
8,Gesicht::N,face,бет-аузы
9,Stirn::N,forehead,маңдай
10,Haar::N,hair,қыл
11,Schnurrbart::N,moustache,мұрт
12,Bart::N,beard,сақал
13,Kinn::N,chin,иек
14,Kiefer[Anatomie]::N,jaw,жақ
15,Kehle::N,throat,алқым
16,Hals::N,neck,мойын
17,Genick::N,nape,желке
18,Kopf::N,head,кәллә
19,Rücken::N,back,арқа
20,Rücken::N,spine,арқа
21,Bauch::N,belly,қарын
22,Nabel::N,navel,кіндік
23,Busen::N,bosom,омырау
24,Brust::N,chest,кеуде
25,Brust::N,breast,кеуде
26,Schulter::N,shoulder,иық
27,Arm::N,arm,қол
28,Ellenbogen::N,elbow,шынтақ
29,Hand::N,hand,қол
30,Handfläche::N,palm,алақан
31,Finger::N,finger,саусақ
32,Fingernagel::N,fingernail,тырнақ
33,Nagel[Anatomie]::N,nail,тырнақ
34,Zeh::N,toe,тырнақ
35,Zeh::N,toe,тұяқ
36,Fuß::N,foot,аяқ-басы
37,Ferse::N,heel,өкше
38,Ferse::N,heel,өкшелік
39,Knie::N,knee,тізе
40,Oberschenkel::N,thigh,жамбас
41,Bein::N,leg,аяқ
42,Körper::N,body,дене
43,Haut::N,skin,тері
44,Blut::N,blood,қан
45,Ader::N,vein,көктамыр
46,Ader::N,vein,күретамыр
47,Sehne::N,sinew,сіңір
48,Knochen::N,bone,жілік
49,Gehirn::N,brain,ми
50,Herz::N,heart,жүрек
51,Magen::N,stomach,асқазан
52,Leber::N,liver,бауыр
53,Atem::N,breath,леп
54,Hunger::N,hunger,ашаршылық
55,Träne::N,tear,жас
56,Geschmack::N,flavour,дәм
57,Geschmack::N,flavour,татым
58,Geschmack::N,flavour,талғам
59,Geschmack::N,flavor,дәм
60,Geschmack::N,flavor,татым
61,Geschmack::N,flavor,талғам
62,Geruch::N,odour,иіс
63,Geruch::N,odor,иіс
64,Schlaf::N,sleep,ұйқы
65,Schlaf::N,sleep,ұйықтау
66,Traum::N,dream,түс
67,Himmel::N,sky,аспан
68,Himmel::N,sky,көқ
69,Himmel::N,sky,таңдай
70,Sonne::N,sun,күн
71,Mond::N,moon,ай
72,Stern::N,star,жұлдыз
73,Luft::N,air,әуе
74,Wind::N,wind,жел
75,Welle::N,wave,толқын
76,Wasser::N,water,су
77,Stein::N,stone,тас
78,Boden::N,soil,қыртыс
79,Boden::N,ground,қыртыс
80,Erde::N,earth,топырақ
81,Staub::N,dust,шаң
82,Rauch::N,smoke,түтін
83,Funke::N,spark,ұшқын
84,Feuer::N,fire,алау
85,Licht::N,light,шұғыла
86,Schatten::N,shadow,көлеңке
87,Wetter::N,weather,ауа райы
88,Nebel::N,fog,тұман
89,Wolke::N,cloud,бұлт
