,Concept_ID,no,la
0,Auge::N,øye,oculus
1,Ohr::N,øre,auris
2,Nase::N,nese,nasus
3,Mund::N,munn,os
4,Zahn::N,tann,dens
5,Zunge::N,tunge,lingua
6,Lippe::N,leppe,labrum
7,Wange::N,kinn,gena
8,Gesicht::N,fjes,vultus
9,Gesicht::N,ansikt,vultus
10,Stirn::N,panne,frons
11,Haar::N,hår,capillus
12,Schnurrbart::N,bart,barba labri superioris
13,Bart::N,skjegg,barba
14,Kinn::N,hake,mentum
15,Kiefer[Anatomie]::N,kjeve,mala
16,Kehle::N,strupe,iugulums
17,Hals::N,hals,collum
18,Genick::N,nakke,cervices
19,Kopf::N,hode,caput
20,Rücken::N,rygg,tergum
21,Bauch::N,buk,venter
22,Bauch::N,mage,venter
23,Nabel::N,navle,umbilicus
24,Busen::N,barm,sinus
25,Brust::N,bryst,pectus
26,Schulter::N,skulder,umerus
27,Arm::N,arm,bracchium
28,Ellenbogen::N,albue,cubitum
29,Hand::N,hånd,manus
30,Handfläche::N,håndflate,palma
31,Finger::N,finger,digitus
32,Fingernagel::N,fingernegl,unguiculus
33,Nagel[Anatomie]::N,negl,unguis
34,Zeh::N,tå,digitus
35,Fuß::N,fot,pes
36,Ferse::N,hæl,calx
37,Knie::N,kne,genu
38,Oberschenkel::N,lår,femur
39,Bein::N,bein,crus
40,Körper::N,kropp,corpus
41,Körper::N,legeme,corpus
42,Haut::N,hud,cutis
43,Haut::N,hud,pellis
44,Haut::N,skinn,cutis
45,Haut::N,skinn,pellis
46,Blut::N,blod,sanguis
47,Ader::N,åre,vena
48,Sehne::N,sene,nervus
49,Knochen::N,bein,os
50,Knochen::N,knokkel,os
51,Gehirn::N,hjerne,cerebrum
52,Herz::N,hjerte,cor
53,Herz::N,hjerte,animus
54,Magen::N,mage,stomachus
55,Leber::N,lever,iecur
56,Atem::N,pust,spiritus
57,Hunger::N,sult,fames
58,Träne::N,tåre,lacrima
59,Geschmack::N,smak,sapor
60,Geschmack::N,smak,gustus
61,Geruch::N,lukt,odor
62,Schlaf::N,søvn,somnus
63,Traum::N,drøm,somnium
64,Himmel::N,himmel,caelum
65,Sonne::N,sol,sol
66,Mond::N,måne,luna
67,Stern::N,stjerne,sidus
68,Stern::N,stjerne,stella
69,Luft::N,luft,aer
70,Wind::N,vind,ventus
71,Welle::N,bølge,unda
72,Wasser::N,vann,aqua
73,Stein::N,stein,lapis
74,Boden::N,bakke,solum
75,Erde::N,jord,terra
76,Staub::N,støv,pulvis
77,Rauch::N,røyk,fumus
78,Funke::N,gnist,scintilla
79,Feuer::N,ild,ignis
80,Licht::N,lys,lux
81,Licht::N,lys,lumen
82,Schatten::N,skygge,umbra
83,Wetter::N,vær,caelum
84,Wetter::N,vær,tempestas
85,Nebel::N,tåke,nebula
86,Wolke::N,sky,nubes
87,Regen::N,regn,imber
88,Regen::N,regn,pluvia
89,Schnee::N,snø,nix
90,Eis::N,is,glacies
91,Frost::N,frost,gelu
92,Kälte::N,kulde,frigus
93,Hitze::N,hete,calor
94,Hitze::N,hete,aestus
95,Raureif::N,rimfrost,pruina
96,Regenbogen::N,regnbue,arcus
97,Donner::N,torden,tonitrus
98,Strömung::N,strømning,fluctus
99,Tropfen::N,dråpe,gutta
100,Schaum::N,skum,spuma
101,Schmutz::N,søl,sordes
102,Schmutz::N,søl,squalor
103,Schmutz::N,skitt,sordes
104,Schmutz::N,skitt,squalor
105,See::N,sjø,lacus
106,Sumpf::N,sump,palus
107,Sumpf::N,myrlende,palus
108,Moor::N,myr,palus
109,Moor::N,myrhei,palus
110,Wiese::N,eng,pratum
111,Wald::N,skog,silva
112,Hügel::N,haug,collis
113,Hügel::N,bakke,collis
114,Anhöhe::N,haug,specula
115,Anhöhe::N,bakke,specula
116,Berg::N,berg,mons
117,Berg::N,fjell,mons
118,Gipfel::N,topp,vertex
119,Höhle::N,hule,caverna
120,Höhle::N,hule,spelunca
121,Abhang::N,li,declivum
