,Concept_ID,tt,ro
0,Auge::N,күз,ochi
1,Ohr::N,колак,ureche
2,Nase::N,борын,nas
3,Mund::N,авыз,gură
4,Mund::N,тамак,gură
5,Zahn::N,теш,dinte
6,Zunge::N,тел,limbă
7,Lippe::N,ирен,buză
8,Wange::N,яңак,bucă
9,Wange::N,яңак,obraz
10,Gesicht::N,йөз,față
11,Gesicht::N,йөз,figură
12,Stirn::N,маңгай,frunte
13,Haar::N,чәч,păr
14,Schnurrbart::N,мыек,mustață
15,Bart::N,сакал,barbă
16,Kinn::N,ияк,bărbie
17,Kiefer[Anatomie]::N,казналык,falcă
18,Kehle::N,тамак,beregată
19,Hals::N,бугаз,gât
20,Genick::N,җилкә,ceafă
21,Kopf::N,баш,cap
22,Rücken::N,сырт,dos
23,Rücken::N,сырт,spate
24,Rücken::N,сырт,spinare
25,Bauch::N,корсак,burtă
26,Bauch::N,корсак,pântece
27,Nabel::N,кендек,buric
28,Busen::N,түш,sân
29,Brust::N,имчәк,piept
30,Brust::N,күкрәк,piept
31,Schulter::N,иңбаш,umăr
32,Schulter::N,иңбаш,spate
33,Schulter::N,кулбаш,umăr
34,Schulter::N,кулбаш,spate
35,Arm::N,кул,braț
36,Ellenbogen::N,терсәк,cot
37,Hand::N,кул,mână
38,Handfläche::N,уч,palmă
39,Finger::N,бармак,deget
40,Fingernagel::N,тырнак,unghie
41,Nagel[Anatomie]::N,тырнак,unghie
42,Zeh::N,бармак,deget de la picior
43,Fuß::N,табан,picior
44,Ferse::N,үкчә,călcâi
45,Knie::N,тез,genunchi
46,Oberschenkel::N,бот,coapsă
47,Bein::N,аяк,picior
48,Körper::N,тән,corp
49,Körper::N,җисем,corp
50,Haut::N,тире,piele
51,Blut::N,кан,sânge
52,Ader::N,тамыр,vână
53,Ader::N,тамыр,arteră
54,Sehne::N,сеңер,tendon
55,Knochen::N,сөяк,os
56,Gehirn::N,ми,creier
57,Herz::N,йөрәк,inimă
58,Magen::N,ашказаны,stomac
59,Leber::N,бавыр,ficat
60,Atem::N,сулыш,răsuflare
61,Atem::N,сулыш,respirație
62,Hunger::N,ачлык,foame
63,Träne::N,яшь,lacrimă
64,Geschmack::N,тәм,gust
65,Geschmack::N,зәвык,gust
66,Geruch::N,ис,miros
67,Schlaf::N,йокы,somn
68,Traum::N,төш,vis
69,Himmel::N,күк,cer
70,Sonne::N,кояш,soare
71,Mond::N,ай,lună
72,Stern::N,йолдыз,stea
73,Luft::N,һава,aer
74,Wind::N,җил,vânt
75,Welle::N,дулкын,val
76,Welle::N,дулкын,undă
