,Concept_ID,uk,eu
0,Auge::N,око,begi
1,Ohr::N,вухо,belarri
2,Nase::N,ніс,sudur
3,Mund::N,рот,aho
4,Zahn::N,зуб,hortz
5,Zunge::N,язик,mihi
6,Lippe::N,губа,ezpain
7,Wange::N,щока,masail
8,Gesicht::N,обличчя,aurpegi
9,Stirn::N,лоб,bekoki
10,Haar::N,волосся,ile
11,Haar::N,волосся,bilo
12,Schnurrbart::N,вуса,bibote
13,Schnurrbart::N,вуса,sudurpeko
14,Bart::N,борода,bizar
15,Kinn::N,підборіддя,kokots
16,Kiefer[Anatomie]::N,щелепа,masailezur
17,Kehle::N,горло,eztarri
18,Hals::N,шия,sama
19,Genick::N,потилиця,garondo
20,Kopf::N,голова,buru
21,Rücken::N,спина,bizkar
22,Bauch::N,живіт,sabel
23,Nabel::N,пупок,zilbor
24,Busen::N,груди,titi
25,Busen::N,груди,ugatz
26,Brust::N,груди,bular
27,Schulter::N,плече,besaburu
28,Arm::N,рука,beso
29,Ellenbogen::N,лікоть,ukondo
30,Hand::N,рука,esku
31,Handfläche::N,долоня,ahur
32,Finger::N,палець,hatz
33,Fingernagel::N,ніготь,azazkal
34,Nagel[Anatomie]::N,ніготь,azazkal
35,Zeh::N,палець на нозі,behatz
36,Fuß::N,нога,oin
37,Ferse::N,п’ятка,orpo
38,Ferse::N,п’ятка,oinburu
39,Knie::N,коліно,belaun
40,Oberschenkel::N,стегно,izter
41,Bein::N,нога,zango
42,Körper::N,тіло,soin
43,Haut::N,шкіра,azal
44,Blut::N,кров,odol
45,Ader::N,вена,zain
46,Sehne::N,сухожилля,gihar-zain
47,Knochen::N,кістка,hezur
48,Gehirn::N,мозок,garun
49,Gehirn::N,мозок,burmuin
50,Herz::N,серце,bihotz
51,Magen::N,шлунок,urdail
52,Leber::N,печінка,gibel
53,Atem::N,дихання,hats
54,Atem::N,дихання,arnasa
55,Hunger::N,голод,gose
56,Träne::N,сльоза,malko
57,Geschmack::N,смак,dasta
58,Geruch::N,запах,usain
59,Schlaf::N,сон,lo
60,Schlaf::N,сплячка,lo
61,Traum::N,сон,amets
62,Himmel::N,небо,zeru
63,Sonne::N,сонце,eguzki
64,Mond::N,місяць,ilargi
65,Stern::N,зірка,izar
66,Luft::N,повітря,aire
67,Wind::N,вітер,haize
68,Welle::N,хвиля,uhin
69,Welle::N,хвиля,olatu
70,Wasser::N,вода,ur
71,Stein::N,камінь,harri
72,Boden::N,ґрунт,lur
73,Boden::N,ґрунт,zoru
74,Erde::N,земля,lur
75,Staub::N,пил,hauts
76,Rauch::N,дим,ke
77,Funke::N,іскра,zirta
78,Funke::N,іскра,txinparta
79,Feuer::N,вогонь,su
80,Licht::N,світло,argi
81,Schatten::N,тінь,itzal
82,Schatten::N,тінь,geriza
83,Wetter::N,погода,eguraldi
84,Nebel::N,туман,laino
85,Wolke::N,хмара,hodei
86,Regen::N,дощ,euri
87,Schnee::N,сніг,elur
88,Eis::N,лід,horma
89,Frost::N,мороз,izotzaldi
90,Kälte::N,холод,hotz
91,Hitze::N,жар,bero
92,Raureif::N,іній,antzigar
93,Regenbogen::N,райдуга,ostadar
94,Regenbogen::N,райдуга,ortzadar
95,Donner::N,грім,ostots
96,Donner::N,грім,ihurtzuri
97,Strömung::N,струмина,laster
98,Tropfen::N,крапля,xorta
99,Schaum::N,піна,bits
100,Schmutz::N,бруд,lohi
101,Schmutz::N,бруд,zikin
102,See::N,озеро,laku
103,See::N,озеро,aintzira
104,Sumpf::N,драговина,zingira
105,Moor::N,болото,zohikaztegi
106,Wiese::N,луг,larre
107,Wiese::N,луг,belardi
108,Wiese::N,лука,larre
109,Wiese::N,лука,belardi
110,Wald::N,ліс,baso
111,Wald::N,ліс,oihan
112,Hügel::N,горб,muino
113,Hügel::N,горб,pentoka
114,Anhöhe::N,височина,garai
115,Anhöhe::N,височина,goragune
116,Berg::N,гора,mendi
117,Gipfel::N,вершина,gain
118,Gipfel::N,вершина,tontor
119,Höhle::N,печера,kobazulo
120,Abhang::N,схил,aldapa
121,Quelle::N,джерело,iturri
122,Quelle::N,джерело,iturbegi
123,Bach::N,струмок,lats
124,Bach::N,струмок,erreka
125,Fluss::N,річка,ibai
126,Fluss::N,річка,uhaitz
127,Ufer::N,берег,bazter
128,Küste::N,узбережжя,itsasalde
129,Festland::N,суша,lehor
130,Meer::N,море,itsaso
131,Bucht::N,бухта,golko
132,Bucht::N,затока,golko
133,Insel::N,острів,irla
134,Insel::N,острів,uharte
135,Blume::N,квітка,lili
136,Gras::N,трава,belar
137,Wurzel::N,корінь,zuztar
138,Wurzel::N,корінь,sustrai
139,Baum::N,дерево,zuhaitz
140,Stamm::N,стовбур,enbor
141,Rinde::N,кора,azal
142,Ast::N,гілка,adar
143,Zweig::N,галузь,abar
144,Blatt::N,лист,hosto
145,Birke::N,береза,urki
146,Kiefer[Baum]::N,сосна,ler
147,Weide[Baum]::N,верба,zume
148,Weide[Baum]::N,верба,sahats
149,Tanne::N,ялиця,izei
150,Horn::N,ріг,adar
151,Feder::N,перо,luma
152,Feder::N,перо,hegaki
153,Fell::N,хутро,ile
154,Fell::N,хутро,larru
155,Flügel::N,крило,hego
156,Klaue::N,кіготь,atzapar
157,Kralle::N,лапа,erpe
158,Kralle::N,лапа,atzapar
159,Schwanz::N,хвіст,isats
160,Schwanz::N,хвіст,buztan
161,Ei::N,яйце,arrautza
162,Nest::N,гніздо,habia
163,Bau::N,лігво,ohantze
164,Tier::N,тварина,abere
165,Tier::N,тварина,piztia
166,Herde::N,стадо,saldo
167,Herde::N,стадо,abere talde
168,Kuh::N,корова,behi
169,Bulle::N,бик,zezen
170,Bulle::N,бугай,zezen
171,Pferd::N,кінь,zaldi
172,Schaf::N,вівця,ardi
173,Schwein::N,свиня,urde
174,Schwein::N,свиня,txerri
175,Hund::N,собака,txakur
176,Katze::N,кішка,katu
177,Bär::N,ведмідь,hartz
178,Eichhörnchen::N,білка,urtxintxa
179,Elch::N,лось,altze
180,Fuchs::N,лисиця,azeri
181,Hase::N,заєць,erbi
182,Maus::N,миша,sagu
183,Wolf::N,вовк,otso
184,Vogel::N,птах,txori
185,Vogel::N,птах,hegazti
186,Schwarm::N,зграя,aldra
187,Huhn::N,курка,oilo
188,Hahn::N,півень,oilar
189,Gans::N,гуска,antzara
190,Adler::N,орел,arrano
191,Ente::N,качка,ahate
192,Eule::N,сова,hontza
193,Kranich::N,журавель,kurrilo
194,Krähe::N,ворона,bele
195,Kuckuck::N,зозуля,kuku
196,Schwan::N,лебідь,beltxarga
197,Fisch::N,риба,arrain
198,Barsch::N,окунь,perka
199,Hecht::N,щука,lutxo
200,Schlange[Tier]::N,змія,suge
201,Wurm::N,черв’як,har
202,Spinne::N,павук,armiarma
203,Ameise::N,мурашка,inurri
204,Laus::N,воша,zorri
205,Mücke::N,комар,eltxo
206,Fliege::N,муха,euli
207,Schmetterling::N,метелик,pinpirin
208,Schmetterling::N,метелик,tximeleta
209,Beere::N,ягода,baia
210,Apfel::N,яблуко,sagar
211,Pilz::N,гриб,onddo
212,Pilz::N,гриб,perretxiko
213,Zwiebel::N,цибуля,tipula
214,Saat::N,сім’я,haziak
215,Korn::N,зерно,ale
216,Korn::N,зерно,pikor
217,Heu::N,сіно,belar ondu
218,Schale::N,шкірка,azal
219,Grube::N,яма,hobi
220,Falle::N,пастка,harrapagailu
221,Schlinge::N,петля,bilur
222,Schlinge::N,петля,xedera
223,Spur::N,слід,lorratz
224,Asche::N,зола,errauts
225,Asche::N,попіл,errauts
226,Dreck::N,бруд,satsukeria
227,Eisen::N,залізо,burdina
228,Gold::N,золото,urre
229,Gold::N,золото,urregorri
230,Silber::N,срібло,zilar
231,Silber::N,срібло,urrezuri
232,Kohle::N,вугілля,ikatz
233,Glas::N,скло,beira
234,Lehm::N,глина,buztin
235,Sand::N,пісок,harea
236,Sand::N,пісок,hondar
237,Mensch::N,людина,gizaki
238,Mann::N,чоловік,gizon
239,Frau::N,жінка,andere
240,Frau::N,жінка,emakume
241,Kind::N,дитина,haur
242,Junge::N,хлопець,mutil
243,Mädchen::N,дівчина,neska
244,Familie::N,сім’я,sendi
245,Familie::N,сім’я,familia
246,Familie::N,родина,sendi
247,Familie::N,родина,familia
248,Großvater::N,дідусь,aitona
249,Großvater::N,дідусь,aitatxi
250,Großmutter::N,бабуся,amona
251,Großmutter::N,бабуся,amatxi
252,Eltern::N,батьки,gurasoak
253,Vater::N,батько,aita
254,Mutter::N,мати,ama
255,Sohn::N,син,seme
256,Tochter::N,дочка,alaba
257,Bruder::N,брат,neba
258,Bruder::N,брат,anaia
259,Schwester::N,сестра,ahizpa
260,Onkel::N,дядько,osaba
261,Tante::N,тітка,izeba
262,Ehemann::N,чоловік,senar
263,Ehefrau::N,жінка,emazte
264,Ehefrau::N,дружина,emazte
265,Freude::N,радощі,poz
266,Freude::N,радощі,pozkari
267,Gelächter::N,сміх,barre
268,Gelächter::N,сміх,karkara
269,Glück::N,щастя,zori
270,Kummer::N,горе,xangrin
271,Kummer::N,горе,atsekabe
272,Wunsch::N,бажання,nahi
273,Wunsch::N,бажання,nahikunde
274,Lust::N,бажання,gogo
275,Geist::N,дух,gogo
276,Gedanke::N,думка,gogoeta
277,Gedächtnis::N,пам’ять,oroimen
278,Gedächtnis::N,пам’ять,gogoramen
279,Verstand::N,розум,adimen
280,Verstand::N,розум,ulermen
281,Sinn::N,зміст,zentzu
282,Sinn::N,значення,zentzu
283,Grund::N,причина,zergati
284,Wahrheit::N,правда,egia
285,Gespräch::N,розмова,hizketa
286,Gespräch::N,розмова,elkarrizketa
287,Märchen::N,байка,ipuin
288,Erzählung::N,повість,edesti
289,Erzählung::N,повість,kontakizun
290,Erzählung::N,оповідання,edesti
291,Erzählung::N,оповідання,kontakizun
292,Nachricht::N,повідомлення,albiste
293,Neuigkeit::N,новина,berri
294,Name::N,ім’я,izen
295,Rätsel::N,загадка,asmakizun
296,Rede::N,промова,hitzaldi
297,Rede::N,промова,mintzaldi
298,Sprache::N,мова,hizkuntza
299,Stimme::N,голос,ahots
300,Wort::N,слово,hitz
301,Zeichen::N,знак,agerbide
302,Zeichen::N,знак,agergarri
303,Ruf::N,оклик,dei
304,Lärm::N,шум,zarata
305,Lärm::N,шум,harrabots
306,Laut::N,звук,hots
