,Concept_ID,be,pl
0,Auge::N,вока,oko
1,Ohr::N,вуха,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,ząb
5,Zunge::N,язык,język
6,Lippe::N,губа,warga
7,Wange::N,шчака,policzek
8,Gesicht::N,твар,twarz
9,Stirn::N,лоб,czoło
10,Haar::N,волас,włos
11,Haar::N,волас,włosy
12,Haar::N,валасы,włos
13,Haar::N,валасы,włosy
14,Schnurrbart::N,вус,wąsy
15,Schnurrbart::N,вусы,wąsy
16,Bart::N,барада,broda
17,Kinn::N,падбародак,podbródek
18,Kiefer[Anatomie]::N,сківіца,czeluść
19,Kehle::N,горла,gardło
20,Hals::N,шыя,szyja
21,Genick::N,патыліца,kark
22,Kopf::N,галава,głowa
23,Rücken::N,спіна,plecy
24,Rücken::N,спіна,grzbiet
25,Bauch::N,жывот,brzuch
26,Nabel::N,пупок,pępek
27,Busen::N,грудзі,biust
28,Brust::N,грудзі,pierś
29,Schulter::N,плячо,bark
30,Schulter::N,плячо,ramię
31,Arm::N,рука,ręka
32,Arm::N,рука,ramię
33,Ellenbogen::N,локаць,łokieć
34,Hand::N,кісць,dłoń
35,Handfläche::N,далонь,dłoń
36,Finger::N,палец,palec
37,Fingernagel::N,ногаць,paznokieć
38,Nagel[Anatomie]::N,ногаць,paznokieć
39,Zeh::N,палец,palec
40,Fuß::N,нага,stopa
41,Ferse::N,пята,pięta
42,Ferse::N,пятка,pięta
43,Knie::N,калена,kolano
44,Oberschenkel::N,бядро,udo
45,Oberschenkel::N,сцягно,udo
46,Bein::N,нага,noga
47,Körper::N,цела,ciało
48,Haut::N,скура,skóra
49,Blut::N,кроў,krew
50,Ader::N,вена,żyła
51,Ader::N,сасуд,żyła
52,Sehne::N,жыла,ścięgno
53,Sehne::N,цеціва,ścięgno
54,Sehne::N,сухажылле,ścięgno
55,Knochen::N,косць,kość
56,Gehirn::N,мозг,mózg
57,Herz::N,сэрца,serce
58,Magen::N,страўнік,żołądek
59,Leber::N,печань,wątroba
60,Atem::N,дыханне,dech
61,Atem::N,дыханне,oddech
62,Hunger::N,голад,głód
63,Träne::N,сляза,łza
64,Geschmack::N,смак,smak
65,Geruch::N,пах,woń
66,Geruch::N,пах,zapach
67,Schlaf::N,сон,sen
68,Traum::N,сон,sen
69,Himmel::N,неба,niebo
70,Sonne::N,сонца,słońce
71,Mond::N,месяц,księżyc
72,Stern::N,зорка,gwiazda
73,Luft::N,паветра,powietrze
74,Wind::N,вецер,wiatr
75,Welle::N,хваля,fala
76,Wasser::N,вада,woda
77,Stein::N,камень,kamień
78,Boden::N,глеба,grunt
79,Erde::N,зямля,ziemia
80,Staub::N,пыл,pył
81,Staub::N,пыл,kurz
82,Rauch::N,дым,dym
83,Funke::N,іскра,iskra
84,Feuer::N,агонь,ogień
85,Licht::N,святло,światło
86,Schatten::N,цень,cień
87,Wetter::N,пагода,pogoda
88,Wetter::N,надворʼе,pogoda
89,Nebel::N,туман,mgła
90,Wolke::N,воблака,obłok
91,Wolke::N,воблака,chmura
92,Regen::N,дождж,deszcz
93,Schnee::N,снег,śnieg
94,Eis::N,лёд,lód
95,Frost::N,мароз,mróz
96,Kälte::N,холад,chłód
97,Hitze::N,спёка,gorąco
98,Raureif::N,іней,szron
99,Regenbogen::N,вясёлка,tęcza
100,Donner::N,гром,grzmot
101,Strömung::N,цячэнне,nurt
102,Tropfen::N,кропля,kropla
103,Schaum::N,пена,piana
104,Schmutz::N,гразь,brud
105,See::N,возера,jezioro
106,Sumpf::N,багна,bagno
107,Moor::N,балота,bagno
108,Wiese::N,луг,łąka
109,Wald::N,лес,las
110,Hügel::N,узгорак,pagórek
111,Anhöhe::N,узвышша,wzgórze
112,Berg::N,гара,góra
113,Gipfel::N,вяршыня,szczyt
114,Gipfel::N,вяршыня,wierzchołek
115,Höhle::N,пячора,pieczara
116,Abhang::N,схіл,stok
117,Abhang::N,схіл,zbocze
118,Quelle::N,крыніца,zdrój
119,Quelle::N,крыніца,źródło
120,Bach::N,ручай,potok
121,Bach::N,ручай,strumień
122,Fluss::N,рака,rzeka
123,Ufer::N,бераг,brzeg
124,Küste::N,узбярэжжа,wybrzeże
125,Festland::N,суша,ląd
126,Meer::N,мора,morze
127,Bucht::N,бухта,zatoka
128,Insel::N,востраў,wyspa
129,Blume::N,кветка,kwiat
130,Gras::N,трава,trawa
131,Wurzel::N,корань,korzeń
132,Baum::N,дрэва,drzewo
133,Stamm::N,ствол,pień
134,Rinde::N,кара,kora
135,Ast::N,сук,gałąź
136,Zweig::N,галіна,gałąź
137,Blatt::N,ліст,liść
138,Birke::N,бяроза,brzoza
139,Kiefer[Baum]::N,хвоя,sosna
140,Kiefer[Baum]::N,сасна,sosna
141,Weide[Baum]::N,вярба,wierzba
142,Tanne::N,яліна,jodła
143,Horn::N,рог,róg
144,Feder::N,пяро,pióro
145,Fell::N,шкура,futro
146,Flügel::N,крыло,skrzydło
147,Klaue::N,кіпцюр,szpon
148,Kralle::N,лапа,pazur
149,Schwanz::N,хвост,ogon
150,Ei::N,яйка,jajko
151,Nest::N,гняздо,gniazdo
152,Bau::N,нара,nora
153,Tier::N,жывёла,zwierzę
154,Herde::N,статак,stado
155,Herde::N,статак,trzoda
156,Kuh::N,карова,krowa
157,Bulle::N,бык,byk
158,Pferd::N,конь,koń
159,Schaf::N,авечка,owca
160,Schwein::N,свіння,świnia
161,Hund::N,сабака,pies
162,Katze::N,кошка,kot
163,Katze::N,кошка,kotka
164,Bär::N,мядзведзь,niedźwiedż
165,Eichhörnchen::N,вавёрка,wiewiórka
166,Elch::N,лось,łóś
167,Fuchs::N,ліса,lis
168,Hase::N,заяц,zając
169,Maus::N,мыш,mysz
170,Wolf::N,воўк,wilk
171,Vogel::N,птах,ptak
172,Vogel::N,птушка,ptak
173,Schwarm::N,чарада,stado
174,Huhn::N,курыца,kura
175,Hahn::N,певень,kogut
176,Gans::N,гусь,gęś
177,Adler::N,арол,orzeł
178,Ente::N,качка,kaczka
179,Eule::N,сава,sowa
180,Kranich::N,жораў,żuraw
181,Kranich::N,журавель,żuraw
182,Krähe::N,варона,wrona
183,Kuckuck::N,зязюля,kukułka
184,Schwan::N,лебедзь,łabędż
185,Fisch::N,рыба,ryba
186,Barsch::N,акунь,okoń
187,Hecht::N,шчупак,szczupak
188,Schlange[Tier]::N,змяя,wąż
189,Schlange[Tier]::N,змяя,żmija
190,Wurm::N,чарвяк,robak
191,Spinne::N,павук,pająk
192,Ameise::N,мурашка,mrówka
193,Laus::N,вош,wesz
194,Mücke::N,камар,komar
195,Fliege::N,муха,mucha
196,Schmetterling::N,матыль,motyl
197,Beere::N,ягада,jagoda
198,Apfel::N,яблык,jabłko
199,Pilz::N,грыб,grzyb
200,Zwiebel::N,цыбуля,cebula
201,Saat::N,семя,siew
202,Korn::N,зерне,ziarno
203,Heu::N,сена,siano
204,Schale::N,шалупінне,łupina
205,Grube::N,яма,dół
206,Grube::N,яма,jama
207,Falle::N,пастка,pułapka
208,Schlinge::N,сіло,sidła
209,Spur::N,след,ślad
210,Asche::N,попел,popiół
211,Dreck::N,бруд,brud
212,Eisen::N,жалеза,żelazo
213,Gold::N,золата,złoto
214,Silber::N,сребра,srebro
215,Kohle::N,вугаль,węgiel
216,Glas::N,шкло,szkło
217,Lehm::N,гліна,glina
218,Sand::N,пясок,piasek
219,Mensch::N,чалавек,człowiek
220,Mann::N,мужчына,mężczyzna
221,Frau::N,жанчына,kobieta
222,Kind::N,дзіця,dziecko
223,Junge::N,хлопчык,chłopak
224,Junge::N,хлопчык,chłopiec
225,Mädchen::N,дзяўчынка,dziewczynka
226,Familie::N,сямʼя,rodzina
227,Großvater::N,дзядуля,dziadek
228,Großmutter::N,бабуля,babka
229,Eltern::N,бацькі,rodzice
230,Vater::N,бацька,ojciec
231,Mutter::N,маці,matka
232,Sohn::N,сын,syn
233,Tochter::N,дачка,córka
234,Bruder::N,брат,brat
235,Schwester::N,сястра,siostra
236,Onkel::N,дзядзька,wuj
237,Onkel::N,дзядзька,stryj
238,Tante::N,цётка,ciotka
239,Ehemann::N,муж,mąż
240,Ehefrau::N,жонка,żona
241,Freude::N,радасць,radość
242,Gelächter::N,смех,śmiech
243,Glück::N,шчасце,szczęście
244,Kummer::N,гора,zmartwienie
245,Wunsch::N,жаданне,życzenie
246,Lust::N,цяга,chęć
247,Lust::N,цяга,ochota
248,Geist::N,дух,duch
249,Gedanke::N,думка,myśl
250,Gedächtnis::N,памяць,pamięć
251,Verstand::N,розум,rozum
252,Sinn::N,сэнс,zmysł
253,Grund::N,зачэпка,powód
254,Wahrheit::N,праўда,prawda
255,Gespräch::N,размова,rozmowa
256,Märchen::N,казка,bajka
257,Erzählung::N,расказ,opowiadanie
258,Erzählung::N,апавяданне,opowiadanie
259,Nachricht::N,вестка,wiadomość
260,Nachricht::N,паведамленне,wiadomość
261,Neuigkeit::N,навіна,nowina
262,Name::N,імя,imię
263,Rätsel::N,загадка,zagadka
264,Rede::N,прамова,mowa
265,Sprache::N,мова,język
266,Stimme::N,голас,głos
267,Wort::N,слова,słowo
268,Zeichen::N,знак,znak
269,Ruf::N,кліч,wołanie
270,Lärm::N,шум,hałas
271,Lärm::N,шум,zgiełk
272,Laut::N,гук,dźwięk
273,Ton::N,гучанне,ton
274,Ton::N,гучанне,dźwięk
275,Lied::N,песня,pieśń
276,Lied::N,песня,piosenka
277,Ruhe::N,спакой,spokój
278,Leute::N,людзі,ludzie
279,Volk::N,народ,naród
280,Arbeit::N,праца,praca
281,Arbeit::N,праца,robota
282,Arbeit::N,работа,praca
283,Arbeit::N,работа,robota
284,Gast::N,госць,gość
285,Geschenk::N,падарунак,prezent
286,Geschenk::N,падарунак,podarunek
287,Spiel::N,гульня,gra
288,Spiel::N,гульня,zabawa
289,Gesellschaft::N,таварыства,towarzystwo
290,Hilfe::N,дапамога,pomoc
291,Freund::N,друг,przyjaciel
292,Freund::N,сябар,przyjaciel
293,Kamerad::N,прыяцель,kolega
294,Angelegenheit::N,справа,sprawa
295,Anzahl::N,колькасць,ilość
296,Art::N,від,rodzaj
297,Stück::N,кусок,kawałek
298,Stück::N,кавалак,kawałek
299,Teil::N,частка,część
300,Hälfte::N,палова,połowa
301,Hälfte::N,палавіна,połowa
302,Kreis::N,круг,krąg
303,Kreuz::N,крыж,krzyż
304,Linie::N,лінія,linia
305,Strich::N,рыса,kreska
306,Abstand::N,прамежак,odstęp
307,Entfernung::N,адлегласць,odległość
308,Gegend::N,мясцовасць,okolica
309,Platz::N,месца,miejsce
310,Ort::N,месца,miejsce
311,Seite::N,бок,bok
312,Seite::N,бок,strona
313,Mitte::N,сярэдзіна,środek
314,Gegenstand::N,прадмет,przedmiot
315,Sache::N,рэч,rzecz
316,Rand::N,край,skraj
317,Rand::N,край,krawędź
318,Kante::N,руб,kant
319,Kante::N,руб,krawędź
320,Kante::N,кант,kant
321,Kante::N,кант,krawędź
322,Ecke::N,вугал,róg
323,Spitze::N,кончык,ostrze
324,Ende::N,канец,koniec
325,Loch::N,дзірка,dziura
326,Winkel::N,вугал,kąt
327,Winkel::N,вугал,kącik
328,Muster::N,узор,wzór
329,Größe::N,памер,rozmiar
330,Größe::N,памер,wielkość
331,Länge::N,даўжыня,długość
