,Concept_ID,hr,kk
0,Auge::N,oko,көз
1,Ohr::N,uho,құлақ
2,Nase::N,nos,мұрын
3,Mund::N,usta,ауыз
4,Zahn::N,zub,тіс
5,Zunge::N,jezik,тіл
6,Lippe::N,usna,ерін
7,Wange::N,obraz,ұрт
8,Gesicht::N,lice,бет-аузы
9,Stirn::N,čelo,маңдай
10,Haar::N,kosa,қыл
11,Schnurrbart::N,brkovi,мұрт
12,Bart::N,brada,сақал
13,Kinn::N,brada,иек
14,Kinn::N,podbradak,иек
15,Kiefer[Anatomie]::N,čeljust,жақ
16,Kehle::N,grlo,алқым
17,Hals::N,vrat,мойын
18,Genick::N,zatiljak,желке
19,Kopf::N,glava,кәллә
20,Rücken::N,leđa,арқа
21,Rücken::N,hrbat,арқа
22,Bauch::N,trbuh,қарын
23,Nabel::N,pupak,кіндік
24,Busen::N,sisa,омырау
25,Busen::N,njedra,омырау
26,Brust::N,prsa,кеуде
27,Schulter::N,rame,иық
28,Schulter::N,pleći,иық
29,Arm::N,ruka,қол
30,Ellenbogen::N,lakat,шынтақ
31,Hand::N,ruka,қол
32,Handfläche::N,dlan,алақан
33,Finger::N,prst,саусақ
34,Fingernagel::N,nokat,тырнақ
35,Nagel[Anatomie]::N,nokat,тырнақ
36,Zeh::N,nozni prst,тырнақ
37,Zeh::N,nozni prst,тұяқ
38,Fuß::N,noga,аяқ-басы
39,Fuß::N,stopalo,аяқ-басы
40,Ferse::N,peta,өкше
41,Ferse::N,peta,өкшелік
42,Knie::N,koljeno,тізе
43,Oberschenkel::N,bedro,жамбас
44,Bein::N,noga,аяқ
45,Körper::N,tijelo,дене
46,Haut::N,put,тері
47,Haut::N,koža,тері
48,Blut::N,krv,қан
49,Ader::N,žila,көктамыр
50,Ader::N,žila,күретамыр
51,Sehne::N,tetiva,сіңір
52,Knochen::N,kost,жілік
53,Herz::N,srce,жүрек
54,Magen::N,stomak,асқазан
55,Magen::N,želudac,асқазан
56,Leber::N,jetra,бауыр
57,Atem::N,dah,леп
58,Hunger::N,glad,ашаршылық
59,Träne::N,suza,жас
60,Geschmack::N,ukus,дәм
61,Geschmack::N,ukus,татым
62,Geschmack::N,ukus,талғам
63,Geruch::N,njuh,иіс
64,Geruch::N,miris,иіс
65,Schlaf::N,san,ұйқы
66,Schlaf::N,san,ұйықтау
67,Traum::N,san,түс
68,Himmel::N,nebo,аспан
69,Himmel::N,nebo,көқ
70,Himmel::N,nebo,таңдай
71,Sonne::N,sunce,күн
72,Mond::N,mjesec,ай
