,Concept_ID,ml,se
0,Auge::N,കണ്ണ്,tjelmie
1,Auge::N,കണ്ണ്,tjalmme
2,Auge::N,കണ്ണ്,čalbmi
3,Auge::N,കണ്ണ്,čalme
4,Auge::N,കണ്ണ്,čâ´lmm
5,Auge::N,കണ്ണ്,ча̄лльм
6,Ohr::N,ചെവി,bieljie
7,Ohr::N,ചെവി,biellje
8,Ohr::N,ചെവി,beallji
9,Ohr::N,ചെവി,pelji
10,Ohr::N,ചെവി,pe´llj
11,Ohr::N,ചെവി,пе̄лльй
12,Nase::N,മൂക്ക്,njuenie
13,Nase::N,മൂക്ക്,njunnje
14,Nase::N,മൂക്ക്,njunni
15,Nase::N,മൂക്ക്,njuṇe
16,Nase::N,മൂക്ക്,njuu´nn
17,Nase::N,മൂക്ക്,нюннҍ
18,Mund::N,വായ,njaelmie
19,Mund::N,വായ,njálmme
20,Mund::N,വായ,njálbmi
21,Mund::N,വായ,njälmi
22,Mund::N,വായ,njä´lmm
23,Mund::N,വായ,ня̄лльм
24,Zahn::N,പല്ല്,baenie
25,Zahn::N,പല്ല്,bádne
26,Zahn::N,പല്ല്,bátni
27,Zahn::N,പല്ല്,pääṇi
28,Zahn::N,പല്ല്,pää´nn
29,Zahn::N,പല്ല്,па̄ннҍ
30,Zunge::N,നാക്ക്,njoektjeme
31,Zunge::N,നാക്ക്,njuovtjav
32,Zunge::N,നാക്ക്,njuovčča
33,Zunge::N,നാക്ക്,njuovčâ
34,Zunge::N,നാക്ക്,njuhččâm
35,Zunge::N,നാക്ക്,нюхчем
36,Lippe::N,ചുണ്ട്,bangseme
37,Lippe::N,ചുണ്ട്,njálmmerabdda
38,Lippe::N,ചുണ്ട്,bavssa
39,Lippe::N,ചുണ്ട്,poovsâ
40,Lippe::N,ചുണ്ട്,põõus
41,Lippe::N,ചുണ്ട്,пэ̄кс
42,Wange::N,കവിൾത്തടം,skiehrie
43,Wange::N,കവിൾത്തടം,nierra
44,Wange::N,കവിൾത്തടം,muohtu
45,Wange::N,കവിൾത്തടം,nieṛâ
46,Wange::N,കവിൾത്തടം,njiõrr
47,Wange::N,കവിൾത്തടം,нӣрр
48,Gesicht::N,മുഖം,ååredæjja
49,Gesicht::N,മുഖം,muohto
50,Gesicht::N,മുഖം,muođut
51,Gesicht::N,മുഖം,ámadadju
52,Gesicht::N,മുഖം,muáđuh
53,Gesicht::N,മുഖം,muâđ
54,Gesicht::N,മുഖം,ка̄ссв
55,Stirn::N,നെറ്റി,gaalloe
56,Stirn::N,നെറ്റി,gállo
57,Stirn::N,നെറ്റി,gállu
58,Stirn::N,നെറ്റി,kállu
59,Stirn::N,നെറ്റി,käll
60,Stirn::N,നെറ്റി,вуэххьц
61,Haar::N,തലമുടി,voepte
62,Haar::N,തലമുടി,vuoppta
63,Haar::N,തലമുടി,vuokta
64,Haar::N,തലമുടി,vuop'tâ
65,Haar::N,തലമുടി,vuõpt
66,Haar::N,തലമുടി,вӯппт
67,Schnurrbart::N,മീശ,bijjie-skaavtjoe
68,Schnurrbart::N,മീശ,njunjevuolskávttjá
69,Schnurrbart::N,മീശ,seamu
70,Schnurrbart::N,മീശ,siämu
71,Schnurrbart::N,മീശ,ää´bben
72,Schnurrbart::N,മീശ,о̄а̄бпан
73,Bart::N,താടിരോമം,skaavtja
74,Bart::N,താടിരോമം,skaavtjoe
75,Bart::N,താടിരോമം,skávttjá
76,Bart::N,താടിരോമം,seamu
77,Bart::N,താടിരോമം,siämu
78,Bart::N,താടിരോമം,seäm
79,Bart::N,താടിരോമം,ся̄м
80,Kinn::N,താടി,gaejpie
81,Kinn::N,താടി,gájbbe
82,Kinn::N,താടി,gáibi
83,Kinn::N,താടി,käibi
84,Kinn::N,താടി,käi´bb
85,Kinn::N,താടി,ка̄ййп
86,Kiefer[Anatomie]::N,താടിയെല്ല്,gaejpie
87,Kiefer[Anatomie]::N,താടിയെല്ല്,oalol
88,Kiefer[Anatomie]::N,താടിയെല്ല്,oaloldákte
89,Kiefer[Anatomie]::N,താടിയെല്ല്,gáibi
90,Kiefer[Anatomie]::N,താടിയെല്ല്,uá'lultähti
91,Kiefer[Anatomie]::N,താടിയെല്ല്,vuâl'lõš
92,Kiefer[Anatomie]::N,താടിയെല്ല്,вуаллнешш
93,Kehle::N,കണ്ഠനാളം,gealoe
94,Kehle::N,കണ്ഠനാളം,tjåttå
95,Kehle::N,കണ്ഠനാളം,njiello
96,Kehle::N,കണ്ഠനാളം,čotta
97,Kehle::N,കണ്ഠനാളം,čuudâ
98,Kehle::N,കണ്ഠനാളം,čoodd
99,Kehle::N,കണ്ഠനാളം,чонт
100,Kehle::N,കണ്ഠനാളം,кэ̄ҏс
101,Hals::N,കഴുത്ത്,tjeapohke
102,Hals::N,കഴുത്ത്,tjiebet
103,Hals::N,കഴുത്ത്,čeabet
104,Hals::N,കഴുത്ത്,čiäppát
105,Hals::N,കഴുത്ത്,čeäppat
106,Hals::N,കഴുത്ത്,ча̄пэх
107,Genick::N,പിടലി,tjovrese
108,Genick::N,പിടലി,nisske
109,Genick::N,പിടലി,niehkki
110,Genick::N,പിടലി,niski
111,Genick::N,പിടലി,niek'ki
112,Genick::N,പിടലി,nji´šǩǩmaadd
113,Genick::N,പിടലി,нышшькмоант
114,Kopf::N,തല,åejjie
115,Kopf::N,തല,oajvve
116,Kopf::N,തല,oaivi
117,Kopf::N,തല,uái'vi
118,Kopf::N,തല,vuei´vv
119,Kopf::N,തല,вуэййв
120,Rücken::N,മുതുക്,rudtje
121,Rücken::N,മുതുക്,hárddo
122,Rücken::N,മുതുക്,tjavelk
123,Rücken::N,മുതുക്,sealgi
124,Rücken::N,മുതുക്,selgi
125,Rücken::N,മുതുക്,čielgi
126,Rücken::N,മുതുക്,seä´lǧǧ
127,Rücken::N,മുതുക്,се̄лльк
128,Bauch::N,നയറ്,tjåejjie
129,Bauch::N,നയറ്,tjoajvve
130,Bauch::N,നയറ്,čoavji
131,Bauch::N,നയറ്,čuáv'ji
132,Bauch::N,നയറ്,čåu´jj
133,Bauch::N,നയറ്,чо̄ввьй
134,Nabel::N,നാഭി,naepie
135,Nabel::N,നാഭി,náhpe
136,Nabel::N,നാഭി,náhpi
137,Nabel::N,നാഭി,nääpi
138,Nabel::N,നാഭി,nää´pp
139,Nabel::N,നാഭി,на̄бпь
140,Busen::N,സ്തനം,boenge
141,Busen::N,സ്തനം,bållå
142,Busen::N,സ്തനം,čižži
143,Busen::N,സ്തനം,njamma
144,Busen::N,സ്തനം,njižže
145,Busen::N,സ്തനം,nje´ǯǯ
146,Busen::N,സ്തനം,раннҍт
147,Brust::N,സ്തനം,mïelke
148,Brust::N,സ്തനം,radde
149,Brust::N,സ്തനം,mielgga
150,Brust::N,സ്തനം,raddi
151,Brust::N,സ്തനം,radde
152,Brust::N,സ്തനം,râ´dd
153,Brust::N,സ്തനം,раннҍт
154,Schulter::N,തോൾ,åelkie
155,Schulter::N,തോൾ,oalgge
156,Schulter::N,തോൾ,hárdu
157,Schulter::N,തോൾ,ärdee
158,Schulter::N,തോൾ,uál'gi
159,Schulter::N,തോൾ,a´rddi
160,Schulter::N,തോൾ,vuä´lǧǧ
161,Schulter::N,തോൾ,вуэллык
162,Arm::N,കൈ,gïete
163,Arm::N,കൈ,giehta
164,Arm::N,കൈ,giehta
165,Arm::N,കൈ,kietâ
166,Arm::N,കൈ,kie'tâkaaṿâ
167,Arm::N,കൈ,ǩiõtt
168,Arm::N,കൈ,кӣдт
169,Ellenbogen::N,കൈമുട്ട്,gernjere
170,Ellenbogen::N,കൈമുട്ട്,garŋŋel
171,Ellenbogen::N,കൈമുട്ട്,gargŋil
172,Ellenbogen::N,കൈമുട്ട്,käŋŋir
173,Ellenbogen::N,കൈമുട്ട്,kõõnjâr
174,Ellenbogen::N,കൈമുട്ട്,карьнэль
175,Hand::N,കൈ,gïete
176,Hand::N,കൈ,giehta
177,Hand::N,കൈ,giehta
178,Hand::N,കൈ,kietâ
179,Hand::N,കൈ,ǩiõtt
180,Hand::N,കൈ,кӣдт
181,Handfläche::N,ഉള്ളം കൈ,gïeten-låapoe
182,Handfläche::N,ഉള്ളം കൈ,giehtavuodo
183,Handfläche::N,ഉള്ളം കൈ,tjårmmåvuodo
184,Handfläche::N,ഉള്ളം കൈ,giehtaloahpu
185,Handfläche::N,ഉള്ളം കൈ,kiämád
186,Handfläche::N,ഉള്ളം കൈ,kuámmir
187,Handfläche::N,ഉള്ളം കൈ,kuä´m'mer
188,Handfläche::N,ഉള്ളം കൈ,ǩiõttǩeä´m'men
189,Handfläche::N,ഉള്ളം കൈ,ко̄а̄ллдэгк
190,Handfläche::N,ഉള്ളം കൈ,кӣдткоалдэгк
191,Finger::N,വിരൽ,soerme
192,Finger::N,വിരൽ,tjuvdde
193,Finger::N,വിരൽ,suorbma
194,Finger::N,വിരൽ,čuvde
195,Finger::N,വിരൽ,suor'mâ
196,Finger::N,വിരൽ,suõrmm
197,Finger::N,വിരൽ,це̄ххп
198,Fingernagel::N,നഖം,gadtse
199,Fingernagel::N,നഖം,guehpere
200,Fingernagel::N,നഖം,gadtsa
201,Fingernagel::N,നഖം,gazza
202,Fingernagel::N,നഖം,kozzâ
203,Fingernagel::N,നഖം,kõʒʒ
204,Fingernagel::N,നഖം,кэ̄ннц
205,Nagel[Anatomie]::N,നഖം,gadtse
206,Nagel[Anatomie]::N,നഖം,guehpere
207,Nagel[Anatomie]::N,നഖം,gadtsa
208,Nagel[Anatomie]::N,നഖം,gazza
209,Nagel[Anatomie]::N,നഖം,kozzâ
210,Nagel[Anatomie]::N,നഖം,kõʒʒ
211,Nagel[Anatomie]::N,നഖം,кэ̄ннц
212,Zeh::N,കാൽവിരൽ,tjiehtjere
213,Zeh::N,കാൽവിരൽ,juolggetjuvdde
214,Zeh::N,കാൽവിരൽ,juolgesuorbma
215,Zeh::N,കാൽവിരൽ,jyel'gisuor'mâ
216,Zeh::N,കാൽവിരൽ,jue´lǧǧsuõrmm
217,Zeh::N,കാൽവിരൽ,ю̄лльк-це̄һп
