,Concept_ID,la,ba
0,Auge::N,oculus,күҙ
1,Ohr::N,auris,ҡолаҡ
2,Nase::N,nasus,танау
3,Mund::N,os,ауыҙ
4,Zahn::N,dens,теш
5,Zunge::N,lingua,тел
6,Lippe::N,labrum,ирен
7,Wange::N,gena,яцаҡтар
8,Gesicht::N,vultus,бит
9,Stirn::N,frons,маңлай
10,Haar::N,capillus,сәс
11,Schnurrbart::N,barba labri superioris,мылтыҡ
12,Bart::N,barba,һаҡал
13,Kinn::N,mentum,эйэк
14,Kiefer[Anatomie]::N,mala,яңаҡ һөйәге
15,Kehle::N,iugulums,тамаҡ
16,Hals::N,collum,муйын
17,Genick::N,cervices,соңҡа
18,Kopf::N,caput,баш
19,Rücken::N,tergum,арҡа
20,Bauch::N,venter,ҡорһаҡ
21,Nabel::N,umbilicus,кендек
22,Busen::N,sinus,күкрәк
23,Brust::N,pectus,түш
24,Schulter::N,umerus,яурын
25,Arm::N,bracchium,ҡул
26,Ellenbogen::N,cubitum,терһәк
27,Hand::N,manus,ҡул
28,Hand::N,manus,ҡул суғы
29,Handfläche::N,palma,ус төбө
30,Finger::N,digitus,бармаҡ
31,Fingernagel::N,unguiculus,тырнаҡ
32,Nagel[Anatomie]::N,unguis,тырнаҡ
33,Zeh::N,digitus,бармаҡ
34,Fuß::N,pes,табан
35,Ferse::N,calx,үксә
36,Knie::N,genu,тубыҡ
37,Oberschenkel::N,femur,сандыр
38,Bein::N,crus,аяҡ
39,Körper::N,corpus,тән
40,Haut::N,cutis,тире
41,Haut::N,pellis,тире
42,Blut::N,sanguis,ҡан
43,Ader::N,vena,тамыр
44,Sehne::N,nervus,һеңер
45,Sehne::N,nervus,тарамыш
46,Knochen::N,os,һойәк
47,Gehirn::N,cerebrum,мейе
48,Herz::N,cor,йорәк
49,Herz::N,animus,йорәк
50,Magen::N,stomachus,ашҡаҙан
51,Leber::N,iecur,бауыр
52,Atem::N,spiritus,һулыш
53,Hunger::N,fames,аслыҡ
54,Träne::N,lacrima,күҙ иәше
55,Geschmack::N,sapor,тәм
56,Geschmack::N,gustus,тәм
57,Geruch::N,odor,еҫ
58,Schlaf::N,somnus,йоҡлау
59,Traum::N,somnium,төш
60,Himmel::N,caelum,күк
61,Sonne::N,sol,ҡояш
62,Mond::N,luna,ай
63,Stern::N,sidus,йондоҙ
64,Stern::N,stella,йондоҙ
65,Luft::N,aer,һауа
66,Wind::N,ventus,ел
67,Welle::N,unda,тулҡын
68,Wasser::N,aqua,һыу
69,Stein::N,lapis,таш
70,Boden::N,solum,тупраҡ
71,Erde::N,terra,балсҡ
72,Staub::N,pulvis,туҙан
73,Rauch::N,fumus,төтөн
74,Funke::N,scintilla,осҡон
75,Feuer::N,ignis,ут
76,Licht::N,lux,яҡтылыҡ
77,Licht::N,lumen,яҡтылыҡ
78,Schatten::N,umbra,күләгә
79,Wetter::N,caelum,һауа торошо
80,Wetter::N,tempestas,һауа торошо
81,Nebel::N,nebula,төман
82,Wolke::N,nubes,болот
83,Regen::N,imber,ямғыр
84,Regen::N,pluvia,ямғыр
85,Schnee::N,nix,ҡар
86,Eis::N,glacies,боҙ
87,Frost::N,gelu,һалҡын
88,Kälte::N,frigus,һыуыҡ
89,Hitze::N,calor,томра
90,Hitze::N,calor,эҫелек
91,Hitze::N,aestus,томра
92,Hitze::N,aestus,эҫелек
93,Raureif::N,pruina,ҡырау
94,Regenbogen::N,arcus,йәйғор
95,Donner::N,tonitrus,күк күкрәү
96,Strömung::N,fluctus,ағым
97,Tropfen::N,gutta,тамсы
98,Schaum::N,spuma,күбек
99,Schmutz::N,sordes,батҡаҡ
100,Schmutz::N,squalor,батҡаҡ
101,See::N,lacus,күл
