,Concept_ID,fa,sq
0,Auge::N,چشم,sy
1,Ohr::N,گوش,vesh
2,Nase::N,بینی,hundë
3,Mund::N,دهان,gojë
4,Zahn::N,دندان,dhëmb
5,Zunge::N,زبان,gjuhë
6,Lippe::N,لب,buzë
7,Wange::N,لپ,faqe
8,Wange::N,لپ,mollëz
9,Gesicht::N,رو,fytyrë
10,Gesicht::N,چهره,fytyrë
11,Stirn::N,پیشانی,ballë
12,Haar::N,مو,flokë
13,Schnurrbart::N,سبیل,mustaqe
14,Bart::N,ریش,mjekër
15,Kinn::N,چانه,mjekër
16,Kiefer[Anatomie]::N,فک,nofull
17,Kiefer[Anatomie]::N,آرواره,nofull
18,Kehle::N,حلق,fyt
19,Kehle::N,حلق,grykë
20,Hals::N,گردن,qafë
21,Genick::N,پشت گردن,arrëz
22,Kopf::N,سر,kokë
23,Kopf::N,کله,kokë
24,Rücken::N,پشت,kurriz
25,Bauch::N,شکم,bark
26,Nabel::N,ناف,kërthizë
27,Busen::N,پستان,gji
28,Brust::N,سینه,gjoks
29,Brust::N,سینه,kraharor
30,Schulter::N,دوش,sup
31,Schulter::N,دوش,krah
32,Schulter::N,شانه,sup
33,Schulter::N,شانه,krah
34,Arm::N,بازو,krah
35,Ellenbogen::N,آرنج,bërryl
36,Hand::N,دست,dorë
37,Handfläche::N,کف دست,pëllëmbë
38,Finger::N,انگشت,gisht
39,Fingernagel::N,ناخن دست,thua
40,Nagel[Anatomie]::N,ناخن,thua
41,Zeh::N,انگشت پا,gisht i këmbës
42,Fuß::N,پا,këmbë
43,Ferse::N,پاشنه,thembër
44,Knie::N,زانو,gju
45,Oberschenkel::N,ران,kofshë
46,Bein::N,پا,këmbë
47,Bein::N,لنگ,këmbë
48,Körper::N,تن,trup
49,Körper::N,بدن,trup
50,Haut::N,پوست,lëkurë
51,Blut::N,خون,gjak
52,Ader::N,رگ,venë
53,Sehne::N,زردپی,dell
54,Knochen::N,استخوان,asht
55,Knochen::N,استخوان,kockë
56,Gehirn::N,مخ,tru
57,Gehirn::N,مغز,tru
58,Herz::N,دل,zemër
59,Herz::N,قلب,zemër
60,Magen::N,معده,stomak
61,Leber::N,کبد,mëlçi
62,Atem::N,نفس,frymë
63,Hunger::N,گرسنگی,uri
64,Träne::N,اشک,lot
65,Geschmack::N,مزه,shije
66,Geruch::N,بو,erë
67,Schlaf::N,خواب,gjumë
68,Traum::N,رؤیا,ëndërr
69,Himmel::N,فلک,qiell
70,Himmel::N,آسمان,qiell
71,Sonne::N,آفتاب,diell
72,Sonne::N,خورشید,diell
73,Mond::N,ماه,hënë
74,Stern::N,ستاره,yll
75,Luft::N,هوا,ajër
76,Wind::N,باد,erë
77,Welle::N,موج,valë
78,Welle::N,موج,dallgë
79,Wasser::N,آب,ujë
80,Stein::N,سنگ,gur
81,Boden::N,زمین,tokë
82,Boden::N,زمین,truall
83,Erde::N,خاک,dhe
84,Erde::N,خاک,baltë
85,Erde::N,زمین,dhe
86,Erde::N,زمین,baltë
87,Staub::N,گرد,pluhur
88,Staub::N,غبار,pluhur
89,Rauch::N,دود,tym
90,Funke::N,جرقه,xixë
91,Funke::N,جرقه,shkëndijë
92,Feuer::N,آتش,zjarr
93,Licht::N,نور,dritë
94,Licht::N,روشنی,dritë
95,Schatten::N,سایه,hije
96,Wetter::N,هوا,mot
97,Nebel::N,مه,mjegull
98,Wolke::N,ابر,re
99,Regen::N,باران,shi
100,Schnee::N,برف,borë
101,Eis::N,یخ,akull
102,Frost::N,یخبندان,ngricë
103,Kälte::N,سرما,të ftohtë
104,Hitze::N,گرما,vapë
105,Hitze::N,گرما,nxehtësi
106,Hitze::N,حرارت,vapë
107,Hitze::N,حرارت,nxehtësi
108,Raureif::N,برف ریزه,cikmë
109,Regenbogen::N,رنگین‌کمان,ylber
