,Concept_ID,no,hr
0,Auge::N,øye,oko
1,Ohr::N,øre,uho
2,Nase::N,nese,nos
3,Mund::N,munn,usta
4,Zahn::N,tann,zub
5,Zunge::N,tunge,jezik
6,Lippe::N,leppe,usna
7,Wange::N,kinn,obraz
8,Gesicht::N,fjes,lice
9,Gesicht::N,ansikt,lice
10,Stirn::N,panne,čelo
11,Haar::N,hår,kosa
12,Schnurrbart::N,bart,brkovi
13,Bart::N,skjegg,brada
14,Kinn::N,hake,brada
15,Kinn::N,hake,podbradak
16,Kiefer[Anatomie]::N,kjeve,čeljust
17,Kehle::N,strupe,grlo
18,Hals::N,hals,vrat
19,Genick::N,nakke,zatiljak
20,Kopf::N,hode,glava
21,Rücken::N,rygg,leđa
22,Rücken::N,rygg,hrbat
23,Bauch::N,buk,trbuh
24,Bauch::N,mage,trbuh
25,Nabel::N,navle,pupak
26,Busen::N,barm,sisa
27,Busen::N,barm,njedra
28,Brust::N,bryst,prsa
29,Schulter::N,skulder,rame
30,Schulter::N,skulder,pleći
31,Arm::N,arm,ruka
32,Ellenbogen::N,albue,lakat
33,Hand::N,hånd,ruka
34,Handfläche::N,håndflate,dlan
35,Finger::N,finger,prst
36,Fingernagel::N,fingernegl,nokat
37,Nagel[Anatomie]::N,negl,nokat
38,Zeh::N,tå,nozni prst
39,Fuß::N,fot,noga
40,Fuß::N,fot,stopalo
41,Ferse::N,hæl,peta
42,Knie::N,kne,koljeno
43,Oberschenkel::N,lår,bedro
44,Bein::N,bein,noga
45,Körper::N,kropp,tijelo
46,Körper::N,legeme,tijelo
47,Haut::N,hud,put
48,Haut::N,hud,koža
49,Haut::N,skinn,put
50,Haut::N,skinn,koža
51,Blut::N,blod,krv
52,Ader::N,åre,žila
53,Sehne::N,sene,tetiva
54,Knochen::N,bein,kost
55,Knochen::N,knokkel,kost
56,Gehirn::N,hjerne,
57,Herz::N,hjerte,srce
58,Magen::N,mage,stomak
59,Magen::N,mage,želudac
60,Leber::N,lever,jetra
61,Atem::N,pust,dah
62,Hunger::N,sult,glad
63,Träne::N,tåre,suza
64,Geschmack::N,smak,ukus
65,Geruch::N,lukt,njuh
66,Geruch::N,lukt,miris
67,Schlaf::N,søvn,san
68,Traum::N,drøm,san
69,Himmel::N,himmel,nebo
70,Sonne::N,sol,sunce
71,Mond::N,måne,mjesec
72,Stern::N,stjerne,zvijezda
73,Luft::N,luft,zrak
74,Wind::N,vind,vjetar
75,Welle::N,bølge,val
76,Welle::N,bølge,talas
77,Wasser::N,vann,voda
78,Stein::N,stein,kamen
79,Boden::N,bakke,tlo
80,Boden::N,bakke,zemlja
81,Erde::N,jord,zemlja
82,Staub::N,støv,prah
83,Staub::N,støv,prašina
84,Rauch::N,røyk,dim
85,Funke::N,gnist,iskra
86,Funke::N,gnist,varnica
87,Feuer::N,ild,vatra
88,Licht::N,lys,svjetlo
89,Schatten::N,skygge,hlad
90,Schatten::N,skygge,sjena
91,Wetter::N,vær,vrijeme
92,Nebel::N,tåke,magla
93,Wolke::N,sky,oblak
94,Regen::N,regn,kiša
95,Schnee::N,snø,snijeg
96,Eis::N,is,led
97,Frost::N,frost,mraz
98,Kälte::N,kulde,studen
99,Kälte::N,kulde,hladnoća
100,Hitze::N,hete,vrućina
101,Raureif::N,rimfrost,inje
102,Regenbogen::N,regnbue,duga
103,Donner::N,torden,grom
104,Donner::N,torden,grmljavina
105,Strömung::N,strømning,struja
106,Strömung::N,strømning,strujanje
107,Tropfen::N,dråpe,kap
108,Tropfen::N,dråpe,kaplja
109,Schaum::N,skum,pjena
110,Schmutz::N,søl,nečistoća
111,Schmutz::N,søl,prljavština
112,Schmutz::N,skitt,nečistoća
113,Schmutz::N,skitt,prljavština
114,See::N,sjø,jezero
115,Sumpf::N,sump,bara
116,Sumpf::N,myrlende,bara
117,Moor::N,myr,močvara
118,Moor::N,myrhei,močvara
119,Wiese::N,eng,livada
120,Wald::N,skog,šuma
121,Hügel::N,haug,brijeg
122,Hügel::N,haug,brežuljak
123,Hügel::N,bakke,brijeg
124,Hügel::N,bakke,brežuljak
125,Anhöhe::N,haug,uzvišica
126,Anhöhe::N,bakke,uzvišica
127,Berg::N,berg,brdo
128,Berg::N,fjell,brdo
129,Gipfel::N,topp,vrh
130,Höhle::N,hule,pećina
131,Höhle::N,hule,spilja
132,Abhang::N,li,obronak
133,Abhang::N,li,nizbrdica
134,Abhang::N,skråning,obronak
135,Abhang::N,skråning,nizbrdica
136,Quelle::N,kilde,izvor
137,Quelle::N,kilde,vrelo
138,Bach::N,bekk,potok
139,Fluss::N,elv,rijeka
140,Ufer::N,bredd,obala
141,Küste::N,kyst,obala
142,Küste::N,kyst,morska obala
143,Festland::N,fastland,kopno
144,Meer::N,hav,more
145,Bucht::N,bukt,zaliv
146,Insel::N,øy,ada
147,Insel::N,øy,otok
148,Blume::N,blomst,cvijet
149,Gras::N,gress,trava
150,Wurzel::N,rot,korijen
151,Baum::N,tre,drvo
152,Baum::N,tre,stablo
153,Stamm::N,stamme,deblo
154,Stamm::N,stamme,stablo
155,Rinde::N,bark,kora
156,Ast::N,gren,grana
157,Zweig::N,kvist,grana
158,Blatt::N,blad,list
159,Birke::N,bjørk,breza
160,Kiefer[Baum]::N,furu,bor
161,Weide[Baum]::N,selje,iva
162,Weide[Baum]::N,selje,vŕba
163,Weide[Baum]::N,piletre,iva
164,Weide[Baum]::N,piletre,vŕba
165,Tanne::N,gran,jela
166,Horn::N,horn,rog
167,Feder::N,fjær,pero
168,Fell::N,skinn,koža
169,Flügel::N,vinge,krilo
170,Klaue::N,klauv,papak
171,Kralle::N,klo,pandža
172,Schwanz::N,hale,rep
173,Ei::N,egg,jaje
174,Nest::N,rede,gnijezdo
175,Bau::N,hi,jazbina
176,Tier::N,dyr,životinja
177,Herde::N,flokk,krdo
178,Herde::N,flokk,stado
179,Kuh::N,ku,krava
180,Bulle::N,tyr,bik
181,Pferd::N,hest,konj
182,Schaf::N,får,ovca
183,Schwein::N,gris,svinja
184,Hund::N,hund,pas
185,Hund::N,hund,pseto
186,Katze::N,katt,mačka
187,Bär::N,bjørn,medvjed
188,Eichhörnchen::N,ekorn,vjeverica
189,Elch::N,elg,los
190,Fuchs::N,rev,lisica
191,Hase::N,hare,zec
192,Maus::N,mus,miš
193,Wolf::N,ulv,vuk
194,Wolf::N,ulv,kurjak
195,Wolf::N,varg,vuk
196,Wolf::N,varg,kurjak
197,Vogel::N,fugl,ptica
198,Schwarm::N,sverm,roj
199,Schwarm::N,sverm,jato
200,Huhn::N,høne,kokoš
201,Hahn::N,hane,kokot
202,Hahn::N,hane,pijevac
203,Gans::N,gås,guska
204,Adler::N,ørn,orao
205,Ente::N,and,patka
206,Eule::N,ugle,sova
207,Kranich::N,trane,ždral
208,Krähe::N,kråke,vrana
209,Kuckuck::N,gjøk,kukavica
210,Schwan::N,svane,labud
211,Fisch::N,fisk,riba
212,Barsch::N,abbor,grgeč
213,Hecht::N,gjedde,štuka
214,Schlange[Tier]::N,orm,guja
215,Schlange[Tier]::N,orm,zmija
216,Schlange[Tier]::N,slange,guja
217,Schlange[Tier]::N,slange,zmija
218,Wurm::N,orm,crv
219,Wurm::N,mark,crv
220,Spinne::N,edderkopp,pauk
221,Ameise::N,maur,mrav
222,Laus::N,lus,uš
223,Mücke::N,mygg,komarac
224,Fliege::N,flue,muha
225,Schmetterling::N,sommerfugl,leptir
226,Beere::N,bær,boba
227,Beere::N,bær,bobica
228,Apfel::N,eple,jabuka
229,Pilz::N,sopp,pečurka
230,Zwiebel::N,løk,luk
231,Zwiebel::N,løk,kapula
232,Saat::N,sæd,sjemenje
233,Korn::N,korn,zrno
234,Heu::N,høy,sijeno
235,Schale::N,skall,kora
236,Schale::N,skall,ljuska
