,Concept_ID,cy,sv
0,Auge::N,llygad,öga
1,Ohr::N,clust,öra
2,Nase::N,trwyn,näsa
3,Mund::N,ceg,mun
4,Zahn::N,dant,tand
5,Zunge::N,tafod,tunga
6,Lippe::N,gwefus,läpp
7,Wange::N,boch,kind
8,Gesicht::N,wyneb,syn
9,Gesicht::N,wyneb,ansikte
10,Stirn::N,talcen,panna
11,Haar::N,blew,hår
12,Schnurrbart::N,mwstas,mustasch
13,Bart::N,barf,skägg
14,Kinn::N,gên,haka
15,Kiefer[Anatomie]::N,gên,käke
16,Kehle::N,gwddf,strupe
17,Hals::N,gwddf,hals
18,Genick::N,gwar,nacke
19,Genick::N,gwegil,nacke
20,Kopf::N,pen,huvud
21,Rücken::N,cefn,rygg
22,Bauch::N,bol,buk
23,Bauch::N,bol,mage
24,Nabel::N,bogail,navel
25,Busen::N,bron,barm
26,Brust::N,brest,bröst
27,Schulter::N,ysgwydd,skuldra
28,Arm::N,braich,arm
29,Ellenbogen::N,penelin,armbåge
30,Hand::N,llaw,hand
31,Handfläche::N,palf,handflata
32,Finger::N,bys,finger
33,Fingernagel::N,ewin,fingernagel
34,Nagel[Anatomie]::N,ewin,nagel
35,Zeh::N,bys troed,tå
36,Fuß::N,troed,fot
37,Ferse::N,sawdl,häl
38,Knie::N,glin,knä
39,Oberschenkel::N,clun,lår
40,Bein::N,coes,ben
41,Körper::N,corff,kropp
42,Haut::N,croen,hud
43,Haut::N,croen,skinn
44,Blut::N,gwaed,blod
45,Ader::N,gwythïen,åder
46,Sehne::N,gewyn,sena
47,Knochen::N,asgwrn,ben
48,Gehirn::N,ymennydd,hjärna
49,Herz::N,calon,hjärta
50,Magen::N,cylla,mage
51,Magen::N,stumog,mage
52,Leber::N,iau,lever
53,Atem::N,anadl,anda
54,Atem::N,anadl,andedräkt
55,Hunger::N,newyn,svält
56,Hunger::N,newyn,hunger
57,Träne::N,deigryn,tår
58,Geschmack::N,cyflas,smak
59,Geruch::N,aroglau,lukt
60,Schlaf::N,cwsg,sömn
61,Traum::N,breuddwyd,dröm
62,Himmel::N,awyr,himmel
63,Sonne::N,haul,sol
64,Mond::N,lleuad,måne
65,Stern::N,seren,stjärna
66,Luft::N,awyr,luft
67,Wind::N,gwynt,vind
68,Welle::N,ton,våg
69,Welle::N,ton,bölja
70,Wasser::N,dŵr,vatten
71,Stein::N,carreg,sten
72,Boden::N,llawr,mark
73,Erde::N,pridd,jord
74,Staub::N,llwch,damm
75,Rauch::N,mwg,rök
76,Funke::N,gwreichioni,gnista
77,Feuer::N,tân,eld
78,Licht::N,golau,ljus
79,Schatten::N,cysgod,skugga
80,Wetter::N,tywydd,väder
81,Nebel::N,niwl,dimma
82,Nebel::N,niwl,töcken
83,Wolke::N,cwmwl,sky
84,Wolke::N,cwmwl,moln
85,Regen::N,glaw,regn
86,Schnee::N,ôd,snö
87,Schnee::N,eira,snö
88,Eis::N,iâ,is
89,Frost::N,rhew,frost
90,Kälte::N,oerni,köld
91,Kälte::N,annwyd,köld
92,Hitze::N,gwres,hetta
93,Raureif::N,barrug,rimfrost
94,Regenbogen::N,enfys,regnbåge
95,Donner::N,tyrfau,åska
96,Donner::N,tyrfau,dunder
97,Strömung::N,cerrynt,strömning
98,Tropfen::N,dafn,dropper
99,Tropfen::N,diferyn,dropper
100,Schaum::N,ewyn,skum
101,Schmutz::N,baw,lort
102,Schmutz::N,baw,smuts
103,Schmutz::N,budreddi,lort
104,Schmutz::N,budreddi,smuts
105,See::N,llyn,sjö
106,Sumpf::N,cors,träsk
107,Moor::N,rhos,myr
108,Moor::N,rhos,mosse
109,Wiese::N,dôl,äng
110,Wald::N,coedwig,skog
111,Hügel::N,bryn,höjd
112,Hügel::N,bryn,kulle
113,Anhöhe::N,bryn,höjd
114,Anhöhe::N,bryn,backe
115,Berg::N,mynydd,berg
116,Berg::N,mynydd,fjäll
117,Gipfel::N,copa,topp
118,Höhle::N,ogof,håla
119,Höhle::N,ogof,grotta
120,Abhang::N,llethr,slänt
121,Abhang::N,llethr,sluttning
122,Quelle::N,tarddiad,källa
123,Quelle::N,ffynhonnell,källa
124,Bach::N,nant,bäck
125,Bach::N,afonig,bäck
126,Bach::N,cornant,bäck
127,Fluss::N,afon,älv
128,Fluss::N,afon,flod
129,Ufer::N,glan,strand
130,Küste::N,traeth,kust
131,Küste::N,arfordir,kust
132,Festland::N,tir,fastland
133,Meer::N,môr,hav
134,Bucht::N,bae,vik
135,Bucht::N,bae,bukt
136,Insel::N,ynys,ö
137,Blume::N,blodyn,blomma
138,Blume::N,blodyn,blomster
139,Gras::N,glaswellt,gräs
140,Wurzel::N,gwreiddyn,rot
141,Baum::N,coeden,träd
142,Stamm::N,colfen,stam
143,Stamm::N,boncyff,stam
144,Rinde::N,rhisgl,bark
145,Ast::N,cangen,gren
146,Zweig::N,cainc,kvist
147,Zweig::N,cangen,kvist
148,Blatt::N,deilen,löv
149,Blatt::N,deilen,blad
150,Birke::N,bedwen,björk
151,Kiefer[Baum]::N,pinwydden,tall
152,Weide[Baum]::N,helygen,pil
153,Weide[Baum]::N,helygen,vide
154,Tanne::N,ffynidwydden,gran
155,Horn::N,corn,horn
156,Feder::N,plufyn,fjäder
157,Fell::N,ffwr,fäll
158,Fell::N,ffwr,skinn
159,Flügel::N,adain,vinge
160,Klaue::N,crafanc,klöv
161,Kralle::N,ewin,klo
162,Schwanz::N,cwt,svans
163,Schwanz::N,cwt,stjärt
164,Schwanz::N,cynffon,svans
165,Schwanz::N,cynffon,stjärt
166,Ei::N,wy,ägg
167,Nest::N,nyth,rede
168,Nest::N,nyth,näste
169,Bau::N,ffau,bo
170,Tier::N,anifail,djur
171,Herde::N,praidd,flock
172,Herde::N,diadell,flock
173,Kuh::N,buwch,ko
174,Bulle::N,tarw,tjur
175,Pferd::N,ceffyl,häst
