,Concept_ID,tr,uz
0,Auge::N,göz,ko'z
1,Ohr::N,kulak,quloq
2,Nase::N,burun,burun
3,Mund::N,ağız,og'iz
4,Zahn::N,diş,tish
5,Zunge::N,dil,til
6,Lippe::N,dudak,dudoq
7,Wange::N,yanak,bet
8,Gesicht::N,yüz,yuz
9,Stirn::N,alın,manglay
10,Haar::N,saç,soch
11,Schnurrbart::N,bıyık,mo'ylov
12,Bart::N,sakal,soqol
13,Kinn::N,çene,ängak
14,Kiefer[Anatomie]::N,çene,iyak
15,Kehle::N,boğaz,bo'g'iz
16,Hals::N,boyun,bo'yin
17,Hals::N,gerdan,bo'yin
18,Genick::N,ense,gardan
19,Kopf::N,baş,bosh
20,Kopf::N,kafa,bosh
21,Rücken::N,arka,orqa
22,Bauch::N,karın,qorin
23,Nabel::N,göbek,kindik
24,Busen::N,koyun,ämchak
25,Brust::N,göğüs,ko'krak
26,Schulter::N,omuz,elka
27,Arm::N,kol,bilak
28,Ellenbogen::N,dirsek,tirsak
29,Hand::N,el,qo'l
30,Handfläche::N,avuç,kaft
31,Handfläche::N,el ayası,kaft
32,Finger::N,parmak,barmoq
33,Fingernagel::N,el tırnağı,tirnoq
34,Nagel[Anatomie]::N,tırnak,tirnoq
35,Zeh::N,ayak parmağı,oyoq barmog'i
36,Fuß::N,ayak,oyoq
37,Ferse::N,topuk,tovon
38,Knie::N,diz,tiz
39,Oberschenkel::N,uyluk,son
40,Bein::N,bacak,oyoq
41,Körper::N,vücut,badna
42,Haut::N,cilt,teri
43,Blut::N,kan,qon
44,Ader::N,damar,qon tomir
45,Sehne::N,kiriş,tomir
46,Knochen::N,kemik,suyak
47,Gehirn::N,beyin,miya
48,Herz::N,kalp,qalb
49,Herz::N,yürek,qalb
50,Magen::N,mide,oshqozon
51,Leber::N,karaciğer,bag'ir
52,Atem::N,nefes,dam
53,Hunger::N,açlık,ochlik
54,Träne::N,gözyaşı,yosh
55,Geschmack::N,tat,tam
56,Geschmack::N,lezzet,tam
57,Geruch::N,koku,jid
58,Schlaf::N,uyku,uyqu
59,Traum::N,düş,tush
60,Traum::N,rüya,tush
61,Himmel::N,gök,osmon
62,Sonne::N,güneş,quyosh
63,Mond::N,ay,oy
64,Stern::N,yıldız,yulduz
65,Luft::N,hava,havo
66,Wind::N,yel,el
67,Wind::N,rüzgâr,el
68,Welle::N,dalga,to'lqin
69,Wasser::N,su,suv
70,Stein::N,taş,tosh
71,Boden::N,yer,tuproq
72,Boden::N,zemin,tuproq
73,Erde::N,toprak,er
74,Staub::N,toz,chang
75,Rauch::N,duman,tutun
76,Funke::N,kıvılcım,yalt
77,Feuer::N,ateş,o't
78,Licht::N,ışık,yorug'
79,Schatten::N,gölge,soya
80,Wetter::N,hava,havo
