,Concept_ID,os,en
0,Auge::N,цӕст,eye
1,Ohr::N,хъус,ear
2,Nase::N,фындз,nose
3,Mund::N,дзых,mouth
4,Zahn::N,дӕндаг,tooth
5,Zunge::N,ӕвзаг,tongue
6,Lippe::N,был,lip
7,Wange::N,рус,cheek
8,Wange::N,уадул,cheek
9,Wange::N,ӕхсӕрфарс,cheek
10,Gesicht::N,цӕсгом,face
11,Stirn::N,ных,forehead
12,Haar::N,хил,hair
13,Schnurrbart::N,рихи,moustache
14,Bart::N,зачъе,beard
15,Kinn::N,роцъо,chin
16,Kiefer[Anatomie]::N,ӕфсӕр,jaw
17,Kehle::N,хъуыр,throat
18,Hals::N,къубал,neck
19,Genick::N,къӕбут,nape
20,Kopf::N,сӕр,head
21,Rücken::N,фӕсонтӕ,back
22,Rücken::N,фӕсонтӕ,spine
23,Bauch::N,гуыбын,belly
24,Nabel::N,бикъ,navel
25,Busen::N,дзидзи,bosom
26,Brust::N,риу,chest
27,Brust::N,риу,breast
28,Schulter::N,уӕхск,shoulder
29,Arm::N,цонг,arm
30,Ellenbogen::N,рæмбын,elbow
31,Hand::N,къух,hand
32,Handfläche::N,армытъӕпӕн,palm
33,Finger::N,ӕнруылдз,finger
34,Fingernagel::N,ных,fingernail
35,Nagel[Anatomie]::N,ных,nail
36,Zeh::N,къух,toe
37,Fuß::N,фад,foot
38,Ferse::N,зӕвӕт,heel
39,Knie::N,уӕраг,knee
40,Oberschenkel::N,агъд,thigh
41,Bein::N,зӕнг,leg
42,Körper::N,буар,body
43,Haut::N,царм,skin
44,Blut::N,туг,blood
45,Ader::N,дадзин,vein
46,Ader::N,тугдадзин,vein
47,Sehne::N,хъиутæ,sinew
48,Sehne::N,нуар,sinew
49,Knochen::N,стӕг,bone
50,Gehirn::N,магъз,brain
51,Herz::N,зӕрдӕ,heart
52,Magen::N,ахсӕн,stomach
53,Leber::N,игæр,liver
54,Atem::N,улӕфт,breath
55,Hunger::N,стонг,hunger
56,Träne::N,цæссыг,tear
57,Geschmack::N,ад,flavour
58,Geschmack::N,ад,flavor
59,Geruch::N,смаг,odour
60,Geruch::N,смаг,odor
61,Schlaf::N,хуыссӕг,sleep
62,Traum::N,фын,dream
63,Himmel::N,арв,sky
64,Himmel::N,уӕларв,sky
