,Concept_ID,uk,lez
0,Auge::N,око,вил
1,Ohr::N,вухо,яб
2,Nase::N,ніс,нер
3,Mund::N,рот,сив
4,Zahn::N,зуб,сас
5,Zahn::N,зуб,свах
6,Zunge::N,язик,мез
7,Lippe::N,губа,пӏуз
8,Wange::N,щока,хъвехъ
9,Gesicht::N,обличчя,ччин
10,Stirn::N,лоб,пел
11,Haar::N,волосся,чӏар
12,Schnurrbart::N,вуса,спел
13,Schnurrbart::N,вуса,спелар
14,Bart::N,борода,ччуру
15,Kinn::N,підборіддя,чене
16,Kiefer[Anatomie]::N,щелепа,чене
17,Kehle::N,горло,туьд
18,Hals::N,шия,гардан
19,Genick::N,потилиця,кьам
20,Kopf::N,голова,кьил
21,Rücken::N,спина,далу
22,Bauch::N,живіт,руфун
23,Nabel::N,пупок,пицӏ
24,Busen::N,груди,мам
25,Brust::N,груди,хур
26,Schulter::N,плече,къуьн
27,Arm::N,рука,гъил
28,Ellenbogen::N,лікоть,кьуьнт
29,Hand::N,рука,капаш
30,Handfläche::N,долоня,капан юкь
31,Finger::N,палець,тӏуб
32,Fingernagel::N,ніготь,кек
33,Nagel[Anatomie]::N,ніготь,кек
34,Zeh::N,палець на нозі,кул
35,Fuß::N,нога,кӏвач
36,Ferse::N,п’ятка,дабан
37,Knie::N,коліно,мет
38,Oberschenkel::N,стегно,
39,Bein::N,нога,кӏвач
40,Körper::N,тіло,беден
41,Haut::N,шкіра,хам
42,Blut::N,кров,иви
43,Ader::N,вена,дамар
44,Sehne::N,сухожилля,кьуру дамар
45,Knochen::N,кістка,кӏараб
46,Gehirn::N,мозок,мефт
47,Herz::N,серце,рикӏ
48,Magen::N,шлунок,хук
49,Leber::N,печінка,лекь
50,Atem::N,дихання,ял
51,Atem::N,дихання,нефес
52,Hunger::N,голод,каш
53,Träne::N,сльоза,вилин нагъв
54,Geschmack::N,смак,дад
55,Geschmack::N,смак,тӏям
56,Geruch::N,запах,ни
57,Schlaf::N,сон,ахвар
58,Schlaf::N,сплячка,ахвар
59,Traum::N,сон,ахвар
60,Himmel::N,небо,цав
61,Sonne::N,сонце,рагъ
62,Mond::N,місяць,варз
63,Stern::N,зірка,гъед
64,Luft::N,повітря,гьава
65,Wind::N,вітер,гар
66,Welle::N,хвиля,лепе
67,Wasser::N,вода,яд
68,Stein::N,камінь,къван
69,Boden::N,ґрунт,накьв
70,Erde::N,земля,ччил
71,Staub::N,пил,руг
72,Rauch::N,дим,гум
73,Funke::N,іскра,цӏелхем
74,Feuer::N,вогонь,цӏай
75,Licht::N,світло,экв
76,Schatten::N,тінь,серин
77,Wetter::N,погода,гьава
78,Nebel::N,туман,ччилин циф
79,Wolke::N,хмара,циф
80,Regen::N,дощ,марф
81,Schnee::N,сніг,жив
82,Eis::N,лід,мурк
83,Frost::N,мороз,аяз
84,Kälte::N,холод,мекь
85,Kälte::N,холод,мекьивал
86,Hitze::N,жар,зегьем
87,Raureif::N,іній,къирав
88,Regenbogen::N,райдуга,яргъируш
89,Donner::N,грім,цавун ван
90,Strömung::N,струмина,
91,Tropfen::N,крапля,стӏал
92,Schaum::N,піна,каф
93,Schmutz::N,бруд,чирк
94,Schmutz::N,бруд,кьуруш
95,See::N,озеро,вир
96,Sumpf::N,драговина,уьлен
97,Moor::N,болото,
98,Wiese::N,луг,векь
99,Wiese::N,лука,векь
100,Wald::N,ліс,там
101,Hügel::N,горб,кӏунтӏ
102,Anhöhe::N,височина,тепе
103,Anhöhe::N,височина,гьуьндуьрвал
104,Berg::N,гора,дагъ
105,Gipfel::N,вершина,кӏукӏ
106,Höhle::N,печера,кьветӏ
107,Abhang::N,схил,гуьне
108,Quelle::N,джерело,чешме
109,Bach::N,струмок,булах
110,Fluss::N,річка,вацӏ
111,Ufer::N,берег,къерех
112,Küste::N,узбережжя,къерех
113,Festland::N,суша,кьурамат
114,Meer::N,море,гьуьл
115,Bucht::N,бухта,бухта
116,Bucht::N,затока,бухта
117,Insel::N,острів,остров
118,Blume::N,квітка,цуьк
119,Gras::N,трава,хъач
120,Wurzel::N,корінь,дувул
121,Baum::N,дерево,ттар
122,Stamm::N,стовбур,тан
123,Rinde::N,кора,чкал
124,Ast::N,гілка,тӏур
125,Zweig::N,галузь,хел
126,Blatt::N,лист,пеш
127,Birke::N,береза,верх
128,Kiefer[Baum]::N,сосна,шамагъаж
129,Weide[Baum]::N,верба,цӏвелин ттар
130,Tanne::N,ялиця,ель
131,Horn::N,ріг,карч
132,Feder::N,перо,цӏакул
133,Fell::N,хутро,хам
134,Flügel::N,крило,лув
135,Klaue::N,кіготь,къармах
136,Kralle::N,лапа,пац
137,Kralle::N,лапа,тапас
138,Schwanz::N,хвіст,ттум
139,Ei::N,яйце,кака
140,Nest::N,гніздо,муг
141,Bau::N,лігво,тӏеквен
142,Tier::N,тварина,гьайван
143,Herde::N,стадо,суьруь
144,Kuh::N,корова,ккал
145,Bulle::N,бик,яц
146,Bulle::N,бик,бугъа
147,Bulle::N,бугай,яц
148,Bulle::N,бугай,бугъа
149,Pferd::N,кінь,балкӏан
150,Schaf::N,вівця,хеб
151,Schwein::N,свиня,вак
152,Hund::N,собака,кицӏ
153,Katze::N,кішка,кац
154,Bär::N,ведмідь,сев
155,Eichhörnchen::N,білка,белка
156,Elch::N,лось,лось
157,Fuchs::N,лисиця,сикӏ
158,Hase::N,заєць,къуьр
159,Maus::N,миша,кьиф
160,Wolf::N,вовк,жанавур
161,Vogel::N,птах,луван ничхир
162,Schwarm::N,зграя,луж
163,Huhn::N,курка,верч
164,Hahn::N,півень,кӏек
165,Gans::N,гуска,къаз
166,Adler::N,орел,лекь
167,Ente::N,качка,пӏатӏ
168,Eule::N,сова,тӏиб
169,Kranich::N,журавель,дурна
170,Krähe::N,ворона,къаргъа
171,Kuckuck::N,зозуля,кукупӏ
172,Schwan::N,лебідь,къугь
173,Fisch::N,риба,гъед
174,Barsch::N,окунь,окунь
175,Hecht::N,щука,щука
176,Schlange[Tier]::N,змія,илан
177,Schlange[Tier]::N,змія,гъуьлягъ
178,Wurm::N,черв’як,квак
179,Spinne::N,павук,хуьшрекан
180,Ameise::N,мурашка,цегв
181,Laus::N,воша,нет
182,Mücke::N,комар,ветӏ
183,Fliege::N,муха,тӏветӏ
184,Schmetterling::N,метелик,чепелукь
185,Beere::N,ягода,куьлуь емиш
186,Apfel::N,яблуко,ич
187,Pilz::N,гриб,къарникъуз
188,Zwiebel::N,цибуля,чичӏек
189,Saat::N,сім’я,тумар
190,Korn::N,зерно,твар
191,Heu::N,сіно,векь
192,Heu::N,сіно,векьер
193,Schale::N,шкірка,пириш
194,Schale::N,шкірка,хъуьруьш
195,Grube::N,яма,фур
196,Falle::N,пастка,ракьар
197,Schlinge::N,петля,гьалкъа
198,Spur::N,слід,гел
199,Asche::N,зола,руьхъ
200,Asche::N,попіл,руьхъ
201,Dreck::N,бруд,чирк
202,Dreck::N,бруд,кьуруш
203,Eisen::N,залізо,ракь
204,Gold::N,золото,алтун
205,Silber::N,срібло,гимиш
206,Kohle::N,вугілля,цӏивин
207,Glas::N,скло,шуьше
208,Lehm::N,глина,ччеб
209,Sand::N,пісок,къум
210,Mensch::N,людина,инсан
211,Mann::N,чоловік,итим
212,Frau::N,жінка,паб
213,Frau::N,жінка,дишегьли
214,Kind::N,дитина,аял
215,Junge::N,хлопець,гада
216,Mädchen::N,дівчина,руш
217,Familie::N,сім’я,хзан
218,Familie::N,сім’я,килфет
219,Familie::N,родина,хзан
220,Familie::N,родина,килфет
221,Großvater::N,дідусь,чӏехи буба
222,Großmutter::N,бабуся,чӏехи диде
223,Eltern::N,батьки,диде-буба
224,Vater::N,батько,буба
225,Mutter::N,мати,диде
226,Sohn::N,син,хва
227,Tochter::N,дочка,руш
228,Bruder::N,брат,стха
229,Schwester::N,сестра,вах
230,Onkel::N,дядько,ими
231,Onkel::N,дядько,халу
232,Tante::N,тітка,эме
233,Tante::N,тітка,хала
234,Ehemann::N,чоловік,гъуьл
235,Ehefrau::N,жінка,паб
236,Ehefrau::N,дружина,паб
237,Freude::N,радощі,шадвал
238,Gelächter::N,сміх,хъвер
239,Glück::N,щастя,бахт
240,Kummer::N,горе,дерт
241,Kummer::N,горе,хажалат
242,Wunsch::N,бажання,мурад
243,Lust::N,бажання,гьевес
244,Geist::N,дух,руьгь
245,Gedanke::N,думка,фикир
246,Gedächtnis::N,пам’ять,
247,Verstand::N,розум,акьул
248,Sinn::N,зміст,мана
249,Sinn::N,значення,мана
250,Grund::N,причина,себеб
251,Wahrheit::N,правда,керчек
252,Wahrheit::N,правда,гьакъикъат
253,Gespräch::N,розмова,ихтилат
254,Märchen::N,байка,мах
255,Erzählung::N,повість,кьиса
256,Erzählung::N,оповідання,кьиса
257,Nachricht::N,повідомлення,хабар
258,Neuigkeit::N,новина,цӏийи хабар
259,Name::N,ім’я,тӏвар
260,Rätsel::N,загадка,мискӏал
261,Rede::N,промова,рахун
262,Sprache::N,мова,чӏал
263,Stimme::N,голос,ван
264,Wort::N,слово,гаф
265,Zeichen::N,знак,ишара
266,Ruf::N,оклик,эвер
267,Lärm::N,шум,ван-сес
268,Laut::N,звук,ван
269,Laut::N,звук,сес
270,Ton::N,тон,ван-сес
271,Lied::N,пісня,мани
272,Ruhe::N,спокій,ласвал
273,Ruhe::N,спокій,фаракъат
274,Ruhe::N,спокій,асайиш
275,Leute::N,люди,инсанар
276,Volk::N,народ,халкь
277,Arbeit::N,робота,кӏвалах
278,Gast::N,гість,мугьман
279,Geschenk::N,подарунок,савкьат
280,Spiel::N,гра,къугъун
281,Gesellschaft::N,товариство,жемят
282,Gesellschaft::N,товариство,общество
283,Hilfe::N,допомога,куьмек
284,Freund::N,друг,дуст
285,Freund::N,приятель,дуст
286,Kamerad::N,товариш,яр-дуст
287,Angelegenheit::N,справа,кар
288,Anzahl::N,число,сан
289,Anzahl::N,число,кьадар
290,Art::N,рід,жуьре
291,Stück::N,кусок,кӏус
292,Teil::N,частина,пай
293,Hälfte::N,половина,зур
294,Hälfte::N,половина,зур пай
295,Kreis::N,круг,круг
296,Kreis::N,круг,чкаяр
297,Kreis::N,круг,элкъвей цӏар
298,Kreis::N,коло,круг
299,Kreis::N,коло,чкаяр
300,Kreis::N,коло,элкъвей цӏар
301,Kreuz::N,хрест,хаш
302,Linie::N,лінія,цӏар
303,Strich::N,штрих,цӏар
304,Abstand::N,проміжок,ара
305,Entfernung::N,відстань,мензил
306,Gegend::N,місцевість,чка
307,Platz::N,площа,ара
308,Ort::N,місце,чка
309,Seite::N,сторона,пад
310,Mitte::N,середина,юкь
311,Gegenstand::N,предмет,затӏ
312,Sache::N,річ,шей
313,Sache::N,річ,затӏ
314,Rand::N,край,къерех
315,Kante::N,ребро,син
316,Ecke::N,ріг,пӏипӏ
317,Spitze::N,кінчик,кӏвенкӏв
318,Ende::N,кінець,кьил
319,Loch::N,діра,тӏеквен
320,Winkel::N,куток,пӏипӏ
321,Muster::N,узор,гишир
322,Größe::N,розмір,кьадар
323,Länge::N,довжина,яргъивал
324,Höhe::N,висота,кьакьанвал
325,Gewicht::N,вага,заланвал
326,Menge::N,кількість,кьадар
327,Haufen::N,купа,хара
328,Reihe::N,ряд,жерге
329,Boot::N,човен,луьткве
330,Ruder::N,весло,кьусу
331,Schlitten::N,сани,гъелерар
332,Ski::N,лижа,
333,Lagerfeuer::N,вогнище,цӏай
334,Last::N,тягар,заланвал
335,Last::N,вантаж,заланвал
336,Gang::N,хід,ериш
337,Schritt::N,крок,къадам
338,Norden::N,північ,кефер
339,Norden::N,північ,кефер пад
340,Süden::N,південь,кьибле
341,Westen::N,захід,рагъакӏидай пад
342,Osten::N,схід,рагъэкъечӏдай пад
343,Holz::N,дрова,кӏарас
344,Brett::N,дошка,кьул
345,Brett::N,дошка,тахта
346,Platte::N,плита,
347,Stütze::N,підпірка,даях
348,Stange::N,жердина,юрк
349,Stock::N,палиця,лаш
350,Stab::N,палиця,юрк
351,Rohr::N,труба,турба
352,Haus::N,дім,ужагъ
353,Haus::N,хата,ужагъ
354,Heim::N,житло,кӏвал
355,Ofen::N,піч,пич
356,Fußboden::N,підлога,кӏвалин ччил
357,Tisch::N,стіл,стол
358,Stuhl::N,стілець,стул
359,Wiege::N,колиска,кьеб
360,Bett::N,ліжко,тахт
361,Bett::N,постіль,тахт
362,Regal::N,полиця,кьацӏ
363,Kiste::N,ящик,ящик
364,Fenster::N,вікно,дакӏар
365,Tür::N,двері,рак
366,Tor::N,ворота,варар
367,Zaun::N,паркан,пару
368,Zaun::N,огорожа,пару
369,Dach::N,дах,къав
370,Leiter::N,драбина,гурар
371,Besen::N,мітла,таран кул
372,Spaten::N,заступ,ппер
373,Schaufel::N,совок,хекендаз
374,Schaufel::N,лопата,хекендаз
375,Gabel::N,виделка,шиш
376,Löffel::N,ложка,тӏур
377,Messer::N,ніж,чукӏул
378,Nagel::N,цвях,мих
379,Netz::N,сіть,чил
380,Haken::N,крюк,къармах
381,Griff::N,ручка,ттум
382,Griff::N,держак,ттум
383,Schloss::N,замок,куьлег
384,Bild::N,картина,шикил
385,Bild::N,картина,суьрет
386,Figur::N,фігура,фигура
387,Puppe::N,лялька,нини
388,Beutel::N,мішечок,тагъар
389,Beutel::N,торбинка,тагъар
390,Bündel::N,в’язка,галгам
391,Tasche::N,сумка,чанта
392,Eimer::N,відро,ведре
393,Deckel::N,кришка,кьил
394,Deckel::N,кришка,къалпагъ
395,Geschirr::N,посуд,къаб-къажах
396,Sack::N,мішок,чувал
397,Tasse::N,чашка,сукӏра
398,Topf::N,горщик,къажгъан
399,Kessel::N,котел,къажгъан
400,Essen::N,їжа,тӏуьн
401,Nahrung::N,харч,тӏуьн
402,Speise::N,страва,хуьрек
403,Fleisch::N,м’ясо,як
404,Getreide::N,хліб,техил
405,Getreide::N,збіжжя,техил
406,Brei::N,каша,хапӏа
407,Brei::N,каша,хешил
408,Brot::N,хліб,фу
409,Scheibe::N,скибочка,чӏук
410,Fett::N,жир,ягълу
411,Butter::N,масло,гъери
412,Öl::N,олія,ягълу
413,Salz::N,сіль,кьел
414,Suppe::N,суп,суп
415,Suppe::N,суп,шурпа
416,Honig::N,мед,вирт
417,Milch::N,молоко,нек
418,Tee::N,чай,чай
419,Leder::N,шкіра,тумаж
420,Wolle::N,шерсть,йис
421,Stoff::N,тканина,парча
422,Nadel::N,голка,раб
423,Faden::N,нитка,гъал
424,Knopf::N,ґудзик,дуьгме
425,Knoten::N,вузол,тӏвал
426,Farbe::N,фарба,ранг
427,Kleidung::N,одяг,партал
428,Kleidung::N,убрання,партал
429,Hemd::N,сорочка,перем
430,Kragen::N,комір,хев
431,Ärmel::N,рукав,хел
432,Hose::N,брюки,шалвар
433,Gürtel::N,пояс,чӏул
434,Mütze::N,шапка,бармак
435,Mütze::N,шапка,бапӏах
436,Schuh::N,ботинок,ботинка
437,Stiefel::N,чобіт,чекме
438,Ring::N,кільце,тупӏал
439,Band::N,стрічка,тасма
440,Kamm::N,гребінець,регъ
441,Spiegel::N,дзеркало,гуьзгуь
442,Riemen::N,ремінь,къайиш
443,Schnur::N,вірьовка,еб
444,Leine::N,шворка,
445,Decke::N,ковдра,яргъан
446,Kissen::N,подушка,хъуьцуьган
447,Tuch::N,хустка,шал
448,Handtuch::N,рушник,дасмал
449,Kraft::N,сила,гуж
450,Stärke::N,сила,къуват
451,Gesundheit::N,здоров’я,сагъвал
452,Krankheit::N,хвороба,тӏал
453,Schmerz::N,біль,тӏал
454,Schmerz::N,біль,тӏарвал
455,Wunde::N,рана,хер
456,Fieber::N,гарячка,ифин
457,Arznei::N,ліки,дарман
458,Brücke::N,міст,муьгъ
459,Brunnen::N,колодязь,къуй
460,Weide::N,пасовище,уьруьш
461,Pfad::N,стежка,рехъ
462,Weg::N,шлях,рехъ
463,Weg::N,дорога,рехъ
464,Straße::N,вулиця,рехъ
465,Dorf::N,село,хуьр
466,Stadt::N,місто,шегьер
467,Brief::N,лист,кагъаз
468,Buch::N,книга,улуб
469,Buch::N,книжка,улуб
470,Buchstabe::N,буква,гьарф
471,Buchstabe::N,літера,гьарф
472,Zeitung::N,газета,газета
473,Leben::N,життя,уьмуьр
474,Tod::N,смерть,кьиникь
475,Grab::N,могила,сур
476,Kirche::N,церква,килиса
477,Sünde::N,гріх,гунагь
