,Concept_ID,la,mdf
0,Auge::N,oculus,сельме
1,Ohr::N,auris,пиле
2,Nase::N,nasus,шалхка
3,Mund::N,os,курга
4,Zahn::N,dens,пей
5,Zunge::N,lingua,кяль
6,Lippe::N,labrum,търва́
7,Wange::N,gena,щёка
8,Gesicht::N,vultus,шама
9,Stirn::N,frons,коня
10,Haar::N,capillus,шя́ярь
11,Schnurrbart::N,barba labri superioris,уса́
12,Bart::N,barba,сакал
13,Kinn::N,mentum,ула
14,Kiefer[Anatomie]::N,mala,саласка
15,Kehle::N,iugulums,кълдома
16,Kehle::N,iugulums,кърга́парь
17,Hals::N,collum,сялдаз
18,Genick::N,cervices,шовонь
19,Kopf::N,caput,пря
20,Rücken::N,tergum,копорь
21,Bauch::N,venter,пеке
22,Nabel::N,umbilicus,по́кон
23,Busen::N,sinus,потя
24,Brust::N,pectus,мяште
25,Schulter::N,umerus,лафту
26,Arm::N,bracchium,кядь
27,Ellenbogen::N,cubitum,кенерьба́карь
28,Hand::N,manus,кядь
29,Handfläche::N,palma,кядьлапш
30,Finger::N,digitus,сур
31,Fingernagel::N,unguiculus,кенже
32,Nagel[Anatomie]::N,unguis,кенже
33,Zeh::N,digitus,пильгосу́р
34,Fuß::N,pes,пильге
35,Fuß::N,pes,пильгелапа
36,Ferse::N,calx,кочкяря
37,Knie::N,genu,эль
38,Knie::N,genu,пълма́нжа
39,Oberschenkel::N,femur,пильгепукша
40,Bein::N,crus,пильге
41,Körper::N,corpus,ро́нга
42,Körper::N,corpus,по́нда
43,Haut::N,cutis,киське
44,Haut::N,pellis,киське
45,Blut::N,sanguis,вер
46,Ader::N,vena,сан
47,Ader::N,vena,верза́н
48,Sehne::N,nervus,коське сан
49,Knochen::N,os,пакарь
50,Gehirn::N,cerebrum,уй
51,Herz::N,cor,седи
52,Herz::N,animus,седи
53,Magen::N,stomachus,коткърдазь
54,Leber::N,iecur,макса
55,Atem::N,spiritus,лекома
56,Atem::N,spiritus,ваймонь тарксема
57,Hunger::N,fames,вачеши
58,Träne::N,lacrima,сельмове́дь
59,Geschmack::N,sapor,таньф
60,Geschmack::N,gustus,таньф
61,Geruch::N,odor,шине
62,Schlaf::N,somnus,удома́
63,Traum::N,somnium,он
64,Himmel::N,caelum,менель
65,Sonne::N,sol,ши
66,Mond::N,luna,ков
67,Stern::N,sidus,тяште
68,Stern::N,stella,тяште
69,Luft::N,aer,кожф
70,Wind::N,ventus,варма
71,Welle::N,unda,тавла
72,Wasser::N,aqua,ведь
73,Stein::N,lapis,кев
74,Boden::N,solum,мода
75,Boden::N,solum,потмакс
76,Erde::N,terra,мода
77,Erde::N,terra,мастор
78,Staub::N,pulvis,пуль
79,Rauch::N,fumus,качам
80,Funke::N,scintilla,ця́тка
81,Feuer::N,ignis,тол
82,Licht::N,lux,ва́лда
83,Licht::N,lumen,ва́лда
84,Schatten::N,umbra,цильф
85,Wetter::N,caelum,уша
86,Wetter::N,tempestas,уша
87,Nebel::N,nebula,тума́н
88,Wolke::N,nubes,ковол
89,Regen::N,imber,пизем
90,Regen::N,pluvia,пизем
91,Schnee::N,nix,лов
92,Eis::N,glacies,эй
93,Frost::N,gelu,ке́льме
94,Kälte::N,frigus,якшама
95,Hitze::N,calor,пси
96,Hitze::N,aestus,пси
97,Raureif::N,pruina,леш
98,Regenbogen::N,arcus,а́тямъёнга
99,Donner::N,tonitrus,атям
100,Strömung::N,fluctus,шудема́
101,Tropfen::N,gutta,путькс
102,Tropfen::N,gutta,пътняфкс
103,Schaum::N,spuma,шов
104,Schmutz::N,sordes,ърда́з
105,Schmutz::N,squalor,ърда́з
106,See::N,lacus,эрьхке
107,Sumpf::N,palus,шяй
108,Moor::N,palus,шяй
109,Wiese::N,pratum,луга
110,Wald::N,silva,вирь
111,Hügel::N,collis,губо́р
112,Hügel::N,collis,пандоня
113,Anhöhe::N,specula,губо́р
114,Berg::N,mons,панда
115,Gipfel::N,vertex,пря
116,Höhle::N,caverna,у́нда
117,Höhle::N,spelunca,у́нда
118,Abhang::N,declivum,па́нда ша́ма
119,Quelle::N,fons,эшиня
120,Bach::N,rivus,шудерькс
121,Fluss::N,flumen,ляй
122,Ufer::N,ripa,търва́
123,Küste::N,litus,ляйтърва́
124,Festland::N,continens,мода
125,Meer::N,mare,моря
126,Bucht::N,sinus,ведьуське
127,Insel::N,insula,цёнга
128,Blume::N,flos,панчф
129,Gras::N,herba,тише
130,Gras::N,gramen,тише
131,Wurzel::N,radix,юр
132,Wurzel::N,radix,ункс
133,Baum::N,arbor,шуфта
134,Stamm::N,truncus,ро́нга
135,Rinde::N,cortex,кер
136,Ast::N,ramus,морга
137,Zweig::N,ramus,тарад
138,Blatt::N,folium,лопа
139,Birke::N,betulla,ке́лу
140,Kiefer[Baum]::N,pinus,пиче
141,Weide[Baum]::N,salix,каль
142,Tanne::N,abies,куз
143,Horn::N,cornu,сюра
144,Feder::N,penna,толга
145,Fell::N,pellis,кедь
146,Flügel::N,ala,паця
147,Klaue::N,unguis,кенже
148,Kralle::N,unguis,кенже
149,Schwanz::N,cauda,пула
150,Ei::N,ovum,ал
151,Nest::N,nidus,пиза
