,Concept_ID,te,en
0,Auge::N,కన్ను,eye
1,Ohr::N,చెవి,ear
2,Nase::N,ముక్కు,nose
3,Mund::N,నోరు,mouth
4,Zahn::N,పల్లు,tooth
5,Zunge::N,నాలుక,tongue
6,Lippe::N,పెదవి,lip
7,Wange::N,చెంప,cheek
8,Gesicht::N,ముఖము,face
9,Stirn::N,నుదురు,forehead
10,Haar::N,వెండ్రుక,hair
11,Schnurrbart::N,మీసము,moustache
12,Bart::N,గడ్డము,beard
13,Kinn::N,గడ్డము,chin
14,Kiefer[Anatomie]::N,దౌడ,jaw
15,Kehle::N,గొంతు,throat
16,Hals::N,మెడ,neck
17,Genick::N,మూపు,nape
18,Kopf::N,తల,head
19,Rücken::N,వెన్ను,back
20,Rücken::N,వెన్ను,spine
21,Bauch::N,కడుపు,belly
22,Nabel::N,బొడ్డు,navel
23,Busen::N,స్తనము,bosom
24,Brust::N,ఱొమ్ము,chest
25,Brust::N,ఱొమ్ము,breast
26,Schulter::N,భుజము,shoulder
27,Arm::N,చేయి,arm
28,Ellenbogen::N,మోచేయి,elbow
29,Hand::N,చేయి,hand
30,Handfläche::N,అరచేయు,palm
31,Finger::N,చేతిప్రేలు,finger
32,Fingernagel::N,గోరు,fingernail
33,Nagel[Anatomie]::N,గోరు,nail
34,Zeh::N,కాలిప్రేలు,toe
35,Fuß::N,అడుగు,foot
36,Ferse::N,మడమ,heel
37,Knie::N,మోకాలు,knee
38,Oberschenkel::N,తొడ,thigh
39,Bein::N,కాలు,leg
40,Körper::N,కాయము,body
41,Haut::N,చర్మము,skin
42,Blut::N,రక్తము,blood
43,Ader::N,సిర,vein
44,Sehne::N,స్నాయువు,sinew
45,Knochen::N,ఎముక,bone
46,Gehirn::N,మెదడు,brain
47,Herz::N,హృదయము,heart
48,Magen::N,కడుపు,stomach
49,Leber::N,కాలేయము,liver
50,Atem::N,ఉపిరి,breath
51,Hunger::N,ఆకలి,hunger
52,Träne::N,కన్నీటిచుక్క,tear
53,Geschmack::N,రుచి,flavour
54,Geschmack::N,రుచి,flavor
55,Geruch::N,వాసన,odour
56,Geruch::N,వాసన,odor
57,Schlaf::N,నిద్ర,sleep
58,Traum::N,కల,dream
59,Himmel::N,ఆకాశము,sky
60,Sonne::N,సూర్యుడు,sun
61,Mond::N,చంద్రుడు,moon
62,Stern::N,నక్షత్రము,star
63,Luft::N,గాలి,air
64,Wind::N,వీచుచున్నగాలి,wind
65,Welle::N,అల,wave
66,Wasser::N,నీరు,water
67,Stein::N,ఱాయి,stone
68,Boden::N,నేల,soil
69,Boden::N,నేల,ground
70,Erde::N,మన్ను,earth
71,Staub::N,దుమ్ము,dust
72,Rauch::N,పొగ,smoke
73,Funke::N,అగ్నికణము,spark
74,Feuer::N,అగ్ని,fire
75,Licht::N,కాంతి,light
76,Schatten::N,నీడ,shadow
77,Wetter::N,వాతావరణ స్థితి,weather
78,Nebel::N,పొగమంచు,fog
79,Wolke::N,మేఘము,cloud
80,Regen::N,వాన,rain
81,Schnee::N,హిమము,snow
82,Eis::N,మంచుగడ్డ,ice
83,Frost::N,పేరిన మంచు,frost
84,Kälte::N,చలి,chill
85,Hitze::N,వేడిమి,heat
86,Raureif::N,మంచు,hoarfrost
87,Regenbogen::N,ఇంద్రధనుస్సు,rainbow
88,Donner::N,ఉరుము,thunder
89,Strömung::N,ప్రవాహము,current
90,Tropfen::N,చుక్క,drop
91,Schaum::N,నురుగు,foam
92,Schmutz::N,మైల,dirt
93,See::N,సరస్సు,lake
94,Sumpf::N,చిత్తడినేల,swamp
95,Moor::N,చిత్తడినేల,moor
96,Wiese::N,పచ్చిక బయలు,meadow
97,Wald::N,అడవి,forest
98,Hügel::N,చివ్నకొండ,hill
99,Anhöhe::N,కొండ,elevation
