,Concept_ID,mdf,hy
0,Auge::N,сельме,աչք
1,Ohr::N,пиле,ականջ
2,Nase::N,шалхка,քիթ
3,Mund::N,курга,բերան
4,Zahn::N,пей,ատամ
5,Zunge::N,кяль,լեզու
6,Lippe::N,търва́,շրթունք
7,Wange::N,щёка,այտ
8,Wange::N,щёка,թուշ
9,Gesicht::N,шама,դեմք
10,Stirn::N,коня,ճակատ
11,Haar::N,шя́ярь,մազ
12,Schnurrbart::N,уса́,բեղ
13,Bart::N,сакал,մորուք
14,Kinn::N,ула,կզակ
15,Kiefer[Anatomie]::N,саласка,ծնոտ
16,Kehle::N,кълдома,կոկորդ
17,Kehle::N,кърга́парь,կոկորդ
18,Hals::N,сялдаз,վիզ
19,Hals::N,сялдаз,պարանոց
20,Genick::N,шовонь,ծոծրակ
21,Kopf::N,пря,գլուխ
22,Rücken::N,копорь,մեջք
23,Bauch::N,пеке,փոր
24,Bauch::N,пеке,որովայն
25,Nabel::N,по́кон,պորտ
26,Busen::N,потя,ծոց
27,Brust::N,мяште,կուրծք
28,Schulter::N,лафту,ուս
29,Arm::N,кядь,թեւ
30,Arm::N,кядь,բազուկ
31,Ellenbogen::N,кенерьба́карь,արմունկ
32,Hand::N,кядь,ձեռք
33,Handfläche::N,кядьлапш,ափ
34,Finger::N,сур,մատ
35,Fingernagel::N,кенже,եղունգ
36,Nagel[Anatomie]::N,кенже,եղունգ
37,Zeh::N,пильгосу́р,ոտքի մատ
38,Fuß::N,пильге,ոտք
39,Fuß::N,пильгелапа,ոտք
40,Ferse::N,кочкяря,գարշապար
41,Knie::N,эль,ծունկ
42,Knie::N,пълма́нжа,ծունկ
43,Oberschenkel::N,пильгепукша,ազդր
44,Bein::N,пильге,ոտք
45,Körper::N,ро́нга,մարմին
46,Körper::N,по́нда,մարմին
47,Haut::N,киське,մաշկ
48,Blut::N,вер,արյուն
49,Ader::N,сан,երակ
50,Ader::N,верза́н,երակ
51,Sehne::N,коське сан,ջիղ
52,Sehne::N,коське сан,ձգտան
53,Knochen::N,пакарь,ոսկոր
54,Gehirn::N,уй,խելք
55,Herz::N,седи,սիրտ
56,Magen::N,коткърдазь,ստամոքս
57,Leber::N,макса,լյարդ
58,Atem::N,лекома,շունչ
59,Atem::N,ваймонь тарксема,շունչ
60,Hunger::N,вачеши,քաղց
61,Träne::N,сельмове́дь,արտասուք
62,Geschmack::N,таньф,համ
63,Geschmack::N,таньф,բուրմունք
64,Geruch::N,шине,հոտ
65,Geruch::N,шине,բուրում
66,Schlaf::N,удома́,քուն
67,Traum::N,он,երազ
68,Himmel::N,менель,երկինք
69,Sonne::N,ши,արեւ
70,Mond::N,ков,լուսին
71,Stern::N,тяште,աստղ
72,Luft::N,кожф,օդ
73,Wind::N,варма,քամի
74,Welle::N,тавла,ալիք
75,Wasser::N,ведь,ջուր
76,Stein::N,кев,քար
77,Boden::N,мода,գետին
78,Boden::N,потмакс,գետին
79,Erde::N,мода,հող
80,Erde::N,мастор,հող
81,Staub::N,пуль,փոշի
82,Rauch::N,качам,ծուխ
83,Funke::N,ця́тка,կայծ
84,Feuer::N,тол,կրակ
85,Feuer::N,тол,հրդեհ
86,Licht::N,ва́лда,լույս
87,Schatten::N,цильф,ստվեր
88,Wetter::N,уша,եղանակ
89,Nebel::N,тума́н,մեգ
90,Nebel::N,тума́н,մառախուղ
91,Wolke::N,ковол,ամպ
92,Regen::N,пизем,անձրև
93,Schnee::N,лов,ձյուն
94,Eis::N,эй,սառույց
95,Frost::N,ке́льме,սառնամանիք
96,Kälte::N,якшама,դող
97,Hitze::N,пси,շոգ
98,Raureif::N,леш,ցօղեղեամ
99,Regenbogen::N,а́тямъёнга,ծիածան
100,Donner::N,атям,որոտ
101,Strömung::N,шудема́,հոսանք
102,Tropfen::N,путькс,կաթիլ
103,Tropfen::N,пътняфкс,կաթիլ
104,Schaum::N,шов,փրփուր
105,Schmutz::N,ърда́з,կեղտ
106,See::N,эрьхке,լիճ
107,Sumpf::N,шяй,ճահիճ
108,Moor::N,шяй,ճահիճ
109,Wiese::N,луга,մարգագետին
110,Wald::N,вирь,անտառ
111,Hügel::N,губо́р,բլուր
112,Hügel::N,пандоня,բլուր
113,Anhöhe::N,губо́р,բարձունք
114,Berg::N,панда,լեռ
115,Gipfel::N,пря,գագաթ
116,Gipfel::N,пря,կատար
117,Höhle::N,у́нда,քարայր
118,Abhang::N,па́нда ша́ма,լանջ
119,Abhang::N,па́нда ша́ма,զառիվայր
120,Quelle::N,эшиня,աղբյուր
121,Bach::N,шудерькс,վտակ
122,Fluss::N,ляй,գետ
123,Ufer::N,търва́,ծովափ
124,Küste::N,ляйтърва́,ափ
