,Concept_ID,ce,av
0,Auge::N,бӏаьрг,
1,Ohr::N,лерг,гӏин
2,Nase::N,мара,мегӏер
3,Mund::N,бага,кӏал
4,Zahn::N,церг,гӏус
5,Zunge::N,мотт,мацӏ
6,Lippe::N,балда,кӏветӏ
7,Wange::N,бесни,гӏоно
8,Gesicht::N,юьхь,гьумер
9,Stirn::N,хьаж,нодо
10,Haar::N,мас,рас
11,Schnurrbart::N,мекх,михъ
12,Bart::N,маж,мегеж
13,Kinn::N,чӏениг,нилъу
14,Kiefer[Anatomie]::N,мочхал,чанагъ
15,Kehle::N,къамкъарг,щекъер
16,Hals::N,ворта,габур
17,Genick::N,кӏесаркӏаг,гъванща
18,Kopf::N,корта,бетӏер
19,Rücken::N,букъ,мугъ
20,Bauch::N,кийра,чехь
21,Nabel::N,цӏонга,цӏину
22,Busen::N,зударийн накха,керен
23,Brust::N,накха,керен
24,Schulter::N,белш,гъажазубетӏер
25,Arm::N,пхьарс,гъеж
26,Ellenbogen::N,пхьаьрсан гола,гӏункӏрукь
27,Hand::N,куьг,квер
28,Handfläche::N,кераюкъ,огъохъат
29,Handfläche::N,кераюкъ,жанисахъат
30,Finger::N,пӏелг,килищ
31,Fingernagel::N,мӏара,малъ
32,Nagel[Anatomie]::N,мӏара,малъ
33,Zeh::N,кога пӏелг,килищ
34,Fuß::N,ког,хӏетӏ
35,Fuß::N,ког,хӏетӏе
36,Ferse::N,кӏажа,эгъе
37,Knie::N,гола,наку
38,Oberschenkel::N,варе,мачӏ
39,Bein::N,ког,бох
40,Körper::N,хӏума,къаркъала
41,Haut::N,чкъор,тӏом
42,Blut::N,цӏий,би
43,Ader::N,пха,бидурихь
44,Sehne::N,хьорзам,
45,Knochen::N,даьӏахк,ракьа
46,Gehirn::N,хье,гӏадалнах
47,Herz::N,дог,ракӏ
48,Magen::N,зорх,кванирукъ
49,Leber::N,доӏах,тӏул
50,Atem::N,садеӏар,хӏухь
51,Hunger::N,мацалла,ракъи
52,Träne::N,бӏаьрхи,магӏу
53,Geschmack::N,чам,тату
54,Geruch::N,хьожа,махӏ
55,Schlaf::N,наб,макьу
56,Traum::N,гӏан,макьу
57,Himmel::N,стигал,зоб
58,Sonne::N,малх,бакъ
59,Mond::N,бутт,моцӏ
60,Stern::N,седа,цӏва
61,Luft::N,xӏаваъ,гьава
62,Wind::N,мох,гьури
63,Welle::N,тулгӏе,карачел
64,Wasser::N,хи,лъим
65,Stein::N,тӏулг,гьецӏо
66,Boden::N,цӏенкъа,ракь
67,Erde::N,латта,ракь
68,Erde::N,латта,дуниял
69,Staub::N,чан,хӏур
70,Rauch::N,кӏур,кӏкӏуй
71,Funke::N,суй,
72,Feuer::N,цӏе,цӏа
73,Licht::N,серло,канлъи
74,Schatten::N,ӏиндагӏ,рагӏад
75,Wetter::N,хенан хӏоттам,гьава-бакъ
76,Nebel::N,дохк,гӏодобнакӏкӏ
77,Wolke::N,марха,накӏкӏ
78,Regen::N,догӏа,цӏад
79,Schnee::N,ло,гӏазу
80,Eis::N,ша,цӏер
81,Frost::N,шело,замгьари
82,Kälte::N,шело,квач
83,Hitze::N,йовхо,багӏари
84,Raureif::N,йис,мартӏ
85,Regenbogen::N,стелаӏад,нур
86,Regenbogen::N,стелаӏад,чамбара
87,Donner::N,ткъес,гъугъай
88,Donner::N,ткъес,гъугъади
89,Strömung::N,дӏаэхар,чвахи
90,Strömung::N,дӏасалелар,чвахи
91,Tropfen::N,тӏадам,резел
92,Tropfen::N,тӏадам,тӏинкӏ
93,Tropfen::N,тӏадам,къатӏра
94,Tropfen::N,тӏадам,тӏенкӏел
95,Schaum::N,чопа,полоп
96,Schmutz::N,хатт,чороклъи
97,See::N,ӏам,хӏор
98,Sumpf::N,уьшал,хьуцӏ
99,Moor::N,уьшал,
