,Concept_ID,hr,kn
0,Auge::N,oko,ಕಣ್ಣು
1,Ohr::N,uho,ಕಿವಿ
2,Nase::N,nos,ಮೂಗು
3,Mund::N,usta,ಬಾಯಿ
4,Zahn::N,zub,ಹಲ್ಲು
5,Zunge::N,jezik,ನಾಲಿಗೆ
6,Lippe::N,usna,ತುಟಿ
7,Wange::N,obraz,ಗಲ್ಲ
8,Gesicht::N,lice,ಮುಖ
9,Stirn::N,čelo,ಹಣೆ
10,Haar::N,kosa,ಕೂದಲು
11,Schnurrbart::N,brkovi,ಮೀಸೆ
12,Bart::N,brada,ಗಡ್ಡ
13,Kinn::N,brada,ಗದ್ದ
14,Kinn::N,podbradak,ಗದ್ದ
15,Kiefer[Anatomie]::N,čeljust,ದವಡೆ
16,Kehle::N,grlo,ಗಂಟಲು
17,Hals::N,vrat,ಕೊರಳು
18,Genick::N,zatiljak,ಹಿಂಗತ್ತು
19,Kopf::N,glava,ತಲೆ
20,Rücken::N,leđa,ಬೆನ್ನು
21,Rücken::N,hrbat,ಬೆನ್ನು
22,Bauch::N,trbuh,ಹೊಟ್ಟೆ
23,Nabel::N,pupak,ಹೊಕ್ಕುಳು
24,Busen::N,sisa,ಸ್ತನ
25,Busen::N,njedra,ಸ್ತನ
26,Brust::N,prsa,ಎದೆ
27,Schulter::N,rame,ಭುಜ
28,Schulter::N,pleći,ಭುಜ
29,Arm::N,ruka,ತೋಳು
30,Ellenbogen::N,lakat,ಮೊಣಕೈ
31,Hand::N,ruka,ಕೈ
32,Handfläche::N,dlan,ಅಂಗೈ
33,Finger::N,prst,ಕೈಬೆರಳು
34,Fingernagel::N,nokat,ಉಗುರು
35,Nagel[Anatomie]::N,nokat,ಉಗುರು
36,Zeh::N,nozni prst,ಕಾಲ್ಬೆರಳು
37,Fuß::N,noga,ಪಾದ
38,Fuß::N,stopalo,ಪಾದ
39,Ferse::N,peta,ಹಿಮ್ಮಡಿ
40,Knie::N,koljeno,ಮಂಡಿ
41,Oberschenkel::N,bedro,ತೊಡೆ
42,Bein::N,noga,ಕಾಲು
43,Körper::N,tijelo,ದೇಹ
44,Haut::N,put,ಚರ್ಮ
45,Haut::N,koža,ಚರ್ಮ
46,Blut::N,krv,ರಕ್ತ
47,Ader::N,žila,ನರ
48,Sehne::N,tetiva,ನರ
49,Knochen::N,kost,ಮೂಳೆ
50,Herz::N,srce,ಹೃದಯ
51,Magen::N,stomak,ಉದರ
52,Magen::N,želudac,ಉದರ
53,Leber::N,jetra,ಯಕೃತ್ತು
54,Atem::N,dah,ಉಸಿರು
55,Hunger::N,glad,ಹಸಿವು
56,Träne::N,suza,ಕಣ್ಣೀರು
57,Geschmack::N,ukus,ರುಚಿ
58,Geruch::N,njuh,ವಾಸನೆ
59,Geruch::N,miris,ವಾಸನೆ
60,Schlaf::N,san,ನಿದ್ರೆ
61,Traum::N,san,ಕನಸು
62,Himmel::N,nebo,ಬಾನು
63,Sonne::N,sunce,ಸೂರ್ಯ
64,Mond::N,mjesec,ಚಂದ್ರ
65,Stern::N,zvijezda,ಚುಕ್ಕಿ
66,Luft::N,zrak,ವಾಯು
67,Wind::N,vjetar,ಗಾಳಿ
68,Welle::N,val,ಅಲೆ
69,Welle::N,talas,ಅಲೆ
70,Wasser::N,voda,ನೀರು
71,Stein::N,kamen,ಕಲ್ಲು
72,Boden::N,tlo,ನೆಲ
73,Boden::N,zemlja,ನೆಲ
74,Erde::N,zemlja,ಭೂಮಿ
75,Staub::N,prah,ದೂಳು
76,Staub::N,prašina,ದೂಳು
77,Rauch::N,dim,ಹೊಗೆ
78,Funke::N,iskra,ಕಿಡಿ
79,Funke::N,varnica,ಕಿಡಿ
80,Feuer::N,vatra,ಬೆಂಕಿ
81,Licht::N,svjetlo,ಬೆಳಕು
82,Schatten::N,hlad,ನೆರಳು
83,Schatten::N,sjena,ನೆರಳು
84,Wetter::N,vrijeme,ಹವ
85,Nebel::N,magla,ಮಂಜು
86,Wolke::N,oblak,ಮೋಡ
87,Regen::N,kiša,ಮಳೆ
88,Schnee::N,snijeg,ಹಿಮ
89,Eis::N,led,ಮಂಜುಗಡ್ಡೆ
90,Frost::N,mraz,ಮಂಜು
91,Kälte::N,studen,ಹಿಮ
92,Kälte::N,hladnoća,ಹಿಮ
93,Hitze::N,vrućina,ಉಷ್ಣ
94,Raureif::N,inje,ಇಬ್ಬನಿ
95,Regenbogen::N,duga,ಇಂದ್ರಚಾಪ
96,Donner::N,grom,ಗುಡುಗು
97,Donner::N,grmljavina,ಗುಡುಗು
98,Strömung::N,struja,ಪ್ರವಾಹ
99,Strömung::N,strujanje,ಪ್ರವಾಹ
100,Tropfen::N,kap,ತೊಟ್ಟು
101,Tropfen::N,kaplja,ತೊಟ್ಟು
102,Schaum::N,pjena,ನೊರೆ
103,Schmutz::N,nečistoća,ಕಸ
104,Schmutz::N,prljavština,ಕಸ
105,See::N,jezero,ಸರೋವರ
106,Sumpf::N,bara,ಜೌಗುಸ್ಥಳ
107,Moor::N,močvara,ಬಂಜರು ಭೂಮಿ
108,Wiese::N,livada,ಹುಲ್ಲುಗಾವಲು
109,Wald::N,šuma,ಕಾಡು
110,Hügel::N,brijeg,ಗುಡ್ಡೆ
111,Hügel::N,brežuljak,ಗುಡ್ಡೆ
112,Anhöhe::N,uzvišica,ದಿಬ್ಬ
113,Berg::N,brdo,ಮಲೆ
114,Berg::N,brdo,ಪರ್ವತ
115,Gipfel::N,vrh,ಶೃಂಗ
