,Concept_ID,sv,ady
0,Auge::N,öga,нэ
1,Ohr::N,öra,тхьакӏу́м
2,Nase::N,näsa,пэ
3,Mund::N,mun,жэ
4,Zahn::N,tand,цэ
5,Zunge::N,tunga,бзэгу
6,Lippe::N,läpp,ӏупшӏэ́
7,Wange::N,kind,нэкӏу́шъу
8,Gesicht::N,syn,нэ́гу
9,Gesicht::N,ansikte,нэ́гу
10,Stirn::N,panna,натӏэ́
11,Haar::N,hår,шъхьацы́
12,Schnurrbart::N,mustasch,
13,Bart::N,skägg,жакӏэ́
14,Kinn::N,haka,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,käke,жэпкъы́
16,Kehle::N,strupe,чый
17,Hals::N,hals,пшъэ
18,Genick::N,nacke,шъхьэпхэтыку
19,Kopf::N,huvud,шъхьэ́
20,Rücken::N,rygg,кӏыбы́
21,Bauch::N,buk,ныбэ́
22,Bauch::N,mage,ныбэ́
23,Nabel::N,navel,
24,Busen::N,barm,бгъэ́
25,Brust::N,bröst,бгъэ́
26,Schulter::N,skuldra,блыпкъ
27,Arm::N,arm,ӏэ
28,Ellenbogen::N,armbåge,ӏэнтэ́гъу
29,Hand::N,hand,ӏэтхьэцу
30,Handfläche::N,handflata,ӏэ́гу
31,Finger::N,finger,ӏэхъуа́мб
32,Fingernagel::N,fingernagel,ӏэбжъа́н
33,Nagel[Anatomie]::N,nagel,ӏэбжъа́н
34,Zeh::N,tå,ӏэхъуа́мб
35,Fuß::N,fot,лъэгу
36,Ferse::N,häl,лъэдакъэ
37,Knie::N,knä,лъагуа́ндж
38,Oberschenkel::N,lår,ко
39,Bein::N,ben,лъакъо́
40,Körper::N,kropp,пкъышъол
41,Haut::N,hud,кӏы́шъу
42,Haut::N,skinn,кӏы́шъу
43,Blut::N,blod,лъы
44,Ader::N,åder,льытф
45,Sehne::N,sena,фэ
46,Knochen::N,ben,къупшъхьэ́
47,Gehirn::N,hjärna,куцӏы
48,Herz::N,hjärta,гу
49,Magen::N,mage,мышкӏу
50,Leber::N,lever,шӏу
51,Atem::N,anda,къэщэныр
52,Atem::N,andedräkt,къэщэныр
53,Hunger::N,svält,гъаблэ́
54,Hunger::N,hunger,гъаблэ́
55,Träne::N,tår,нэпсы
56,Geschmack::N,smak,ӏэшӏугъа́кӏ
57,Geruch::N,lukt,мэ
58,Schlaf::N,sömn,пчыхьы́пӏ
59,Traum::N,dröm,пчыхьы́пӏ
60,Himmel::N,himmel,уашъо́
61,Sonne::N,sol,тыгъэ
62,Mond::N,måne,мазэ
63,Stern::N,stjärna,жъуагъо́
64,Luft::N,luft,жьы
65,Wind::N,vind,жьыбгъэ́
66,Welle::N,våg,ор
67,Welle::N,våg,оры
68,Welle::N,bölja,ор
69,Welle::N,bölja,оры
70,Wasser::N,vatten,псы
71,Stein::N,sten,мыжъо́
72,Boden::N,mark,чӏ́ыгу
73,Erde::N,jord,чӏ́ыгу
74,Staub::N,damm,сап
75,Rauch::N,rök,ӏугъо́
76,Funke::N,gnista,мэшӏуа́ч
77,Feuer::N,eld,машӏо́
78,Licht::N,ljus,нэфы
79,Licht::N,ljus,нэфын
80,Schatten::N,skugga,жьау́
81,Schatten::N,skugga,ныбжьыкъу
82,Wetter::N,väder,
83,Nebel::N,dimma,пща́гъу
84,Nebel::N,töcken,пща́гъу
85,Wolke::N,sky,ошъуапщэ
86,Wolke::N,moln,ошъуапщэ
87,Regen::N,regn,ощхы
88,Schnee::N,snö,осы́
89,Eis::N,is,мылы
90,Frost::N,frost,
91,Kälte::N,köld,чъыӏэ́
92,Hitze::N,hetta,фэба́е
93,Raureif::N,rimfrost,
94,Regenbogen::N,regnbåge, лэгъупэкъо́пс
95,Donner::N,åska,шыблэ́
96,Donner::N,dunder,шыблэ́
97,Strömung::N,strömning,ток
98,Tropfen::N,dropper,ткӏопс
99,Tropfen::N,dropper,гъуаткӏу
100,Schaum::N,skum,тхъурбэ
101,Schmutz::N,lort,псынжъы
102,Schmutz::N,smuts,псынжъы
103,See::N,sjö,хыку́м
104,See::N,sjö,псыхъура́й
105,Sumpf::N,träsk,орыжъ
106,Moor::N,myr,орыжъ
107,Moor::N,mosse,орыжъ
108,Wiese::N,äng,хъупӏэ́
109,Wiese::N,äng,мэкъупӏ
110,Wald::N,skog,мэзы́
111,Hügel::N,höjd,ӏуашъхь
