,Concept_ID,sah,et
0,Auge::N,харах,silm
1,Ohr::N,кулгаах,kõrv
2,Nase::N,мурун,nina
3,Mund::N,айах,suu
4,Zahn::N,тиис,hammas
5,Zunge::N,тыл,keel
6,Lippe::N,уос,huul
7,Wange::N,иэдэс,põsk
8,Gesicht::N,сирэй,nägu
9,Stirn::N,сүүс,otsmik
10,Haar::N,баттах,juus
11,Schnurrbart::N,уос бытыга,vurrud
12,Schnurrbart::N,уос бытыга,vuntsid
13,Bart::N,сэҥийэ бытыга,habe
14,Kinn::N,сэҥийэ,lõug
15,Kiefer[Anatomie]::N,сыҥаах,lõualuu
16,Kehle::N,тамах,kõri
17,Kehle::N,күөмэй,kõri
18,Hals::N,моой,kael
19,Genick::N,кэтэх,kukal
20,Kopf::N,бас,pea
21,Rücken::N,көҕүс,selg
22,Bauch::N,ис,kõht
23,Nabel::N,киин,naba
24,Busen::N,эмиий,rind
25,Brust::N,түөс,rind
26,Schulter::N,сарын,õlg
27,Arm::N,илии,käsivars
28,Ellenbogen::N,тоҕонох,küünarnukk
29,Hand::N,илии,käsi
30,Handfläche::N,ытыс,pihk
31,Finger::N,тарбах,sõrm
32,Fingernagel::N,тыҥырах,küüs
33,Nagel[Anatomie]::N,тыҥырах,küüs
34,Zeh::N,тарбах,varvas
35,Fuß::N,уллуҥах,jalg
36,Ferse::N,тилэх,kand
37,Knie::N,тобук,põlv
38,Knie::N,дьилбэк,põlv
39,Oberschenkel::N,уллук,reis
40,Oberschenkel::N,өттүк,reis
41,Bein::N,атах,jalg
42,Körper::N,бэйэ,ihu
43,Körper::N,бэйэ,keha
44,Haut::N,тирии,nahk
45,Blut::N,хаан,veri
46,Ader::N,вена,veen
47,Ader::N,күөх_тымыр,veen
48,Sehne::N,иҥиир,kõõlus
49,Knochen::N,уҥуох,luu
50,Knochen::N,уҥгуох,luu
51,Gehirn::N,мэйии,aju
52,Herz::N,сүрэх,süda
53,Magen::N,куртах,magu
54,Leber::N,быар,maks
55,Atem::N,тыын,hingeõhk
56,Atem::N,тыын,hingamine
57,Hunger::N,аас,nälg
58,Träne::N,харах уута,pisar
59,Geschmack::N,амтан,maitse
60,Geruch::N,сыт,lõhn
61,Schlaf::N,утуйуу,uni
62,Traum::N,түүл,unenägu
63,Himmel::N,халлаан,taevas
64,Sonne::N,күн,päike
65,Mond::N,ый,kuu
66,Stern::N,сулус,täht
67,Luft::N,салгын,õhk
68,Wind::N,тыал,tuul
69,Welle::N,долгун,laine
70,Welle::N,балхаан,laine
71,Wasser::N,уу,vesi
72,Stein::N,таас,kivi
73,Boden::N,сир,maa
74,Boden::N,сир,pinnas
75,Erde::N,буор,maa
76,Staub::N,быыл,põrm
77,Rauch::N,буруо,suits
78,Funke::N,кыым,säde
79,Feuer::N,уот,tuli
80,Licht::N,уот,valgus
81,Schatten::N,күлүк,vari
82,Wetter::N,күн-дьыл,ilm
83,Nebel::N,туман,udu
84,Wolke::N,былыт,pilv
85,Regen::N,самыыр,sadu
86,Schnee::N,хаар,lumi
87,Eis::N,муус,jää
