,Concept_ID,bg,sk
0,Auge::N,око,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,уста,ústa
4,Zahn::N,зъб,zub
5,Zunge::N,език,jazyk
6,Lippe::N,устна,pera
7,Wange::N,буза,líce
8,Gesicht::N,лице,tvár
9,Gesicht::N,лице,obličaj
10,Gesicht::N,образ,tvár
11,Gesicht::N,образ,obličaj
12,Stirn::N,чело,čelo
13,Haar::N,коса,vlas
14,Haar::N,косъм,vlas
15,Schnurrbart::N,мустаци,fúzy
16,Bart::N,брада,brada
17,Kinn::N,брада,brada
18,Kinn::N,брадичка,brada
19,Kiefer[Anatomie]::N,челюст,čeľusť
20,Kehle::N,гърло,hrdlo
21,Hals::N,врат,krk
22,Genick::N,тил,väzy
23,Kopf::N,глава,hlava
24,Rücken::N,гръб,chrbát
25,Bauch::N,корем,brucho
26,Nabel::N,пъп,pupok
27,Busen::N,бозка,prsia
28,Brust::N,гръд,hruď
29,Schulter::N,рамо,plece
30,Schulter::N,плещи,plece
31,Arm::N,ръка,rameno
32,Ellenbogen::N,лакът,lakeť
33,Hand::N,ръка,ruka
34,Hand::N,китка,ruka
35,Handfläche::N,длан,dlaň
36,Finger::N,пръст,prst
37,Fingernagel::N,нокът,necht
38,Nagel[Anatomie]::N,нокът,necht
39,Zeh::N,пръст на крак,prst na nohe
40,Fuß::N,крак,noha
41,Fuß::N,нога,noha
42,Ferse::N,пета,päta
43,Knie::N,коляно,koleno
44,Oberschenkel::N,бедро,stehno
45,Bein::N,крак,noha
46,Bein::N,нога,noha
47,Körper::N,тяло,telo
48,Haut::N,кожа,koža
49,Blut::N,кръв,krv
50,Ader::N,вена,žila
51,Ader::N,артерия,žila
52,Sehne::N,жила,šľacha
53,Sehne::N,сухожилие,šľacha
54,Knochen::N,кост,kosť
55,Gehirn::N,мозък,mozog
56,Herz::N,сърце,srdce
57,Magen::N,стомах,žalúdok
58,Leber::N,черен дроб,pečeň
59,Atem::N,дишане,dych
60,Hunger::N,глад,hlad
61,Träne::N,сълза,slza
62,Geschmack::N,вкус,chuť
63,Geruch::N,миризма,pach
64,Schlaf::N,сън,spánok
65,Traum::N,сън,sen
66,Himmel::N,небе,nebo
67,Sonne::N,слънце,slnko
68,Mond::N,луна,mesiac
69,Mond::N,месец,mesiac
70,Stern::N,звезда,hviezda
71,Luft::N,въздух,vzduch
72,Wind::N,вятър,vietor
73,Welle::N,вълна,vlna
74,Wasser::N,вода,voda
75,Stein::N,камък,kameň
76,Boden::N,земя,zem
77,Boden::N,земя,pôda
78,Boden::N,почва,zem
79,Boden::N,почва,pôda
80,Erde::N,земя,zem
81,Erde::N,почва,zem
82,Staub::N,прах,prach
83,Rauch::N,дим,dym
84,Rauch::N,пушек,dym
85,Funke::N,искра,iskra
86,Feuer::N,огън,oheň
87,Licht::N,светлина,svetlo
88,Schatten::N,сянка,tieň
89,Wetter::N,време,počasie
90,Nebel::N,мъгла,hmla
91,Wolke::N,облак,oblak
92,Wolke::N,облак,mračno
93,Regen::N,дъжд,dážď
94,Schnee::N,сняг,sneh
95,Eis::N,лед,ľad
96,Frost::N,мраз,mráz
97,Kälte::N,студ,zima
98,Kälte::N,студ,chlad
99,Hitze::N,жега,horúčava
100,Hitze::N,горещина,horúčava
101,Raureif::N,скреж,srieň
102,Raureif::N,скреж,inovať
103,Raureif::N,слана,srieň
104,Raureif::N,слана,inovať
105,Regenbogen::N,дъга,dúha
106,Donner::N,гръм,hrom
107,Strömung::N,течение,prúdenie
108,Tropfen::N,капка,kvapka
109,Schaum::N,пяна,pena
110,Schmutz::N,кал,špina
111,Schmutz::N,кал,nečistota
112,Schmutz::N,мръсотия,špina
113,Schmutz::N,мръсотия,nečistota
114,See::N,езеро,jazero
115,Sumpf::N,блато,bahno
116,Moor::N,мочурище,močiar
117,Wiese::N,ливада,lúka
118,Wald::N,гора,les
119,Wald::N,гора,hora
120,Hügel::N,рид,vŕšok
121,Hügel::N,хълм,vŕšok
122,Anhöhe::N,могила,výšina
123,Anhöhe::N,могила,vyvýšenina
124,Anhöhe::N,възвишение,výšina
125,Anhöhe::N,възвишение,vyvýšenina
126,Berg::N,планина,hora
127,Gipfel::N,връх,vrchol
128,Höhle::N,пещера,jaskyňa
129,Abhang::N,склон,úbočie
130,Abhang::N,стръмнина,úbočie
131,Quelle::N,извор,prameň
132,Bach::N,поток,potok
133,Fluss::N,река,rieka
134,Ufer::N,бряг,breh
135,Küste::N,бряг,pobrežie
136,Küste::N,крайбрежие,pobrežie
137,Festland::N,суша,pevnina
138,Meer::N,море,more
139,Bucht::N,залив,záliv
140,Bucht::N,залив,zátoka
141,Insel::N,остров,ostrov
142,Blume::N,цвете,kvet
143,Blume::N,цвете,kvetina
144,Gras::N,трева,tráva
145,Wurzel::N,корен,koreň
146,Baum::N,дърво,strom
147,Stamm::N,стъбло,kmeň
148,Rinde::N,кора,kôra
149,Ast::N,клон,konár
150,Zweig::N,клон,vetva
151,Blatt::N,лист,list
152,Birke::N,бреза,breza
153,Kiefer[Baum]::N,бор,sosna
154,Kiefer[Baum]::N,бор,borovica
155,Weide[Baum]::N,върба,vŕba
156,Tanne::N,ела,jedľa
157,Horn::N,рог,roh
158,Feder::N,перо,pero
159,Fell::N,кожа,koža
160,Fell::N,кожа,kožušina
161,Flügel::N,крило,krídlo
162,Klaue::N,нокът,paznecht
163,Kralle::N,нокът,pazúr
164,Schwanz::N,опашка,chvost
165,Ei::N,яйце,vajce
166,Ei::N,яйце,vajíčko
167,Nest::N,гнездо,hniezdo
168,Bau::N,дупка,nora
169,Tier::N,животно,zviera
170,Herde::N,стадо,stádo
171,Kuh::N,крава,krava
172,Bulle::N,бик,býk
173,Pferd::N,кон,kôň
174,Schaf::N,овца,ovca
175,Schwein::N,свиня,sviňa
176,Hund::N,куче,pes
177,Katze::N,котка,mačka
178,Bär::N,мечка,medveď
179,Eichhörnchen::N,катерица,veverička
180,Elch::N,лос,los
181,Fuchs::N,лисица,líška
182,Hase::N,заек,zajac
183,Maus::N,мишка,myš
184,Wolf::N,вълк,vlk
185,Vogel::N,птица,vták
186,Schwarm::N,рой,roj
187,Schwarm::N,рояк,roj
188,Huhn::N,кокошка,kurča
189,Huhn::N,кокошка,sliepka
190,Hahn::N,петел,kohút
191,Gans::N,гъска,hus
192,Adler::N,орел,orol
193,Ente::N,патица,kačka
194,Ente::N,патица,kačica
195,Eule::N,сова,sova
196,Kranich::N,жерав,žeriav
197,Krähe::N,врана,vrana
198,Kuckuck::N,кукувица,kukučka
199,Schwan::N,лебед,labuť
200,Fisch::N,риба,ryba
201,Barsch::N,костур,ostriež
202,Hecht::N,щука,šťuka
203,Schlange[Tier]::N,змия,had
204,Wurm::N,червей,červ
205,Spinne::N,паяк,pavúk
206,Ameise::N,мравка,mravec
207,Laus::N,въшка,voš
208,Mücke::N,комар,komár
209,Fliege::N,муха,mucha
210,Schmetterling::N,пеперуда,motýľ
