,Concept_ID,hr,lt
0,Auge::N,oko,akis
1,Ohr::N,uho,ausis
2,Nase::N,nos,nosis
3,Mund::N,usta,burna
4,Zahn::N,zub,dantis
5,Zunge::N,jezik,liežuvis
6,Lippe::N,usna,lūpa
7,Wange::N,obraz,žandas
8,Wange::N,obraz,skruostas
9,Gesicht::N,lice,veidas
10,Stirn::N,čelo,kakta
11,Haar::N,kosa,plaukai
12,Schnurrbart::N,brkovi,ūsai
13,Bart::N,brada,barzda
14,Kinn::N,brada,smakras
15,Kinn::N,podbradak,smakras
16,Kiefer[Anatomie]::N,čeljust,žandikaulis
17,Kehle::N,grlo,gerklė
18,Hals::N,vrat,kaklas
19,Genick::N,zatiljak,sprandas
20,Kopf::N,glava,galva
21,Rücken::N,leđa,nugara
22,Rücken::N,hrbat,nugara
23,Bauch::N,trbuh,pilvas
24,Nabel::N,pupak,bamba
25,Busen::N,sisa,krūtinė
26,Busen::N,njedra,krūtinė
27,Brust::N,prsa,krūtis
28,Schulter::N,rame,petys
29,Schulter::N,pleći,petys
30,Arm::N,ruka,ranka
31,Ellenbogen::N,lakat,alkūnė
32,Hand::N,ruka,ranka
33,Hand::N,ruka,plaštaka
34,Handfläche::N,dlan,delnas
35,Handfläche::N,dlan,plaštaka
36,Finger::N,prst,pirštas
37,Fingernagel::N,nokat,nagas
38,Nagel[Anatomie]::N,nokat,nagas
39,Zeh::N,nozni prst,pirštas
40,Fuß::N,noga,pėda
41,Fuß::N,stopalo,pėda
42,Ferse::N,peta,kulnas
43,Knie::N,koljeno,kelis
44,Oberschenkel::N,bedro,kulšis
45,Oberschenkel::N,bedro,šlaunis
46,Bein::N,noga,koja
47,Körper::N,tijelo,kūnas
48,Haut::N,put,oda
49,Haut::N,koža,oda
50,Blut::N,krv,kraujas
51,Ader::N,žila,kraujagyslė
52,Sehne::N,tetiva,sausgyslė
53,Knochen::N,kost,kaulas
54,Herz::N,srce,širdis
55,Magen::N,stomak,skrandis
56,Magen::N,želudac,skrandis
57,Leber::N,jetra,kepenys
58,Atem::N,dah,kvapas
59,Hunger::N,glad,badas
60,Hunger::N,glad,alkis
61,Träne::N,suza,ašara
62,Geschmack::N,ukus,skonis
63,Geruch::N,njuh,kvapas
64,Geruch::N,miris,kvapas
65,Schlaf::N,san,miegas
66,Traum::N,san,sapnas
67,Himmel::N,nebo,dangus
68,Sonne::N,sunce,saulė
69,Mond::N,mjesec,mėnulis
70,Stern::N,zvijezda,žvaigždė
71,Luft::N,zrak,oras
72,Wind::N,vjetar,vėjas
73,Welle::N,val,banga
74,Welle::N,val,vilnis
75,Welle::N,talas,banga
76,Welle::N,talas,vilnis
77,Wasser::N,voda,vanduo
78,Stein::N,kamen,akmuo
79,Boden::N,tlo,žemė
80,Boden::N,tlo,dugnas
81,Boden::N,zemlja,žemė
82,Boden::N,zemlja,dugnas
83,Erde::N,zemlja,žemė
84,Staub::N,prah,dulkės
85,Staub::N,prašina,dulkės
86,Rauch::N,dim,dūmai
87,Funke::N,iskra,kibirkštis
88,Funke::N,varnica,kibirkštis
89,Feuer::N,vatra,ugnis
90,Licht::N,svjetlo,šviesa
91,Schatten::N,hlad,paūksmė
92,Schatten::N,sjena,paūksmė
93,Wetter::N,vrijeme,oras
94,Nebel::N,magla,migla
95,Nebel::N,magla,rūkas
96,Wolke::N,oblak,debesis
97,Regen::N,kiša,lietus
98,Schnee::N,snijeg,sniegas
99,Eis::N,led,ledas
100,Frost::N,mraz,šalna
101,Kälte::N,studen,šaltis
102,Kälte::N,hladnoća,šaltis
103,Hitze::N,vrućina,karštis
104,Raureif::N,inje,šerkšnas
105,Regenbogen::N,duga,vaivorykštė
106,Donner::N,grom,perkūnas
107,Donner::N,grom,griaustinis
108,Donner::N,grmljavina,perkūnas
109,Donner::N,grmljavina,griaustinis
110,Strömung::N,struja,tėkmė
111,Strömung::N,strujanje,tėkmė
112,Tropfen::N,kap,lašas
113,Tropfen::N,kaplja,lašas
114,Schaum::N,pjena,putos
115,Schmutz::N,nečistoća,purvas
116,Schmutz::N,prljavština,purvas
117,See::N,jezero,ežeras
118,Sumpf::N,bara,klampynė
119,Sumpf::N,bara,liūnas
120,Moor::N,močvara,pelkė
121,Wiese::N,livada,pieva
122,Wald::N,šuma,miškas
123,Hügel::N,brijeg,kalva
124,Hügel::N,brežuljak,kalva
125,Anhöhe::N,uzvišica,kauburys
126,Berg::N,brdo,kalnas
127,Gipfel::N,vrh,viršūnė
128,Höhle::N,pećina,ola
129,Höhle::N,spilja,ola
130,Abhang::N,obronak,šlaitas
131,Abhang::N,obronak,nuokalnė
132,Abhang::N,nizbrdica,šlaitas
133,Abhang::N,nizbrdica,nuokalnė
134,Quelle::N,izvor,versmė
135,Quelle::N,izvor,šaltinis
136,Quelle::N,vrelo,versmė
137,Quelle::N,vrelo,šaltinis
138,Bach::N,potok,upelis
139,Fluss::N,rijeka,upė
140,Ufer::N,obala,krantas
141,Küste::N,obala,pajūris
142,Küste::N,morska obala,pajūris
143,Festland::N,kopno,sausuma
144,Meer::N,more,jūra
145,Bucht::N,zaliv,įlanka
146,Bucht::N,zaliv,užutekis
147,Insel::N,ada,sala
148,Insel::N,otok,sala
149,Blume::N,cvijet,gėlė
150,Gras::N,trava,žolė
151,Wurzel::N,korijen,šaknis
152,Baum::N,drvo,medis
153,Baum::N,stablo,medis
154,Stamm::N,deblo,kamienas
155,Stamm::N,stablo,kamienas
156,Rinde::N,kora,žievė
157,Ast::N,grana,šaka
158,Zweig::N,grana,šakelė
159,Blatt::N,list,lapas
160,Birke::N,breza,beržas
161,Kiefer[Baum]::N,bor,pušis
162,Weide[Baum]::N,iva,karklas
163,Weide[Baum]::N,vŕba,karklas
164,Tanne::N,jela,eglė
165,Tanne::N,jela,kėnis
166,Horn::N,rog,ragas
167,Feder::N,pero,plunksna
168,Fell::N,koža,kailis
169,Flügel::N,krilo,sparnas
170,Klaue::N,papak,kanopa
171,Kralle::N,pandža,nagas
172,Schwanz::N,rep,uodega
173,Ei::N,jaje,kiaušinis
174,Nest::N,gnijezdo,gūžta
175,Nest::N,gnijezdo,lizdas
176,Bau::N,jazbina,ola
177,Tier::N,životinja,gyvūnas
178,Herde::N,krdo,banda
179,Herde::N,krdo,kaimenė
180,Herde::N,stado,banda
181,Herde::N,stado,kaimenė
182,Kuh::N,krava,karvė
183,Bulle::N,bik,bulius
184,Pferd::N,konj,arklys
185,Schaf::N,ovca,avis
186,Schwein::N,svinja,kiaulė
187,Hund::N,pas,šuo
188,Hund::N,pseto,šuo
189,Katze::N,mačka,katė
190,Bär::N,medvjed,lokys
191,Eichhörnchen::N,vjeverica,voveraitė
192,Elch::N,los,briedis
193,Fuchs::N,lisica,lapė
194,Hase::N,zec,kiškas
195,Maus::N,miš,pelė
196,Wolf::N,vuk,vilkas
197,Wolf::N,kurjak,vilkas
198,Vogel::N,ptica,paukštis
199,Schwarm::N,roj,spiečius
200,Schwarm::N,jato,spiečius
201,Huhn::N,kokoš,višta
202,Hahn::N,kokot,gaidys
203,Hahn::N,pijevac,gaidys
204,Gans::N,guska,žąsis
205,Adler::N,orao,erelis
206,Ente::N,patka,antis
207,Eule::N,sova,pelėda
208,Kranich::N,ždral,gervė
209,Krähe::N,vrana,varna
210,Kuckuck::N,kukavica,gegužė
211,Schwan::N,labud,gulbė
212,Fisch::N,riba,žuvis
213,Barsch::N,grgeč,ešerys
214,Hecht::N,štuka,lydeka
215,Schlange[Tier]::N,guja,gyvatė
216,Schlange[Tier]::N,zmija,gyvatė
217,Wurm::N,crv,kirmėlė
218,Spinne::N,pauk,voras
219,Ameise::N,mrav,skruzdė
220,Laus::N,uš,utėlė
221,Mücke::N,komarac,uodas
222,Fliege::N,muha,musė
223,Schmetterling::N,leptir,drugys
224,Schmetterling::N,leptir,peteliškė
225,Beere::N,boba,uoga
226,Beere::N,bobica,uoga
227,Apfel::N,jabuka,obuolys
228,Pilz::N,pečurka,grybas
229,Zwiebel::N,luk,svogūnas
230,Zwiebel::N,kapula,svogūnas
231,Saat::N,sjemenje,sėkla
232,Korn::N,zrno,grūdai
233,Heu::N,sijeno,šienas
234,Schale::N,kora,žievelė
235,Schale::N,ljuska,žievelė
236,Grube::N,jama,duobė
237,Falle::N,zamka,pinklės
238,Falle::N,zamka,žabangai
239,Falle::N,klopka,pinklės
240,Falle::N,klopka,žabangai
241,Schlinge::N,uzao,kilpa
242,Schlinge::N,petlja,kilpa
243,Spur::N,trag,vėžė
244,Spur::N,trag,pėdos
245,Spur::N,trag,pėdsakas
246,Spur::N,slijed,vėžė
247,Spur::N,slijed,pėdos
248,Spur::N,slijed,pėdsakas
249,Asche::N,pepeo,pelenai
250,Dreck::N,blato,purvas
251,Eisen::N,željezo,geležis
252,Gold::N,zlato,auksas
253,Silber::N,srebro,sidabras
254,Kohle::N,ugalj,anglis
255,Kohle::N,ugljen,anglis
256,Glas::N,staklo,stiklas
257,Lehm::N,glina,molis
258,Lehm::N,ilovača,molis
259,Sand::N,pijesak,smėlis
260,Mensch::N,čovjek,žmogus
261,Mann::N,muškarac,vyras
262,Mann::N,muškarac,vyriškis
263,Frau::N,žena,moteris
264,Kind::N,čedo,vaikas
265,Kind::N,dijete,vaikas
266,Junge::N,momče,vaikinas
267,Junge::N,momče,berniukas
268,Junge::N,dječak,vaikinas
269,Junge::N,dječak,berniukas
270,Mädchen::N,djevojka,mergytė
271,Mädchen::N,djevojka,mergaitė
272,Mädchen::N,djevojčica,mergytė
273,Mädchen::N,djevojčica,mergaitė
274,Familie::N,obitelj,šeima
275,Familie::N,porodica,šeima
276,Großvater::N,djed,senelis
277,Großmutter::N,baka,senelė
278,Eltern::N,roditelji,tėvai
279,Vater::N,otac,tėvas
280,Mutter::N,majka,motina
281,Sohn::N,sin,sūnus
282,Tochter::N,kći,duktė
283,Tochter::N,kćerka,duktė
284,Bruder::N,brat,brolis
285,Schwester::N,sestra,sesuo
286,Onkel::N,čika,dėdė
287,Onkel::N,ujak,dėdė
288,Tante::N,ujna,teta
289,Tante::N,tetka,teta
290,Ehemann::N,muž,vyras
291,Ehemann::N,suprug,vyras
292,Ehefrau::N,žena,žmona
293,Ehefrau::N,supruga,žmona
294,Freude::N,radost,džiaugsmas
295,Gelächter::N,grohot,juokas
296,Glück::N,sreća,laimė
297,Kummer::N,jad,vargas
298,Kummer::N,jad,rūpestis
299,Kummer::N,briga,vargas
300,Kummer::N,briga,rūpestis
301,Wunsch::N,želja,troškimas
302,Wunsch::N,želja,pageidavimas
303,Lust::N,volja,noras
304,Lust::N,volja,geidulys
305,Geist::N,duh,dvasia
306,Gedanke::N,misao,mintis
307,Gedächtnis::N,pamćenje,atmintis
308,Verstand::N,um,protas
309,Verstand::N,razum,protas
310,Sinn::N,smisao,prasmė
311,Sinn::N,značenje,prasmė
312,Grund::N,razlog,priežastis
313,Wahrheit::N,istina,tiesa
314,Wahrheit::N,istina,teisybė
315,Gespräch::N,razgovor,pokalbis
316,Märchen::N,bajka,pasaka
317,Erzählung::N,priča,apsakymas
318,Erzählung::N,priča,pasakojimas
319,Erzählung::N,pripovijest,apsakymas
320,Erzählung::N,pripovijest,pasakojimas
321,Nachricht::N,vijest,žinia
322,Neuigkeit::N,novost,naujiena
323,Name::N,ime,vardas
324,Rätsel::N,zagonetka,mįslė
325,Rede::N,govor,kalba
326,Rede::N,besjeda,kalba
327,Sprache::N,jezik,kalba
328,Stimme::N,glas,balsas
329,Wort::N,riječ,žodis
330,Zeichen::N,znak,žymė
331,Zeichen::N,znak,ženklas
332,Ruf::N,povik,šauksmas
333,Ruf::N,poklik,šauksmas
334,Lärm::N,buka,triukšmas
335,Lärm::N,galama,triukšmas
336,Laut::N,zvuk,garsas
337,Ton::N,ton,tonas
338,Ton::N,ton,garsas
339,Lied::N,pjesma,daina
340,Lied::N,pjesma,giesmė
341,Ruhe::N,tišina,ramybė
342,Ruhe::N,tišina,ramumas
343,Ruhe::N,počinak,ramybė
344,Ruhe::N,počinak,ramumas
345,Leute::N,ljudi,žmonės
346,Volk::N,puk,tauta
347,Volk::N,narod,tauta
348,Arbeit::N,rad,darbas
349,Arbeit::N,rad,triūsas
350,Arbeit::N,posao,darbas
351,Arbeit::N,posao,triūsas
352,Gast::N,gost,svečias
353,Geschenk::N,dar,dovana
354,Geschenk::N,poklon,dovana
355,Spiel::N,igra,žaismas
356,Spiel::N,igra,žaidimas
357,Gesellschaft::N,društvo,draugija
358,Gesellschaft::N,društvo,kompanija
359,Gesellschaft::N,kompanija,draugija
360,Gesellschaft::N,kompanija,kompanija
361,Hilfe::N,pomoć,pagalba
362,Freund::N,prijatelj,draugas
363,Freund::N,prijatelj,bičiulis
364,Kamerad::N,drug,draugas
365,Kamerad::N,drugar,draugas
366,Angelegenheit::N,posao,dalykas
367,Angelegenheit::N,posao,reikalas
368,Anzahl::N,broj,kiekis
369,Anzahl::N,broj,skaičius
370,Anzahl::N,brojnost,kiekis
371,Anzahl::N,brojnost,skaičius
