,Concept_ID,pt,it
0,Auge::N,olho,occhio
1,Ohr::N,orelha,orecchio
2,Nase::N,nariz,naso
3,Mund::N,boca,bocca
4,Zahn::N,dente,dente
5,Zunge::N,língua,lingua
6,Lippe::N,lábio,labbro
7,Wange::N,face,guancia
8,Gesicht::N,cara,viso
9,Gesicht::N,cara,faccia
10,Gesicht::N,rosto,viso
11,Gesicht::N,rosto,faccia
12,Stirn::N,testa,fronte
13,Haar::N,cabelo,capello
14,Schnurrbart::N,bigode,baffi
15,Schnurrbart::N,bigode,mustacchi
16,Bart::N,barba,barba
17,Kinn::N,queixo,mento
18,Kiefer[Anatomie]::N,maxila,mascella
19,Kiefer[Anatomie]::N,mandíbula,mascella
20,Kehle::N,garganta,gola
21,Hals::N,colo,collo
22,Hals::N,pescoço,collo
23,Genick::N,nuca,nuca
24,Kopf::N,cabeça,capo
25,Kopf::N,cabeça,testa
26,Rücken::N,dorso,dorso
27,Rücken::N,dorso,schiena
28,Rücken::N,costas,dorso
29,Rücken::N,costas,schiena
30,Bauch::N,ventre,ventre
31,Bauch::N,barriga,ventre
32,Nabel::N,umbigo,ombelico
33,Busen::N,seio,seno
34,Brust::N,peito,petto
35,Schulter::N,ombro,spalla
36,Arm::N,braço,braccio
37,Ellenbogen::N,cotovelo,gomito
38,Hand::N,mão,mano
39,Handfläche::N,palma,palma
40,Handfläche::N,palma da mão,palma
41,Finger::N,dedo,dito
42,Fingernagel::N,unha,unghia
43,Nagel[Anatomie]::N,unha,unghia
44,Zeh::N,dedo do pé,dito del piede
45,Fuß::N,pé,piede
46,Ferse::N,calcanhar,tallone
47,Ferse::N,calcanhar,calcagno
48,Knie::N,joelho,ginocchio
49,Oberschenkel::N,coxa,fèmore
50,Bein::N,perna,gamba
51,Körper::N,corpo,corpo
52,Haut::N,pele,pelle
53,Blut::N,sangue,sangue
54,Ader::N,veia,vena
55,Sehne::N,tendão,tèndine
56,Knochen::N,osso,osso
57,Gehirn::N,cérebro,cervello
58,Herz::N,coração,cuore
59,Magen::N,estômago,stòmaco
60,Leber::N,fígado,fegato
61,Atem::N,fôlego,fiato
62,Atem::N,fôlego,respiro
63,Hunger::N,fome,fame
64,Träne::N,lágrima,làcrima
65,Geschmack::N,gosto,gusto
66,Geschmack::N,gosto,sapore
67,Geruch::N,odor,odore
68,Geruch::N,cheiro,odore
69,Schlaf::N,sono,sonno
70,Traum::N,sonho,sogno
71,Himmel::N,céu,cielo
72,Sonne::N,sol,sole
73,Mond::N,lua,luna
74,Stern::N,estrela,stella
75,Luft::N,ar,aria
76,Wind::N,vento,vento
77,Welle::N,onda,onda
78,Wasser::N,água,acqua
79,Stein::N,pedra,sasso
80,Stein::N,pedra,pietra
81,Boden::N,solo,suolo
82,Boden::N,solo,terreno
83,Erde::N,terra,terra
84,Staub::N,pó,polvere
85,Rauch::N,fumo,fumo
86,Funke::N,faísca,scintilla
87,Funke::N,centelha,scintilla
88,Feuer::N,fogo,fuoco
89,Licht::N,luz,luce
90,Schatten::N,sombra,ombra
91,Wetter::N,tempo,tempo
92,Nebel::N,nevoeiro,nebbia
93,Wolke::N,nuvem,nube
94,Wolke::N,nuvem,nùvola
95,Regen::N,chuva,pioggia
96,Schnee::N,neve,neve
97,Eis::N,gelo,ghiaccio
98,Frost::N,gelo,gelo
99,Frost::N,geada,gelo
100,Kälte::N,frio,freddo
101,Hitze::N,ardor,caldo
102,Hitze::N,ardor,calura
103,Raureif::N,geada,brina
104,Regenbogen::N,arco-iris,arcobaleno
105,Donner::N,trovão,tuono
106,Strömung::N,corrente,corrente
107,Tropfen::N,gota,goccia
108,Schaum::N,espuma,spuma
109,Schaum::N,espuma,schiuma
110,Schmutz::N,sujidade,sudiciume
111,Schmutz::N,imundície,sudiciume
112,See::N,lago,lago
113,Sumpf::N,charco,palude
114,Sumpf::N,pântano,palude
115,Moor::N,pântano,torbiera
116,Wiese::N,prado,prato
117,Wald::N,bosque,bosco
118,Wald::N,bosque,foresta
119,Wald::N,floresta,bosco
120,Wald::N,floresta,foresta
121,Hügel::N,colina,colle
122,Hügel::N,colina,collina
123,Anhöhe::N,alto,altura
124,Anhöhe::N,outeiro,altura
125,Berg::N,monte,monte
126,Berg::N,monte,montagna
127,Berg::N,montanha,monte
128,Berg::N,montanha,montagna
129,Gipfel::N,pico,cima
130,Höhle::N,caverna,grotta
131,Höhle::N,caverna,caverna
132,Abhang::N,encosta,pendìo
133,Quelle::N,fonte,sorgente
134,Bach::N,regato,ruscello
135,Bach::N,ribeiro,ruscello
136,Fluss::N,rio,fiume
137,Ufer::N,beira,riva
138,Küste::N,costa,costa
139,Festland::N,terra firme,terraferma
140,Meer::N,mar,mare
141,Bucht::N,baía,cala
142,Insel::N,ilha,ìsola
143,Blume::N,flor,fiore
144,Gras::N,erva,erba
145,Wurzel::N,raiz,radice
146,Baum::N,árvore,àlbero
147,Stamm::N,tronco,tronco
148,Rinde::N,casca,corteccia
149,Ast::N,ramo,ramo
150,Zweig::N,galho,ramo
151,Blatt::N,folha,foglia
152,Birke::N,bétula,betulla
153,Kiefer[Baum]::N,pinheiro,pino
154,Weide[Baum]::N,salgueiro,sàlice
155,Tanne::N,abeto,abete
156,Horn::N,corno,corno
157,Horn::N,chifre,corno
158,Feder::N,pena,penna
159,Fell::N,pele,manto
160,Fell::N,pele,pelame
161,Flügel::N,asa,ala
162,Klaue::N,pata,grinfia
163,Kralle::N,unha,unghia
164,Kralle::N,unha,artiglio
165,Kralle::N,garra,unghia
166,Kralle::N,garra,artiglio
167,Schwanz::N,rabo,coda
168,Schwanz::N,cauda,coda
169,Ei::N,ovo,uovo
170,Nest::N,ninho,nido
171,Bau::N,toca,covo
172,Bau::N,covil,covo
173,Tier::N,animal,bestia
174,Tier::N,animal,animale
175,Herde::N,rebanho,gregge
176,Kuh::N,vaca,vacca
177,Bulle::N,touro,toro
178,Pferd::N,cavalo,cavallo
179,Schaf::N,ovelha,pècora
180,Schwein::N,porco,porco
181,Schwein::N,porco,maiale
182,Hund::N,cão,cane
183,Katze::N,gata,gatta
184,Bär::N,urso,orso
185,Eichhörnchen::N,esquilo,scoiàttolo
186,Elch::N,alce,alce
187,Fuchs::N,raposa,volpe
188,Hase::N,lebre,lepre
189,Maus::N,rato,topo
190,Maus::N,rato,sorcio
191,Wolf::N,lobo,lupo
192,Vogel::N,ave,uccello
193,Vogel::N,pássaro,uccello
194,Schwarm::N,bando,stormo
195,Schwarm::N,enxame,stormo
196,Huhn::N,galinha,gallina
197,Hahn::N,galo,gallo
198,Gans::N,ganso,oca
199,Adler::N,águia,àquila
200,Ente::N,pata,ànatra
201,Eule::N,mocho,gufo
202,Eule::N,mocho,civetta
203,Eule::N,coruja,gufo
204,Eule::N,coruja,civetta
205,Kranich::N,grou,gru
206,Krähe::N,gralha,cornacchia
207,Kuckuck::N,cuco,cuccù
208,Kuckuck::N,cuco,cùculo
209,Schwan::N,cisne,cigno
210,Fisch::N,peixe,pesce
211,Barsch::N,perca,pèrsico
212,Hecht::N,lúcio,luccio
213,Schlange[Tier]::N,serpente,serpente
214,Wurm::N,verme,baco
215,Wurm::N,verme,verme
216,Spinne::N,aranha,ragno
217,Ameise::N,formiga,formica
218,Laus::N,piolho,pidocchio
219,Mücke::N,mosquito,zanzara
220,Fliege::N,mosca,mosca
221,Schmetterling::N,borboleta,farfalla
222,Beere::N,bago,bacca
223,Apfel::N,maçã,mela
224,Pilz::N,fungo,fungo
225,Pilz::N,cogumelo,fungo
226,Zwiebel::N,cebola,cipolla
227,Saat::N,sementeira,semente
228,Korn::N,grão,grano
229,Heu::N,feno,fieno
230,Schale::N,casca,buccia
231,Grube::N,cova,cava
232,Grube::N,cova,fossa
233,Grube::N,fossa,cava
234,Grube::N,fossa,fossa
235,Falle::N,armadilha,tràppola
236,Schlinge::N,laço,laccio
237,Spur::N,pista,traccia
238,Spur::N,vestígio,traccia
239,Asche::N,cinza,cenere
240,Dreck::N,sujidade,fango
241,Eisen::N,ferro,ferro
242,Gold::N,ouro,oro
243,Silber::N,prata,argento
244,Kohle::N,carvão,carbone
245,Glas::N,vidro,vetro
246,Lehm::N,barro,argilla
247,Lehm::N,argila,argilla
248,Sand::N,areia,arena
249,Sand::N,areia,sabbia
250,Mensch::N,homem,uomo
251,Mensch::N,homem,èssere umano
252,Mensch::N,pessoa,uomo
253,Mensch::N,pessoa,èssere umano
254,Mann::N,homem,uomo
255,Frau::N,mulher,donna
256,Kind::N,filho,bambino
