,Concept_ID,av,lv
0,Ohr::N,гӏин,пель
1,Ohr::N,гӏин,auss
2,Nase::N,мегӏер,ныр
3,Nase::N,мегӏер,deguns
4,Mund::N,кӏал,вом
5,Mund::N,кӏал,mute
6,Zahn::N,гӏус,пинь
7,Zahn::N,гӏус,zobs
8,Zunge::N,мацӏ,кыв
9,Zunge::N,мацӏ,mēle
10,Lippe::N,кӏветӏ,вом дор
11,Lippe::N,кӏветӏ,lūpa
12,Wange::N,гӏоно,бан
13,Wange::N,гӏоно,vaigs
14,Gesicht::N,гьумер,чужӧм
15,Gesicht::N,гьумер,seja
16,Gesicht::N,гьумер,ģīmis
17,Stirn::N,нодо,плеш
18,Stirn::N,нодо,кымӧс
19,Stirn::N,нодо,piere
20,Haar::N,рас,си
21,Haar::N,рас,юрси
22,Haar::N,рас,mats
23,Schnurrbart::N,михъ,ус
24,Schnurrbart::N,михъ,пыртсим
25,Schnurrbart::N,михъ,ūsas
26,Bart::N,мегеж,тош
27,Bart::N,мегеж,bārda
28,Kinn::N,нилъу,тшӧка
29,Kinn::N,нилъу,zods
30,Kinn::N,нилъу,smakrs
31,Kiefer[Anatomie]::N,чанагъ,черлы
32,Kiefer[Anatomie]::N,чанагъ,алака лы
33,Kiefer[Anatomie]::N,чанагъ,вомкӧтш лы
34,Kiefer[Anatomie]::N,чанагъ,žoklis
35,Kehle::N,щекъер,голя
36,Kehle::N,щекъер,rīkle
37,Hals::N,габур,сьылі
38,Hals::N,габур,kakls
39,Genick::N,гъванща,юрбӧр
40,Genick::N,гъванща,балябӧж
41,Genick::N,гъванща,sprands
42,Kopf::N,бетӏер,юр
43,Kopf::N,бетӏер,galva
44,Rücken::N,мугъ,мыш
45,Rücken::N,мугъ,mugura
46,Bauch::N,чехь,рушку
47,Bauch::N,чехь,vēders
48,Nabel::N,цӏину,гӧг
49,Nabel::N,цӏину,naba
50,Busen::N,керен,морӧс
51,Busen::N,керен,krūts
52,Brust::N,керен,морӧс
53,Brust::N,керен,krūts
54,Schulter::N,гъажазубетӏер,пельпом
55,Schulter::N,гъажазубетӏер,plecs
56,Arm::N,гъеж,ки
57,Arm::N,гъеж,roka
58,Arm::N,гъеж,delms
59,Ellenbogen::N,гӏункӏрукь,гырддза
60,Ellenbogen::N,гӏункӏрукь,elkonis
61,Hand::N,квер,ки
62,Hand::N,квер,roka
63,Hand::N,квер,plauksta
64,Handfläche::N,огъохъат,ки пыдӧс
65,Handfläche::N,огъохъат,delna
66,Handfläche::N,огъохъат,plauksta
67,Handfläche::N,жанисахъат,ки пыдӧс
68,Handfläche::N,жанисахъат,delna
69,Handfläche::N,жанисахъат,plauksta
70,Finger::N,килищ,чунь
71,Finger::N,килищ,pirksts
72,Fingernagel::N,малъ,гыж
73,Fingernagel::N,малъ,nags
74,Nagel[Anatomie]::N,малъ,гыж
75,Nagel[Anatomie]::N,малъ,nags
76,Zeh::N,килищ,кок чунь
77,Zeh::N,килищ,pirksts
78,Fuß::N,хӏетӏ,кок
79,Fuß::N,хӏетӏ,kāja
80,Fuß::N,хӏетӏе,кок
81,Fuß::N,хӏетӏе,kāja
82,Ferse::N,эгъе,кокбӧр
83,Ferse::N,эгъе,papēdis
84,Knie::N,наку,пидзӧс
85,Knie::N,наку,celis
