,Concept_ID,fa,myv
0,Auge::N,چشم,сельме
1,Ohr::N,گوش,пиле
2,Nase::N,بینی,судо
3,Mund::N,دهان,курго
4,Zahn::N,دندان,пей
5,Zunge::N,زبان,кель
6,Lippe::N,لب,турва
7,Wange::N,لپ,чамабока
8,Wange::N,لپ,чамаумарь
9,Gesicht::N,رو,чама
10,Gesicht::N,چهره,чама
11,Stirn::N,پیشانی,коня
12,Haar::N,مو,черь
13,Schnurrbart::N,سبیل,ус
14,Schnurrbart::N,سبیل,муюк
15,Bart::N,ریش,сакал
16,Kinn::N,چانه,уло
17,Kiefer[Anatomie]::N,فک,пейпакар
18,Kiefer[Anatomie]::N,فک,пейловажа
19,Kiefer[Anatomie]::N,آرواره,пейпакар
20,Kiefer[Anatomie]::N,آرواره,пейловажа
21,Kehle::N,حلق,кирьгапарь
22,Hals::N,گردن,кирьга
23,Genick::N,پشت گردن,човонь
24,Kopf::N,سر,пря
25,Kopf::N,کله,пря
26,Rücken::N,پشت,копорь
27,Bauch::N,شکم,пеке
28,Nabel::N,ناف,почо
29,Busen::N,پستان,поте
30,Brust::N,سینه,меште
31,Schulter::N,دوش,лавтов
32,Schulter::N,شانه,лавтов
33,Arm::N,بازو,кедь
34,Ellenbogen::N,آرنج,кенерепакарь
35,Hand::N,دست,кедь
36,Handfläche::N,کف دست,кедькуншка
37,Handfläche::N,کف دست,кедьлапушка
38,Finger::N,انگشت,сур
39,Fingernagel::N,ناخن دست,кенже
40,Nagel[Anatomie]::N,ناخن,кенже
41,Zeh::N,انگشت پا,пильге сур
42,Fuß::N,پا,пильге
43,Ferse::N,پاشنه,кочкаря
44,Knie::N,زانو,эле
45,Knie::N,زانو,эзне
46,Knie::N,زانو,кумажа
47,Oberschenkel::N,ران,качо
48,Bein::N,پا,пильге
49,Bein::N,لنگ,пильге
50,Körper::N,تن,рунго
51,Körper::N,بدن,рунго
52,Haut::N,پوست,киське
53,Blut::N,خون,верь
54,Ader::N,رگ,сан
55,Sehne::N,زردپی,коське сан
56,Knochen::N,استخوان,пакарь
57,Gehirn::N,مخ,удем
58,Gehirn::N,مغز,удем
59,Herz::N,دل,седей
60,Herz::N,قلب,седей
61,Magen::N,معده,пеке
62,Leber::N,کبد,максо
63,Atem::N,نفس,лексема
64,Atem::N,نفس,оймень таргсема
65,Hunger::N,گرسنگی,вачочи
66,Träne::N,اشک,селведь
67,Geschmack::N,مزه,тансть
68,Geruch::N,بو,чине
69,Schlaf::N,خواب,удома
70,Traum::N,رؤیا,он
71,Himmel::N,فلک,менель
72,Himmel::N,آسمان,менель
73,Sonne::N,آفتاب,чи
74,Sonne::N,خورشید,чи
75,Mond::N,ماه,ков
76,Stern::N,ستاره,теште
77,Luft::N,هوا,кошт
78,Wind::N,باد,варма
79,Welle::N,موج,толкун
80,Wasser::N,آب,ведь
81,Stein::N,سنگ,кев
82,Boden::N,زمین,мода
83,Erde::N,خاک,мастор
84,Erde::N,زمین,мастор
85,Staub::N,گرد,пуль
86,Staub::N,غبار,пуль
87,Rauch::N,دود,качамо
88,Funke::N,جرقه,сятко
89,Feuer::N,آتش,тол
90,Licht::N,نور,валдо
91,Licht::N,روشنی,валдо
92,Schatten::N,سایه,сулей
93,Schatten::N,سایه,сулейкс
94,Wetter::N,هوا,ушо
95,Nebel::N,مه,сув
96,Wolke::N,ابر,пель
97,Regen::N,باران,пиземс
98,Schnee::N,برف,лов
99,Eis::N,یخ,эй
100,Frost::N,یخبندان,кельме
101,Kälte::N,سرما,якшамо
102,Hitze::N,گرما,пси
103,Hitze::N,حرارت,пси
104,Raureif::N,برف ریزه,лекш
105,Regenbogen::N,رنگین‌کمان,пурьгинечирьке
106,Regenbogen::N,رنگین‌کمان,пурьгинеёнкс
107,Donner::N,رعد,пурьгине
108,Strömung::N,جریان,чудема
109,Strömung::N,جریان,чудевкс
110,Tropfen::N,قطره,петнявкс
111,Schaum::N,کف,чов
112,Schmutz::N,گل,рудаз
113,Schmutz::N,کثافت,рудаз
114,See::N,دریاچه,эрьке
115,Sumpf::N,مرداب,чей
116,Sumpf::N,باتلاق,чей
117,Moor::N,باتلاق,чей
118,Wiese::N,چمن,луга
119,Wald::N,جنگل,вирь
120,Hügel::N,تل,губорь
121,Hügel::N,تل,пандыне
122,Hügel::N,تپه,губорь
123,Hügel::N,تپه,пандыне
124,Anhöhe::N,بلندی,губорь
125,Anhöhe::N,بلندی,пандыне
126,Berg::N,کوه,пандо
127,Gipfel::N,قله,пря
128,Höhle::N,غار,пещера
129,Abhang::N,سرازیری,пандочама
130,Quelle::N,چشمه,ушодкс
131,Bach::N,نهر,чудикерькс
132,Fluss::N,رود,лей
133,Ufer::N,ساحل,чире
134,Ufer::N,کرانه,чире
135,Küste::N,ساحل,лейчире
136,Festland::N,خشکی,мода
137,Meer::N,دریا,моря
138,Bucht::N,خلیج,усия
139,Insel::N,جزیره,усия
140,Blume::N,گل,цеця
141,Gras::N,علف,тикше
142,Wurzel::N,ریشه,юр
143,Wurzel::N,ریشه,ундокс
144,Baum::N,درخت,чувто
145,Stamm::N,تنه,рунго
146,Rinde::N,توژ,суд
147,Rinde::N,توژ,керь
148,Rinde::N,پوست,суд
149,Rinde::N,پوست,керь
150,Ast::N,شاخه,морго
151,Zweig::N,شاخه,тарад
152,Blatt::N,برگ,лопа
153,Birke::N,غان,килей
154,Kiefer[Baum]::N,کاج,пиче
155,Weide[Baum]::N,بید,каль
156,Tanne::N,صنوبر,куз
157,Horn::N,شاخ,сюро
158,Feder::N,پر,толга
159,Fell::N,خز,пона
160,Flügel::N,پر,сёлмо
161,Flügel::N,بال,сёлмо
162,Klaue::N,چنگ,кенже
163,Klaue::N,پنجه,кенже
164,Kralle::N,پنجه,кенже
165,Schwanz::N,دم,пуло
166,Ei::N,تخم,ал
167,Nest::N,لانه,пизэ
168,Bau::N,بنا,варя
169,Bau::N,بنا,пизе
170,Bau::N,ساختمان,варя
171,Bau::N,ساختمان,пизе
172,Tier::N,هیوان,ракша
173,Herde::N,رمه,стада
174,Kuh::N,گاو,скал
175,Bulle::N,گاو نر,бука
176,Pferd::N,اسب,лишме
177,Schaf::N,گوسفند,реве
178,Schwein::N,خوک,туво
179,Hund::N,سگ,пине
180,Hund::N,سگ,киска
181,Katze::N,گربه,псака
182,Bär::N,خرس,овто
183,Eichhörnchen::N,سنجاب,ур
184,Elch::N,گوزن شمالی,сярдо
185,Fuchs::N,روباه,ривезь
186,Hase::N,خرگوش,нумоло
187,Maus::N,موش,чеерь
188,Wolf::N,گرگ,верьгиз
189,Vogel::N,پرنده,нармунь
190,Schwarm::N,دسته,полк
191,Schwarm::N,دسته,стада
192,Huhn::N,مرغ,сараз
193,Hahn::N,خروس,атякш
194,Gans::N,غاز,гала
