,Concept_ID,cs,hu
0,Auge::N,oko,szem
1,Ohr::N,ucho,fül
2,Nase::N,nos,orr
3,Mund::N,pusa,száj
4,Zahn::N,zub,fog
5,Zunge::N,jazyk,nyelv
6,Lippe::N,ret,ajak
7,Wange::N,tvář,orca
8,Gesicht::N,obličej,arc
9,Stirn::N,čelo,homlok
10,Haar::N,vlas,haj
11,Haar::N,vlasy,haj
12,Schnurrbart::N,kníry,bajusz
13,Bart::N,vousy,szakáll
14,Kinn::N,brada,áll
15,Kiefer[Anatomie]::N,čelist,állkapocs
16,Kehle::N,hrdlo,gége
17,Kehle::N,hrdlo,torok
18,Hals::N,krk,nyak
19,Genick::N,týl,tarkó
20,Kopf::N,hlava,fő
21,Kopf::N,hlava,fej
22,Rücken::N,záda,hát
23,Rücken::N,hřbet,hát
24,Bauch::N,břicho,has
25,Nabel::N,pupek,köldök
26,Busen::N,ňadra,mell
27,Busen::N,ňadra,kebel
28,Brust::N,prsa,mell
29,Schulter::N,plece,váll
30,Schulter::N,rameno,váll
31,Arm::N,ruka,kar
32,Ellenbogen::N,loket,könyök
33,Hand::N,ruka,kéz
34,Handfläche::N,dlaň,tenyér
35,Finger::N,prst,ujj
36,Fingernagel::N,nehet,köröm
37,Nagel[Anatomie]::N,nehet,köröm
38,Zeh::N,prst u nohy,lábujj
39,Fuß::N,noha,láb
40,Ferse::N,pata,sarok
41,Knie::N,koleno,térd
42,Oberschenkel::N,stehno,comb
43,Bein::N,noha,láb
44,Bein::N,noha,lábszár
45,Körper::N,tělo,test
46,Haut::N,kůže,bőr
47,Blut::N,krev,vér
48,Ader::N,céva,ér
49,Sehne::N,šlacha,ín
50,Knochen::N,kost,csont
51,Gehirn::N,mozek,agy
52,Gehirn::N,mozek,agyvelő
53,Herz::N,srdce,szív
54,Magen::N,žaludek,gyomor
55,Leber::N,játra,máj
56,Atem::N,dech,lehelet
57,Atem::N,dech,lélegzet
58,Hunger::N,hlad,éhség
59,Träne::N,slza,könny
60,Geschmack::N,vkus,íz
61,Geruch::N,vůně,szag
62,Geruch::N,zápach,szag
63,Schlaf::N,spánek,álom
64,Schlaf::N,spánek,alvás
65,Traum::N,sen,álom
66,Himmel::N,nebe,ég
67,Himmel::N,nebe,menny
68,Sonne::N,slunce,nap
69,Mond::N,měsíc,hold
70,Stern::N,hvězda,csillag
71,Luft::N,vzduch,levegő
72,Wind::N,vítr,szél
73,Welle::N,vlna,hullám
74,Wasser::N,voda,víz
75,Stein::N,kámen,kő
76,Boden::N,půda,föld
77,Boden::N,půda,talaj
78,Erde::N,země,föld
79,Staub::N,prach,por
80,Rauch::N,dým,füst
81,Rauch::N,kouř,füst
82,Funke::N,jiskra,szikra
83,Feuer::N,oheň,tűz
84,Licht::N,světlo,fény
85,Schatten::N,stín,árnyék
86,Wetter::N,počasí,idő
87,Wetter::N,počasí,időjárás
88,Nebel::N,mlha,köd
89,Wolke::N,mrak,felhő
90,Wolke::N,oblak,felhő
91,Regen::N,déšť,eső
92,Schnee::N,sníh,hó
93,Eis::N,led,jég
94,Frost::N,mráz,fagy
95,Kälte::N,chlad,hideg
96,Hitze::N,horko,hő
97,Hitze::N,horko,hőség
98,Raureif::N,jinovatka,zúzmara
99,Regenbogen::N,duha,szivárvány
100,Donner::N,hrom,dörgés
101,Donner::N,hrom,mennydörgés
102,Strömung::N,proudění,áramlat
103,Tropfen::N,kapka,csepp
104,Schaum::N,pěna,hab
105,Schaum::N,pěna,tajték
106,Schmutz::N,špína,piszok
107,See::N,jezero,tó
108,Sumpf::N,močál,mocsár
109,Sumpf::N,bažina,mocsár
110,Moor::N,bažina,láp
111,Moor::N,slatina,láp
112,Wiese::N,louka,rét
113,Wiese::N,louka,mező
114,Wald::N,les,erdő
115,Hügel::N,kopec,domb
116,Anhöhe::N,pahorek,magaslat
117,Berg::N,hora,hegy
118,Gipfel::N,vrchol,csúcs
119,Höhle::N,jeskyně,barlang
120,Abhang::N,svah,lejtő
121,Abhang::N,stráň,lejtő
122,Quelle::N,pramen,forrás
123,Bach::N,potok,patak
124,Fluss::N,řeka,folyó
125,Ufer::N,břeh,part
126,Küste::N,pobřeží,tengerpart
127,Festland::N,souš,szárazföld
128,Festland::N,pevnina,szárazföld
129,Meer::N,moře,tenger
130,Bucht::N,záliv,öböl
131,Bucht::N,zátoka,öböl
132,Insel::N,ostrov,sziget
133,Blume::N,květina,virág
134,Gras::N,tráva,fű
135,Wurzel::N,kořen,gyökér
136,Baum::N,strom,fa
137,Stamm::N,kmen,tő
138,Stamm::N,kmen,törzs
139,Rinde::N,kůra,kéreg
140,Ast::N,větev,ág
141,Zweig::N,větev,gally
142,Blatt::N,lupen,levél
143,Birke::N,bříza,nyír
144,Kiefer[Baum]::N,sosna,fenyő
145,Kiefer[Baum]::N,borovice,fenyő
146,Weide[Baum]::N,vrba,fűz
147,Tanne::N,jedle,fenyő
148,Horn::N,roh,szarv
149,Feder::N,pero,toll
150,Fell::N,srst,szőr
151,Fell::N,srst,bunda
152,Flügel::N,křídlo,szárny
153,Klaue::N,dráp,köröm
154,Klaue::N,pazneht,köröm
155,Kralle::N,dráp,karom
156,Schwanz::N,ocas,farok
157,Ei::N,vejce,tojás
158,Nest::N,hnízdo,fészek
159,Bau::N,nora,odú
160,Tier::N,zvíře,állat
161,Herde::N,stádo,nyáj
162,Herde::N,stádo,csorda
163,Kuh::N,kráva,tehén
164,Bulle::N,býk,bika
165,Pferd::N,kůň,ló
166,Schaf::N,ovce,juh
167,Schaf::N,ovce,birka
168,Schwein::N,vepř,sertés
169,Schwein::N,prase,sertés
170,Hund::N,pes,eb
171,Hund::N,pes,kutya
172,Katze::N,kočka,macska
173,Bär::N,medvěd,medve
174,Eichhörnchen::N,veverka,mókus
175,Elch::N,los,jávorszarvas
176,Fuchs::N,liška,róka
177,Hase::N,zajíc,nyúl
178,Maus::N,myš,egér
179,Wolf::N,vlk,farkas
180,Vogel::N,pták,madár
181,Schwarm::N,roj,raj
182,Schwarm::N,hejno,raj
183,Huhn::N,kuře,tyúk
184,Huhn::N,slepice,tyúk
185,Hahn::N,kohout,kakas
186,Gans::N,husa,lúd
187,Gans::N,husa,liba
188,Adler::N,orel,sas
189,Ente::N,kachna,kacsa
190,Eule::N,sova,bagoly
191,Kranich::N,jeřáb,daru
192,Krähe::N,vrána,varjú
193,Kuckuck::N,kukačka,kakukk
194,Schwan::N,labuť,hattyú
195,Fisch::N,ryba,hal
196,Barsch::N,okoun,sügér
197,Hecht::N,štika,csuka
198,Schlange[Tier]::N,had,kígyó
199,Wurm::N,červ,kukac
200,Spinne::N,pavouk,pók
201,Ameise::N,mravenec,hangya
202,Laus::N,veš,tetű
203,Mücke::N,komár,szúnyog
204,Fliege::N,moucha,légy
205,Schmetterling::N,motýl,lepke
206,Schmetterling::N,motýl,pillangó
207,Beere::N,bobule,bogyó
208,Apfel::N,jablko,alma
209,Pilz::N,houba,gomba
210,Zwiebel::N,cibule,hagyma
211,Saat::N,osivo,vetőmag
212,Korn::N,zrno,mag
213,Korn::N,zrno,szem
214,Heu::N,seno,széna
215,Schale::N,slupka,héj
216,Schale::N,skořápka,héj
217,Grube::N,jáma,verem
218,Falle::N,past,csapda
219,Falle::N,léčka,csapda
220,Schlinge::N,smyčka,tőr
221,Spur::N,stopa,nyom
222,Asche::N,popel,hamu
223,Dreck::N,špína,sár
224,Dreck::N,špína,piszok
225,Eisen::N,železo,vas
226,Gold::N,zlato,arany
227,Silber::N,stříbro,ezüst
228,Kohle::N,uhlí,szén
229,Glas::N,sklo,üveg
230,Lehm::N,jíl,agyag
231,Lehm::N,jíl,vályog
232,Lehm::N,hlína,agyag
233,Lehm::N,hlína,vályog
234,Sand::N,písek,homok
235,Mensch::N,člověk,ember
236,Mann::N,muž,úr
237,Mann::N,muž,férfi
238,Frau::N,žena,nő
239,Frau::N,žena,asszony
240,Kind::N,dítě,gyerek
241,Kind::N,dítě,gyermek
242,Junge::N,hoch,fiú
243,Junge::N,chlapec,fiú
244,Mädchen::N,děvče,lány
245,Familie::N,rodina,család
246,Großvater::N,děd,nagyapa
247,Großvater::N,dědeček,nagyapa
248,Großmutter::N,babička,nagyanya
249,Eltern::N,rodiče,szülők
250,Vater::N,otec,apa
251,Vater::N,otec,atya
252,Mutter::N,matka,anya
253,Sohn::N,syn,fiú
254,Tochter::N,dcera,lány
255,Bruder::N,bratr,fivér
256,Bruder::N,bratr,testvér
257,Schwester::N,sestra,nővér
258,Schwester::N,sestra,lánytestvér
259,Onkel::N,strýc,nagybácsi
260,Tante::N,teta,nagynéni
261,Ehemann::N,choť,férj
262,Ehemann::N,manžel,férj
263,Ehefrau::N,choť,feleség
