,Concept_ID,ps,te
0,Auge::N,سترګه,కన్ను
1,Ohr::N,غوږ,చెవి
2,Nase::N,پوزه,ముక్కు
3,Mund::N,خوله,నోరు
4,Zahn::N,غاښ,పల్లు
5,Zunge::N,جبه,నాలుక
6,Lippe::N,شونډه,పెదవి
7,Wange::N,باړخو,చెంప
8,Gesicht::N,مخ,ముఖము
9,Stirn::N,تندی,నుదురు
10,Stirn::N,وچولی,నుదురు
11,Haar::N,وېښته,వెండ్రుక
12,Schnurrbart::N,برېت,మీసము
13,Bart::N,ږیره,గడ్డము
14,Kinn::N,زنه,గడ్డము
15,Kiefer[Anatomie]::N,جامه,దౌడ
16,Kehle::N,غاړه,గొంతు
17,Hals::N,غاړه,మెడ
18,Genick::N,ورمېږ,మూపు
19,Kopf::N,سر,తల
20,Rücken::N,شا,వెన్ను
21,Bauch::N,نس,కడుపు
22,Bauch::N,ګېډه,కడుపు
23,Nabel::N,نوم,బొడ్డు
24,Busen::N,تی,స్తనము
25,Brust::N,سینه,ఱొమ్ము
26,Schulter::N,اوږه,భుజము
27,Arm::N,لاس,చేయి
28,Ellenbogen::N,څنګل,మోచేయి
29,Hand::N,لاس,చేయి
30,Handfläche::N,ورغوی,అరచేయు
31,Finger::N,ګوته,చేతిప్రేలు
32,Fingernagel::N,نوک,గోరు
33,Nagel[Anatomie]::N,نوک,గోరు
34,Zeh::N,ګوته,కాలిప్రేలు
35,Fuß::N,پښه,అడుగు
36,Ferse::N,پونده,మడమ
37,Knie::N,زنګون,మోకాలు
38,Oberschenkel::N,پتون,తొడ
39,Bein::N,پښه,కాలు
40,Körper::N,ځان,కాయము
41,Haut::N,پوټکی,చర్మము
42,Blut::N,وینه,రక్తము
43,Ader::N,رګ,సిర
44,Sehne::N,پله,స్నాయువు
45,Knochen::N,هډوکی,ఎముక
46,Gehirn::N,ماغزه,మెదడు
47,Herz::N,زړه,హృదయము
48,Magen::N,معده,కడుపు
49,Leber::N,ينه,కాలేయము
50,Leber::N,ځیګر,కాలేయము
51,Atem::N,نفس,ఉపిరి
52,Hunger::N,ولږه,ఆకలి
53,Träne::N,اوښکه,కన్నీటిచుక్క
54,Geschmack::N,مزه,రుచి
55,Geschmack::N,خوند,రుచి
56,Geruch::N,بوی,వాసన
57,Schlaf::N,خوب,నిద్ర
58,Traum::N,خوب,కల
59,Himmel::N,اسمان,ఆకాశము
60,Sonne::N,لمر,సూర్యుడు
61,Mond::N,سپوږمۍ,చంద్రుడు
62,Stern::N,ستوری,నక్షత్రము
63,Luft::N,هوا,గాలి
64,Wind::N,ورښ,వీచుచున్నగాలి
65,Welle::N,موج,అల
66,Wasser::N,اوبه,నీరు
67,Stein::N,ډبره,ఱాయి
68,Boden::N,مځکه,నేల
69,Erde::N,خاوره,మన్ను
70,Staub::N,ګرد,దుమ్ము
71,Staub::N,خاوره,దుమ్ము
72,Rauch::N,دود,పొగ
73,Rauch::N,لوګی,పొగ
74,Funke::N,سپرغۍ,అగ్నికణము
75,Feuer::N,اور,అగ్ని
76,Licht::N,رڼا,కాంతి
77,Schatten::N,سیوری,నీడ
78,Wetter::N,هوا,వాతావరణ స్థితి
79,Nebel::N,لړه,పొగమంచు
80,Wolke::N,ورېځ,మేఘము
81,Regen::N,وریا,వాన
82,Regen::N,باران,వాన
83,Schnee::N,واوره,హిమము
84,Eis::N,یخ,మంచుగడ్డ
85,Eis::N,کنګل,మంచుగడ్డ
86,Frost::N,یخ,పేరిన మంచు
87,Kälte::N,ساړه,చలి
88,Hitze::N,تودوخي,వేడిమి
89,Raureif::N,سپینه پرخه,మంచు
90,Regenbogen::N,بوډۍ ټال,ఇంద్రధనుస్సు
91,Regenbogen::N,سره زرغونه,ఇంద్రధనుస్సు
92,Donner::N,تالنده,ఉరుము
93,Strömung::N,بهېدنه,ప్రవాహము
94,Tropfen::N,قطره,చుక్క
95,Tropfen::N,څاڅکی,చుక్క
96,Schaum::N,ځګ,నురుగు
97,Schmutz::N,ناپاکي,మైల
98,See::N,جهیل,సరస్సు
99,Sumpf::N,جبه,చిత్తడినేల
100,Moor::N,جبه,చిత్తడినేల
101,Wiese::N,چمن,పచ్చిక బయలు
102,Wiese::N,شنېلی,పచ్చిక బయలు
103,Wald::N,ځنګل,అడవి
104,Hügel::N,تپه,చివ్నకొండ
105,Anhöhe::N,غونډۍ,కొండ
106,Berg::N,غ‍‍‍‍‍ر,పర్వతము
107,Gipfel::N,څوکه,శిఖరము
108,Höhle::N,کاز,గుహ
109,Abhang::N,لمن,ఏటవాలు
110,Quelle::N,چینه,మూలము
111,Bach::N,واله,కాలువ
112,Fluss::N,سیند,నది
113,Ufer::N,غاړه,తీరము
114,Küste::N,ساحل,తీరము
115,Festland::N,وچه,భూమి
116,Meer::N,بحر,సముద్రము
117,Meer::N,سمندر,సముద్రము
118,Bucht::N,کارۍ,మరుగు
119,Insel::N,ټاپو,దీవి
120,Insel::N,جزيره,దీవి
121,Blume::N,ګل,పుష్పము
122,Gras::N,واښه,పచ్చగడ్డి
123,Wurzel::N,ریښه,వేరు
124,Baum::N,ونه,చెట్టు
125,Stamm::N,ډډ,చెట్టుబోదె
126,Rinde::N,پوستکی,చెట్టుపట్ట
127,Ast::N,ښاخ,కొమ్మ
128,Zweig::N,څانګه,చివుకు
129,Blatt::N,پاڼه,ఆకు
130,Birke::N,توس,తరహా చెట్టు
131,Kiefer[Baum]::N,نښتر,దేవదారు చెట్టు
132,Weide[Baum]::N,وله,జాతిచెట్టు
133,Tanne::N,ناجو,దేవదారుచెట్టు
134,Horn::N,ښکر,కొమ్ము
135,Feder::N,بڼکه,ఈక
136,Fell::N,پوستکی,తోలు
137,Flügel::N,وزر,ఱెక్క
138,Klaue::N,پنجه,వంకరగోరు
139,Klaue::N,منګول,వంకరగోరు
140,Kralle::N,پنجه,వంకరగోరు
141,Kralle::N,منګول,వంకరగోరు
142,Schwanz::N,لکۍ,తోక
143,Ei::N,وۍ,గ్రుడ్డు
144,Ei::N,هګۍ,గ్రుడ్డు
145,Nest::N,جاله,పక్షిగూడు
146,Bau::N,کاز,గుహ
147,Tier::N,ژوی,జంతువు
148,Tier::N,حیوان,జంతువు
149,Herde::N,رمه,మంద
