,Concept_ID,et,hu
0,Auge::N,silm,szem
1,Ohr::N,kõrv,fül
2,Nase::N,nina,orr
3,Mund::N,suu,száj
4,Zahn::N,hammas,fog
5,Zunge::N,keel,nyelv
6,Lippe::N,huul,ajak
7,Wange::N,põsk,orca
8,Gesicht::N,nägu,arc
9,Stirn::N,otsmik,homlok
10,Haar::N,juus,haj
11,Schnurrbart::N,vurrud,bajusz
12,Schnurrbart::N,vuntsid,bajusz
13,Bart::N,habe,szakáll
14,Kinn::N,lõug,áll
15,Kiefer[Anatomie]::N,lõualuu,állkapocs
16,Kehle::N,kõri,gége
17,Kehle::N,kõri,torok
18,Hals::N,kael,nyak
19,Genick::N,kukal,tarkó
20,Kopf::N,pea,fő
21,Kopf::N,pea,fej
22,Rücken::N,selg,hát
23,Bauch::N,kõht,has
24,Nabel::N,naba,köldök
25,Busen::N,rind,mell
26,Busen::N,rind,kebel
27,Brust::N,rind,mell
28,Schulter::N,õlg,váll
29,Arm::N,käsivars,kar
30,Ellenbogen::N,küünarnukk,könyök
31,Hand::N,käsi,kéz
32,Handfläche::N,pihk,tenyér
33,Finger::N,sõrm,ujj
34,Fingernagel::N,küüs,köröm
35,Nagel[Anatomie]::N,küüs,köröm
36,Zeh::N,varvas,lábujj
37,Fuß::N,jalg,láb
38,Ferse::N,kand,sarok
39,Knie::N,põlv,térd
40,Oberschenkel::N,reis,comb
41,Bein::N,jalg,láb
42,Bein::N,jalg,lábszár
43,Körper::N,ihu,test
44,Körper::N,keha,test
45,Haut::N,nahk,bőr
46,Blut::N,veri,vér
47,Ader::N,veen,ér
48,Sehne::N,kõõlus,ín
49,Knochen::N,luu,csont
50,Gehirn::N,aju,agy
51,Gehirn::N,aju,agyvelő
52,Herz::N,süda,szív
53,Magen::N,magu,gyomor
54,Leber::N,maks,máj
55,Atem::N,hingeõhk,lehelet
56,Atem::N,hingeõhk,lélegzet
57,Atem::N,hingamine,lehelet
58,Atem::N,hingamine,lélegzet
59,Hunger::N,nälg,éhség
60,Träne::N,pisar,könny
61,Geschmack::N,maitse,íz
62,Geruch::N,lõhn,szag
63,Schlaf::N,uni,álom
64,Schlaf::N,uni,alvás
65,Traum::N,unenägu,álom
66,Himmel::N,taevas,ég
67,Himmel::N,taevas,menny
68,Sonne::N,päike,nap
69,Mond::N,kuu,hold
70,Stern::N,täht,csillag
71,Luft::N,õhk,levegő
72,Wind::N,tuul,szél
73,Welle::N,laine,hullám
74,Wasser::N,vesi,víz
75,Stein::N,kivi,kő
76,Boden::N,maa,föld
77,Boden::N,maa,talaj
78,Boden::N,pinnas,föld
79,Boden::N,pinnas,talaj
80,Erde::N,maa,föld
81,Staub::N,põrm,por
82,Rauch::N,suits,füst
83,Funke::N,säde,szikra
84,Feuer::N,tuli,tűz
85,Licht::N,valgus,fény
86,Schatten::N,vari,árnyék
87,Wetter::N,ilm,idő
88,Wetter::N,ilm,időjárás
89,Nebel::N,udu,köd
90,Wolke::N,pilv,felhő
91,Regen::N,sadu,eső
92,Schnee::N,lumi,hó
93,Eis::N,jää,jég
94,Frost::N,pakane,fagy
95,Kälte::N,külm,hideg
96,Kälte::N,külmus,hideg
97,Hitze::N,kuumus,hő
98,Hitze::N,kuumus,hőség
99,Hitze::N,palavus,hő
100,Hitze::N,palavus,hőség
101,Raureif::N,härmatis,zúzmara
102,Regenbogen::N,vikerkaar,szivárvány
103,Donner::N,kõu,dörgés
104,Donner::N,kõu,mennydörgés
105,Donner::N,müristamine,dörgés
106,Donner::N,müristamine,mennydörgés
107,Strömung::N,voolus,áramlat
108,Strömung::N,jõevool,áramlat
109,Tropfen::N,tilk,csepp
110,Schaum::N,vaht,hab
111,Schaum::N,vaht,tajték
112,Schmutz::N,pori,piszok
113,Schmutz::N,mustus,piszok
114,See::N,järv,tó
115,Sumpf::N,soo,mocsár
116,Moor::N,raba,láp
117,Wiese::N,aas,rét
118,Wiese::N,aas,mező
119,Wiese::N,nurm,rét
120,Wiese::N,nurm,mező
121,Wald::N,mets,erdő
122,Hügel::N,küngas,domb
123,Anhöhe::N,küngas,magaslat
124,Berg::N,mägi,hegy
125,Gipfel::N,mäetipp,csúcs
126,Höhle::N,koobas,barlang
127,Abhang::N,nõlvak,lejtő
128,Quelle::N,allikas,forrás
129,Bach::N,oja,patak
130,Fluss::N,jõgi,folyó
131,Ufer::N,kallas,part
132,Küste::N,rannik,tengerpart
133,Festland::N,mander,szárazföld
134,Festland::N,maismaa,szárazföld
135,Meer::N,meri,tenger
136,Bucht::N,laht,öböl
137,Insel::N,saar,sziget
138,Blume::N,lill,virág
139,Gras::N,rohi,fű
140,Wurzel::N,juur,gyökér
141,Baum::N,puu,fa
142,Stamm::N,tüvi,tő
143,Stamm::N,tüvi,törzs
144,Rinde::N,koor,kéreg
145,Ast::N,oks,ág
146,Zweig::N,oks,gally
147,Blatt::N,leht,levél
148,Birke::N,kask,nyír
149,Kiefer[Baum]::N,mänd,fenyő
150,Weide[Baum]::N,paju,fűz
151,Tanne::N,nulg,fenyő
152,Horn::N,sarv,szarv
153,Feder::N,sulg,toll
154,Fell::N,karvkate,szőr
155,Fell::N,karvkate,bunda
156,Fell::N,karusnahk,szőr
157,Fell::N,karusnahk,bunda
158,Flügel::N,tiib,szárny
159,Flügel::N,tiivik,szárny
160,Klaue::N,küüs,köröm
161,Kralle::N,küünis,karom
162,Schwanz::N,saba,farok
163,Ei::N,muna,tojás
164,Nest::N,pesa,fészek
165,Bau::N,urg,odú
166,Tier::N,loom,állat
167,Herde::N,kari,nyáj
168,Herde::N,kari,csorda
169,Kuh::N,lehm,tehén
170,Bulle::N,pull,bika
171,Pferd::N,hobune,ló
172,Schaf::N,lammas,juh
173,Schaf::N,lammas,birka
174,Schwein::N,siga,sertés
175,Hund::N,koer,eb
176,Hund::N,koer,kutya
177,Katze::N,kass,macska
178,Bär::N,karu,medve
179,Eichhörnchen::N,orav,mókus
180,Elch::N,põder,jávorszarvas
181,Fuchs::N,rebane,róka
182,Hase::N,jänes,nyúl
183,Maus::N,hiir,egér
184,Wolf::N,hunt,farkas
185,Vogel::N,lind,madár
186,Schwarm::N,parv,raj
187,Huhn::N,kana,tyúk
188,Hahn::N,kukk,kakas
189,Gans::N,hani,lúd
190,Gans::N,hani,liba
191,Adler::N,kotkas,sas
192,Ente::N,part,kacsa
193,Eule::N,kakk,bagoly
194,Eule::N,öökull,bagoly
195,Kranich::N,kurg,daru
196,Krähe::N,vares,varjú
197,Kuckuck::N,kägu,kakukk
198,Schwan::N,luik,hattyú
199,Fisch::N,kala,hal
200,Barsch::N,ahven,sügér
201,Hecht::N,haug,csuka
202,Schlange[Tier]::N,uss,kígyó
203,Wurm::N,uss,kukac
204,Wurm::N,vagel,kukac
205,Spinne::N,ämblik,pók
206,Ameise::N,sipelgas,hangya
207,Laus::N,täi,tetű
208,Mücke::N,sääsk,szúnyog
209,Fliege::N,kärbes,légy
210,Schmetterling::N,liblikas,lepke
211,Schmetterling::N,liblikas,pillangó
212,Beere::N,mari,bogyó
213,Apfel::N,õun,alma
214,Pilz::N,seen,gomba
215,Zwiebel::N,sibul,hagyma
216,Saat::N,seeme,vetőmag
217,Korn::N,iva,mag
218,Korn::N,iva,szem
219,Korn::N,tera,mag
220,Korn::N,tera,szem
221,Heu::N,hein,széna
222,Schale::N,koor,héj
223,Grube::N,kaevand,verem
224,Falle::N,lõks,csapda
225,Falle::N,püünis,csapda
226,Schlinge::N,aas,tőr
227,Spur::N,jälg,nyom
228,Asche::N,tuhk,hamu
229,Dreck::N,saast,sár
230,Dreck::N,saast,piszok
231,Dreck::N,mustus,sár
232,Dreck::N,mustus,piszok
233,Eisen::N,raud,vas
234,Gold::N,kuld,arany
235,Silber::N,hõbe,ezüst
236,Kohle::N,süsi,szén
237,Glas::N,klaas,üveg
238,Lehm::N,savi,agyag
239,Lehm::N,savi,vályog
240,Sand::N,liiv,homok
241,Mensch::N,inimene,ember
242,Mann::N,mees,úr
243,Mann::N,mees,férfi
244,Frau::N,naine,nő
245,Frau::N,naine,asszony
246,Kind::N,laps,gyerek
247,Kind::N,laps,gyermek
248,Junge::N,poiss,fiú
249,Mädchen::N,tüdruk,lány
250,Familie::N,perekond,család
251,Großvater::N,vanaisa,nagyapa
252,Großmutter::N,vanaema,nagyanya
253,Eltern::N,vanemad,szülők
254,Vater::N,isa,apa
255,Vater::N,isa,atya
256,Mutter::N,ema,anya
257,Sohn::N,poeg,fiú
258,Tochter::N,tütar,lány
259,Bruder::N,vend,fivér
260,Bruder::N,vend,testvér
261,Schwester::N,õde,nővér
262,Schwester::N,õde,lánytestvér
