,Concept_ID,uz,kn
0,Auge::N,ko'z,ಕಣ್ಣು
1,Ohr::N,quloq,ಕಿವಿ
2,Nase::N,burun,ಮೂಗು
3,Mund::N,og'iz,ಬಾಯಿ
4,Zahn::N,tish,ಹಲ್ಲು
5,Zunge::N,til,ನಾಲಿಗೆ
6,Lippe::N,dudoq,ತುಟಿ
7,Wange::N,bet,ಗಲ್ಲ
8,Gesicht::N,yuz,ಮುಖ
9,Stirn::N,manglay,ಹಣೆ
10,Haar::N,soch,ಕೂದಲು
11,Schnurrbart::N,mo'ylov,ಮೀಸೆ
12,Bart::N,soqol,ಗಡ್ಡ
13,Kinn::N,ängak,ಗದ್ದ
14,Kiefer[Anatomie]::N,iyak,ದವಡೆ
15,Kehle::N,bo'g'iz,ಗಂಟಲು
16,Hals::N,bo'yin,ಕೊರಳು
17,Genick::N,gardan,ಹಿಂಗತ್ತು
18,Kopf::N,bosh,ತಲೆ
19,Rücken::N,orqa,ಬೆನ್ನು
20,Bauch::N,qorin,ಹೊಟ್ಟೆ
21,Nabel::N,kindik,ಹೊಕ್ಕುಳು
22,Busen::N,ämchak,ಸ್ತನ
23,Brust::N,ko'krak,ಎದೆ
24,Schulter::N,elka,ಭುಜ
25,Arm::N,bilak,ತೋಳು
26,Ellenbogen::N,tirsak,ಮೊಣಕೈ
27,Hand::N,qo'l,ಕೈ
28,Handfläche::N,kaft,ಅಂಗೈ
29,Finger::N,barmoq,ಕೈಬೆರಳು
30,Fingernagel::N,tirnoq,ಉಗುರು
31,Nagel[Anatomie]::N,tirnoq,ಉಗುರು
32,Zeh::N,oyoq barmog'i,ಕಾಲ್ಬೆರಳು
33,Fuß::N,oyoq,ಪಾದ
34,Ferse::N,tovon,ಹಿಮ್ಮಡಿ
35,Knie::N,tiz,ಮಂಡಿ
36,Oberschenkel::N,son,ತೊಡೆ
37,Bein::N,oyoq,ಕಾಲು
38,Körper::N,badna,ದೇಹ
39,Haut::N,teri,ಚರ್ಮ
40,Blut::N,qon,ರಕ್ತ
41,Ader::N,qon tomir,ನರ
42,Sehne::N,tomir,ನರ
43,Knochen::N,suyak,ಮೂಳೆ
44,Gehirn::N,miya,ಮಿದುಳು
45,Herz::N,qalb,ಹೃದಯ
46,Magen::N,oshqozon,ಉದರ
47,Leber::N,bag'ir,ಯಕೃತ್ತು
48,Atem::N,dam,ಉಸಿರು
49,Hunger::N,ochlik,ಹಸಿವು
50,Träne::N,yosh,ಕಣ್ಣೀರು
51,Geschmack::N,tam,ರುಚಿ
52,Geruch::N,jid,ವಾಸನೆ
53,Schlaf::N,uyqu,ನಿದ್ರೆ
