,Concept_ID,myv,cs
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,судо,nos
3,Mund::N,курго,pusa
4,Zahn::N,пей,zub
5,Zunge::N,кель,jazyk
6,Lippe::N,турва,ret
7,Wange::N,чамабока,tvář
8,Wange::N,чамаумарь,tvář
9,Gesicht::N,чама,obličej
10,Stirn::N,коня,čelo
11,Haar::N,черь,vlas
12,Haar::N,черь,vlasy
13,Schnurrbart::N,ус,kníry
14,Schnurrbart::N,муюк,kníry
15,Bart::N,сакал,vousy
16,Kinn::N,уло,brada
17,Kiefer[Anatomie]::N,пейпакар,čelist
18,Kiefer[Anatomie]::N,пейловажа,čelist
19,Kehle::N,кирьгапарь,hrdlo
20,Hals::N,кирьга,krk
21,Genick::N,човонь,týl
22,Kopf::N,пря,hlava
23,Rücken::N,копорь,záda
24,Rücken::N,копорь,hřbet
25,Bauch::N,пеке,břicho
26,Nabel::N,почо,pupek
27,Busen::N,поте,ňadra
28,Brust::N,меште,prsa
29,Schulter::N,лавтов,plece
30,Schulter::N,лавтов,rameno
31,Arm::N,кедь,ruka
32,Ellenbogen::N,кенерепакарь,loket
33,Hand::N,кедь,ruka
34,Handfläche::N,кедькуншка,dlaň
35,Handfläche::N,кедьлапушка,dlaň
36,Finger::N,сур,prst
37,Fingernagel::N,кенже,nehet
38,Nagel[Anatomie]::N,кенже,nehet
39,Zeh::N,пильге сур,prst u nohy
40,Fuß::N,пильге,noha
41,Ferse::N,кочкаря,pata
42,Knie::N,эле,koleno
43,Knie::N,эзне,koleno
44,Knie::N,кумажа,koleno
45,Oberschenkel::N,качо,stehno
46,Bein::N,пильге,noha
47,Körper::N,рунго,tělo
48,Haut::N,киське,kůže
49,Blut::N,верь,krev
50,Ader::N,сан,céva
51,Sehne::N,коське сан,šlacha
52,Knochen::N,пакарь,kost
53,Gehirn::N,удем,mozek
54,Herz::N,седей,srdce
55,Magen::N,пеке,žaludek
56,Leber::N,максо,játra
57,Atem::N,лексема,dech
58,Atem::N,оймень таргсема,dech
59,Hunger::N,вачочи,hlad
60,Träne::N,селведь,slza
61,Geschmack::N,тансть,vkus
62,Geruch::N,чине,vůně
63,Geruch::N,чине,zápach
64,Schlaf::N,удома,spánek
65,Traum::N,он,sen
66,Himmel::N,менель,nebe
67,Sonne::N,чи,slunce
68,Mond::N,ков,měsíc
69,Stern::N,теште,hvězda
70,Luft::N,кошт,vzduch
71,Wind::N,варма,vítr
72,Welle::N,толкун,vlna
73,Wasser::N,ведь,voda
74,Stein::N,кев,kámen
75,Boden::N,мода,půda
76,Erde::N,мастор,země
77,Staub::N,пуль,prach
78,Rauch::N,качамо,dým
79,Rauch::N,качамо,kouř
80,Funke::N,сятко,jiskra
81,Feuer::N,тол,oheň
82,Licht::N,валдо,světlo
83,Schatten::N,сулей,stín
