,Concept_ID,av,bn
0,Ohr::N,гӏин,কর্ণ
1,Nase::N,мегӏер,নাক
2,Mund::N,кӏал,মুখ
3,Zahn::N,гӏус,দাঁত
4,Zunge::N,мацӏ,জিহবা
5,Lippe::N,кӏветӏ,অধর
6,Wange::N,гӏоно,গণ্ড
7,Gesicht::N,гьумер,মুখমণ্ডল
8,Stirn::N,нодо,কপাল
9,Haar::N,рас,চুল
10,Schnurrbart::N,михъ,গোঁফ
11,Bart::N,мегеж,শ্মশ্রু
12,Kinn::N,нилъу,চিবুক
13,Kiefer[Anatomie]::N,чанагъ,চোয়াল
14,Kehle::N,щекъер,কণ্ঠ
15,Hals::N,габур,গল
16,Genick::N,гъванща,ঘাড়
17,Kopf::N,бетӏер,মাথা
18,Rücken::N,мугъ,পৃষ্ঠ
19,Bauch::N,чехь,উদর
20,Nabel::N,цӏину,নাভি
21,Busen::N,керен,স্তন
22,Brust::N,керен,বুক
23,Schulter::N,гъажазубетӏер,স্কন্ধ
24,Arm::N,гъеж,বাহু
25,Ellenbogen::N,гӏункӏрукь,কনুই
26,Hand::N,квер,হাত
27,Handfläche::N,огъохъат,করতল
28,Handfläche::N,жанисахъат,করতল
29,Finger::N,килищ,আঙ্গুল
30,Fingernagel::N,малъ,হাতের নখ
31,Nagel[Anatomie]::N,малъ,নখ
32,Zeh::N,килищ,আঙ্গুল
33,Fuß::N,хӏетӏ,পা
34,Fuß::N,хӏетӏе,পা
35,Ferse::N,эгъе,গোড়ালি
36,Knie::N,наку,হাঁটু
37,Oberschenkel::N,мачӏ,ঊরু
38,Bein::N,бох,পা
39,Körper::N,къаркъала,দেহ
40,Haut::N,тӏом,ত্বক
41,Blut::N,би,রক্ত
42,Ader::N,бидурихь,শিরা
43,Knochen::N,ракьа,অস্থি
44,Gehirn::N,гӏадалнах,মস্তিষ্ক
45,Herz::N,ракӏ,হৃৎপিণ্ড
46,Magen::N,кванирукъ,পাকস্থলী
47,Leber::N,тӏул,যকৃৎ
48,Atem::N,хӏухь,শ্বাস
49,Hunger::N,ракъи,ক্ষুধা
50,Träne::N,магӏу,অশ্রু
51,Geschmack::N,тату,স্বাদ
52,Geruch::N,махӏ,গন্ধ
53,Schlaf::N,макьу,ঘুম
54,Traum::N,макьу,স্বপ্ন
55,Himmel::N,зоб,আকাশ
56,Sonne::N,бакъ,সূর্য
57,Mond::N,моцӏ,চন্দ্র
58,Stern::N,цӏва,নক্ষত্র
59,Luft::N,гьава,বায়ু
60,Wind::N,гьури,বাতাস
61,Welle::N,карачел,ঢেউ
62,Welle::N,карачел,তরঙ্গ
63,Wasser::N,лъим,জল
64,Stein::N,гьецӏо,ঢিল
65,Stein::N,гьецӏо,প্রস্তর
66,Boden::N,ракь,ভূতল
67,Erde::N,ракь,ভূমি
68,Erde::N,дуниял,ভূমি
69,Staub::N,хӏур,ধুলা
70,Rauch::N,кӏкӏуй,ধোঁয়া
71,Feuer::N,цӏа,অগ্নি
72,Licht::N,канлъи,আলো
73,Schatten::N,рагӏад,ছায়া
74,Wetter::N,гьава-бакъ,আবহাওয়া
75,Nebel::N,гӏодобнакӏкӏ,কুহেলিকা
76,Wolke::N,накӏкӏ,মেঘ
77,Regen::N,цӏад,বৃষ্টি
78,Schnee::N,гӏазу,তুষার
79,Eis::N,цӏер,বরফ
80,Frost::N,замгьари,তুষার
81,Kälte::N,квач,শৈত্য
82,Hitze::N,багӏари,তাপ
83,Raureif::N,мартӏ,তুহিন
84,Regenbogen::N,нур,রামধনু
85,Regenbogen::N,чамбара,রামধনু
86,Donner::N,гъугъай,বজ্রধ্বনি
87,Donner::N,гъугъади,বজ্রধ্বনি
