,Concept_ID,no,lv
0,Auge::N,øye,син
1,Auge::N,øye,acs
2,Ohr::N,øre,пель
3,Ohr::N,øre,auss
4,Nase::N,nese,ныр
5,Nase::N,nese,deguns
6,Mund::N,munn,вом
7,Mund::N,munn,mute
8,Zahn::N,tann,пинь
9,Zahn::N,tann,zobs
10,Zunge::N,tunge,кыв
11,Zunge::N,tunge,mēle
12,Lippe::N,leppe,вом дор
13,Lippe::N,leppe,lūpa
14,Wange::N,kinn,бан
15,Wange::N,kinn,vaigs
16,Gesicht::N,fjes,чужӧм
17,Gesicht::N,fjes,seja
18,Gesicht::N,fjes,ģīmis
19,Gesicht::N,ansikt,чужӧм
20,Gesicht::N,ansikt,seja
21,Gesicht::N,ansikt,ģīmis
22,Stirn::N,panne,плеш
23,Stirn::N,panne,кымӧс
24,Stirn::N,panne,piere
25,Haar::N,hår,си
26,Haar::N,hår,юрси
27,Haar::N,hår,mats
28,Schnurrbart::N,bart,ус
29,Schnurrbart::N,bart,пыртсим
30,Schnurrbart::N,bart,ūsas
31,Bart::N,skjegg,тош
32,Bart::N,skjegg,bārda
33,Kinn::N,hake,тшӧка
34,Kinn::N,hake,zods
35,Kinn::N,hake,smakrs
36,Kiefer[Anatomie]::N,kjeve,черлы
37,Kiefer[Anatomie]::N,kjeve,алака лы
38,Kiefer[Anatomie]::N,kjeve,вомкӧтш лы
39,Kiefer[Anatomie]::N,kjeve,žoklis
40,Kehle::N,strupe,голя
41,Kehle::N,strupe,rīkle
42,Hals::N,hals,сьылі
43,Hals::N,hals,kakls
44,Genick::N,nakke,юрбӧр
45,Genick::N,nakke,балябӧж
46,Genick::N,nakke,sprands
47,Kopf::N,hode,юр
48,Kopf::N,hode,galva
49,Rücken::N,rygg,мыш
50,Rücken::N,rygg,mugura
51,Bauch::N,buk,рушку
52,Bauch::N,buk,vēders
53,Bauch::N,mage,рушку
54,Bauch::N,mage,vēders
55,Nabel::N,navle,гӧг
56,Nabel::N,navle,naba
57,Busen::N,barm,морӧс
58,Busen::N,barm,krūts
59,Brust::N,bryst,морӧс
60,Brust::N,bryst,krūts
61,Schulter::N,skulder,пельпом
62,Schulter::N,skulder,plecs
63,Arm::N,arm,ки
64,Arm::N,arm,roka
65,Arm::N,arm,delms
66,Ellenbogen::N,albue,гырддза
67,Ellenbogen::N,albue,elkonis
68,Hand::N,hånd,ки
69,Hand::N,hånd,roka
70,Hand::N,hånd,plauksta
71,Handfläche::N,håndflate,ки пыдӧс
72,Handfläche::N,håndflate,delna
73,Handfläche::N,håndflate,plauksta
74,Finger::N,finger,чунь
75,Finger::N,finger,pirksts
76,Fingernagel::N,fingernegl,гыж
77,Fingernagel::N,fingernegl,nags
78,Nagel[Anatomie]::N,negl,гыж
79,Nagel[Anatomie]::N,negl,nags
80,Zeh::N,tå,кок чунь
81,Zeh::N,tå,pirksts
82,Fuß::N,fot,кок
83,Fuß::N,fot,kāja
84,Ferse::N,hæl,кокбӧр
85,Ferse::N,hæl,papēdis
86,Knie::N,kne,пидзӧс
87,Knie::N,kne,celis
88,Oberschenkel::N,lår,лядьвей
89,Oberschenkel::N,lår,бек
90,Oberschenkel::N,lår,ciska
91,Oberschenkel::N,lår,augšstilbs
92,Bein::N,bein,кок
93,Bein::N,bein,kāja
94,Körper::N,kropp,туша
95,Körper::N,kropp,вывтыр
96,Körper::N,kropp,miesa
97,Körper::N,kropp,ķermenis
98,Körper::N,legeme,туша
99,Körper::N,legeme,вывтыр
100,Körper::N,legeme,miesa
101,Körper::N,legeme,ķermenis
102,Haut::N,hud,ку
103,Haut::N,hud,āda
104,Haut::N,skinn,ку
105,Haut::N,skinn,āda
106,Blut::N,blod,вир
107,Blut::N,blod,asins
108,Ader::N,åre,сӧн
109,Ader::N,åre,asinsvads
110,Sehne::N,sene,вез
111,Sehne::N,sene,dzīsla
112,Knochen::N,bein,лы
113,Knochen::N,bein,kauls
114,Knochen::N,knokkel,лы
115,Knochen::N,knokkel,kauls
116,Gehirn::N,hjerne,вем
117,Gehirn::N,hjerne,smadzenes
118,Herz::N,hjerte,сьӧлӧм
119,Herz::N,hjerte,sirds
120,Magen::N,mage,кынӧм
121,Magen::N,mage,kuņģis
122,Leber::N,lever,мус
123,Leber::N,lever,aknas
124,Atem::N,pust,лов
125,Atem::N,pust,elpa
126,Hunger::N,sult,тшыг
127,Hunger::N,sult,bads
128,Hunger::N,sult,izsalkums
129,Träne::N,tåre,синва
130,Träne::N,tåre,asara
131,Geschmack::N,smak,кӧр
132,Geschmack::N,smak,чӧсмӧс
133,Geschmack::N,smak,garša
134,Geruch::N,lukt,зын
135,Geruch::N,lukt,дук
136,Geruch::N,lukt,smaka
137,Schlaf::N,søvn,узьӧм
138,Schlaf::N,søvn,miegs
139,Traum::N,drøm,вӧт
140,Traum::N,drøm,вӧтасьӧм
141,Traum::N,drøm,sapnis
142,Himmel::N,himmel,енэж
143,Himmel::N,himmel,debess
144,Sonne::N,sol,шонді
145,Sonne::N,sol,saule
146,Mond::N,måne,тӧлысь
147,Mond::N,måne,mēness
148,Stern::N,stjerne,кодзув
149,Stern::N,stjerne,zvaigzne
150,Luft::N,luft,сынӧд
151,Luft::N,luft,gaiss
152,Wind::N,vind,тӧв
153,Wind::N,vind,vējš
154,Welle::N,bølge,гы
155,Welle::N,bølge,vilnis
156,Wasser::N,vann,ва
157,Wasser::N,vann,ūdens
158,Stein::N,stein,из
159,Stein::N,stein,akmens
160,Boden::N,bakke,му
161,Boden::N,bakke,augsne
162,Erde::N,jord,му
163,Erde::N,jord,му-ва
164,Erde::N,jord,zeme
165,Staub::N,støv,бус
166,Staub::N,støv,putekļi
167,Rauch::N,røyk,тшын
168,Rauch::N,røyk,dūmi
