,Concept_ID,lez,en
191,Schale::N,пириш,husk
192,Schale::N,хъуьруьш,husk
193,Grube::N,фур,pit
194,Falle::N,ракьар,trap
195,Schlinge::N,гьалкъа,noose
196,Spur::N,гел,track
197,Asche::N,руьхъ,ashes
198,Dreck::N,чирк,filth
199,Dreck::N,кьуруш,filth
200,Eisen::N,ракь,iron
201,Gold::N,алтун,gold
202,Silber::N,гимиш,silver
203,Kohle::N,цӏивин,coal
204,Glas::N,шуьше,glass
205,Lehm::N,ччеб,clay
206,Sand::N,къум,sand
207,Mensch::N,инсан,human
208,Mann::N,итим,man
209,Frau::N,паб,woman
210,Frau::N,дишегьли,woman
211,Kind::N,аял,child
212,Junge::N,гада,boy
213,Mädchen::N,руш,girl
214,Familie::N,хзан,family
215,Familie::N,килфет,family
216,Großvater::N,чӏехи буба,grandfather
217,Großmutter::N,чӏехи диде,grandmother
218,Eltern::N,диде-буба,parents
219,Vater::N,буба,father
220,Mutter::N,диде,mother
221,Sohn::N,хва,son
222,Tochter::N,руш,daughter
223,Bruder::N,стха,brother
224,Schwester::N,вах,sister
225,Onkel::N,ими,uncle
226,Onkel::N,халу,uncle
227,Tante::N,эме,aunt
228,Tante::N,хала,aunt
229,Ehemann::N,гъуьл,husband
230,Ehefrau::N,паб,wife
231,Freude::N,шадвал,joy
232,Gelächter::N,хъвер,laughter
233,Glück::N,бахт,happiness
234,Kummer::N,дерт,grief
235,Kummer::N,хажалат,grief
236,Wunsch::N,мурад,wish
237,Lust::N,гьевес,desire
238,Geist::N,руьгь,spirit
239,Gedanke::N,фикир,thought
240,Verstand::N,акьул,mind
241,Sinn::N,мана,meaning
242,Grund::N,себеб,reason
243,Wahrheit::N,керчек,truth
244,Wahrheit::N,гьакъикъат,truth
245,Gespräch::N,ихтилат,talk
246,Märchen::N,мах,fairy tale
247,Erzählung::N,кьиса,story
248,Nachricht::N,хабар,message
249,Neuigkeit::N,цӏийи хабар,news
250,Name::N,тӏвар,name
251,Rätsel::N,мискӏал,puzzle
252,Rede::N,рахун,speech
253,Sprache::N,чӏал,language
254,Stimme::N,ван,voice
255,Wort::N,гаф,word
256,Zeichen::N,ишара,sign
257,Ruf::N,эвер,call
258,Lärm::N,ван-сес,noise
259,Laut::N,ван,sound
260,Laut::N,сес,sound
261,Ton::N,ван-сес,tone
262,Lied::N,мани,song
263,Ruhe::N,ласвал,calm
264,Ruhe::N,фаракъат,calm
265,Ruhe::N,асайиш,calm
266,Leute::N,инсанар,people
267,Volk::N,халкь,nation
268,Arbeit::N,кӏвалах,work
269,Gast::N,мугьман,guest
270,Geschenk::N,савкьат,gift
271,Spiel::N,къугъун,game
272,Gesellschaft::N,жемят,company
273,Gesellschaft::N,общество,company
274,Hilfe::N,куьмек,help
275,Freund::N,дуст,friend
276,Kamerad::N,яр-дуст,companion
277,Angelegenheit::N,кар,matter
278,Anzahl::N,сан,count
279,Anzahl::N,кьадар,count
280,Art::N,жуьре,sort
281,Stück::N,кӏус,piece
282,Teil::N,пай,part
283,Hälfte::N,зур,half
284,Hälfte::N,зур пай,half
285,Kreis::N,круг,circle
286,Kreis::N,чкаяр,circle
287,Kreis::N,элкъвей цӏар,circle
288,Kreuz::N,хаш,cross
289,Linie::N,цӏар,line
290,Strich::N,цӏар,stroke
291,Abstand::N,ара,gap
292,Entfernung::N,мензил,distance
293,Gegend::N,чка,area
294,Platz::N,ара,space
295,Ort::N,чка,place
296,Seite::N,пад,side
297,Mitte::N,юкь,middle
298,Gegenstand::N,затӏ,item
299,Sache::N,шей,thing
300,Sache::N,затӏ,thing
301,Rand::N,къерех,fringe
302,Kante::N,син,edge
303,Ecke::N,пӏипӏ,corner
304,Spitze::N,кӏвенкӏв,tip
305,Ende::N,кьил,end
306,Loch::N,тӏеквен,hole
307,Winkel::N,пӏипӏ,angle
308,Muster::N,гишир,pattern
309,Größe::N,кьадар,size
310,Länge::N,яргъивал,length
311,Höhe::N,кьакьанвал,height
312,Gewicht::N,заланвал,weight
313,Menge::N,кьадар,amount
314,Haufen::N,хара,heap
315,Reihe::N,жерге,row
316,Boot::N,луьткве,boat
317,Ruder::N,кьусу,oar
318,Schlitten::N,гъелерар,sleigh
319,Lagerfeuer::N,цӏай,campfire
320,Last::N,заланвал,load
321,Gang::N,ериш,walk
322,Schritt::N,къадам,step
323,Norden::N,кефер,north
324,Norden::N,кефер пад,north
325,Süden::N,кьибле,south
326,Westen::N,рагъакӏидай пад,west
327,Osten::N,рагъэкъечӏдай пад,east
328,Holz::N,кӏарас,wood
329,Brett::N,кьул,board
330,Brett::N,тахта,board
331,Stütze::N,даях,bracket
332,Stange::N,юрк,pole
333,Stock::N,лаш,stick
334,Stab::N,юрк,staff
335,Rohr::N,турба,pipe
336,Haus::N,ужагъ,house
337,Heim::N,кӏвал,home
338,Ofen::N,пич,stove
339,Fußboden::N,кӏвалин ччил,floor
340,Tisch::N,стол,table
341,Stuhl::N,стул,chair
342,Wiege::N,кьеб,cradle
343,Bett::N,тахт,bed
344,Regal::N,кьацӏ,shelf
345,Kiste::N,ящик,box
346,Fenster::N,дакӏар,window
347,Tür::N,рак,door
348,Tor::N,варар,gate
349,Zaun::N,пару,fence
350,Dach::N,къав,roof
351,Leiter::N,гурар,ladder
352,Besen::N,таран кул,broom
353,Spaten::N,ппер,spade
354,Schaufel::N,хекендаз,shovel
355,Gabel::N,шиш,fork
356,Löffel::N,тӏур,spoon
357,Messer::N,чукӏул,knife
358,Nagel::N,мих,nail
359,Netz::N,чил,net
360,Haken::N,къармах,hook
361,Griff::N,ттум,handle
362,Schloss::N,куьлег,lock
363,Bild::N,шикил,picture
364,Bild::N,суьрет,picture
365,Figur::N,фигура,figure
366,Puppe::N,нини,doll
367,Beutel::N,тагъар,pouch
368,Bündel::N,галгам,bundle
369,Tasche::N,чанта,bag
370,Eimer::N,ведре,bucket
371,Deckel::N,кьил,cover
372,Deckel::N,къалпагъ,cover
373,Geschirr::N,къаб-къажах,dishes
374,Sack::N,чувал,sack
375,Tasse::N,сукӏра,cup
376,Topf::N,къажгъан,pot
